game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
MUN X LEI 2018-08-10;FT;2;1;False;90;999;period
MUN X LEI 2018-08-10;HT;1;0;False;45;999;period
NEW X TOT 2018-08-11;FT;1;2;False;90;999;period
NEW X TOT 2018-08-11;HT;1;2;False;45;999;period
BOU X CAR 2018-08-11;FT;2;0;False;90;999;period
FUL X CRY 2018-08-11;FT;0;2;False;90;999;period
FUL X CRY 2018-08-11;HT;0;1;False;45;999;period
HUD X CHE 2018-08-11;FT;0;3;False;90;999;period
HUD X CHE 2018-08-11;HT;0;2;False;45;999;period
WOL X EVE 2018-08-11;FT;2;2;False;90;999;period
WOL X EVE 2018-08-11;HT;1;1;False;45;999;period
LIV X WES 2018-08-12;FT;4;0;False;90;999;period
LIV X WES 2018-08-12;HT;2;0;False;45;999;period
SOU X BUR 2018-08-12;FT;0;0;False;90;999;period
SOU X BUR 2018-08-12;HT;0;0;False;45;999;period
TOT X FUL 2018-08-18;FT;3;1;False;90;999;period
CHE X ARS 2018-08-18;FT;3;2;False;90;999;period
CHE X ARS 2018-08-18;HT;2;2;False;45;999;period
BUR X WAT 2018-08-19;FT;1;3;False;90;999;period
MCI X HUD 2018-08-19;FT;6;1;False;90;999;period
MCI X HUD 2018-08-19;HT;3;1;False;45;999;period
WOL X MCI 2018-08-25;FT;1;1;False;90;999;period
LIV X BHA 2018-08-25;FT;1;0;False;90;999;period
FUL X BUR 2018-08-26;FT;4;2;False;90;999;period
FUL X BUR 2018-08-26;HT;3;2;False;45;999;period
WES X WOL 2018-09-01;FT;0;1;False;90;999;period
CAR X ARS 2018-09-02;FT;2;3;False;90;999;period
BOU X LEI 2018-09-15;HT;3;0;False;45;999;period
CHE X CAR 2018-09-15;FT;4;1;False;90;999;period
CHE X CAR 2018-09-15;HT;2;1;False;45;999;period
MCI X FUL 2018-09-15;FT;3;0;False;90;999;period
CAR X MCI 2018-09-22;FT;0;5;False;90;999;period
CAR X MCI 2018-09-22;HT;0;3;False;45;999;period
WAT X BOU 2018-10-06;FT;0;4;False;90;999;period
FUL X ARS 2018-10-07;FT;1;5;False;90;999;period
MCI X BUR 2018-10-20;FT;5;0;False;90;999;period
MCI X SOU 2018-11-04;HT;4;1;False;45;999;period
CAR X MUN 2018-12-22;HT;1;3;False;45;999;period
EVE X TOT 2018-12-23;FT;2;6;False;90;999;period
LIV X ARS 2018-12-29;FT;5;1;False;90;999;period
BOU X WAT 2019-01-02;FT;3;3;False;90;999;period
BOU X WAT 2019-01-02;HT;3;3;False;45;999;period
WOL X LEI 2019-01-19;FT;4;3;False;90;999;period
MCI X CHE 2019-02-10;FT;6;0;False;90;999;period
MCI X CHE 2019-02-10;HT;4;0;False;45;999;period
LEI X CRY 2019-02-23;FT;1;4;False;90;999;period
CRY X BOU 2019-05-12;FT;5;3;False;90;999;period
