game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
;;False;859;goalAwarded;varDecision;True;{'name': 'Robert Lewandowski', 'slug': 'robert-lewandowski', 'shortName': 'R. Lewandowski', 'position': 'F', 'userCount': 62994, 'id': 41789};84
;;False;858;penaltyNotAwarded;varDecision;False;{'name': 'Christopher Trimmel', 'slug': 'christopher-trimmel', 'shortName': 'C. Trimmel', 'position': 'M', 'userCount': 480, 'id': 48557};57
BLK X SVW 2019-10-26;;False;867;goalAwarded;varDecision;True;{'name': 'Lucas Alario', 'slug': 'lucas-alario', 'shortName': 'L. Alario', 'position': 'F', 'userCount': 1741, 'id': 249893};72
WOB X AUG 2019-10-27;;False;895;goalAwarded;varDecision;True;{'name': 'João Victor', 'slug': 'joao-victor', 'shortName': 'J. Victor', 'position': 'F', 'userCount': 405, 'id': 799634};86
BLK X BMG 2019-11-02;6.0;False;970;cardUpgrade;varDecision;True;{'name': 'Leon Bailey', 'slug': 'leon-bailey', 'shortName': 'L. Bailey', 'position': 'F', 'userCount': 3497, 'id': 808590};90
SGE X BAY 2019-11-02;;False;961;cardUpgrade;varDecision;False;{'name': 'Jérôme Boateng', 'slug': 'jerome-boateng', 'shortName': 'J. Boateng', 'position': 'D', 'userCount': 4077, 'id': 19382};9
SGE X BAY 2019-11-02;;False;960;penaltyAwarded;varDecision;True;{'name': 'Gonçalo Paciência', 'slug': 'goncalo-paciencia', 'shortName': 'G. Paciência', 'position': 'F', 'userCount': 1330, 'id': 138890};9
SVW X SCF 2019-11-02;;False;962;goalAwarded;varDecision;False;{'name': 'Roland Sallai', 'slug': 'roland-sallai', 'shortName': 'R. Sallai', 'position': 'M', 'userCount': 859, 'id': 355088};21
;;True;976;penaltyAwarded;varDecision;True;{'name': 'Christian Gentner', 'slug': 'christian-gentner', 'shortName': 'C. Gentner', 'position': 'M', 'userCount': 176, 'id': 4725};86
AUG X S04 2019-11-03;;False;994;penaltyNotAwarded;varDecision;True;{'name': 'Philipp Max', 'slug': 'philipp-max', 'shortName': 'P. Max', 'position': 'D', 'userCount': 858, 'id': 142672};58
KOL X TSG 2019-11-08;6.0;False;1022;penaltyNotAwarded;varDecision;False;{'name': 'Sargis Adamyan', 'slug': 'sargis-adamyan', 'shortName': 'S. Adamyan', 'position': 'F', 'userCount': 644, 'id': 129927};90
S04 X DUS 2019-11-09;;False;1031;penaltyNotAwarded;varDecision;False;{'name': 'Kasim Adams', 'slug': 'kasim-adams', 'shortName': 'K. Adams', 'position': 'D', 'userCount': 373, 'id': 609706};60
BCS X RBL 2019-11-09;;False;1028;penaltyNotAwarded;varDecision;False;{'name': 'Nordi Mukiele', 'slug': 'nordi-mukiele', 'shortName': 'N. Mukiele', 'position': 'D', 'userCount': 1161, 'id': 780014};37
BAY X DOR 2019-11-09;;False;1038;goalNotAwarded;varDecision;True;{'name': 'Thomas Müller', 'slug': 'thomas-muller', 'shortName': 'T. Müller', 'position': 'M', 'userCount': 12945, 'id': 35166};48
BMG X SVW 2019-11-10;;False;1054;penaltyNotAwarded;varDecision;False;{'name': 'Miloš Veljković', 'slug': 'milos-veljkovic', 'shortName': 'M. Veljković', 'position': 'D', 'userCount': 347, 'id': 227224};51
BMG X SVW 2019-11-10;;False;1053;goalAwarded;varDecision;False;{'name': 'Yuya Osako', 'slug': 'yuya-osako', 'shortName': 'Y. Osako', 'position': 'F', 'userCount': 757, 'id': 48240};28
SCF X SGE 2019-11-10;9.0;False;1074;cardUpgrade;varDecision;True;{'name': 'Vincenzo Grifo', 'slug': 'vincenzo-grifo', 'shortName': 'V. Grifo', 'position': 'M', 'userCount': 713, 'id': 171961};90
SCF X SGE 2019-11-10;;False;1070;penaltyAwarded;varDecision;False;{'name': 'Gonçalo Paciência', 'slug': 'goncalo-paciencia', 'shortName': 'G. Paciência', 'position': 'F', 'userCount': 1330, 'id': 138890};30
;1.0;False;1139;cardUpgrade;varDecision;False;{'name': 'Ridle Baku', 'slug': 'ridle-baku', 'shortName': 'R. Baku', 'position': 'M', 'userCount': 282, 'id': 856553};45
BCS X DOR 2019-11-30;;False;1185;goalAwarded;varDecision;True;{'name': 'Davie Selke', 'slug': 'davie-selke', 'shortName': 'D. Selke', 'position': 'F', 'userCount': 418, 'id': 187437};50
WOB X SVW 2019-12-01;;False;1225;goalAwarded;varDecision;True;{'name': 'Robin Knoche', 'slug': 'robin-knoche', 'shortName': 'R. Knoche', 'position': 'D', 'userCount': 147, 'id': 130433};62
WOB X SVW 2019-12-01;;False;1224;penaltyNotAwarded;varDecision;False;{'name': 'Philipp Bargfrede', 'slug': 'philipp-bargfrede', 'shortName': 'P. Bargfrede', 'position': 'M', 'userCount': 107, 'id': 37629};11
;;False;1239;goalAwarded;varDecision;True;{'name': 'Karim Onisiwo', 'slug': 'karim-onisiwo', 'shortName': 'K. Onisiwo', 'position': 'F', 'userCount': 280, 'id': 165413};54
SGE X BCS 2019-12-06;;False;1259;goalAwarded;varDecision;True;{'name': 'Daichi Kamada', 'slug': 'daichi-kamada', 'shortName': 'D. Kamada', 'position': 'F', 'userCount': 1126, 'id': 794338};39
;;False;1272;penaltyNotAwarded;varDecision;True;{'name': 'Ruben Vargas', 'slug': 'ruben-vargas', 'shortName': 'R. Vargas', 'position': 'M', 'userCount': 416, 'id': 872919};64
DOR X DUS 2019-12-07;;False;1269;goalAwarded;varDecision;True;{'name': 'Jadon Sancho', 'slug': 'jadon-sancho', 'shortName': 'J. Sancho', 'position': 'F', 'userCount': 23898, 'id': 851100};53
SVW X SCP 2019-12-08;2.0;False;1305;goalNotAwarded;varDecision;False;{'name': 'Streli Mamba', 'slug': 'streli-mamba', 'shortName': 'S. Mamba', 'position': 'F', 'userCount': 198, 'id': 169257};90
DUS X RBL 2019-12-14;;False;1343;penaltyNotAwarded;varDecision;False;{'name': 'Lukas Klostermann', 'slug': 'lukas-klostermann', 'shortName': 'L. Klostermann', 'position': 'D', 'userCount': 1221, 'id': 319853};56
BMG X SCP 2019-12-18;;False;1366;penaltyNotAwarded;varDecision;True;{'name': 'Alassane Pléa', 'slug': 'alassane-plea', 'shortName': 'A. Pléa', 'position': 'F', 'userCount': 2374, 'id': 192308};65
;;False;1381;goalAwarded;varDecision;False;{'name': 'Kevin Volland', 'slug': 'kevin-volland', 'shortName': 'K. Volland', 'position': 'F', 'userCount': 1609, 'id': 117373};67
S04 X SCF 2019-12-21;;False;1380;penaltyNotAwarded;varDecision;False;{'name': 'Lucas Höler', 'slug': 'lucas-holer', 'shortName': 'L. Höler', 'position': 'F', 'userCount': 184, 'id': 280009};52
SCP X SGE 2019-12-22;;False;1403;penaltyAwarded;varDecision;False;{'name': 'Filip Kostić', 'slug': 'filip-kostic', 'shortName': 'F. Kostić', 'position': 'M', 'userCount': 2731, 'id': 126588};18
AUG X DOR 2020-01-18;;False;1568;goalNotAwarded;varDecision;False;{'name': 'Thorgan Hazard', 'slug': 'thorgan-hazard', 'shortName': 'T. Hazard', 'position': 'M', 'userCount': 8251, 'id': 94286};71
BCS X BAY 2020-01-19;;False;1599;goalAwarded;varDecision;False;{'name': 'Robert Lewandowski', 'slug': 'robert-lewandowski', 'shortName': 'R. Lewandowski', 'position': 'F', 'userCount': 62994, 'id': 41789};64
DOR X KOL 2020-01-24;;False;1631;goalNotAwarded;varDecision;True;{'name': 'Mats Hummels', 'slug': 'mats-hummels', 'shortName': 'M. Hummels', 'position': 'D', 'userCount': 4525, 'id': 16632};30
