game;length;time;addedTime;incidentType
BAY X BCS 16-08-2019;3;90;0;injuryTime
BAY X BCS 16-08-2019;3;45;0;injuryTime
BLK X SCP 17-08-2019;2;90;0;injuryTime
BLK X SCP 17-08-2019;1;45;0;injuryTime
SVW X DUS 17-08-2019;4;90;0;injuryTime
SVW X DUS 17-08-2019;2;45;0;injuryTime
KOL X DOR 23-08-2019;5;90;0;injuryTime
MAI X BMG 24-08-2019;4;45;0;injuryTime
RBL X SGE 25-08-2019;6;90;0;injuryTime
BAY X MAI 31-08-2019;1;90;0;injuryTime
UNB X DOR 31-08-2019;7;90;0;injuryTime
RBL X S04 28-09-2019;5;45;0;injuryTime
MAI X AUG 14-06-2020;6;45;0;injuryTime
