game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
BAY X BCS 16-08-2019;FT;2;2;False;90;999;period
BAY X BCS 16-08-2019;HT;1;2;False;45;999;period
BLK X SCP 17-08-2019;FT;3;2;False;90;999;period
BLK X SCP 17-08-2019;HT;2;2;False;45;999;period
DOR X AUG 17-08-2019;FT;5;1;False;90;999;period
DOR X AUG 17-08-2019;HT;1;1;False;45;999;period
SCF X MAI 17-08-2019;FT;3;0;False;90;999;period
SCF X MAI 17-08-2019;HT;0;0;False;45;999;period
SVW X DUS 17-08-2019;FT;1;3;False;90;999;period
SVW X DUS 17-08-2019;HT;0;1;False;45;999;period
WOB X KOL 17-08-2019;FT;2;1;False;90;999;period
WOB X KOL 17-08-2019;HT;1;0;False;45;999;period
BMG X S04 17-08-2019;FT;0;0;False;90;999;period
SGE X TSG 18-08-2019;FT;1;0;False;90;999;period
UNB X RBL 18-08-2019;FT;0;4;False;90;999;period
UNB X RBL 18-08-2019;HT;0;3;False;45;999;period
AUG X UNB 24-08-2019;FT;1;1;False;90;999;period
S04 X BAY 24-08-2019;FT;0;3;False;90;999;period
BAY X MAI 31-08-2019;FT;6;1;False;90;999;period
BAY X MAI 31-08-2019;HT;2;1;False;45;999;period
SCF X KOL 31-08-2019;FT;1;2;False;90;999;period
UNB X DOR 31-08-2019;FT;3;1;False;90;999;period
KOL X BMG 14-09-2019;FT;0;1;False;90;999;period
AUG X SGE 14-09-2019;HT;2;0;False;45;999;period
DOR X BLK 14-09-2019;FT;4;0;False;90;999;period
TSG X SCF 15-09-2019;HT;0;2;False;45;999;period
SCP X S04 15-09-2019;FT;1;5;False;90;999;period
BLK X UNB 21-09-2019;FT;2;0;False;90;999;period
SCP X BAY 28-09-2019;FT;2;3;False;90;999;period
BMG X AUG 06-10-2019;HT;4;0;False;45;999;period
BMG X SGE 27-10-2019;FT;4;2;False;90;999;period
TSG X SCP 01-11-2019;HT;3;0;False;45;999;period
RBL X MAI 02-11-2019;FT;8;0;False;90;999;period
RBL X MAI 02-11-2019;HT;5;0;False;45;999;period
S04 X DUS 09-11-2019;FT;3;3;False;90;999;period
BCS X RBL 09-11-2019;FT;2;4;False;90;999;period
WOB X BLK 10-11-2019;FT;0;2;False;90;999;period
RBL X KOL 23-11-2019;FT;4;1;False;90;999;period
RBL X KOL 23-11-2019;HT;3;1;False;45;999;period
DOR X DUS 07-12-2019;FT;5;0;False;90;999;period
SVW X MAI 17-12-2019;FT;0;5;False;90;999;period
SVW X MAI 17-12-2019;HT;0;4;False;45;999;period
AUG X DOR 18-01-2020;FT;3;5;False;90;999;period
SCP X BLK 19-01-2020;FT;1;4;False;90;999;period
MAI X BAY 01-02-2020;HT;1;3;False;45;999;period
BLK X DOR 08-02-2020;FT;4;3;False;90;999;period
TSG X BAY 29-02-2020;FT;0;6;False;90;999;period
BAY X SGE 23-05-2020;FT;5;2;False;90;999;period
SCP X DOR 31-05-2020;FT;1;6;False;90;999;period
