game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
FLA X CAM 2017-05-13;FT;1;1;False;90;999;period
FLA X CAM 2017-05-13;HT;1;0;False;45;999;period
FLU X SAN 2017-05-14;FT;3;2;False;90;999;period
FLU X SAN 2017-05-14;HT;2;1;False;45;999;period
AVA X VIT 2017-05-14;FT;0;0;False;90;999;period
AVA X VIT 2017-05-14;HT;0;0;False;45;999;period
BAH X CAP 2017-05-14;FT;6;2;False;90;999;period
BAH X CAP 2017-05-14;HT;5;2;False;45;999;period
CRU X SPO 2017-05-14;FT;1;0;False;90;999;period
PAL X VAS 2017-05-14;FT;4;0;False;90;999;period
PAL X VAS 2017-05-14;HT;2;0;False;45;999;period
GRE X BOT 2017-05-14;FT;2;0;False;90;999;period
CFC X ATG 2017-05-15;FT;4;1;False;90;999;period
ATG X FLA 2017-05-20;FT;0;3;False;90;999;period
ATG X FLA 2017-05-20;HT;0;1;False;45;999;period
VAS X BAH 2017-05-21;FT;2;1;False;90;999;period
CAP X GRE 2017-05-21;FT;0;2;False;90;999;period
CAM X FLU 2017-05-21;FT;1;2;False;90;999;period
CAM X FLU 2017-05-21;HT;1;2;False;45;999;period
VIT X COR 2017-05-21;FT;0;1;False;90;999;period
SPT X CRU 2017-05-21;HT;1;1;False;45;999;period
CAM X PON 2017-05-28;FT;2;2;False;90;999;period
SPT X GRE 2017-05-28;FT;4;3;False;90;999;period
BAH X ATG 2017-06-05;FT;3;0;False;90;999;period
VAS X COR 2017-06-07;FT;2;5;False;90;999;period
VAS X COR 2017-06-07;HT;0;2;False;45;999;period
CHA X GRE 2017-06-08;FT;3;6;False;90;999;period
PAL X FLU 2017-06-10;FT;3;1;False;90;999;period
BAH X PAL 2017-06-18;FT;2;4;False;90;999;period
SPT X VIT 2017-06-18;FT;1;3;False;90;999;period
CRU X GRE 2017-06-19;FT;3;3;False;90;999;period
FLA X CHA 2017-06-22;FT;5;1;False;90;999;period
VIT X VAS 2017-07-12;FT;1;4;False;90;999;period
PAL X VIT 2017-07-16;FT;4;2;False;90;999;period
FLA X PAL 2017-07-19;HT;2;2;False;45;999;period
SPT X ATG 2017-07-20;HT;3;0;False;45;999;period
BOT X SPO 2017-07-29;FT;3;4;False;90;999;period
CAP X AVA 2017-08-03;FT;5;0;False;90;999;period
CFC X BOT 2017-09-24;FT;2;3;False;90;999;period
COR X PAL 2017-11-05;HT;3;1;False;45;999;period
