game;addedTime;id;incidentClass;incidentType;isHome;player;playerName;reason;time
FLA X CAM 2017-05-13;;118653231;yellow;card;False;{'name': 'Rafael Carioca', 'slug': 'rafael-carioca', 'shortName': 'R. Carioca', 'position': 'M', 'userCount': 133, 'id': 39423};Rafael Carioca;Argument;82
FLA X CAM 2017-05-13;;118653228;yellow;card;True;{'name': 'Éverton Cardoso', 'slug': 'everton-cardoso', 'shortName': 'É. Cardoso', 'position': 'M', 'userCount': 770, 'id': 76526};Éverton Cardoso;Argument;82
FLA X CAM 2017-05-13;;118653227;yellow;card;True;{'name': 'Miguel Trauco', 'slug': 'miguel-trauco', 'shortName': 'M. Trauco', 'position': 'D', 'userCount': 1397, 'id': 247665};Miguel Trauco;Foul;64
FLA X CAM 2017-05-13;;118653230;yellow;card;False;{'name': 'Ralph', 'slug': 'ralph', 'shortName': 'Ralph', 'position': 'M', 'userCount': 5, 'id': 848042};Ralph;Unallowed field entering;59
FLA X CAM 2017-05-13;;118653229;yellow;card;False;{'name': 'Fábio Santos', 'slug': 'fabio-santos', 'shortName': 'F. Santos', 'position': 'D', 'userCount': 209, 'id': 35519};Fabio Santos;Foul;21
COR X CHA 2017-05-13;;118653360;yellow;card;False;{'name': 'Andrei Girotto', 'slug': 'andrei-girotto', 'shortName': 'A. Girotto', 'position': 'D', 'userCount': 151, 'id': 794836};Andrei Girotto;Foul;84
COR X CHA 2017-05-13;;118653359;yellow;card;False;{'name': 'Wellington Paulista', 'slug': 'wellington-paulista', 'shortName': 'W. Paulista', 'position': 'F', 'userCount': 282, 'id': 29106};Wellington Paulista;Off the ball foul;64
COR X CHA 2017-05-13;;118653358;yellow;card;True;{'name': 'Fagner', 'slug': 'fagner', 'shortName': 'Fagner', 'position': 'D', 'userCount': 1319, 'id': 25554};Fagner;Argument;63
COR X CHA 2017-05-13;;118653357;yellow;card;True;{'name': 'Rodriguinho', 'slug': 'rodriguinho', 'shortName': 'Rodriguinho', 'position': 'M', 'userCount': 478, 'id': 797939};Rodriguinho;Foul;35
FLU X SAN 2017-05-14;3.0;118654093;yellow;card;True;{'name': 'Léo', 'slug': 'leo', 'shortName': 'Léo', 'position': 'D', 'userCount': 173, 'id': 360940};Léo Pelé;Foul;90
FLU X SAN 2017-05-14;;118654098;yellow;card;False;{'name': 'Lucas Lima', 'slug': 'lucas-lima', 'shortName': 'L. Lima', 'position': 'M', 'userCount': 982, 'id': 244589};Lucas Lima;Argument;90
FLU X SAN 2017-05-14;;118654097;yellow;card;False;{'name': 'Lucas Veríssimo', 'slug': 'lucas-verissimo', 'shortName': 'L. Veríssimo', 'position': 'D', 'userCount': 433, 'id': 826343};Lucas Veríssimo;Foul;69
FLU X SAN 2017-05-14;;118654096;yellow;card;False;{'name': 'Bruno Henrique', 'slug': 'bruno-henrique', 'shortName': 'B. Henrique', 'position': 'M', 'userCount': 8845, 'id': 795291};Bruno Henrique;Foul;62
FLU X SAN 2017-05-14;;118654095;yellow;card;False;{'name': 'Ricardo Oliveira', 'slug': 'ricardo-oliveira', 'shortName': 'R. Oliveira', 'position': 'F', 'userCount': 506, 'id': 2099};Ricardo Oliveira;Foul;55
FLU X SAN 2017-05-14;3.0;118654094;yellow;card;False;{'name': 'Victor Ferraz', 'slug': 'victor-ferraz', 'shortName': 'V. Ferraz', 'position': 'D', 'userCount': 237, 'id': 255613};Victor Ferraz;Argument;45
