game;length;time;addedTime;incidentType
FLA X CAM 2017-05-13;4;90;0;injuryTime
FLA X CAM 2017-05-13;2;45;0;injuryTime
COR X CHA 2017-05-13;5;90;0;injuryTime
FLU X SAN 2017-05-14;6;90;0;injuryTime
FLU X SAN 2017-05-14;4;45;0;injuryTime
AVA X VIT 2017-05-14;1;45;0;injuryTime
PAL X VAS 2017-05-14;1;90;0;injuryTime
PON X SPT 2017-05-14;3;90;0;injuryTime
GRE X BOT 2017-05-14;3;45;0;injuryTime
ATG X FLA 2017-05-20;5;45;0;injuryTime
ATG X COR 2017-05-28;7;90;0;injuryTime
BAH X ATG 2017-06-05;2;90;0;injuryTime
FLU X CAP 2017-06-06;10;90;0;injuryTime
COR X PON 2017-07-08;8;90;0;injuryTime
PAL X SPO 2017-08-27;8;45;0;injuryTime
CRU X PON 2017-10-07;6;45;0;injuryTime
CAM X GRE 2017-12-03;16;90;0;injuryTime
