game;away_score;data;form_minute_-12;form_minute_-13;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
FLA X CAM 2017-05-13;1;2017-05-13;;;-3.0;13.0;5.0;1.0;3.0;14.0;10.0;8.0;7.0;7.0;10.0;-3.0;5.0;2.0;-1.0;-5.0;41.0;18.0;6.0;34.0;16.0;-10.0;-7.0;-31.0;-23.0;-22.0;-18.0;-40.0;-21.0;-52.0;-30.0;-13.0;20.0;-29.0;1.0;2.0;-2.0;-6.0;-6.0;49.0;;22.0;9.0;-20.0;-57.0;-21.0;-6.0;-8.0;-8.0;-3.0;-2.0;-3.0;-88.0;-53.0;-33.0;-21.0;19.0;-89.0;-43.0;-22.0;34.0;20.0;43.0;5.0;-41.0;-24.0;-15.0;5.0;-16.0;-13.0;-34.0;-60.0;-46.0;-62.0;-26.0;-3.0;21.0;69.0;7.0;44.0;26.0;16.0;8.0;6.0;8.0;5.0;3.0;2.0;1.0;10.0;30.0;10.0;1;17:00:00;0;CAM;FLA
COR X CHA 2017-05-13;1;2017-05-13;;;-10.0;66.0;66.0;38.0;28.0;16.0;5.0;-25.0;-8.0;6.0;6.0;-40.0;8.0;9.0;82.0;51.0;26.0;6.0;10.0;7.0;10.0;8.0;-34.0;7.0;-13.0;8.0;-23.0;-11.0;7.0;3.0;8.0;9.0;7.0;-73.0;1.0;3.0;3.0;4.0;2.0;-20.0;-5.0;-10.0;-6.0;-35.0;-27.0;-41.0;-17.0;-10.0;-25.0;-12.0;-6.0;26.0;18.0;-100.0;-46.0;-22.0;-21.0;-9.0;-7.0;1.0;-7.0;-2.0;7.0;-24.0;-41.0;-22.0;-17.0;-4.0;-34.0;-17.0;-7.0;8.0;10.0;15.0;14.0;18.0;-25.0;-9.0;-26.0;6.0;6.0;6.0;40.0;35.0;31.0;24.0;20.0;15.0;14.0;-6.0;16.0;5.0;1;20:00:00;0;CHA;COR
FLU X SAN 2017-05-14;2;2017-05-14;;;0.0;-12.0;-21.0;-18.0;-12.0;-7.0;-54.0;-57.0;-40.0;-30.0;-34.0;20.0;-32.0;-21.0;-61.0;-45.0;-23.0;-41.0;-22.0;-7.0;-2.0;-5.0;18.0;-5.0;-2.0;1.0;11.0;-7.0;-7.0;-19.0;-37.0;-28.0;-93.0;97.0;-51.0;-26.0;-11.0;8.0;34.0;48.0;80.0;-4.0;-5.0;-6.0;-7.0;55.0;-2.0;-5.0;-7.0;-68.0;-84.0;-100.0;-66.0;-30.0;73.0;36.0;30.0;22.0;-49.0;-49.0;-58.0;-37.0;37.0;8.0;9.0;29.0;19.0;21.0;60.0;29.0;6.0;-7.0;-18.0;-20.0;-16.0;-9.0;-11.0;-16.0;22.0;-15.0;-14.0;-15.0;-15.0;-14.0;-34.0;-18.0;-38.0;-100.0;-78.0;-7.0;-11.0;-45.0;3;12:00:00;1;SAN;FLU
AVA X VIT 2017-05-14;0;2017-05-14;;;3.0;26.0;4.0;-44.0;-25.0;52.0;38.0;26.0;23.0;-31.0;-45.0;-7.0;-40.0;-27.0;-20.0;-13.0;-8.0;-6.0;3.0;36.0;-45.0;-10.0;-9.0;8.0;8.0;27.0;20.0;-29.0;-19.0;-15.0;-7.0;-10.0;-9.0;-11.0;-10.0;41.0;11.0;7.0;25.0;16.0;-25.0;-17.0;-16.0;-10.0;-7.0;-13.0;-5.0;-7.0;-4.0;-3.0;-3.0;30.0;17.0;10.0;-51.0;-31.0;-14.0;-21.0;-13.0;-33.0;-17.0;75.0;37.0;46.0;28.0;-26.0;-15.0;-44.0;-14.0;-15.0;-9.0;31.0;46.0;32.0;20.0;31.0;16.0;7.0;-30.0;-31.0;-21.0;-24.0;-20.0;-17.0;-8.0;-10.0;-5.0;-8.0;-9.0;-14.0;-16.0;5.0;0;17:00:00;0;VIT;AVA
BAH X CAP 2017-05-14;2;2017-05-14;;;-10.0;13.0;3.0;1.0;-5.0;-3.0;-86.0;-49.0;-32.0;-16.0;48.0;-1.0;36.0;29.0;61.0;56.0;33.0;27.0;24.0;17.0;49.0;34.0;10.0;20.0;11.0;7.0;26.0;100.0;100.0;55.0;43.0;19.0;-119.0;13.0;-74.0;77.0;14.0;74.0;48.0;71.0;75.0;-45.0;26.0;10.0;1.0;5.0;-28.0;-36.0;-21.0;-10.0;-10.0;-8.0;-7.0;26.0;-28.0;-16.0;50.0;-6.0;-1.0;3.0;1.0;6.0;-31.0;-27.0;-22.0;-11.0;7.0;24.0;9.0;33.0;100.0;63.0;30.0;38.0;47.0;16.0;10.0;2.0;35.0;21.0;5.0;-5.0;4.0;30.0;25.0;27.0;38.0;-33.0;-13.0;23.0;-8.0;;6;17:00:00;1;CAP;BAH
CRU X SPO 2017-05-14;0;2017-05-14;;;-3.0;16.0;12.0;12.0;-8.0;-3.0;-13.0;-15.0;-15.0;-14.0;-14.0;-4.0;-41.0;-23.0;-12.0;-6.0;-2.0;36.0;15.0;2.0;-7.0;5.0;-33.0;5.0;7.0;21.0;49.0;55.0;24.0;21.0;43.0;20.0;3.0;-22.0;1.0;-47.0;-26.0;-18.0;17.0;5.0;0.0;3.0;-3.0;-3.0;78.0;-13.0;41.0;36.0;18.0;7.0;-25.0;-24.0;-60.0;-42.0;-52.0;-39.0;-7.0;-33.0;-51.0;-44.0;-53.0;-39.0;-26.0;-17.0;-12.0;-8.0;-7.0;-3.0;-7.0;-7.0;-31.0;-1.0;-28.0;-24.0;-17.0;-16.0;17.0;2.0;33.0;-4.0;-3.0;-4.0;-36.0;-29.0;-25.0;-47.0;-40.0;-28.0;-23.0;22.0;-7.0;-10.0;1;17:00:00;1;SPO;CRU
PAL X VAS 2017-05-14;0;2017-05-14;;;10.0;12.0;5.0;27.0;11.0;5.0;-43.0;33.0;-4.0;-22.0;-9.0;35.0;4.0;-28.0;-49.0;-31.0;-51.0;-33.0;-15.0;-46.0;-2.0;-6.0;19.0;11.0;-7.0;-5.0;-8.0;-9.0;-13.0;-4.0;3.0;3.0;10.0;9.0;14.0;15.0;79.0;82.0;52.0;-132.0;0.0;-96.0;77.0;-34.0;-11.0;10.0;-4.0;7.0;2.0;-14.0;39.0;43.0;68.0;40.0;14.0;1.0;11.0;-4.0;-74.0;-41.0;-1.0;43.0;18.0;48.0;26.0;23.0;15.0;84.0;14.0;11.0;11.0;-25.0;38.0;18.0;18.0;13.0;12.0;12.0;47.0;80.0;45.0;24.0;12.0;4.0;-4.0;-4.0;-2.0;-1.0;1.0;24.0;1.0;0.0;4;17:00:00;1;VAS;PAL
PON X SPT 2017-05-14;0;2017-05-14;;;-5.0;-2.0;26.0;17.0;13.0;14.0;3.0;1.0;6.0;-4.0;-4.0;2.0;2.0;27.0;17.0;-38.0;-11.0;-11.0;-6.0;8.0;50.0;35.0;15.0;24.0;17.0;12.0;7.0;-8.0;3.0;3.0;4.0;57.0;44.0;7.0;28.0;100.0;78.0;45.0;33.0;100.0;;46.0;24.0;7.0;-4.0;2.0;-5.0;2.0;2.0;-4.0;2.0;42.0;26.0;17.0;6.0;-4.0;-22.0;-6.0;5.0;10.0;34.0;48.0;21.0;9.0;2.0;-3.0;-19.0;-14.0;-6.0;5.0;-4.0;72.0;38.0;18.0;8.0;7.0;3.0;3.0;-12.0;4.0;-3.0;6.0;8.0;10.0;9.0;9.0;13.0;36.0;24.0;-6.0;0.0;85.0;4;17:00:00;1;SPT;PON
GRE X BOT 2017-05-14;0;2017-05-14;;;-10.0;32.0;23.0;10.0;-26.0;-43.0;-31.0;-19.0;-11.0;5.0;5.0;-3.0;31.0;27.0;80.0;54.0;38.0;27.0;20.0;27.0;41.0;29.0;-1.0;47.0;52.0;34.0;17.0;9.0;9.0;10.0;4.0;6.0;36.0;1.0;29.0;24.0;14.0;38.0;20.0;8.0;125.0;7.0;1.0;23.0;11.0;1.0;4.0;-17.0;-9.0;39.0;26.0;97.0;65.0;35.0;22.0;12.0;22.0;5.0;7.0;18.0;13.0;1.0;-3.0;-3.0;-5.0;-5.0;-14.0;54.0;-14.0;-34.0;-20.0;-13.0;-22.0;45.0;14.0;8.0;4.0;2.0;76.0;-6.0;-7.0;-8.0;-8.0;27.0;9.0;7.0;4.0;-31.0;-48.0;49.0;-33.0;-5.0;2;20:00:00;1;BOT;GRE
CFC X ATG 2017-05-15;1;2017-05-15;;;10.0;44.0;17.0;-51.0;-22.0;22.0;3.0;-54.0;-4.0;-1.0;6.0;13.0;7.0;2.0;-5.0;-9.0;7.0;-18.0;-2.0;-4.0;2.0;-27.0;40.0;-16.0;-7.0;99.0;63.0;98.0;61.0;100.0;50.0;35.0;23.0;36.0;44.0;26.0;21.0;-16.0;-53.0;-26.0;;18.0;1.0;-60.0;-35.0;54.0;-21.0;-6.0;8.0;7.0;-80.0;-28.0;-16.0;-29.0;-21.0;-7.0;79.0;-5.0;-3.0;-1.0;-100.0;-62.0;-38.0;-24.0;74.0;41.0;17.0;59.0;-32.0;79.0;32.0;17.0;36.0;29.0;17.0;16.0;16.0;15.0;39.0;15.0;20.0;17.0;46.0;33.0;-47.0;34.0;11.0;6.0;-28.0;69.0;2.0;-15.0;4;21:00:00;1;ATG;CFC
