game;length;time;addedTime;incidentType
SPO X BOT 2019-04-27;4;90;0;injuryTime
SPO X BOT 2019-04-27;3;45;0;injuryTime
CAM X AVA 2019-04-27;5;90;0;injuryTime
CHA X INT 2019-04-27;3;90;0;injuryTime
CHA X INT 2019-04-27;4;45;0;injuryTime
FLA X CRU 2019-04-27;2;45;0;injuryTime
FLU X GOI 2019-04-28;6;45;0;injuryTime
COR X CHA 2019-05-01;1;45;0;injuryTime
SPO X FLA 2019-05-05;8;90;0;injuryTime
FLU X BOT 2019-05-11;6;90;0;injuryTime
CAM X FLA 2019-05-18;7;45;0;injuryTime
SPO X BAH 2019-05-19;7;90;0;injuryTime
INT X CSA 2019-05-19;9;45;0;injuryTime
GRE X CAM 2019-05-25;5;45;0;injuryTime
CHA X CAM 2019-07-14;11;90;0;injuryTime
FLU X CEA 2019-07-15;10;90;0;injuryTime
CAM X FOR 2019-07-21;9;90;0;injuryTime
VAS X CSA 2019-08-04;16;90;0;injuryTime
CAP X SPO 2019-08-21;1;90;0;injuryTime
BOT X CAP 2019-08-11;12;90;0;injuryTime
FLA X PAL 2019-09-01;2;90;0;injuryTime
