game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
JUV X CAG 19-08-2017;FT;3;0;False;90;999;period
JUV X CAG 19-08-2017;HT;2;0;False;45;999;period
HEL X NAP 19-08-2017;FT;1;3;False;90;999;period
HEL X NAP 19-08-2017;HT;0;2;False;45;999;period
ATT X ROM 20-08-2017;FT;0;1;False;90;999;period
ATT X ROM 20-08-2017;HT;0;1;False;45;999;period
BGN X TOR 20-08-2017;FT;1;1;False;90;999;period
BGN X TOR 20-08-2017;HT;1;1;False;45;999;period
CRO X MIL 20-08-2017;FT;0;3;False;90;999;period
CRO X MIL 20-08-2017;HT;0;3;False;45;999;period
LAZ X SPA 20-08-2017;FT;0;0;False;90;999;period
LAZ X SPA 20-08-2017;HT;0;0;False;45;999;period
SAM X BEM 20-08-2017;FT;2;1;False;90;999;period
UDI X CHV 20-08-2017;FT;1;2;False;90;999;period
GEN X JUV 26-08-2017;FT;2;4;False;90;999;period
GEN X JUV 26-08-2017;HT;2;2;False;45;999;period
ROM X INT 26-08-2017;HT;1;0;False;45;999;period
NAP X ATT 27-08-2017;FT;3;1;False;90;999;period
SPA X UDI 27-08-2017;FT;3;2;False;90;999;period
INT X SPA 10-09-2017;FT;2;0;False;90;999;period
CAG X CRO 10-09-2017;FT;1;0;False;90;999;period
HEL X FIO 10-09-2017;FT;0;5;False;90;999;period
LAZ X MIL 10-09-2017;FT;4;1;False;90;999;period
CRO X INT 16-09-2017;FT;0;2;False;90;999;period
MIL X UDI 17-09-2017;HT;2;1;False;45;999;period
NAP X BEM 17-09-2017;FT;6;0;False;90;999;period
NAP X BEM 17-09-2017;HT;4;0;False;45;999;period
TOR X SAM 17-09-2017;FT;2;2;False;90;999;period
GEN X LAZ 17-09-2017;FT;2;3;False;90;999;period
BEM X ROM 20-09-2017;FT;0;4;False;90;999;period
ATT X CRO 20-09-2017;FT;5;1;False;90;999;period
ATT X CRO 20-09-2017;HT;3;0;False;45;999;period
LAZ X NAP 20-09-2017;FT;1;4;False;90;999;period
JUV X TOR 23-09-2017;FT;4;0;False;90;999;period
BEM X INT 01-10-2017;HT;1;2;False;45;999;period
LAZ X SAS 01-10-2017;FT;6;1;False;90;999;period
SAM X CRO 21-10-2017;FT;5;0;False;90;999;period
UDI X JUV 22-10-2017;FT;2;6;False;90;999;period
BEM X LAZ 29-10-2017;FT;1;5;False;90;999;period
SAM X CHV 29-10-2017;HT;3;1;False;45;999;period
ATT X LAZ 17-12-2017;FT;3;3;False;90;999;period
NAP X SAM 23-12-2017;HT;3;2;False;45;999;period
SPA X LAZ 06-01-2018;FT;2;5;False;90;999;period
SPA X LAZ 06-01-2018;HT;2;4;False;45;999;period
JUV X SAS 04-02-2018;FT;7;0;False;90;999;period
ROM X BEM 11-02-2018;FT;5;2;False;90;999;period
SAM X INT 18-03-2018;HT;0;4;False;45;999;period
LAZ X BEM 31-03-2018;FT;6;2;False;90;999;period
FIO X LAZ 18-04-2018;FT;3;4;False;90;999;period
NAP X UDI 18-04-2018;FT;4;2;False;90;999;period
