game;accuratePass;aerialDuels;challengeLost;disabled;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;possessionLost;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
JUV X CAG 19-08-2017;82 (94%);1 (0);1;;1;1;;;4 (1);27678;4;1;90';Miralem Pjanić;False;;0;M;8;;7.9;;;M. Pjanić;0;1;0;juventus;JUV;2687;Juventus;0;0 (0);2 (0);5 (1);7 (6);82 (94%);1;100;0
JUV X CAG 19-08-2017;69 (90%);1 (0);;;2;1;;;6 (4);4392;2;2;90';Stephan Lichtsteiner;False;1;0;D;9;;7.7;;;S. Lichtsteiner;0;0;0;juventus;JUV;2687;Juventus;1;1 (1);3 (2);7 (4);8 (5);69 (90%);1;102;2
JUV X CAG 19-08-2017;24 (88%);0 (0);;;0;;;1;0 (0);2069;0;0;90';Gianluigi Buffon;False;;0;G;;0;7.6;0 (0);2;G. Buffon;0;0;0;juventus;JUV;2687;Juventus;1;0 (0);0 (0);0 (0);10 (7);24 (88%);0;38;0
JUV X CAG 19-08-2017;67 (87%);2 (1);;;4;1;;;13 (8);84854;2;2;90';Alex Sandro;False;;0;D;18;;7.5;;;A. Sandro;0;0;0;juventus;JUV;2687;Juventus;1;6 (6);4 (0);15 (9);5 (3);67 (87%);1;103;1
JUV X CAG 19-08-2017;35 (83%);5 (2);;;1;;1;;3 (1);18886;3;0;90';Mario Mandžukić;False;;0;M;12;;7.5;;;M. Mandžukić;2;0;2;juventus;JUV;2687;Juventus;1;0 (0);3 (0);8 (3);2 (1);35 (83%);0;62;1
JUV X CAG 19-08-2017;35 (92%);1 (0);;;0;;;;2 (2);2039;1;0;90';Marco Andreolli;False;;3;D;3;;7.5;;;M. Andreolli;0;0;0;cagliari;CAG;2719;Cagliari;9;0 (0);0 (0);3 (2);7 (5);35 (92%);2;55;0
JUV X CAG 19-08-2017;45 (86%);0 (0);2;;0;;1;;16 (6);256219;0;0;90';Paulo Dybala;False;;0;M;22;;7.4;;;P. Dybala;1;3;3;juventus;JUV;2687;Juventus;0;6 (4);1 (0);16 (6);6 (5);45 (86%);0;84;2
JUV X CAG 19-08-2017;11 (78%);0 (0);;;1;;1;;6 (3);19438;0;0;71';Gonzalo Higuaín;False;1;0;F;8;;7.4;;;G. Higuaín;2;0;2;juventus;JUV;2687;Juventus;1;2 (2);0 (0);6 (3);1 (0);11 (78%);1;27;0
JUV X CAG 19-08-2017;63 (87%);2 (1);;;4;;;;5 (2);2009;2;0;90';Giorgio Chiellini;False;;0;D;10;;7.3;;;G. Chiellini;0;0;0;juventus;JUV;2687;Juventus;7;0 (0);0 (0);7 (3);7 (6);63 (87%);1;86;1
JUV X CAG 19-08-2017;67 (88%);3 (3);1;;0;;;;2 (1);139273;2;0;90';Daniele Rugani;False;;1;D;9;;7.2;;;D. Rugani;0;0;0;juventus;JUV;2687;Juventus;3;0 (0);0 (0);5 (4);5 (2);67 (88%);1;84;0
JUV X CAG 19-08-2017;18 (94%);0 (0);;;0;;;;3 (2);47908;0;2;16';Douglas Costa;False;;0;M;4;;7.1;;;D. Costa;0;0;0;juventus;JUV;2687;Juventus;0;2 (1);1 (0);3 (2);1 (1);18 (94%);1;24;0
JUV X CAG 19-08-2017;44 (81%);0 (0);1;;3;;;;9 (5);363856;2;1;90';Nicolò Barella;False;;0;M;17;;6.9;;;N. Barella;0;0;0;cagliari;CAG;2719;Cagliari;0;4 (4);3 (1);9 (5);10 (7);44 (81%);1;75;0
JUV X CAG 19-08-2017;46 (90%);3 (0);2;;0;;;;9 (5);47743;0;4;74';Juan Cuadrado;False;;0;M;11;;6.9;;;J. Cuadrado;0;0;0;juventus;JUV;2687;Juventus;0;1 (1);2 (0);12 (5);5 (4);46 (90%);1;63;3
