game;addedTime;id;incidentClass;incidentType;isHome;player;playerName;reason;time
TOR X CHV 19-11-2017;2.0;118780043;yellow;card;False;{'name': 'Roberto Inglese', 'slug': 'roberto-inglese', 'shortName': 'R. Inglese', 'position': 'F', 'userCount': 844, 'id': 126699};Roberto Inglese;Foul;90
TOR X CHV 19-11-2017;;118780042;red;card;False;{'name': 'Ivan Radovanović', 'slug': 'ivan-radovanovic', 'shortName': 'I. Radovanović', 'position': 'M', 'userCount': 184, 'id': 19394};Ivan Radovanović;Violent conduct;88
TOR X CHV 19-11-2017;;118780041;yellow;card;True;"{'name': ""M'Baye Niang"", 'slug': 'mbaye-niang', 'shortName': 'M. Niang', 'position': 'F', 'userCount': 3372, 'id': 139228}";M'Baye Niang;Argument;88
UDI X CAG 19-11-2017;9.0;118780030;red;card;True;{'name': 'Albano Bizzarri', 'slug': 'albano-bizzarri', 'shortName': 'A. Bizzarri', 'position': 'G', 'userCount': 36, 'id': 18973};Albano Bizzarri;Professional foul last man;90
UDI X CAG 19-11-2017;;118780029;yellow;card;True;{'name': 'Gabriele Angella', 'slug': 'gabriele-angella', 'shortName': 'G. Angella', 'position': 'D', 'userCount': 34, 'id': 43938};Gabriele Angella;Foul;13
INT X ATT 19-11-2017;;118780871;yellow;card;False;{'name': 'Jasmin Kurtić', 'slug': 'jasmin-kurtic', 'shortName': 'J. Kurtić', 'position': 'M', 'userCount': 822, 'id': 61445};Jasmin Kurtić;Foul;53
INT X ATT 19-11-2017;;118780870;yellow;card;False;{'name': 'José Luis Palomino', 'slug': 'jose-luis-palomino', 'shortName': 'J. L. Palomino', 'position': 'D', 'userCount': 772, 'id': 79680};José Luis Palomino;Foul;48
HEL X BGN 20-11-2017;;118781278;yellow;card;True;{'name': 'Mohamed Fares', 'slug': 'mohamed-fares', 'shortName': 'M. Fares', 'position': 'M', 'userCount': 2077, 'id': 556960};Mohamed Fares;Foul;59
HEL X BGN 20-11-2017;;118781277;yellow;card;True;{'name': 'Marcel Büchel', 'slug': 'marcel-buchel', 'shortName': 'M. Büchel', 'position': 'M', 'userCount': 32, 'id': 95687};Marcel Büchel;Foul;8
HEL X BGN 20-11-2017;;118781279;yellow;card;False;{'name': 'Giancarlo González', 'slug': 'giancarlo-gonzalez', 'shortName': 'G. González', 'position': 'D', 'userCount': 332, 'id': 117793};Giancarlo González;Foul;6
BGN X SAM 25-11-2017;;118784081;yellow;card;False;{'name': 'Gianmarco Ferrari', 'slug': 'gianmarco-ferrari', 'shortName': 'G. M. Ferrari', 'position': 'D', 'userCount': 489, 'id': 170887};Gianmarco Ferrari;Argument;70
BGN X SAM 25-11-2017;;118784080;yellow;card;False;{'name': 'Bartosz Bereszyński', 'slug': 'bartosz-bereszynski', 'shortName': 'B. Bereszyński', 'position': 'D', 'userCount': 2478, 'id': 109461};Bartosz Bereszyński;Foul;61
BGN X SAM 25-11-2017;2.0;118784079;yellowRed;card;True;{'name': 'Vasilīs\xa0Torosidīs', 'slug': 'vasilis-torosidis', 'shortName': 'V. Torosidīs', 'position': 'D', 'userCount': 346, 'id': 17416};Vasilīs Torosidīs;Foul;45
BGN X SAM 25-11-2017;;118784078;yellow;card;True;{'name': 'Vasilīs\xa0Torosidīs', 'slug': 'vasilis-torosidis', 'shortName': 'V. Torosidīs', 'position': 'D', 'userCount': 346, 'id': 17416};Vasilīs Torosidīs;Foul;43
CHV X SPA 25-11-2017;;118784840;yellow;card;False;{'name': 'Luca Mora', 'slug': 'luca-mora', 'shortName': 'L. Mora', 'position': 'M', 'userCount': 29, 'id': 131901};Luca Mora;Foul;81
SAS X HEL 25-11-2017;;118784829;yellow;card;False;{'name': 'Mohamed Fares', 'slug': 'mohamed-fares', 'shortName': 'M. Fares', 'position': 'M', 'userCount': 2077, 'id': 556960};Mohamed Fares;Foul;79
SAS X HEL 25-11-2017;;118784828;yellowRed;card;False;{'name': 'Thomas Heurtaux', 'slug': 'thomas-heurtaux', 'shortName': 'T. Heurtaux', 'position': 'D', 'userCount': 29, 'id': 74769};Thomas Heurtaux;Time wasting;66
SAS X HEL 25-11-2017;;118784827;yellow;card;False;{'name': 'Thomas Heurtaux', 'slug': 'thomas-heurtaux', 'shortName': 'T. Heurtaux', 'position': 'D', 'userCount': 29, 'id': 74769};Thomas Heurtaux;Foul;11
CAG X INT 25-11-2017;;118785261;yellow;card;True;{'name': 'Niccolò Giannetti', 'slug': 'niccolo-giannetti', 'shortName': 'N. Giannetti', 'position': 'F', 'userCount': 34, 'id': 806019};Niccolò Giannetti;Foul;89
CAG X INT 25-11-2017;;118785263;yellow;card;False;{'name': 'Roberto Gagliardini', 'slug': 'roberto-gagliardini', 'shortName': 'R. Gagliardini', 'position': 'M', 'userCount': 1067, 'id': 287057};Roberto Gagliardini;Foul;81
CAG X INT 25-11-2017;;118785260;yellow;card;True;{'name': 'Luca Ceppitelli', 'slug': 'luca-ceppitelli', 'shortName': 'L. Ceppitelli', 'position': 'D', 'userCount': 245, 'id': 131108};Luca Ceppitelli;Foul;66
CAG X INT 25-11-2017;;118785262;yellow;card;False;{'name': 'João Miranda', 'slug': 'joao-miranda', 'shortName': 'J. Miranda', 'position': 'D', 'userCount': 1522, 'id': 13017};João Miranda;Handball;13
