game;accuratePass;aerialDuels;challengeLost;disabled;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;possessionLost;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
ARS X LEI 2017-08-11;40 (78%);5 (3);;False;1;;;;15 (12);10577;3;2;90';Alex Oxlade-Chamberlain;False;;0;M;22;;8.6;;;A. Oxlade-Chamberlain;2;2;2;arsenal;ARS;42;Arsenal;4;9 (8);7 (1);20 (15);9 (6);40 (78%);3;97;1
ARS X LEI 2017-08-11;81 (81%);2 (0);1;False;1;2;;;4 (2);117777;1;5;90';Granit Xhaka;False;;0;M;21;;8.5;;;G. Xhaka;2;1;1;arsenal;ARS;42;Arsenal;1;1 (1);6 (4);6 (2);15 (12);81 (81%);1;117;0
ARS X LEI 2017-08-11;9 (81%);6 (2);;;0;;2;;3 (2);173827;0;0;90';Jamie Vardy;False;1;0;F;8;;8.1;;;J. Vardy;0;0;2;leicester-city;LEI;31;Leicester City;0;1 (0);1 (0);9 (4);0 (0);9 (81%);1;21;1
ARS X LEI 2017-08-11;19 (90%);4 (1);2;False;2;;1;;10 (5);50070;0;3;90';Alexandre Lacazette;False;2;0;F;8;;8.0;;;A. Lacazette;1;0;2;arsenal;ARS;42;Arsenal;1;1 (1);2 (1);14 (6);0 (0);19 (90%);2;39;2
ARS X LEI 2017-08-11;70 (86%);0 (0);1;False;0;;;;9 (5);16176;0;6;90';Mesut Özil;False;1;0;F;22;;7.8;;;M. Özil;1;2;0;arsenal;ARS;42;Arsenal;1;2 (2);3 (0);9 (5);4 (3);70 (86%);1;102;2
ARS X LEI 2017-08-11;59 (84%);0 (0);;False;1;1;;;7 (6);142148;1;1;90';Sead Kolašinac;False;;0;D;14;;7.5;;;S. Kolašinac;0;0;1;arsenal;ARS;42;Arsenal;3;1 (1);2 (0);7 (6);3 (2);59 (84%);4;85;1
ARS X LEI 2017-08-11;8 (72%);2 (2);;False;0;;1;;2 (2);23571;0;1;23';Aaron Ramsey;False;;0;M;4;;7.5;;;A. Ramsey;0;3;1;arsenal;ARS;42;Arsenal;0;0 (0);0 (0);4 (4);0 (0);8 (72%);0;20;2
ARS X LEI 2017-08-11;7 (87%);4 (3);;False;0;;1;;1 (1);39070;0;1;23';Olivier Giroud;False;;0;F;1;;7.4;;;O. Giroud;0;0;1;arsenal;ARS;42;Arsenal;0;0 (0);0 (0);5 (4);0 (0);7 (87%);0;10;1
ARS X LEI 2017-08-11;16 (76%);2 (1);1;False;1;;1;;10 (4);33902;1;2;75';Danny Welbeck;False;1;0;F;10;;7.4;;;D. Welbeck;2;0;1;arsenal;ARS;42;Arsenal;1;2 (2);0 (0);12 (5);0 (0);16 (76%);1;37;1
ARS X LEI 2017-08-11;65 (90%);1 (0);;False;0;1;;;6 (4);159675;0;2;67';Mohamed Elneny;False;;0;M;10;;7.2;;;M. Elneny;0;1;0;arsenal;ARS;42;Arsenal;1;0 (0);0 (0);7 (4);1 (1);65 (90%);4;87;0
ARS X LEI 2017-08-11;10 (47%);7 (6);1;;3;;1;;9 (2);19303;0;0;72';Shinji Okazaki;False;;0;F;17;;7.1;;;S. Okazaki;0;1;1;leicester-city;LEI;31;Leicester City;0;1 (0);1 (0);16 (8);1 (1);10 (47%);1;31;1
ARS X LEI 2017-08-11;54 (94%);6 (3);;False;0;;;;2 (2);17088;5;0;90';Nacho Monreal;False;;0;D;3;;7.0;;;N. Monreal;0;0;0;arsenal;ARS;42;Arsenal;7;0 (0);0 (0);8 (5);4 (2);54 (94%);2;73;0
ARS X LEI 2017-08-11;14 (77%);1 (0);2;;0;1;;;8 (3);47737;0;2;88';Marc Albrighton;False;;1;M;14;;6.9;;;M. Albrighton;0;0;0;leicester-city;LEI;31;Leicester City;2;1 (0);6 (2);9 (3);4 (3);14 (77%);1;40;2
ARS X LEI 2017-08-11;11 (68%);1 (1);;;3;;;;8 (4);54331;2;0;82';Matty James;False;;0;M;6;;6.8;;;M. James;0;0;0;leicester-city;LEI;31;Leicester City;2;0 (0);0 (0);9 (5);1 (1);11 (68%);4;26;0
ARS X LEI 2017-08-11;49 (83%);3 (2);;False;2;;;;5 (3);793228;1;0;67';Rob Holding;False;;0;D;11;;6.7;;;R. Holding;0;0;0;arsenal;ARS;42;Arsenal;10;0 (0);0 (0);8 (5);6 (3);49 (83%);1;77;2
ARS X LEI 2017-08-11;17 (47%);0 (0);;;0;;;0;0 (0);1076;0;0;90';Kasper Schmeichel;False;;0;G;;0;6.7;1 (1);6;K. Schmeichel;0;0;0;leicester-city;LEI;31;Leicester City;1;0 (0);0 (0);0 (0);36 (17);17 (47%);0;44;0
ARS X LEI 2017-08-11;18 (72%);3 (2);1;;1;1;;;6 (3);149380;2;1;90';Harry Maguire;False;;3;D;9;;6.6;;;H. Maguire;0;0;0;leicester-city;LEI;31;Leicester City;4;2 (1);1 (0);9 (5);3 (1);18 (72%);2;39;0
ARS X LEI 2017-08-11;1 (50%);0 (0);;False;0;;;;0 (0);10501;1;0;15';Theo Walcott;False;1;0;F;1;;6.6;;;T. Walcott;0;0;0;arsenal;ARS;42;Arsenal;0;0 (0);0 (0);0 (0);0 (0);1 (50%);0;3;0
ARS X LEI 2017-08-11;1 (33%);0 (0);;;0;;;;0 (0);355152;0;0;2';Demarai Gray;False;;0;M;2;;6.5;;;D. Gray;0;0;0;leicester-city;LEI;31;Leicester City;0;0 (0);0 (0);0 (0);0 (0);1 (33%);0;3;0
ARS X LEI 2017-08-11;1 (50%);0 (0);;;0;;;;0 (0);359642;0;0;8';Kelechi Iheanacho;False;;0;F;1;;6.4;;;K. Iheanacho;0;0;0;leicester-city;LEI;31;Leicester City;0;0 (0);0 (0);0 (0);0 (0);1 (50%);0;2;0
ARS X LEI 2017-08-11;53 (88%);7 (3);;False;1;;;;9 (4);188365;0;2;90';Héctor Bellerín;False;;0;M;15;;6.4;;;H. Bellerín;0;0;1;arsenal;ARS;42;Arsenal;1;3 (1);0 (0);16 (7);3 (2);53 (88%);3;85;0
ARS X LEI 2017-08-11;5 (71%);1 (0);1;;1;;;;4 (2);308526;0;0;18';Daniel Amartey;False;;0;D;2;;6.3;;;D. Amartey;0;0;0;leicester-city;LEI;31;Leicester City;1;0 (0);0 (0);5 (2);1 (0);5 (71%);2;10;0
ARS X LEI 2017-08-11;13 (61%);2 (1);2;;0;;;;8 (3);787885;2;0;90';Wilfred Ndidi;False;;1;M;12;;6.2;;;W. Ndidi;0;0;0;leicester-city;LEI;31;Leicester City;3;1 (0);0 (0);10 (4);3 (1);13 (61%);3;36;0
ARS X LEI 2017-08-11;23 (76%);4 (2);4;;0;1;;;19 (7);158213;2;1;90';Riyad Mahrez;False;2;0;M;21;;6.2;;;R. Mahrez;0;2;0;leicester-city;LEI;31;Leicester City;0;6 (2);4 (1);23 (9);4 (3);23 (76%);2;63;3
ARS X LEI 2017-08-11;12 (75%);3 (1);;;4;;;;5 (1);20375;1;0;90';Wes Morgan;False;;1;D;4;;6.1;;;W. Morgan;0;0;0;leicester-city;LEI;31;Leicester City;5;1 (1);0 (0);8 (2);2 (1);12 (75%);0;27;0
ARS X LEI 2017-08-11;17 (58%);5 (2);2;;0;;;;5 (1);1262;1;1;90';Christian Fuchs;False;;1;D;25;;6.0;;;C. Fuchs;0;0;0;leicester-city;LEI;31;Leicester City;3;1 (0);4 (1);10 (3);7 (2);17 (58%);1;61;0
ARS X LEI 2017-08-11;16 (80%);0 (0);;False;0;;;1;1 (1);1185;0;0;90';Petr Čech;False;;0;G;;0;6.0;2 (2);0;P. Čech;0;0;0;arsenal;ARS;42;Arsenal;0;0 (0);0 (0);1 (1);10 (6);16 (80%);1;27;0
ARS X LEI 2017-08-11;16 (57%);3 (1);3;;0;;;;6 (2);30502;1;0;90';Danny Simpson;False;;1;D;17;;5.6;;;D. Simpson;0;0;0;leicester-city;LEI;31;Leicester City;3;2 (1);1 (0);9 (3);8 (2);16 (57%);0;56;2
WAT X LIV 2017-08-12;19 (63%);4 (1);;;0;1;1;;8 (3);143697;0;2;81';Roberto Firmino;False;;0;F;18;;8.1;;;R. Firmino;0;1;1;liverpool;LIV;44;Liverpool;1;3 (3);1 (1);12 (4);0 (0);19 (63%);0;49;0
WAT X LIV 2017-08-12;60 (82%);3 (3);1;False;2;;1;;8 (4);96535;1;2;90';Abdoulaye Doucouré;False;;0;M;16;;7.8;;;A. Doucouré;0;0;1;watford;WAT;24;Watford;2;3 (3);0 (0);11 (7);5 (5);60 (82%);1;86;0
WAT X LIV 2017-08-12;14 (73%);2 (1);1;;1;;1;;8 (2);159665;0;0;86';Mohamed Salah;False;1;0;F;13;;7.7;;;M. Salah;0;4;1;liverpool;LIV;44;Liverpool;0;1 (1);1 (0);10 (3);1 (1);14 (73%);0;34;1
WAT X LIV 2017-08-12;12 (80%);13 (3);1;False;3;;1;;12 (4);13148;0;1;63';Stefano Okaka;False;1;0;F;12;;7.3;;;S. Okaka;0;0;1;watford;WAT;24;Watford;0;3 (3);0 (0);25 (7);0 (0);12 (80%);0;30;1
WAT X LIV 2017-08-12;28 (70%);1 (1);1;;1;;;;8 (5);795064;3;2;89';Trent Alexander-Arnold;False;;0;D;18;;7.1;;;T. Alexander-Arnold;0;0;0;liverpool;LIV;44;Liverpool;4;1 (0);5 (2);9 (6);12 (7);28 (70%);5;76;0
WAT X LIV 2017-08-12;20 (69%);4 (1);;;1;;1;;11 (4);217704;0;2;90';Sadio Mané;False;;0;F;20;;7.1;;;S. Mané;0;1;1;liverpool;LIV;44;Liverpool;0;3 (0);2 (0);15 (5);1 (0);20 (69%);1;49;3
WAT X LIV 2017-08-12;35 (79%);3 (1);2;;1;;;;12 (9);229740;1;1;90';Alberto Moreno;False;;0;D;16;;7.0;;;A. Moreno;0;0;1;liverpool;LIV;44;Liverpool;4;2 (2);3 (0);15 (10);3 (0);35 (79%);5;79;2
WAT X LIV 2017-08-12;29 (72%);5 (3);;False;0;;1;;1 (1);33302;0;0;90';Miguel Britos;False;;0;D;11;;7.0;;;M. Britos;0;0;2;watford;WAT;24;Watford;5;0 (0);0 (0);6 (4);12 (3);29 (72%);1;51;0
WAT X LIV 2017-08-12;17 (68%);2 (1);2;False;0;1;;;14 (8);16779;3;1;90';José Holebas;False;;0;D;20;;7.0;;;J. Holebas;0;1;0;watford;WAT;24;Watford;8;4 (2);5 (1);16 (9);3 (1);17 (68%);5;69;1
WAT X LIV 2017-08-12;31 (60%);9 (6);;False;1;;;;5 (3);1018;1;0;90';Younès Kaboul;False;;1;D;21;;6.9;;;Y. Kaboul;0;0;0;watford;WAT;24;Watford;10;1 (0);0 (0);14 (9);18 (8);31 (60%);3;70;0
WAT X LIV 2017-08-12;3 (100%);1 (0);;False;0;;;;3 (3);122701;0;0;49';Roberto Pereyra;False;;0;F;1;;6.8;;;R. Pereyra;1;0;0;watford;WAT;24;Watford;0;1 (1);0 (0);4 (3);2 (2);3 (100%);0;10;2
WAT X LIV 2017-08-12;56 (83%);10 (8);2;;0;;;;5 (3);39480;2;1;90';Dejan Lovren;False;;1;D;11;;6.8;;;D. Lovren;0;0;1;liverpool;LIV;44;Liverpool;4;0 (0);0 (0);15 (11);8 (4);56 (83%);1;79;2
WAT X LIV 2017-08-12;6 (75%);0 (0);;False;1;;;;2 (1);32213;1;0;18';Daryl Janmaat;False;;0;D;3;;6.8;;;D. Janmaat;0;0;0;watford;WAT;24;Watford;0;0 (0);1 (0);2 (1);0 (0);6 (75%);1;15;0
WAT X LIV 2017-08-12;4 (66%);3 (1);1;False;0;;;;6 (3);840217;1;0;41';Richarlison;False;1;0;F;7;;6.7;;;Richarlison;0;2;0;watford;WAT;24;Watford;0;0 (0);1 (0);9 (4);0 (0);4 (66%);1;17;2
WAT X LIV 2017-08-12;32 (80%);9 (3);1;;3;1;;;10 (5);138156;1;1;90';Emre Can;False;;0;M;10;;6.7;;;E. Can;0;0;0;liverpool;LIV;44;Liverpool;2;1 (0);0 (0);19 (8);4 (3);32 (80%);3;55;2
WAT X LIV 2017-08-12;19 (73%);2 (2);;False;0;;;;2 (2);98450;1;0;90';Nathaniel Chalobah;False;;0;M;7;;6.7;;;N. Chalobah;0;1;0;watford;WAT;24;Watford;0;0 (0);0 (0);4 (4);2 (0);19 (73%);2;31;0
WAT X LIV 2017-08-12;1 (50%);1 (0);;;1;;;;1 (0);318927;0;1;1';Joe Gomez;False;;0;D;1;;6.6;;;J. Gomez;0;0;0;liverpool;LIV;44;Liverpool;0;0 (0);1 (1);2 (0);0 (0);1 (50%);0;3;0
WAT X LIV 2017-08-12;5 (100%);1 (1);;False;0;;;;2 (1);73951;0;0;27';Andre Gray;False;;0;F;2;;6.6;;;A. Gray;0;0;0;watford;WAT;24;Watford;0;0 (0);0 (0);3 (2);0 (0);5 (100%);1;9;0
WAT X LIV 2017-08-12;47 (82%);4 (3);;;0;;;;2 (2);51501;2;0;90';Joël Matip;False;;0;D;12;;6.6;;;J. Matip;0;1;0;liverpool;LIV;44;Liverpool;5;0 (0);0 (0);6 (5);7 (2);47 (82%);1;72;1
