game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Clearances_away_1ST;Clearances_away_2ND;Clearances_away_ALL;Clearances_home_1ST;Clearances_home_2ND;Clearances_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Crosses_away_1ST;Crosses_away_2ND;Crosses_away_ALL;Crosses_home_1ST;Crosses_home_2ND;Crosses_home_ALL;Dribbles_away_1ST;Dribbles_away_2ND;Dribbles_away_ALL;Dribbles_home_1ST;Dribbles_home_2ND;Dribbles_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Interceptions_away_1ST;Interceptions_away_2ND;Interceptions_away_ALL;Interceptions_home_1ST;Interceptions_home_2ND;Interceptions_home_ALL;Long balls_away_1ST;Long balls_away_2ND;Long balls_away_ALL;Long balls_home_1ST;Long balls_home_2ND;Long balls_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Possession lost_away_ALL;Possession lost_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Tackles_away_1ST;Tackles_away_2ND;Tackles_away_ALL;Tackles_home_1ST;Tackles_home_2ND;Tackles_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
CHE X WAT 2017-10-21;214 (86%);110 (70%);324 (80%);215 (85%);162 (77%);377 (82%);9;7;16;9;15;24;51%;44%;48%;49%;56%;52%;;;;;;;;;;;;;1;4;5;1;0;1;;;;;;;1;5;6;4;2;6;;;;;;;;;;;;;;;;;;;26;25;51;30;42;72;16;13;4;0;4;2;1;3;;;;;;;;;;;;;;;;;;;2;1;3;3;3;6;248;158;406;252;210;462;154;136;;;;;;;2;7;9;2;4;6;2;4;6;2;3;5;3;2;5;5;3;8;4;3;7;6;2;8;;;;;;;6;10;16;8;6;14;2;1;3;1;1;2;2;2017-10-21;3;19;56;91;92;60;41;20;3;38;22;9;13;11;13;2;26;7;-8;-5;-6;-6;-6;20;9;15;-46;-86;-53;-32;-20;-4;-4;-26;-4;57;33;16;51;32;-75.0;5;32;44;-45;-17;-42;-62;-35;-53;-68;-41;-29;-15;-9;9;-15;7;9;11;8;5;-14;-30;-16;-38;-21;-5;-5;2;82;52;-34;-24;-2;-5;7;11;-2;10;39;28;50;34;25;-31;-6;80;43.0;30;56.0;75.0;4;09:30:00;1;WAT;CHE
HUD X MUN 2017-10-21;341 (90%);302 (84%);643 (87%);68 (58%);48 (52%);116 (55%);6;9;15;8;7;15;77%;80%;78%;23%;20%;22%;;;;;;;;;;;;;2;1;3;1;1;2;;;;;;;5;2;7;2;2;4;0;0;0;2;0;2;;;;;;;;;;;;;23;28;51;32;32;64;12;10;1;0;1;1;1;2;;;;;;;;;;;;;;;;;;;0;3;3;0;2;2;381;360;741;117;93;210;173;138;;;;;;;3;3;6;4;0;4;2;1;3;0;0;0;1;2;3;3;0;3;2;1;3;0;1;1;;;;;;;5;4;9;4;1;5;1;1;2;2;2;4;1;2017-10-21;10;-17;-11;-16;-7;8;2;19;5;-8;-35;2;-60;-47;-32;-23;-13;-6;-9;-10;-12;68;-4;34;12;-13;-8;69;29;11;1;-7;-13;-4;-9;-12;-13;-14;-15;-5;0.0;-29;-20;-16;-13;-6;-11;12;1;-3;-48;-36;-25;-18;-14;-8;-52;-12;-5;-4;-8;-10;-12;-19;-18;19;-7;-36;-7;-15;-15;-17;-17;-22;-25;-22;-60;-100;-21;-84;-53;-35;-21;-10;-29;-21;-16;-13;-11.0;-13;-4.0;30.0;2;12:00:00;1;MUN;HUD
MCI X BUR 2017-10-21;66 (62%);84 (69%);150 (66%);347 (88%);376 (92%);723 (90%);4;2;6;2;11;13;22%;24%;23%;78%;76%;77%;;;;;;;;;;;;;2;1;3;1;0;1;;;;;;;1;4;5;2;2;4;;;;;;;;;;;;;;;;;;;15;20;35;16;28;44;6;10;5;2;7;0;0;0;;;;;;;;;;;;;;;;;;;2;0;2;0;1;1;106;121;227;395;408;803;111;123;;;;;;;1;0;1;7;5;12;1;2;3;2;2;4;0;0;0;6;4;10;2;3;5;2;1;3;;;;;;;3;3;6;9;6;15;1;2;3;2;0;2;0;2017-10-21;9;16;15;14;14;14;35;47;35;27;22;14;17;14;14;14;54;37;26;20;17;51;15;100;70;44;29;13;1;-1;5;7;38;14;32;24;18;-26;60;31;70.0;-1;-1;-1;-6;14;-1;8;7;-18;-34;-23;18;18;18;19;13;17;15;14;14;14;19;17;16;40;29;22;23;19;17;14;100;100;100;94;61;35;19;23;14;14;14;14;9;6;4;8;16.0;17;-34.0;-15.0;3;12:00:00;1;BUR;MCI
NEW X CRY 2017-10-21;144 (73%);117 (70%);261 (72%);155 (75%);206 (84%);361 (80%);15;12;27;11;12;23;50%;41%;45%;50%;59%;55%;;;;;;;;;;;;;3;0;3;2;1;3;;;;;;;3;2;5;1;2;3;;;;;;;;;;;;;;;;;;;29;39;68;29;29;58;14;12;0;2;2;0;0;0;;;;;;;;;;;;;;;;;;;0;1;1;0;0;0;198;167;365;207;246;453;153;146;;;;;;;5;2;7;2;1;3;4;3;7;1;0;1;0;0;0;0;3;3;2;1;3;1;3;4;;;;;;;7;3;10;3;4;7;2;0;2;2;2;4;0;2017-10-21;7;-29;-12;-2;-1;-2;-3;8;-3;2;-3;8;-2;-4;-10;-9;-38;-25;-47;-5;8;12;14;10;10;3;-7;24;15;7;-22;-12;-42;7;-63;-41;-26;-19;10;12;;3;-20;-13;-11;2;-16;-7;-1;2;2;3;3;3;3;-19;-2;-8;-43;-24;-12;-24;-8;-20;-15;-7;11;1;8;11;11;51;33;69;46;33;17;-12;-7;-16;-4;7;3;15;2;-4;32;49;20.0;-8;13.0;0.0;1;12:00:00;1;CRY;NEW
STO X BOU 2017-10-21;209 (81%);73 (54%);282 (72%);143 (72%);144 (69%);287 (71%);7;13;20;10;13;23;56%;38%;48%;44%;62%;52%;;;;;;;;;;;;;1;0;1;1;1;2;;;;;;;2;1;3;3;5;8;;;;;;;;;;;;;;;;;;;27;32;59;24;29;53;10;17;2;0;2;1;0;1;;;;;;;;;;;;;;;;;;;1;0;1;1;3;4;257;134;391;198;209;407;158;184;;;;;;;3;2;5;4;5;9;1;2;3;2;4;6;3;0;3;2;1;3;2;0;2;1;1;2;;;;;;;5;2;7;5;6;11;0;1;1;0;0;0;2;2017-10-21;-10;-3;-3;-9;-3;-3;4;-6;-83;-48;-100;-8;-60;-14;7;-7;4;3;-2;-2;-2;-2;-6;-2;-27;-21;-13;-8;65;42;26;16;15;-11;5;-20;-9;-5;-28;6;55.0;-3;2;8;10;-8;6;4;27;21;12;7;4;26;45;29;-5;20;14;29;72;80;45;29;18;9;5;-5;5;4;4;4;18;12;9;27;23;25;-4;9;-6;-6;6;6;19;15;13;11;-27.0;-3;4.0;20.0;1;12:00:00;-1;BOU;STO
SWA X LEI 2017-10-21;188 (77%);88 (65%);276 (72%);196 (81%);183 (83%);379 (82%);7;13;20;8;10;18;50%;38%;45%;50%;62%;55%;;;;;;;;;;;;;2;0;2;3;4;7;;;;;;;3;3;6;4;3;7;0;2;2;0;0;0;;;;;;;;;;;;;29;33;62;25;24;49;9;6;1;2;3;4;1;5;;;;;;;;;;;;;;;;;;;0;3;3;0;0;0;245;136;381;242;221;463;152;152;;;;;;;4;2;6;3;4;7;0;3;3;2;6;8;4;2;6;1;3;4;3;3;6;3;9;12;;;;;;;6;5;11;6;13;19;1;0;1;0;0;0;2;2017-10-21;2;-15;-72;-55;-40;-28;-3;9;3;-3;-63;-4;-73;-43;-25;71;39;-33;-1;3;-3;-1;-36;2;2;22;11;34;22;15;15;30;22;-22;14;5;3;4;6;5;0.0;2;-5;5;-5;-14;-81;-50;-31;-21;-9;36;87;98;64;52;-9;61;35;26;11;2;-29;-52;-26;36;19;-5;15;14;15;-8;3;32;21;14;-38;-41;-6;-31;-28;75;36;27;20;32;50;26;11.0;-8;-9.0;0.0;1;12:00:00;-1;LEI;SWA
SOU X WBA 2017-10-21;96 (68%);110 (66%);206 (67%);229 (84%);263 (83%);492 (84%);10;11;21;9;11;20;34%;35%;35%;66%;65%;65%;;;;;;;;;;;;;1;0;1;1;2;3;;;;;;;1;2;3;7;1;8;0;0;0;1;0;1;;;;;;;;;;;;;23;18;41;24;41;65;8;10;2;3;5;0;2;2;0;0;0;1;1;2;;;;;;;;;;;;;1;0;1;1;1;2;141;166;307;272;317;589;153;149;;;;;;;0;2;2;6;5;11;2;2;4;6;5;11;0;2;2;2;4;6;3;2;5;3;6;9;;;;;;;3;4;7;9;11;20;0;1;1;0;0;0;0;2017-10-21;3;5;-26;-15;-5;5;35;22;13;32;24;3;-49;-25;37;57;61;76;47;26;18;14;4;41;24;18;12;9;4;9;7;11;8;-28;44;-31;27;14;99;57;-5.0;-6;7;32;25;56;51;37;47;67;40;14;-31;-60;-44;-25;33;-34;-22;-9;-4;-1;27;22;24;16;50;28;34;21;53;38;-54;-9;-4;-1;5;10;17;9;35;30;22;17;19;90;39;29;23.0;11;7.0;30.0;1;14:30:00;1;WBA;SOU
EVE X ARS 2017-10-22;299 (84%);217 (83%);516 (84%);87 (65%);112 (73%);199 (69%);6;7;13;8;10;18;72%;63%;68%;28%;37%;32%;3;1;4;0;0;0;3;4;7;0;1;1;5;3;8;1;1;2;;;;;;;6;1;7;0;0;0;;;;;;;;;;;;;;;;;;;29;21;50;19;24;43;14;14;0;1;1;8;1;9;0;1;1;0;0;0;;;;;;;;;;;;;1;0;1;1;1;2;354;262;616;134;153;287;142;130;0;0;0;0;1;1;10;11;21;3;3;6;3;5;8;2;2;4;9;5;14;1;2;3;7;2;9;1;2;3;;;;;;;17;13;30;4;5;9;0;1;1;2;1;3;5;2017-10-22;-10;-24;-43;-28;35;5;2;-7;-41;-100;-93;-10;-58;-37;-17;4;-27;-15;-10;34;-25;-13;-10;-12;-12;-54;-40;-33;-26;-27;-19;-13;-10;-35;-83;-76;-48;-70;-100;-58;-30.0;3;-3;33;15;-23;11;-8;-3;-7;-81;-50;-56;-40;-25;-1;-46;-2;-2;4;-22;-13;9;-5;-1;6;-22;-60;-17;-17;-27;-12;-1;-79;-51;-28;-21;-17;-63;36;-30;-10;-15;-43;-62;-44;-30;-21;-59.0;-37;-36.0;5.0;2;10:30:00;-1;ARS;EVE
TOT X LIV 2017-10-22;248 (83%);297 (90%);545 (87%);133 (73%);141 (80%);274 (76%);4;4;8;5;5;10;63%;65%;64%;37%;35%;36%;0;0;0;1;0;1;1;0;1;3;1;4;2;2;4;2;1;3;;;;;;;3;2;5;0;3;3;0;0;0;2;0;2;;;;;;;;;;;;;19;27;46;24;22;46;8;2;1;0;1;1;5;6;0;1;1;1;0;1;;;;;;;;;;;;;1;1;2;1;0;1;299;330;629;183;176;359;157;134;;;;;;;2;2;4;6;5;11;1;0;1;2;3;5;2;5;7;4;2;6;3;5;8;2;1;3;;;;;;;5;7;12;8;6;14;1;0;1;0;0;0;1;2017-10-22;-3;-9;-10;-8;68;34;17;-14;22;5;2;-4;1;-26;-21;-17;-15;-89;-44;-26;-16;-55;-5;-26;46;16;9;8;5;1;6;26;9;33;-45;-27;-21;-34;-23;-8;75.0;-2;-2;-2;-3;14;-3;54;29;11;-22;-10;-14;126;64;35;45;6;-5;16;29;38;34;11;6;-39;-61;19;-35;-26;-22;-57;-77;-43;-23;-11;-8;-42;4;-30;-24;-20;-17;-7;-9;-5;-23;-13;-3.0;-13;-1.0;5.0;4;13:00:00;1;LIV;TOT
MUN X TOT 2017-10-28;202 (78%);192 (77%);394 (77%);161 (71%);122 (69%);283 (70%);7;6;13;6;10;16;54%;57%;56%;46%;43%;44%;;;;;;;;;;;;;3;1;4;1;2;3;;;;;;;3;0;3;2;4;6;0;0;0;0;1;1;;;;;;;;;;;;;20;22;42;23;23;46;14;12;1;1;2;4;0;4;0;0;0;0;1;1;;;;;;;;;;;;;0;1;1;2;0;2;260;249;509;227;178;405;171;182;;;;;;;5;1;6;0;8;8;3;2;5;0;5;5;4;0;4;1;2;3;5;2;7;2;1;3;;;;;;;10;3;13;2;9;11;0;0;0;0;1;1;0;2017-10-28;5;1;1;2;23;16;5;-7;-8;7;1;6;-3;-72;-47;-39;-20;-14;-8;-10;-36;-28;8;-19;-13;-9;6;-8;-10;-5;-7;26;13;5;4;-45;-54;-32;-22;-51;0.0;-42;-20;-11;-6;3;-2;7;4;3;2;-5;56;46;25;12;2;25;8;21;10;7;39;49;24;9;-6;1;-7;7;16;5;-5;-10;21;-34;-23;27;1;-24;22;76;42;19;9;-4;-8;-8;-8.0;1;22.0;5.0;1;09:30:00;1;TOT;MUN
ARS X SWA 2017-10-28;89 (67%);129 (77%);218 (73%);385 (88%);316 (86%);701 (87%);6;2;8;13;4;17;23%;32%;28%;77%;68%;72%;;;;;;;;;;;;;0;0;0;3;1;4;;;;;;;1;1;2;5;0;5;0;0;0;0;1;1;;;;;;;;;;;;;20;15;35;27;18;45;9;9;2;1;3;1;0;1;0;0;0;0;1;1;;;;;;;;;;;;;0;1;1;0;2;2;133;167;300;439;366;805;122;145;;;;;;;2;1;3;4;8;12;1;1;2;2;6;8;2;0;2;2;3;5;1;0;1;3;2;5;;;;;;;3;1;4;7;10;17;;;;;;;1;2017-10-28;-2;13;10;9;48;34;25;31;24;42;36;7;27;21;19;-69;-29;27;-5;27;32;15;10;13;14;17;15;15;14;14;13;13;39;12;29;-24;62;40;68;-4;-60.0;8;10;13;14;14;21;54;74;51;33;21;36;30;24;100;16;67;84;56;40;64;39;2;32;20;13;16;11;12;39;27;24;18;14;10;-26;-3;23;5;4;6;9;4;1;29;16;8;34.0;17;5.0;20.0;2;12:00:00;1;SWA;ARS
CRY X WES 2017-10-28;148 (76%);90 (67%);238 (72%);156 (76%);160 (78%);316 (77%);3;16;19;13;6;19;49%;40%;45%;51%;60%;55%;;;;;;;;;;;;;0;1;1;0;3;3;;;;;;;1;1;2;4;7;11;;;;;;;;;;;;;;;;;;;28;47;75;36;33;69;15;18;3;4;7;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;0;1;1;1;2;3;196;135;331;206;204;410;151;164;;;;;;;2;2;4;6;10;16;1;2;3;3;5;8;2;0;2;3;6;9;1;1;2;0;4;4;;;;;;;3;3;6;6;14;20;1;1;2;0;1;1;2;2017-10-28;-10;8;6;1;6;2;-2;-1;-2;4;3;-6;5;-8;-10;-13;-16;-7;-6;6;7;15;-9;7;2;-72;-44;-29;-61;57;95;54;35;-5;22;42;22;22;-71;5;25.0;45;30;20;15;5;7;80;71;41;48;-52;-23;56;21;8;-7;26;18;1;-6;8;13;11;11;5;6;43;6;17;4;6;7;7;7;8;38;66;22;44;75;49;56;38;21;7;8;6;6.0;13;7.0;190.0;2;12:00:00;0;WES;CRY
LIV X HUD 2017-10-28;67 (53%);107 (69%);174 (62%);368 (86%);292 (87%);660 (86%);6;4;10;8;6;14;23%;31%;27%;77%;69%;73%;;;;;;;;;;;;;0;0;0;1;1;2;;;;;;;2;0;2;2;7;9;;;;;;;;;;;;;;;;;;;20;17;37;23;21;44;8;10;3;2;5;0;0;0;0;0;0;1;1;2;;;;;;;;;;;;;0;1;1;0;0;0;126;154;280;429;337;766;147;156;;;;;;;0;0;0;5;7;12;0;1;1;2;4;6;0;0;0;3;5;8;0;1;1;1;3;4;;;;;;;0;1;1;6;10;16;1;0;1;0;0;0;0;2017-10-28;6;11;6;-20;-1;5;5;13;44;32;26;9;22;19;16;16;16;16;16;36;60;41;12;31;24;74;48;34;27;22;15;15;15;5;20;14;25;52;38;58;0.0;8;7;6;6;-23;81;50;37;23;15;4;2;30;40;100;-5;77;49;29;19;27;39;71;100;63;39;6;14;3;-2;-1;-31;-19;74;35;19;12;5;32;18;15;14;18;13;12;12;11;50.0;8;34.0;80.0;3;12:00:00;1;HUD;LIV
WAT X STO 2017-10-28;96 (66%);54 (52%);150 (60%);234 (82%);222 (80%);456 (81%);13;19;32;10;12;22;34%;26%;30%;66%;74%;70%;;;;;;;;;;;;;1;0;1;0;8;8;;;;;;;1;0;1;3;5;8;0;1;1;0;0;0;;;;;;;;;;;;;30;31;61;28;24;52;9;10;0;0;0;0;1;1;0;1;1;0;0;0;;;;;;;;;;;;;1;1;2;3;1;4;145;104;249;284;277;561;141;174;;;;;;;1;1;2;1;10;11;0;3;3;1;6;7;1;1;2;0;0;0;1;3;4;0;4;4;;;;;;;2;4;6;1;14;15;0;4;4;0;4;4;1;2017-10-28;-10;8;1;6;9;11;9;4;-94;-43;-25;7;-15;-8;2;1;1;1;31;20;13;9;7;6;1;7;31;25;21;12;7;31;12;11;11;6;4;1;2;1;-5.0;-12;-8;8;54;13;13;14;15;14;10;13;13;33;15;4;13;2;-5;7;17;16;21;18;41;63;42;4;30;22;16;17;15;14;9;5;13;13;-3;48;-30;11;3;-2;4;9;22;15;11.0;1;39.0;40.0;0;12:00:00;-1;STO;WAT
WBA X MCI 2017-10-28;405 (90%);438 (92%);843 (91%);63 (53%);88 (65%);151 (59%);6;11;17;7;5;12;80%;78%;79%;20%;22%;21%;;;;;;;;;;;;;1;1;2;0;2;2;;;;;;;1;1;2;1;0;1;;;;;;;;;;;;;;;;;;;24;34;58;27;24;51;7;10;1;1;2;1;1;2;;;;;;;;;;;;;;;;;;;1;0;1;1;4;5;451;478;929;119;135;254;142;144;;;;;;;3;4;7;3;2;5;5;3;8;1;0;1;3;2;5;2;2;4;6;2;8;0;2;2;;;;;;;9;6;15;3;4;7;0;3;3;1;1;2;3;2017-10-28;-10;-30;-100;-68;-9;-8;-9;-81;-31;-23;-16;-12;-11;-1;-8;-7;-11;-14;-16;-41;-29;-22;-18;-17;-15;-11;-11;-11;35;5;-7;-8;-11;-42;-35;-57;-5;-9;-11;-41;;-28;-15;49;17;-31;-32;-22;-20;-38;-39;-27;-42;-24;-18;-12;-24;-9;-1;-8;-8;-8;-83;-53;-34;-18;-11;-20;-2;10;-13;-12;-15;-22;-21;-19;-14;-11;-18;-9;-8;-7;-7;-7;-32;-25;-25;-20;-17.0;-41;-9.0;80.0;2;12:00:00;-1;MCI;WBA
BOU X CHE 2017-10-28;321 (91%);248 (83%);569 (87%);169 (82%);207 (82%);376 (82%);10;5;15;6;6;12;63%;54%;59%;37%;46%;41%;;;;;;;;;;;;;6;0;6;1;2;3;;;;;;;5;0;5;3;2;5;;;;;;;;;;;;;;;;;;;19;22;41;18;12;30;5;5;0;1;1;3;1;4;;;;;;;;;;;;;;;;;;;3;2;5;0;0;0;354;299;653;207;252;459;130;134;;;;;;;9;4;13;1;4;5;3;4;7;0;3;3;3;2;5;0;1;1;3;2;5;0;2;2;;;;;;;12;6;18;1;6;7;0;0;0;0;2;2;1;2017-10-28;-10;-32;-25;-21;-12;-5;-2;-1;-5;16;7;-6;-15;-49;-22;-7;-1;-22;-86;-59;-68;-37;-4;-16;20;-30;-14;-9;-71;-19;-9;-5;20;3;11;6;-5;-14;-14;-47;;31;-5;7;31;6;20;4;-86;-56;-41;-55;-43;-25;19;-10;-5;-6;-7;-8;-10;-35;-31;19;-1;-6;5;-4;-36;-25;31;10;6;12;-21;-10;-6;-4;-15;-3;5;27;-31;-7;-2;2;-5;2;-23.0;-34;-6.0;45.0;0;14:30:00;-1;CHE;BOU
BHA X SOU 2017-10-29;208 (83%);152 (77%);360 (80%);237 (84%);158 (76%);395 (81%);3;6;9;6;10;16;48%;50%;49%;52%;50%;51%;;;;;;;;;;;;;1;2;3;0;1;1;;;;;;;2;5;7;0;2;2;;;;;;;;;;;;;;;;;;;18;23;41;22;30;52;10;9;1;0;1;0;0;0;1;0;1;0;0;0;;;;;;;;;;;;;1;0;1;0;0;0;252;198;450;281;209;490;143;143;;;;;;;2;1;3;3;3;6;1;1;2;2;2;4;1;0;1;1;1;2;1;2;3;0;1;1;;;;;;;3;3;6;3;4;7;0;1;1;0;3;3;1;2017-10-29;-5;-13;-1;11;14;14;14;14;14;6;12;-7;51;34;20;12;7;1;1;1;5;2;-14;-2;-5;-8;-10;-32;-25;-46;-34;-12;-3;-7;2;9;8;41;54;36;0.0;-2;-2;-23;-35;-8;-47;-22;86;46;11;11;8;33;24;21;-8;4;-8;-13;-4;5;-6;7;10;9;8;-83;33;27;34;24;8;2;-1;25;17;9;-67;-6;-1;-2;-7;-5;6;7;15;5;-20.0;-34;-9.0;-5.0;1;11:30:00;0;SOU;BHA
LEI X EVE 2017-10-29;211 (82%);163 (77%);374 (80%);135 (74%);79 (56%);214 (66%);11;11;22;10;10;20;59%;62%;60%;41%;38%;40%;;;;;;;;;;;;;0;6;6;1;0;1;;;;;;;2;8;10;2;1;3;0;0;0;2;0;2;;;;;;;;;;;;;31;22;53;29;23;52;10;6;1;0;1;1;1;2;;;;;;;;;;;;;;;;;;;0;1;1;0;4;4;257;213;470;183;141;324;161;159;;;;;;;1;6;7;5;2;7;3;4;7;3;2;5;1;1;2;3;0;3;3;5;8;2;0;2;;;;;;;4;11;15;7;2;9;1;1;2;0;0;0;0;2017-10-29;1;54;70;69;-43;-4;-6;-10;-11;-7;72;1;37;23;10;49;24;15;12;11;7;6;2;40;21;10;3;-3;-5;41;18;-24;-35;28;-64;-45;-30;-24;-11;-54;-25.0;-20;-12;-23;-14;14;-5;-4;-3;-1;-1;-1;5;6;21;-23;9;-6;-9;-46;-32;-31;-41;-62;-37;-25;-52;6;-32;-45;-32;-29;-20;-42;-17;-9;-36;-18;29;-40;-26;-12;18;25;-17;-2;-3;33;14.0;44;-42.0;5.0;2;14:00:00;1;EVE;LEI
BUR X NEW 2017-10-30;223 (80%);186 (77%);409 (79%);186 (79%);157 (72%);343 (76%);17;12;29;13;11;24;54%;52%;53%;46%;48%;47%;;;;;;;;;;;;;1;3;4;2;2;4;;;;;;;1;2;3;4;1;5;;;;;;;;;;;;;;;;;;;32;20;52;29;25;54;10;9;1;3;4;1;4;5;;;;;;;;;;;;;;;;;;;1;0;1;1;3;4;279;242;521;234;217;451;162;164;;;;;;;2;2;4;6;3;9;1;2;3;3;0;3;1;4;5;1;4;5;1;7;8;0;3;3;;;;;;;3;9;12;6;6;12;0;0;0;1;2;3;0;2017-10-30;10;-5;-27;-52;-35;-24;-12;-5;-1;-41;-22;41;-11;-5;-1;4;4;-2;3;25;15;10;35;7;5;77;43;23;11;-7;-7;-5;-4;51;4;-2;-10;-10;-11;16;0.0;2;3;8;-6;56;-6;-24;-59;40;7;4;9;8;2;-1;7;-1;10;8;7;7;6;6;6;6;11;8;23;16;12;19;18;81;80;44;17;12;19;4;-6;-9;-35;-32;-25;-21;-52;-29;-17.0;4;40.0;-60.0;1;18:00:00;1;NEW;BUR
STO X LEI 2017-11-04;210 (86%);127 (71%);337 (79%);131 (81%);153 (70%);284 (75%);16;10;26;9;18;27;61%;45%;53%;39%;55%;47%;;;;;;;;;;;;;4;1;5;0;1;1;;;;;;;7;3;10;1;3;4;0;0;0;1;0;1;;;;;;;;;;;;;28;30;58;22;34;56;8;12;2;3;5;1;1;2;;;;;;;;;;;;;;;;;;;1;4;5;0;0;0;244;180;424;161;218;379;144;148;;;;;;;6;4;10;3;6;9;1;4;5;2;1;3;2;2;4;3;4;7;1;3;4;2;0;2;;;;;;;7;7;14;5;6;11;;;;;;;2;2017-11-04;-4;4;4;11;30;16;38;19;8;-8;-5;-5;-7;-1;1;1;-5;-6;-8;-8;-9;-12;-6;38;-28;-13;-95;-90;-61;-39;-58;-64;-34;-6;76;-40;1;-18;63;24;-10.0;2;3;4;-9;-9;-89;-56;-37;-26;-49;-19;-7;-1;-1;5;-33;76;52;-69;-15;-4;-3;6;17;1;-3;-20;7;-4;-48;42;100;61;28;16;-24;-25;-7;-18;-8;-2;32;21;14;10;9;2;-22.0;5;-3.0;-5.0;2;10:30:00;0;LEI;STO
