game;length;time;addedTime;incidentType
ARS X LEI 2017-08-11;5;90;0;injuryTime
ARS X LEI 2017-08-11;2;45;0;injuryTime
WAT X LIV 2017-08-12;4;45;0;injuryTime
CHE X BUR 2017-08-12;4;90;0;injuryTime
CHE X BUR 2017-08-12;3;45;0;injuryTime
CRY X HUD 2017-08-12;3;90;0;injuryTime
EVE X STO 2017-08-12;1;45;0;injuryTime
BOU X WAT 2017-08-19;6;90;0;injuryTime
NEW X WES 2017-08-26;6;45;0;injuryTime
MCI X LIV 2017-09-09;2;90;0;injuryTime
MCI X LIV 2017-09-09;8;45;0;injuryTime
EVE X WAT 2017-11-05;12;90;0;injuryTime
WAT X WES 2017-11-19;8;90;0;injuryTime
STO X SWA 2017-12-02;7;90;0;injuryTime
WAT X HUD 2017-12-16;5;45;0;injuryTime
SWA X WES 2018-03-03;10;45;0;injuryTime
CRY X WBA 2018-05-13;1;90;0;injuryTime
