game;addedTime;assist1;awayScore;homeScore;id;incidentClass;incidentType;isHome;player;time
HEI X AUE 09-08-2017;;{'name': 'Marc Schnatterer', 'slug': 'marc-schnatterer', 'shortName': 'M. Schnatterer', 'position': 'M', 'userCount': 58, 'id': 26573};0;1;121585209;regular;goal;True;{'name': 'Maximilian Thiel', 'slug': 'maximilian-thiel', 'shortName': 'M. Thiel', 'position': 'M', 'userCount': 6, 'id': 121943};22
UNB X HKI 04-08-2017;;{'name': 'Damir Kreilach', 'slug': 'damir-kreilach', 'shortName': 'D. Kreilach', 'position': 'M', 'userCount': 100, 'id': 50505};3;4;121570824;regular;goal;True;{'name': 'Steven Skrzybski', 'slug': 'steven-skrzybski', 'shortName': 'S. Skrzybski', 'position': 'F', 'userCount': 150, 'id': 122573};52
UNB X HKI 04-08-2017;;{'name': 'Steven Lewerenz', 'slug': 'steven-lewerenz', 'shortName': 'S. Lewerenz', 'position': 'M', 'userCount': 9, 'id': 94909};3;3;121570827;regular;goal;False;{'name': 'Dominick Drexler', 'slug': 'dominick-drexler', 'shortName': 'D. Drexler', 'position': 'M', 'userCount': 193, 'id': 88494};32
UNB X HKI 04-08-2017;;{'name': 'Steven Skrzybski', 'slug': 'steven-skrzybski', 'shortName': 'S. Skrzybski', 'position': 'F', 'userCount': 150, 'id': 122573};2;3;121570823;regular;goal;True;{'name': 'Simon Hedlund', 'slug': 'simon-hedlund', 'shortName': 'S. Hedlund', 'position': 'F', 'userCount': 84, 'id': 94627};27
UNB X HKI 04-08-2017;;{'name': 'Damir Kreilach', 'slug': 'damir-kreilach', 'shortName': 'D. Kreilach', 'position': 'M', 'userCount': 100, 'id': 50505};2;2;121570822;regular;goal;True;{'name': 'Steven Skrzybski', 'slug': 'steven-skrzybski', 'shortName': 'S. Skrzybski', 'position': 'F', 'userCount': 150, 'id': 122573};24
UNB X HKI 04-08-2017;;;2;1;121570826;ownGoal;goal;False;{'name': 'Kristian Pedersen', 'slug': 'kristian-pedersen', 'shortName': 'K. Pedersen', 'position': 'D', 'userCount': 85, 'id': 773591};16
UNB X HKI 04-08-2017;;{'name': 'Christopher Trimmel', 'slug': 'christopher-trimmel', 'shortName': 'C. Trimmel', 'position': 'M', 'userCount': 465, 'id': 48557};1;1;121570821;regular;goal;True;{'name': 'Damir Kreilach', 'slug': 'damir-kreilach', 'shortName': 'D. Kreilach', 'position': 'M', 'userCount': 100, 'id': 50505};14
UNB X HKI 04-08-2017;;;1;0;121570825;regular;goal;False;{'name': 'Kingsley Schindler', 'slug': 'kingsley-schindler', 'shortName': 'K. Schindler', 'position': 'M', 'userCount': 98, 'id': 169113};12
SAN X ING 04-08-2017;;{'name': 'Eroll Zejnullahu', 'slug': 'eroll-zejnullahu', 'shortName': 'E. Zejnullahu', 'position': 'M', 'userCount': 26, 'id': 184627};0;1;121570828;regular;goal;True;{'name': 'Andrew Wooten', 'slug': 'andrew-wooten', 'shortName': 'A. Wooten', 'position': 'F', 'userCount': 45, 'id': 39884};70
KAI X D98 04-08-2017;;{'name': 'Artur Sobiech', 'slug': 'artur-sobiech', 'shortName': 'A. Sobiech', 'position': 'F', 'userCount': 172, 'id': 45444};1;1;121571197;regular;goal;False;{'name': 'Wilson Kamavuaka', 'slug': 'wilson-kamavuaka', 'shortName': 'W. Kamavuaka', 'position': 'M', 'userCount': 13, 'id': 124069};72
KAI X D98 04-08-2017;;{'name': 'Phillipp Mwene', 'slug': 'phillipp-mwene', 'shortName': 'P. Mwene', 'position': 'M', 'userCount': 81, 'id': 138126};0;1;121571196;regular;goal;True;{'name': 'Daniel Halfar', 'slug': 'daniel-halfar', 'shortName': 'D. Halfar', 'position': 'M', 'userCount': 2, 'id': 14109};39
DUI X BOC 05-08-2017;;{'name': 'Danilo Soares', 'slug': 'danilo-soares', 'shortName': 'D. Soares', 'position': 'D', 'userCount': 46, 'id': 121551};1;1;121572592;regular;goal;False;{'name': 'Jannik Bandowski', 'slug': 'jannik-bandowski', 'shortName': 'J. Bandowski', 'position': 'D', 'userCount': 5, 'id': 179255};47
DUI X BOC 05-08-2017;;;0;1;121572591;regular;goal;True;{'name': 'Borys Tashchy', 'slug': 'borys-tashchy', 'shortName': 'B. Tashchy', 'position': 'F', 'userCount': 60, 'id': 111726};7
EBR X HEI 05-08-2017;;{'name': 'Salim Khelifi', 'slug': 'salim-khelifi', 'shortName': 'S. Khelifi', 'position': 'M', 'userCount': 170, 'id': 134250};0;2;121573405;regular;goal;True;{'name': 'Mirko Boland', 'slug': 'mirko-boland', 'shortName': 'M. Boland', 'position': 'M', 'userCount': 9, 'id': 33828};80
EBR X HEI 05-08-2017;;;0;1;121573404;ownGoal;goal;True;{'name': 'Mathias Wittek', 'slug': 'mathias-wittek', 'shortName': 'M. Wittek', 'position': 'D', 'userCount': 6, 'id': 26765};28
JAH X NUR 06-08-2017;;{'name': 'Enrico Valentini', 'slug': 'enrico-valentini', 'shortName': 'E. Valentini', 'position': 'D', 'userCount': 55, 'id': 40197};1;0;121576474;regular;goal;False;{'name': 'Kevin Möhwald', 'slug': 'kevin-mohwald', 'shortName': 'K. Möhwald', 'position': 'M', 'userCount': 89, 'id': 168833};78
