game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
BOC X STP 28-07-2017;FT;0;1;False;90;999;period
BOC X STP 28-07-2017;HT;0;0;False;45;999;period
ARM X JAH 29-07-2017;FT;2;1;False;90;999;period
ARM X JAH 29-07-2017;HT;1;1;False;45;999;period
D98 X FUR 29-07-2017;FT;1;0;False;90;999;period
NUR X KAI 30-07-2017;FT;3;0;False;90;999;period
NUR X KAI 30-07-2017;HT;2;0;False;45;999;period
HKI X SAN 30-07-2017;FT;2;2;False;90;999;period
HKI X SAN 30-07-2017;HT;0;2;False;45;999;period
UNB X HKI 04-08-2017;FT;4;3;False;90;999;period
UNB X HKI 04-08-2017;HT;3;3;False;45;999;period
KAI X D98 04-08-2017;FT;1;1;False;90;999;period
KAI X D98 04-08-2017;HT;1;0;False;45;999;period
EBR X HEI 05-08-2017;FT;2;0;False;90;999;period
AUE X DUS 06-08-2017;FT;0;2;False;90;999;period
AUE X DUS 06-08-2017;HT;0;1;False;45;999;period
FUR X ARM 06-08-2017;FT;1;2;False;90;999;period
DRE X SAN 19-08-2017;FT;0;4;False;90;999;period
HKI X FUR 20-08-2017;FT;3;1;False;90;999;period
HKI X FUR 20-08-2017;HT;2;1;False;45;999;period
ING X JAH 20-08-2017;FT;2;4;False;90;999;period
JAH X HKI 26-08-2017;HT;1;2;False;45;999;period
BOC X DRE 27-08-2017;FT;3;2;False;90;999;period
HEI X JAH 08-09-2017;FT;1;3;False;90;999;period
AUE X HKI 15-09-2017;FT;0;3;False;90;999;period
STP X ING 16-09-2017;HT;0;4;False;45;999;period
DUI X NUR 16-09-2017;FT;1;6;False;90;999;period
D98 X DRE 24-09-2017;FT;3;3;False;90;999;period
UNB X KAI 25-09-2017;FT;5;0;False;90;999;period
UNB X KAI 25-09-2017;HT;4;0;False;45;999;period
DUI X EBR 13-10-2017;FT;0;0;False;90;999;period
HEI X HKI 15-10-2017;FT;3;5;False;90;999;period
D98 X NUR 16-10-2017;FT;3;4;False;90;999;period
STP X JAH 19-11-2017;HT;2;2;False;45;999;period
EBR X NUR 25-11-2017;FT;2;3;False;90;999;period
JAH X DUI 25-11-2017;FT;4;0;False;90;999;period
JAH X DUI 25-11-2017;HT;3;0;False;45;999;period
DUS X DRE 27-11-2017;HT;1;3;False;45;999;period
NUR X AUE 02-02-2018;FT;4;1;False;90;999;period
JAH X DUS 23-02-2018;HT;2;3;False;45;999;period
DUS X ARM 16-03-2018;FT;4;2;False;90;999;period
DUI X KAI 31-03-2018;FT;1;4;False;90;999;period
NUR X HEI 07-04-2018;HT;3;1;False;45;999;period
ING X HKI 29-04-2018;FT;1;5;False;90;999;period
HKI X EBR 13-05-2018;FT;6;2;False;90;999;period
HKI X EBR 13-05-2018;HT;4;2;False;45;999;period
