game;length;time;addedTime;incidentType
FLA X SPT 14-05-2016;4;90;0;injuryTime
FLA X SPT 14-05-2016;1;45;0;injuryTime
CAM X SAN 14-05-2016;2;45;0;injuryTime
BOT X SPO 15-05-2016;5;90;0;injuryTime
BOT X SPO 15-05-2016;4;45;0;injuryTime
STA X VIT 15-05-2016;3;90;0;injuryTime
STA X VIT 15-05-2016;5;45;0;injuryTime
PON X PAL 21-05-2016;3;45;0;injuryTime
SAN X CFC 22-05-2016;7;90;0;injuryTime
CRU X AME 28-05-2016;6;90;0;injuryTime
SPO X PAL 29-05-2016;8;90;0;injuryTime
INT X CAP 01-06-2016;6;45;0;injuryTime
PON X CRU 22-06-2016;2;90;0;injuryTime
VIT X PON 26-06-2016;9;90;0;injuryTime
SAN X FLA 04-08-2016;7;45;0;injuryTime
