game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
HSV X HKI 03-08-2018;3.0;2018-08-03;-10.0;-59.0;-34.0;51.0;39.0;-65.0;-21.0;-14.0;-12.0;-10.0;28.0;-22.0;12.0;-14.0;-14.0;-46.0;-16.0;-1.0;1.0;1.0;27.0;7.0;-22.0;8.0;10.0;1.0;1.0;-10.0;-8.0;-1.0;1.0;-39.0;-13.0;27.0;30.0;-37.0;-19.0;9.0;-15.0;-44.0;;-43.0;-24.0;-100.0;-75.0;19.0;-74.0;-40.0;-42.0;47.0;61.0;40.0;25.0;-85.0;-35.0;-14.0;40.0;-7.0;5.0;3.0;-3.0;-13.0;-5.0;11.0;23.0;62.0;41.0;4.0;28.0;2.0;-7.0;-4.0;55.0;49.0;-33.0;-1.0;-44.0;-100.0;-10.0;-63.0;-31.0;-86.0;-68.0;-38.0;58.0;-61.0;-56.0;38.0;-5.0;-85.0;-9.0;-3.0;0.0;16:30:00;-1.0;HKI;HSV
BOC X KOL 04-08-2018;2.0;2018-08-04;-10.0;37.0;18.0;-14.0;-1.0;21.0;7.0;3.0;-19.0;62.0;100.0;-26.0;93.0;56.0;-45.0;-28.0;33.0;5.0;4.0;-39.0;19.0;-16.0;29.0;-2.0;21.0;14.0;6.0;1.0;8.0;31.0;20.0;8.0;-16.0;9.0;-58.0;59.0;11.0;8.0;-17.0;-31.0;0.0;-3.0;-5.0;-22.0;-32.0;-20.0;-12.0;-1.0;46.0;33.0;21.0;-12.0;-86.0;-66.0;-42.0;-32.0;-34.0;-100.0;-100.0;-100.0;-93.0;-62.0;-34.0;-21.0;-21.0;-9.0;-4.0;-20.0;-33.0;-8.0;16.0;47.0;21.0;39.0;23.0;18.0;3.0;4.0;-11.0;-18.0;-7.0;-11.0;28.0;16.0;15.0;44.0;41.0;81.0;74.0;-3.0;58.0;92.0;0.0;09:00:00;-1.0;KOL;BOC
JAH X ING 04-08-2018;1.0;2018-08-04;20.0;30.0;13.0;-15.0;-11.0;-8.0;-15.0;-10.0;-7.0;-51.0;-29.0;8.0;-22.0;-26.0;-18.0;12.0;-3.0;-10.0;-2.0;12.0;-11.0;-9.0;64.0;-10.0;-82.0;-4.0;1.0;8.0;10.0;19.0;47.0;25.0;8.0;64.0;-43.0;-45.0;-32.0;-11.0;-24.0;15.0;75.0;5.0;-46.0;-25.0;-6.0;36.0;13.0;44.0;25.0;32.0;2.0;-9.0;15.0;-17.0;-8.0;-3.0;-69.0;27.0;-25.0;-94.0;87.0;20.0;-25.0;-11.0;55.0;26.0;18.0;-20.0;-39.0;-59.0;81.0;86.0;10.0;38.0;11.0;-13.0;-17.0;-15.0;-27.0;-79.0;-47.0;-72.0;-47.0;-25.0;-13.0;-33.0;-44.0;-74.0;-97.0;-22.0;-76.0;-7.0;2.0;11:30:00;1.0;ING;JAH
FUR X SAN 04-08-2018;1.0;2018-08-04;-10.0;12.0;24.0;2.0;-5.0;1.0;-1.0;-2.0;1.0;-9.0;-7.0;-10.0;-14.0;31.0;11.0;-29.0;-13.0;-8.0;-6.0;-2.0;2.0;1.0;-43.0;-65.0;66.0;41.0;30.0;25.0;23.0;13.0;-20.0;-49.0;-25.0;29.0;-9.0;-5.0;2.0;11.0;-51.0;16.0;8.0;27.0;66.0;35.0;17.0;-7.0;12.0;17.0;37.0;21.0;14.0;-92.0;-47.0;-36.0;-18.0;-47.0;-7.0;-31.0;-11.0;23.0;3.0;-6.0;-3.0;-25.0;-57.0;-38.0;-50.0;-8.0;-52.0;-27.0;-11.0;25.0;10.0;36.0;21.0;12.0;-9.0;85.0;-30.0;54.0;100.0;87.0;43.0;21.0;41.0;16.0;-26.0;-8.0;39.0;-19.0;92.0;-107.0;3.0;11:30:00;1.0;SAN;FUR
MAG X STP 05-08-2018;2.0;2018-08-05;-12.0;6.0;-7.0;-10.0;-2.0;4.0;4.0;6.0;100.0;71.0;49.0;8.0;31.0;17.0;-2.0;-2.0;7.0;-19.0;-10.0;-8.0;-23.0;-21.0;-1.0;-100.0;-76.0;-56.0;-31.0;-61.0;-39.0;-22.0;-18.0;-16.0;-12.0;1.0;-26.0;-53.0;-86.0;-51.0;-21.0;9.0;-8.0;14.0;5.0;-35.0;-18.0;8.0;-19.0;-17.0;-16.0;-16.0;-23.0;-26.0;-24.0;-19.0;17.0;20.0;93.0;19.0;17.0;39.0;49.0;31.0;23.0;14.0;11.0;3.0;-44.0;51.0;-26.0;-52.0;-31.0;-20.0;31.0;5.0;1.0;-5.0;-23.0;-18.0;25.0;-59.0;-33.0;-93.0;-55.0;-31.0;-14.0;-3.0;8.0;9.0;10.0;4.0;42.0;82.0;1.0;09:30:00;-1.0;STP;MAG
HEI X ARM 05-08-2018;1.0;2018-08-05;2.0;-49.0;-57.0;-34.0;-39.0;-27.0;-34.0;-54.0;-10.0;38.0;11.0;-10.0;13.0;25.0;48.0;81.0;58.0;34.0;15.0;5.0;-1.0;43.0;-6.0;18.0;-12.0;8.0;6.0;-7.0;17.0;40.0;18.0;-58.0;-29.0;24.0;-17.0;-18.0;-21.0;-10.0;75.0;-15.0;-142.0;-14.0;-14.0;-46.0;-34.0;18.0;-50.0;-71.0;-36.0;-7.0;-10.0;-9.0;-7.0;-24.0;33.0;61.0;20.0;40.0;66.0;37.0;18.0;-26.0;-4.0;11.0;41.0;83.0;74.0;5.0;46.0;25.0;-39.0;-16.0;-7.0;4.0;39.0;20.0;-39.0;-25.0;6.0;-24.0;-8.0;21.0;17.0;14.0;11.0;9.0;19.0;2.0;48.0;-2.0;11.0;-7.0;1.0;11:30:00;0.0;ARM;HEI
UNB X AUE 05-08-2018;0.0;2018-08-05;1.0;29.0;-21.0;-6.0;-8.0;-8.0;-27.0;-18.0;34.0;10.0;1.0;-7.0;-3.0;-4.0;35.0;1.0;23.0;11.0;4.0;-7.0;-4.0;-2.0;-3.0;62.0;29.0;-38.0;-9.0;-90.0;-45.0;-29.0;-20.0;-14.0;-29.0;8.0;-12.0;-10.0;-1.0;42.0;34.0;-11.0;-5.0;-3.0;13.0;6.0;17.0;8.0;41.0;21.0;8.0;1.0;-5.0;5.0;-38.0;58.0;16.0;44.0;35.0;36.0;43.0;27.0;26.0;26.0;19.0;57.0;39.0;17.0;4.0;100.0;-6.0;-3.0;-38.0;-18.0;-1.0;-5.0;-46.0;-42.0;29.0;5.0;91.0;22.0;-36.0;-3.0;12.0;9.0;30.0;48.0;43.0;100.0;36.0;63.0;3.0;8.0;1.0;11:30:00;1.0;AUE;UNB
D98 X SCP 05-08-2018;0.0;2018-08-05;1.0;14.0;6.0;-21.0;-39.0;-55.0;-51.0;-26.0;-4.0;7.0;10.0;64.0;5.0;-28.0;-13.0;-7.0;-8.0;-24.0;-11.0;9.0;-10.0;-11.0;79.0;8.0;8.0;4.0;3.0;76.0;40.0;-35.0;46.0;42.0;38.0;100.0;31.0;18.0;4.0;-3.0;14.0;2.0;37.0;-21.0;-15.0;-24.0;-18.0;73.0;-14.0;18.0;8.0;87.0;29.0;-53.0;-12.0;10.0;8.0;-3.0;47.0;14.0;37.0;28.0;20.0;22.0;2.0;-4.0;4.0;39.0;17.0;-62.0;10.0;14.0;-18.0;-83.0;-49.0;-29.0;-18.0;-1.0;11.0;39.0;-25.0;24.0;50.0;37.0;23.0;-16.0;28.0;7.0;9.0;2.0;-10.0;52.0;-50.0;-34.0;1.0;11:30:00;1.0;SCP;D98
DRE X DUI 06-08-2018;0.0;2018-08-06;1.0;-34.0;2.0;-49.0;-25.0;-15.0;-3.0;-3.0;65.0;45.0;23.0;4.0;-36.0;-33.0;-27.0;-19.0;-19.0;-4.0;5.0;6.0;52.0;31.0;5.0;43.0;12.0;7.0;28.0;12.0;80.0;57.0;-50.0;-13.0;-9.0;23.0;76.0;28.0;9.0;8.0;-5.0;-9.0;1.0;55.0;44.0;15.0;5.0;26.0;9.0;31.0;20.0;14.0;12.0;27.0;13.0;41.0;6.0;-3.0;-47.0;-49.0;-44.0;-37.0;-25.0;-13.0;43.0;17.0;4.0;-7.0;-8.0;-10.0;-44.0;-5.0;3.0;-1.0;-3.0;-20.0;-60.0;-70.0;-44.0;-42.0;-1.0;-35.0;-27.0;-16.0;-13.0;12.0;-8.0;-4.0;-49.0;-27.0;-10.0;57.0;-75.0;72.0;1.0;16:30:00;1.0;DUI;DRE
ING X FUR 10-08-2018;1.0;2018-08-10;-13.0;-12.0;-5.0;51.0;42.0;50.0;19.0;15.0;22.0;26.0;13.0;-13.0;26.0;40.0;24.0;44.0;30.0;55.0;40.0;-35.0;37.0;43.0;-6.0;24.0;15.0;67.0;44.0;25.0;18.0;-18.0;-22.0;21.0;14.0;12.0;40.0;57.0;57.0;-45.0;-58.0;40.0;-32.0;21.0;16.0;21.0;33.0;48.0;89.0;24.0;73.0;48.0;87.0;54.0;-98.0;-29.0;-18.0;-16.0;26.0;34.0;-26.0;-31.0;-13.0;50.0;33.0;29.0;24.0;18.0;-20.0;-15.0;-5.0;31.0;54.0;21.0;43.0;37.0;22.0;12.0;68.0;43.0;-25.0;41.0;26.0;21.0;40.0;29.0;58.0;36.0;48.0;28.0;45.0;-26.0;26.0;-40.0;1.0;14:30:00;0.0;FUR;ING
