game;length;time;addedTime;incidentType
BOC X KOL 04-08-2018;5;90;0;injuryTime
BOC X KOL 04-08-2018;3;45;0;injuryTime
JAH X ING 04-08-2018;3;90;0;injuryTime
FUR X SAN 04-08-2018;4;90;0;injuryTime
FUR X SAN 04-08-2018;2;45;0;injuryTime
MAG X STP 05-08-2018;1;45;0;injuryTime
HEI X ARM 05-08-2018;2;90;0;injuryTime
STP X KOL 02-09-2018;6;90;0;injuryTime
STP X HEI 10-11-2018;4;45;0;injuryTime
KOL X MAG 17-12-2018;1;90;0;injuryTime
KOL X SAN 23-02-2019;5;45;0;injuryTime
MAG X KOL 19-05-2019;8;90;0;injuryTime
