game;accuratePass;aerialDuels;challengeLost;disabled;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;possessionLost;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
HSV X HKI 03-08-2018;5 (83%);2 (1);;;1;1;1;;3 (1);254207;0;2;20';David Kinsombi;False;;0;M;2;;8.6;;;D. Kinsombi;0;1;1;holstein-kiel;HKI;2573;Holstein Kiel;0;1 (0);0 (0);5 (2);1 (1);5 (83%);0;12;1
HSV X HKI 03-08-2018;18 (62%);3 (2);;;2;2;;;11 (6);537552;0;4;81';Jae-Sung Lee;False;1;0;M;18;;8.1;;;J. Lee;0;0;1;holstein-kiel;HKI;2573;Holstein Kiel;0;0 (0);5 (2);14 (8);1 (1);18 (62%);3;48;3
HSV X HKI 03-08-2018;23 (82%);4 (3);;;1;;1;;4 (3);148256;2;1;90';Jonas Meffert;False;;0;M;5;;7.8;;;J. Meffert;0;0;1;holstein-kiel;HKI;2573;Holstein Kiel;1;1 (1);0 (0);8 (6);2 (2);23 (82%);2;36;0
HSV X HKI 03-08-2018;29 (80%);5 (4);;;1;;;;7 (5);253469;3;0;90';Hauke Wahl;False;;1;D;9;;7.6;;;H. Wahl;0;1;0;holstein-kiel;HKI;2573;Holstein Kiel;8;0 (0);0 (0);12 (9);7 (3);29 (80%);4;59;1
HSV X HKI 03-08-2018;34 (73%);2 (1);;;1;;;;6 (5);16077;0;4;90';Johannes van den Bergh;False;;1;D;15;;7.5;;;J. v. d. Bergh;0;0;0;holstein-kiel;HKI;2573;Holstein Kiel;1;1 (1);1 (0);8 (6);7 (4);34 (73%);3;65;1
HSV X HKI 03-08-2018;15 (65%);3 (2);;;0;;1;;4 (2);575952;1;1;90';Mathias Honsak;False;;0;M;15;;7.3;;;M. Honsak;1;1;3;holstein-kiel;HKI;2573;Holstein Kiel;0;2 (0);0 (0);7 (4);3 (1);15 (65%);1;43;1
HSV X HKI 03-08-2018;36 (72%);0 (0);;;0;;;0;0 (0);16110;0;0;90';Kenneth Kronholm;False;;0;G;;0;7.3;0 (0);3;K. Kronholm;0;0;0;holstein-kiel;HKI;2573;Holstein Kiel;2;0 (0);0 (0);0 (0);32 (19);36 (72%);0;59;0
HSV X HKI 03-08-2018;43 (79%);6 (3);;;0;;;;4 (4);803023;0;2;90';Rick Van Drongelen;False;;0;D;11;;7.1;;;R. V. Drongelen;0;0;0;hamburger-sv;HSV;2676;Hamburger SV;5;0 (0);1 (1);10 (7);6 (4);43 (79%);4;67;0
HSV X HKI 03-08-2018;21 (80%);3 (1);;;0;;;;6 (5);243583;4;1;90';Douglas Santos;False;;0;D;12;;7.1;;;D. Santos;0;0;0;hamburger-sv;HSV;2676;Hamburger SV;2;1 (0);7 (3);9 (6);0 (0);21 (80%);5;54;0
HSV X HKI 03-08-2018;19 (70%);3 (3);1;;1;;;;7 (2);142570;1;2;90';Alexander Mühling;False;;0;M;17;;7.1;;;A. Mühling;0;2;1;holstein-kiel;HKI;2573;Holstein Kiel;0;3 (2);5 (1);10 (5);4 (2);19 (70%);0;44;0
HSV X HKI 03-08-2018;32 (82%);0 (0);1;;0;;;;5 (3);31921;1;3;90';Lewis Holtby;False;;0;M;12;;7.1;;;L. Holtby;0;2;1;hamburger-sv;HSV;2676;Hamburger SV;2;1 (0);1 (0);5 (3);6 (5);32 (82%);0;54;3
HSV X HKI 03-08-2018;10 (62%);2 (1);;;1;;;;5 (4);572922;0;0;70';Jannik Dehm;False;;0;D;14;;7.0;;;J. Dehm;0;1;0;holstein-kiel;HKI;2573;Holstein Kiel;0;0 (0);2 (0);7 (5);3 (1);10 (62%);2;42;2
