game;length;time;addedTime;incidentType
HUL X LEI 2016-08-13;5;90;0;injuryTime
HUL X LEI 2016-08-13;2;45;0;injuryTime
BUR X SWA 2016-08-13;4;90;0;injuryTime
BUR X SWA 2016-08-13;1;45;0;injuryTime
EVE X TOT 2016-08-13;3;90;0;injuryTime
MID X STO 2016-08-13;3;45;0;injuryTime
SOU X WAT 2016-08-13;4;45;0;injuryTime
EVE X MID 2016-09-17;2;90;0;injuryTime
TOT X SUN 2016-09-18;6;90;0;injuryTime
SWA X CRY 2016-11-26;7;90;0;injuryTime
EVE X LIV 2016-12-19;8;90;0;injuryTime
WAT X CRY 2016-12-26;5;45;0;injuryTime
CHE X HUL 2017-01-22;9;45;0;injuryTime
LEI X MUN 2017-02-05;1;90;0;injuryTime
SUN X WES 2017-04-15;10;90;0;injuryTime
