game;addedTime;id;incidentClass;incidentType;isHome;player;playerName;reason;time
TOT X MUN 2017-05-14;;118654385;yellow;card;False;{'name': 'Wayne Rooney', 'slug': 'wayne-rooney', 'shortName': 'W. Rooney', 'position': 'F', 'userCount': 9433, 'id': 751};Wayne Rooney;Foul;36
ARS X EVE 2017-05-21;;118659338;yellow;card;False;{'name': 'Leighton Baines', 'slug': 'leighton-baines', 'shortName': 'L. Baines', 'position': 'D', 'userCount': 369, 'id': 9766};Leighton Baines;Foul;73
ARS X EVE 2017-05-21;;118659334;yellow;card;True;{'name': 'Rob Holding', 'slug': 'rob-holding', 'shortName': 'R. Holding', 'position': 'D', 'userCount': 1269, 'id': 793228};Rob Holding;Foul;62
ARS X EVE 2017-05-21;;118659337;yellow;card;False;{'name': 'Morgan Schneiderlin', 'slug': 'morgan-schneiderlin', 'shortName': 'M. Schneiderlin', 'position': 'M', 'userCount': 739, 'id': 27009};Morgan Schneiderlin;Foul;61
ARS X EVE 2017-05-21;;118659333;yellow;card;True;{'name': 'Gabriel Paulista', 'slug': 'gabriel-paulista', 'shortName': 'G. Paulista', 'position': 'D', 'userCount': 990, 'id': 124737};Gabriel Paulista;Foul;52
ARS X EVE 2017-05-21;;118659336;yellow;card;False;{'name': 'Phil Jagielka', 'slug': 'phil-jagielka', 'shortName': 'P. Jagielka', 'position': 'D', 'userCount': 230, 'id': 10507};Phil Jagielka;Foul;39
ARS X EVE 2017-05-21;;118659335;yellow;card;False;{'name': 'Ashley Williams', 'slug': 'ashley-williams', 'shortName': 'A. Williams', 'position': 'D', 'userCount': 204, 'id': 20204};Ashley Williams;Foul;19
ARS X EVE 2017-05-21;;118659332;red;card;True;{'name': 'Laurent Koscielny', 'slug': 'laurent-koscielny', 'shortName': 'L. Koscielny', 'position': 'D', 'userCount': 1659, 'id': 51340};Laurent Koscielny;Foul;14
BUR X WES 2017-05-21;;118659347;yellow;card;True;{'name': 'Jóhann Guðmundsson', 'slug': 'johann-gudmundsson', 'shortName': 'J. Guðmundsson', 'position': 'M', 'userCount': 505, 'id': 49805};Jóhann Guðmundsson;Foul;86
BUR X WES 2017-05-21;;118659349;yellow;card;False;{'name': 'Manuel Lanzini', 'slug': 'manuel-lanzini', 'shortName': 'M. Lanzini', 'position': 'M', 'userCount': 1558, 'id': 220315};Manuel Lanzini;Foul;42
BUR X WES 2017-05-21;;118659346;yellow;card;True;{'name': 'Ashley Westwood', 'slug': 'ashley-westwood', 'shortName': 'A. Westwood', 'position': 'M', 'userCount': 230, 'id': 49647};Ashley Westwood;Foul;26
BUR X WES 2017-05-21;;118659348;yellow;card;False;{'name': 'James Collins', 'slug': 'james-collins', 'shortName': 'J. Collins', 'position': 'D', 'userCount': 53, 'id': 9729};James Collins;Foul;17
CHE X SUN 2017-05-21;;118659316;yellow;card;False;{'name': 'Billy Jones', 'slug': 'billy-jones', 'shortName': 'B. Jones', 'position': 'D', 'userCount': 5, 'id': 27338};Billy Jones;Foul;48
CHE X SUN 2017-05-21;;118659315;yellow;card;True;{'name': 'Diego Costa', 'slug': 'diego-costa', 'shortName': 'D. Costa', 'position': 'F', 'userCount': 8943, 'id': 21212};Diego Costa;Argument;38
LEI X BOU 2017-05-21;1.0;118659322;yellow;card;True;{'name': 'Ben Chilwell', 'slug': 'ben-chilwell', 'shortName': 'B. Chilwell', 'position': 'D', 'userCount': 2403, 'id': 802695};Ben Chilwell;Foul;90
LEI X BOU 2017-05-21;;118659321;yellow;card;True;{'name': 'Riyad Mahrez', 'slug': 'riyad-mahrez', 'shortName': 'R. Mahrez', 'position': 'F', 'userCount': 33913, 'id': 158213};Riyad Mahrez;Foul;84
LEI X BOU 2017-05-21;;118659323;yellow;card;False;{'name': 'Simon Francis', 'slug': 'simon-francis', 'shortName': 'S. Francis', 'position': 'D', 'userCount': 78, 'id': 15152};Simon Francis;Foul;75
LEI X BOU 2017-05-21;;118659320;yellow;card;True;{'name': 'Danny Simpson', 'slug': 'danny-simpson', 'shortName': 'D. Simpson', 'position': 'D', 'userCount': 110, 'id': 30502};Danny Simpson;Foul;57
LEI X BOU 2017-05-21;2.0;118659319;yellow;card;True;{'name': 'Yohan Benalouane', 'slug': 'yohan-benalouane', 'shortName': 'Y. Benalouane', 'position': 'D', 'userCount': 165, 'id': 21515};Yohan Benalouane;Foul;45
LIV X MID 2017-05-21;;118659309;yellow;card;False;{'name': 'Rudy Gestede', 'slug': 'rudy-gestede', 'shortName': 'R. Gestede', 'position': 'F', 'userCount': 72, 'id': 31812};Rudy Gestede;Argument;56
MUN X CRY 2017-05-21;;118659314;yellow;card;True;{'name': 'Michael Carrick', 'slug': 'michael-carrick', 'shortName': 'M. Carrick', 'position': 'M', 'userCount': 772, 'id': 938};Michael Carrick;Foul;74
MUN X CRY 2017-05-21;;118659313;yellow;card;True;{'name': 'Scott McTominay', 'slug': 'scott-mctominay', 'shortName': 'S. McTominay', 'position': 'M', 'userCount': 4514, 'id': 879346};Scott McTominay;Foul;48
SOU X STO 2017-05-21;;118659329;yellow;card;False;{'name': 'Xherdan Shaqiri', 'slug': 'xherdan-shaqiri', 'shortName': 'X. Shaqiri', 'position': 'M', 'userCount': 6975, 'id': 65953};Xherdan Shaqiri;Argument;90
SOU X STO 2017-05-21;;118659325;yellow;card;True;{'name': 'Jack Stephens', 'slug': 'jack-stephens', 'shortName': 'J. Stephens', 'position': 'D', 'userCount': 228, 'id': 134361};Jack Stephens;Argument;90
SOU X STO 2017-05-21;;118659324;yellow;card;True;{'name': 'Sofiane Boufal', 'slug': 'sofiane-boufal', 'shortName': 'S. Boufal', 'position': 'M', 'userCount': 3312, 'id': 257205};Sofiane Boufal;Foul;70
SOU X STO 2017-05-21;;118659328;yellow;card;False;{'name': 'Ramadan Sobhi', 'slug': 'ramadan-sobhi', 'shortName': 'R. Sobhi', 'position': 'M', 'userCount': 5019, 'id': 844763};Ramadan Sobhi;Foul;67
SOU X STO 2017-05-21;;118659327;yellow;card;False;{'name': 'Glenn Whelan', 'slug': 'glenn-whelan', 'shortName': 'G. Whelan', 'position': 'M', 'userCount': 61, 'id': 10535};Glenn Whelan;Foul;63
