game;accuratePass;aerialDuels;challengeLost;disabled;dispossessed;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
HUL X LEI 2016-08-13;28 (87%);5 (0);;;3;0;;1;;14 (10);9127;0;2;90';Robert Snodgrass;False;;0;F;;8.1;;;R. Snodgrass;1;2;2;hull-city;HUL;96;Hull City;1;3 (2);7 (2);19 (10);0 (0);28 (87%);3;63;5
HUL X LEI 2016-08-13;36 (75%);4 (4);1;;0;1;;;;4 (2);10281;7;0;90';Curtis Davies;False;;2;D;;7.8;;;C. Davies;0;1;1;hull-city;HUL;96;Hull City;13;0 (0);0 (0);8 (6);13 (4);36 (75%);1;74;1
HUL X LEI 2016-08-13;20 (83%);3 (0);;;2;4;;;;12 (4);139502;1;4;90';Ahmed Musa;False;;0;F;;7.4;;;A. Musa;0;2;0;leicester-city;LEI;31;Leicester City;0;5 (3);1 (0);15 (4);1 (1);20 (83%);0;41;1
HUL X LEI 2016-08-13;22 (75%);9 (4);;;6;1;;1;;17 (10);43247;0;1;90';Adama Diomandé;False;;0;F;;7.4;;;A. Diomandé;1;0;1;hull-city;HUL;96;Hull City;2;6 (6);0 (0);26 (14);1 (1);22 (75%);1;57;3
HUL X LEI 2016-08-13;51 (82%);8 (7);1;;0;1;;;;5 (3);1262;1;1;90';Christian Fuchs;False;;1;D;;7.4;;;C. Fuchs;0;0;1;leicester-city;LEI;31;Leicester City;3;0 (0);0 (0);13 (10);12 (7);51 (82%);3;81;0
HUL X LEI 2016-08-13;47 (92%);1 (1);4;;1;1;;;;13 (7);74440;3;0;90';Sam Clucas;False;;1;M;;7.1;;;S. Clucas;0;0;0;hull-city;HUL;96;Hull City;4;1 (1);0 (0);14 (8);6 (5);47 (92%);3;71;3
HUL X LEI 2016-08-13;4 (57%);0 (0);;;1;1;;;;5 (3);19303;0;0;22';Shinji Okazaki;False;;0;F;;7.1;;;S. Okazaki;0;1;1;leicester-city;LEI;31;Leicester City;0;2 (2);0 (0);5 (3);0 (0);4 (57%);0;14;1
HUL X LEI 2016-08-13;43 (89%);0 (0);;;1;1;;;;8 (6);262911;3;0;90';Andrew Robertson;False;;0;D;;7.0;;;A. Robertson;0;0;0;hull-city;HUL;96;Hull City;1;1 (1);3 (0);8 (6);6 (3);43 (89%);4;73;1
HUL X LEI 2016-08-13;66 (86%);1 (0);3;;2;1;;;;13 (6);54330;0;1;90';Danny Drinkwater;False;;0;M;;7.0;;;D. Drinkwater;0;2;1;leicester-city;LEI;31;Leicester City;1;2 (1);1 (0);14 (6);5 (3);66 (86%);5;93;0
HUL X LEI 2016-08-13;47 (78%);1 (1);1;;0;0;;;;3 (2);34578;2;0;90';Jake Livermore;False;;1;D;;6.9;;;J. Livermore;0;0;0;hull-city;HUL;96;Hull City;5;0 (0);0 (0);4 (3);17 (5);47 (78%);2;70;0
HUL X LEI 2016-08-13;36 (60%);4 (4);1;;0;1;;;;3 (1);32787;3;1;90';Ahmed El-Mohamady;False;;0;D;;6.9;;;A. El-Mohamady;0;0;0;hull-city;HUL;96;Hull City;1;0 (0);4 (0);7 (5);20 (5);36 (60%);1;85;0
HUL X LEI 2016-08-13;12 (38%);0 (0);;;;0;;;0;0 (0);4387;0;0;90';Eldin Jakupović;False;;0;G;0;6.9;0 (0);4;E. Jakupović;0;0;0;hull-city;HUL;96;Hull City;0;0 (0);0 (0);0 (0);28 (9);12 (38%);0;35;0
HUL X LEI 2016-08-13;36 (81%);4 (3);;;0;0;;;;3 (3);43442;0;0;90';David Meyler;False;;0;M;;6.8;;;D. Meyler;0;1;0;hull-city;HUL;96;Hull City;0;0 (0);0 (0);7 (6);1 (0);36 (81%);1;51;2
HUL X LEI 2016-08-13;16 (76%);1 (0);;;2;1;;;;6 (3);355152;0;0;68';Demarai Gray;False;;0;M;;6.7;;;D. Gray;2;1;0;leicester-city;LEI;31;Leicester City;0;0 (0);3 (0);7 (3);1 (0);16 (76%);2;37;1
HUL X LEI 2016-08-13;14 (100%);0 (0);2;;0;0;;;;4 (1);308526;0;1;22';Daniel Amartey;False;;1;M;;6.7;;;D. Amartey;0;0;0;leicester-city;LEI;31;Leicester City;0;1 (0);0 (0);4 (1);1 (1);14 (100%);1;19;0
HUL X LEI 2016-08-13;36 (73%);1 (0);2;;1;1;;1;;15 (6);158213;0;1;90';Riyad Mahrez;False;;0;M;;6.7;;;R. Mahrez;1;2;2;leicester-city;LEI;31;Leicester City;0;7 (2);2 (0);16 (6);4 (2);36 (73%);1;74;3
HUL X LEI 2016-08-13;10 (71%);6 (1);2;;1;1;1;;;6 (1);48547;0;1;90';Abel Hernández;False;1;0;F;;6.7;;;A. Hernández;0;2;1;hull-city;HUL;96;Hull City;1;1 (0);0 (0);12 (2);0 (0);10 (71%);0;22;1
HUL X LEI 2016-08-13;1 (50%);1 (0);;;0;1;;;;1 (0);52691;0;0;7';Leonardo Ulloa;False;;0;F;;6.5;;;L. Ulloa;0;0;0;leicester-city;LEI;31;Leicester City;0;0 (0);0 (0);2 (0);0 (0);1 (50%);0;2;0
HUL X LEI 2016-08-13;26 (81%);3 (1);1;;0;2;;;;8 (5);9689;0;0;90';Tom Huddlestone;False;;0;M;;6.5;;;T. Huddlestone;0;1;0;hull-city;HUL;96;Hull City;1;0 (0);0 (0);11 (6);8 (4);26 (81%);4;44;1
HUL X LEI 2016-08-13;16 (57%);0 (0);;;;0;;;0;0 (0);1076;0;0;90';Kasper Schmeichel;False;;0;G;0;6.5;2 (2);3;K. Schmeichel;0;0;0;leicester-city;LEI;31;Leicester City;1;0 (0);0 (0);0 (0);22 (10);16 (57%);0;36;0
HUL X LEI 2016-08-13;28 (80%);3 (3);2;;0;1;;;;6 (3);30530;1;0;68';Andy King;False;;0;M;;6.4;;;A. King;0;0;0;leicester-city;LEI;31;Leicester City;2;1 (1);1 (0);9 (6);2 (0);28 (80%);1;45;1
HUL X LEI 2016-08-13;29 (82%);5 (3);;;0;3;;;;4 (1);30502;1;0;83';Danny Simpson;False;;0;D;;6.2;;;D. Simpson;0;0;0;leicester-city;LEI;31;Leicester City;2;1 (1);2 (0);9 (4);5 (1);29 (82%);0;47;0
HUL X LEI 2016-08-13;26 (60%);4 (2);;;0;1;;;;1 (0);20375;1;1;90';Wes Morgan;False;;0;D;;6.2;;;W. Morgan;0;0;0;leicester-city;LEI;31;Leicester City;2;0 (0);0 (0);5 (2);4 (0);26 (60%);0;47;0
