game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
NAP X ROM 15-10-2016;198 (86%);143 (78%);341 (82%);217 (85%);251 (88%);468 (87%);5;3;8;3;5;8;47%;39%;43%;53%;61%;57%;1;1;2;6;3;9;1;0;1;5;4;9;0;1;1;0;0;0;12;21;33;24;26;50;16;5;1;3;4;2;1;3;;;;;;;0;0;0;2;0;2;230;184;414;255;286;541;;;;;;;4;4;8;5;4;9;4;2;6;5;2;7;3;3;6;1;4;5;4;2;6;7;5;12;8;6;14;12;9;21;1;2;3;0;2;2;3.0;2016-10-15;-10.0;7.0;7.0;36.0;20.0;36.0;24.0;21.0;21.0;6.0;-7.0;-11.0;-9.0;-33.0;-100.0;-71.0;-39.0;43.0;-13.0;10.0;-35.0;-15.0;-12.0;-15.0;33.0;37.0;27.0;19.0;29.0;78.0;43.0;38.0;35.0;-9.0;27.0;9.0;3.0;3.0;-66.0;-34.0;5.0;-3.0;-4.0;-5.0;3.0;-7.0;-3.0;8.0;5.0;6.0;-38.0;-17.0;-8.0;-2.0;3.0;100.0;-8.0;68.0;44.0;20.0;-36.0;-14.0;-2.0;4.0;5.0;9.0;9.0;-13.0;53.0;35.0;29.0;20.0;15.0;8.0;7.0;26.0;17.0;17.0;-6.0;37.0;24.0;15.0;21.0;14.0;14.0;8.0;-70.0;-33.0;-14.0;-1.0;62.0;-20.0;1.0;11:00:00;-1.0;ROM;NAP
PES X SAM 15-10-2016;240 (86%);276 (87%);516 (86%);111 (70%);83 (66%);194 (68%);4;6;10;1;7;8;63%;71%;67%;37%;29%;33%;0;3;3;0;0;0;3;5;8;5;3;8;;;;;;;20;21;41;18;24;42;12;9;4;2;6;4;4;8;0;1;1;0;0;0;1;0;1;2;0;2;280;317;597;159;126;285;0;0;0;1;0;1;6;7;13;8;1;9;4;6;10;3;0;3;4;5;9;5;2;7;3;7;10;0;1;1;8;14;22;8;2;10;0;1;1;3;0;3;1.0;2016-10-15;-10.0;-16.0;21.0;35.0;-27.0;2.0;-3.0;43.0;17.0;-43.0;-56.0;-7.0;-72.0;-50.0;-24.0;101.0;49.0;29.0;54.0;29.0;100.0;72.0;-5.0;40.0;16.0;-75.0;-21.0;-12.0;-12.0;-11.0;16.0;1.0;-5.0;-4.0;-6.0;-42.0;-27.0;-57.0;-35.0;-22.0;-60.0;-2.0;-2.0;-2.0;-2.0;-3.0;-8.0;-11.0;54.0;20.0;-52.0;-28.0;-22.0;-22.0;-18.0;-4.0;-22.0;8.0;-16.0;-12.0;-38.0;-28.0;-23.0;-18.0;-16.0;-8.0;-15.0;39.0;-55.0;-33.0;-100.0;-75.0;-45.0;-25.0;-91.0;-38.0;-22.0;-13.0;7.0;-12.0;-1.0;66.0;32.0;3.0;-6.0;20.0;-31.0;-19.0;-21.0;-33.0;-22.0;-185.0;1.0;14:00:00;0.0;SAM;PES
JUV X UDI 15-10-2016;174 (81%);230 (87%);404 (84%);211 (90%);206 (83%);417 (87%);5;5;10;7;5;12;48%;53%;51%;52%;47%;49%;1;1;2;1;2;3;3;4;7;2;2;4;;;;;;;19;16;35;20;24;44;11;11;1;2;3;0;3;3;;;;;;;0;0;0;0;1;1;215;265;480;234;247;481;;;;;;;1;2;3;5;6;11;1;1;2;5;2;7;1;3;4;2;3;5;2;3;5;3;1;4;3;5;8;8;7;15;1;1;2;0;1;1;1.0;2016-10-15;10.0;-2.0;-21.0;-10.0;-3.0;3.0;3.0;-20.0;31.0;4.0;65.0;36.0;35.0;16.0;-26.0;-8.0;-8.0;27.0;44.0;31.0;21.0;15.0;37.0;9.0;-103.0;-57.0;-31.0;-16.0;24.0;24.0;18.0;33.0;17.0;28.0;6.0;-5.0;-5.0;71.0;34.0;16.0;5.0;3.0;3.0;49.0;31.0;19.0;71.0;34.0;87.0;41.0;16.0;8.0;2.0;3.0;2.0;4.0;13.0;6.0;8.0;39.0;26.0;-42.0;-17.0;-7.0;-9.0;-17.0;9.0;8.0;35.0;29.0;61.0;33.0;14.0;-25.0;-18.0;-46.0;-21.0;-7.0;6.0;-31.0;-61.0;-41.0;-30.0;-69.0;-44.0;-29.0;-22.0;-18.0;-7.0;-7.0;-44.0;0.0;2.0;16:45:00;1.0;UDI;JUV
FIO X ATT 16-10-2016;170 (83%);70 (67%);240 (78%);244 (87%);259 (89%);503 (88%);8;11;19;3;3;6;43%;27%;36%;57%;73%;64%;1;2;3;2;2;4;2;4;6;2;5;7;;;;;;;35;27;62;18;19;37;17;14;3;2;5;2;1;3;;;;;;;2;0;2;1;1;2;205;104;309;280;291;571;;;;;;;5;5;10;5;5;10;5;2;7;2;5;7;2;1;3;3;3;6;3;0;3;2;5;7;8;5;13;7;10;17;1;2;3;1;2;3;0.0;2016-10-16;-10.0;45.0;29.0;19.0;18.0;8.0;6.0;-50.0;65.0;26.0;17.0;6.0;16.0;45.0;20.0;29.0;24.0;15.0;8.0;-29.0;-18.0;-44.0;6.0;-29.0;-12.0;6.0;6.0;11.0;11.0;5.0;41.0;28.0;20.0;5.0;25.0;14.0;-41.0;-27.0;34.0;1.0;;-73.0;-15.0;-4.0;14.0;-42.0;9.0;49.0;82.0;48.0;52.0;10.0;-39.0;-53.0;-28.0;-19.0;-23.0;-1.0;6.0;9.0;79.0;51.0;8.0;93.0;49.0;27.0;20.0;-16.0;17.0;9.0;1.0;5.0;43.0;60.0;39.0;33.0;23.0;15.0;-6.0;15.0;48.0;2.0;5.0;12.0;12.0;4.0;5.0;8.0;-15.0;-4.0;6.0;-40.0;0.0;08:30:00;0.0;ATT;FIO
GEN X EMP 16-10-2016;199 (84%);219 (87%);418 (85%);166 (83%);140 (80%);306 (81%);6;5;11;4;2;6;54%;59%;57%;46%;41%;43%;0;0;0;2;1;3;2;0;2;0;3;3;;;;;;;28;17;45;32;24;56;17;17;0;3;3;1;0;1;;;;;;;1;0;1;1;0;1;238;252;490;200;176;376;0;0;0;1;0;1;2;0;2;1;1;2;1;0;1;1;1;2;1;0;1;0;3;3;0;0;0;2;4;6;2;0;2;3;5;8;1;3;4;2;0;2;0.0;2016-10-16;10.0;1.0;1.0;6.0;-6.0;-2.0;-5.0;-8.0;-11.0;-6.0;-4.0;8.0;-2.0;-1.0;-1.0;10.0;4.0;2.0;1.0;-21.0;-36.0;42.0;8.0;10.0;9.0;5.0;3.0;2.0;-14.0;-6.0;-7.0;-3.0;2.0;12.0;-7.0;-44.0;-32.0;-25.0;-21.0;-18.0;;-14.0;-13.0;-18.0;-14.0;10.0;-7.0;-8.0;-15.0;-14.0;-14.0;34.0;8.0;39.0;18.0;6.0;-14.0;-11.0;-3.0;-8.0;-8.0;-8.0;21.0;19.0;16.0;18.0;18.0;6.0;17.0;6.0;4.0;3.0;3.0;3.0;36.0;16.0;4.0;-6.0;6.0;-4.0;-8.0;-7.0;-2.0;-3.0;-5.0;-10.0;-9.0;17.0;3.0;-5.0;-4.0;25.0;0.0;11:00:00;0.0;EMP;GEN
INT X CAG 16-10-2016;103 (70%);103 (68%);206 (69%);273 (88%);187 (83%);460 (86%);4;14;18;4;12;16;32%;41%;36%;68%;59%;64%;2;0;2;3;2;5;3;3;6;4;6;10;;;;;;;17;30;47;23;32;55;12;10;1;2;3;0;5;5;;;;;;;0;2;2;1;2;3;147;151;298;310;225;535;;;;;;;2;8;10;5;4;9;0;3;3;5;3;8;0;6;6;1;3;4;0;2;2;4;4;8;2;9;11;9;8;17;2;3;5;1;0;1;2.0;2016-10-16;10.0;20.0;18.0;16.0;15.0;13.0;8.0;7.0;7.0;7.0;7.0;11.0;7.0;-12.0;7.0;7.0;10.0;13.0;10.0;42.0;23.0;-37.0;17.0;23.0;62.0;36.0;29.0;26.0;19.0;13.0;28.0;38.0;23.0;16.0;55.0;38.0;32.0;29.0;53.0;30.0;;19.0;7.0;30.0;-29.0;-20.0;-6.0;-3.0;21.0;10.0;-30.0;-12.0;31.0;12.0;11.0;-41.0;-9.0;-9.0;15.0;8.0;3.0;9.0;9.0;8.0;9.0;4.0;36.0;-3.0;22.0;-79.0;-35.0;-12.0;-10.0;-12.0;44.0;28.0;20.0;21.0;3.0;16.0;30.0;21.0;-27.0;14.0;6.0;-52.0;-60.0;-9.0;-63.0;23.0;4.0;45.0;1.0;11:00:00;-1.0;CAG;INT
LAZ X BGN 16-10-2016;141 (75%);83 (70%);224 (73%);200 (86%);208 (85%);408 (85%);4;5;9;8;9;17;43%;31%;37%;57%;69%;63%;3;2;5;1;7;8;0;0;0;6;12;18;;;;;;;27;26;53;23;33;56;16;13;1;7;8;1;2;3;0;0;0;1;0;1;2;2;4;2;0;2;188;119;307;233;246;479;;;;;;;5;0;5;3;16;19;1;0;1;5;6;11;2;2;4;1;7;8;1;4;5;4;4;8;6;4;10;7;20;27;1;2;3;0;4;4;1.0;2016-10-16;0.0;-45.0;-47.0;-24.0;-10.0;9.0;1.0;1.0;-2.0;-33.0;-1.0;0.0;4.0;30.0;39.0;32.0;19.0;12.0;6.0;3.0;3.0;3.0;22.0;3.0;-2.0;-2.0;18.0;19.0;55.0;83.0;84.0;48.0;28.0;40.0;17.0;4.0;32.0;25.0;27.0;18.0;;29.0;3.0;6.0;7.0;15.0;33.0;48.0;38.0;29.0;100.0;77.0;49.0;99.0;69.0;39.0;10.0;21.0;46.0;21.0;19.0;48.0;41.0;47.0;-39.0;6.0;-2.0;11.0;71.0;43.0;32.0;53.0;65.0;38.0;26.0;19.0;13.0;14.0;9.0;42.0;69.0;85.0;59.0;69.0;42.0;26.0;21.0;61.0;78.0;31.0;5.0;85.0;1.0;11:00:00;0.0;BGN;LAZ
SAS X CRO 16-10-2016;97 (65%);101 (73%);198 (69%);265 (84%);270 (89%);535 (86%);4;5;9;9;5;14;33%;32%;32%;67%;68%;68%;3;2;5;3;3;6;1;0;1;5;10;15;;;;;;;27;22;49;28;33;61;22;10;4;3;7;0;0;0;0;2;2;1;1;2;2;2;4;1;0;1;150;139;289;317;302;619;;;;;;;1;3;4;6;7;13;0;2;2;3;4;7;1;0;1;4;5;9;3;1;4;4;5;9;4;4;8;10;12;22;1;2;3;0;1;1;1.0;2016-10-16;-1.0;97.0;62.0;42.0;43.0;26.0;15.0;15.0;10.0;6.0;5.0;-1.0;3.0;6.0;10.0;37.0;27.0;22.0;17.0;18.0;12.0;11.0;-78.0;5.0;6.0;33.0;29.0;26.0;50.0;39.0;27.0;21.0;23.0;-39.0;6.0;-5.0;5.0;66.0;43.0;30.0;-10.0;20.0;16.0;9.0;10.0;28.0;-7.0;19.0;9.0;5.0;-6.0;31.0;51.0;36.0;26.0;21.0;4.0;81.0;78.0;58.0;42.0;65.0;58.0;62.0;41.0;59.0;57.0;-4.0;37.0;25.0;19.0;19.0;16.0;15.0;60.0;82.0;54.0;63.0;32.0;66.0;29.0;12.0;8.0;54.0;32.0;21.0;100.0;65.0;36.0;64.0;18.0;-5.0;2.0;11:00:00;1.0;CRO;SAS
CHV X MIL 16-10-2016;218 (86%);189 (79%);407 (83%);178 (81%);146 (78%);324 (80%);6;9;15;13;8;21;53%;56%;54%;47%;44%;46%;2;4;6;1;1;2;0;2;2;4;3;7;;;;;;;22;37;59;28;20;48;13;17;2;2;4;0;3;3;;;;;;;0;2;2;4;1;5;253;238;491;220;187;407;;;;;;;1;5;6;2;1;3;2;3;5;1;0;1;1;4;5;2;3;5;4;7;11;2;3;5;5;11;16;4;4;8;1;1;2;1;2;3;3.0;2016-10-16;0.0;4.0;-6.0;-9.0;-13.0;-20.0;-24.0;-9.0;-1.0;1.0;-1.0;0.0;31.0;23.0;54.0;33.0;25.0;48.0;24.0;7.0;-5.0;-5.0;6.0;-1.0;5.0;12.0;3.0;-5.0;-29.0;-16.0;-9.0;7.0;-5.0;3.0;35.0;18.0;12.0;9.0;-6.0;-7.0;-105.0;-4.0;-80.0;-50.0;-33.0;-6.0;-15.0;-10.0;16.0;5.0;-10.0;-10.0;-12.0;-13.0;-37.0;-26.0;39.0;-35.0;-25.0;-19.0;-14.0;-7.0;-67.0;-78.0;-45.0;-26.0;-14.0;10.0;6.0;29.0;24.0;17.0;12.0;14.0;1.0;70.0;36.0;11.0;10.0;-6.0;-1.0;-10.0;-11.0;13.0;-28.0;25.0;11.0;16.0;52.0;15.0;32.0;-70.0;1.0;16:45:00;-1.0;MIL;CHV
PAL X TOR 17-10-2016;173 (82%);146 (85%);319 (84%);212 (87%);237 (88%);449 (88%);3;3;6;4;4;8;48%;38%;43%;52%;62%;57%;2;3;5;2;2;4;3;3;6;3;7;10;;;;;;;22;26;48;28;29;57;23;15;0;2;2;2;1;3;0;0;0;0;1;1;2;1;3;0;0;0;210;171;381;243;269;512;;;;;;;5;2;7;5;6;11;1;2;3;4;5;9;5;2;7;1;2;3;3;5;8;2;3;5;8;7;15;7;9;16;1;1;2;2;2;4;4.0;2016-10-17;1.0;16.0;11.0;57.0;21.0;11.0;-7.0;14.0;7.0;22.0;-29.0;-20.0;-12.0;-12.0;-12.0;-12.0;6.0;-5.0;-81.0;-24.0;-15.0;-10.0;-8.0;-11.0;-24.0;24.0;3.0;1.0;-7.0;8.0;-12.0;-12.0;-2.0;-7.0;-51.0;-26.0;-5.0;-6.0;-7.0;4.0;-75.0;4.0;-27.0;-9.0;-1.0;-41.0;-21.0;-100.0;-57.0;35.0;23.0;17.0;20.0;9.0;1.0;-63.0;66.0;-34.0;-18.0;-7.0;28.0;13.0;63.0;61.0;85.0;52.0;61.0;23.0;6.0;6.0;-5.0;5.0;17.0;8.0;26.0;50.0;33.0;22.0;16.0;17.0;17.0;42.0;33.0;18.0;3.0;6.0;-15.0;-3.0;6.0;12.0;6.0;85.0;1.0;16:45:00;-1.0;TOR;PAL
SAM X GEN 22-10-2016;156 (83%);193 (85%);349 (84%);94 (67%);59 (57%);153 (62%);10;11;21;11;6;17;57%;69%;63%;43%;31%;37%;1;0;1;0;2;2;3;3;6;3;2;5;0;0;0;0;1;1;27;27;54;32;23;55;15;12;4;2;6;2;2;4;2;0;2;2;0;2;1;3;4;0;3;3;187;228;415;141;104;245;;;;;;;4;4;8;6;6;12;2;2;4;3;2;5;3;2;5;5;2;7;2;0;2;2;1;3;6;4;10;8;6;14;1;2;3;0;2;2;1.0;2016-10-22;-10.0;-15.0;-12.0;48.0;99.0;55.0;-47.0;-12.0;-15.0;-19.0;-37.0;-10.0;-20.0;-13.0;-8.0;-6.0;-3.0;-78.0;-49.0;-7.0;-3.0;-5.0;-11.0;-4.0;-8.0;-32.0;-15.0;-44.0;-30.0;-22.0;16.0;3.0;11.0;46.0;78.0;42.0;19.0;11.0;-29.0;-11.0;5.0;108.0;100.0;100.0;67.0;17.0;40.0;-20.0;-5.0;-12.0;36.0;12.0;4.0;3.0;37.0;46.0;9.0;24.0;12.0;4.0;-3.0;-7.0;-7.0;-7.0;-22.0;-84.0;-56.0;3.0;-29.0;-24.0;-19.0;-18.0;-14.0;-13.0;-12.0;-16.0;-13.0;-7.0;-4.0;-28.0;-24.0;-21.0;-20.0;-83.0;-59.0;-41.0;-35.0;-38.0;-20.0;-32.0;-13.0;10.0;2.0;14:00:00;1.0;GEN;SAM
MIL X JUV 22-10-2016;190 (84%);202 (85%);392 (84%);123 (69%);125 (77%);248 (73%);9;4;13;6;2;8;56%;61%;59%;44%;39%;41%;2;2;4;2;3;5;3;6;9;3;2;5;;;;;;;23;21;44;30;21;51;14;19;1;0;1;2;1;3;;;;;;;4;2;6;2;0;2;227;237;464;178;163;341;;;;;;;2;8;10;1;2;3;4;11;15;1;0;1;2;1;3;1;1;2;6;6;12;3;2;5;8;14;22;4;4;8;2;1;3;1;3;4;0.0;2016-10-22;-10.0;45.0;61.0;40.0;17.0;5.0;-12.0;-52.0;-33.0;-20.0;-13.0;-13.0;-4.0;-8.0;-36.0;-58.0;-30.0;24.0;-4.0;19.0;19.0;4.0;-10.0;-7.0;-3.0;-38.0;-53.0;-36.0;-31.0;-15.0;-38.0;-22.0;-9.0;-49.0;39.0;14.0;15.0;12.0;-17.0;-13.0;0.0;-35.0;-55.0;-41.0;-63.0;-37.0;-41.0;-36.0;-44.0;-21.0;-6.0;-24.0;-21.0;-13.0;-16.0;-12.0;-23.0;-8.0;-7.0;13.0;2.0;-16.0;10.0;41.0;23.0;14.0;9.0;-15.0;4.0;-30.0;-18.0;-60.0;-56.0;-63.0;-35.0;-16.0;-11.0;-10.0;-6.0;5.0;-6.0;-15.0;-15.0;-20.0;-17.0;-15.0;-13.0;-17.0;-44.0;-23.0;-2.0;-120.0;1.0;16:45:00;1.0;JUV;MIL
UDI X PES 23-10-2016;255 (86%);264 (87%);519 (86%);171 (80%);130 (81%);301 (80%);1;4;5;2;6;8;59%;65%;62%;41%;35%;38%;2;2;4;0;1;1;1;2;3;1;5;6;;;;;;;16;24;40;19;28;47;9;12;0;1;1;0;2;2;1;0;1;0;0;0;2;0;2;1;0;1;298;303;601;214;161;375;;;;;;;3;3;6;3;3;6;4;5;9;2;2;4;0;3;3;1;3;4;3;7;10;0;3;3;6;10;16;3;6;9;1;0;1;1;1;2;1.0;2016-10-23;3.0;68.0;38.0;22.0;38.0;14.0;2.0;-4.0;-4.0;-8.0;-18.0;3.0;-1.0;-7.0;-10.0;-13.0;-8.0;-13.0;-14.0;-40.0;-60.0;-32.0;-28.0;-23.0;-18.0;-12.0;-9.0;-4.0;-6.0;-31.0;-20.0;-8.0;-6.0;-7.0;-9.0;-9.0;-11.0;25.0;12.0;10.0;5.0;2.0;7.0;5.0;-5.0;-2.0;55.0;-45.0;-15.0;-41.0;-28.0;-24.0;-20.0;-15.0;-65.0;-37.0;36.0;-27.0;-21.0;-17.0;-11.0;-4.0;-20.0;-9.0;-2.0;-34.0;23.0;25.0;-6.0;30.0;91.0;51.0;23.0;-75.0;-71.0;-47.0;-27.0;-14.0;11.0;-2.0;-5.0;1.0;1.0;1.0;1.0;-20.0;-10.0;-5.0;-2.0;47.0;-1.0;55.0;3.0;08:30:00;1.0;PES;UDI
ATT X INT 23-10-2016;161 (78%);201 (79%);362 (79%);224 (83%);143 (81%);367 (82%);0;8;8;6;6;12;43%;59%;51%;57%;41%;49%;0;0;0;0;1;1;0;0;0;2;2;4;;;;;;;29;24;53;26;23;49;12;19;2;4;6;0;3;3;;;;;;;0;0;0;0;1;1;207;253;460;271;177;448;;;;;;;0;2;2;3;4;7;1;2;3;1;1;2;0;4;4;3;5;8;1;4;5;1;3;4;1;6;7;4;7;11;0;1;1;0;2;2;1.0;2016-10-23;-10.0;18.0;100.0;71.0;48.0;71.0;46.0;25.0;7.0;8.0;6.0;-5.0;7.0;-7.0;6.0;4.0;9.0;12.0;7.0;4.0;2.0;0.0;-2.0;0.0;24.0;13.0;7.0;4.0;2.0;-1.0;-1.0;40.0;18.0;1.0;10.0;5.0;-26.0;-21.0;-8.0;4.0;5.0;5.0;7.0;-4.0;-9.0;6.0;-11.0;-83.0;-51.0;-31.0;-19.0;-52.0;-26.0;-17.0;-41.0;-25.0;8.0;34.0;61.0;40.0;60.0;34.0;56.0;29.0;60.0;27.0;15.0;9.0;36.0;27.0;23.0;8.0;8.0;-5.0;21.0;11.0;2.0;-15.0;-8.0;-77.0;-50.0;-38.0;-25.0;-16.0;-7.0;-7.0;-42.0;72.0;24.0;32.0;6.0;0.0;2.0;11:00:00;1.0;INT;ATT
CAG X FIO 23-10-2016;230 (91%);267 (87%);497 (89%);117 (77%);123 (71%);240 (74%);1;3;4;4;6;10;63%;64%;64%;37%;36%;36%;4;1;5;0;2;2;4;3;7;1;3;4;;;;;;;18;27;45;15;20;35;7;20;2;0;2;1;2;3;;;;;;;0;2;2;1;0;1;252;306;558;152;173;325;;;;;;;4;6;10;4;4;8;1;5;6;1;2;3;5;3;8;3;2;5;6;3;9;0;2;2;10;9;19;4;6;10;1;1;2;1;1;2;5.0;2016-10-23;10.0;-26.0;-22.0;-15.0;-11.0;-10.0;-3.0;-18.0;91.0;27.0;-32.0;11.0;-13.0;-100.0;-69.0;-35.0;-14.0;-35.0;-20.0;-94.0;-57.0;-35.0;91.0;-19.0;-12.0;-77.0;-45.0;-30.0;-17.0;71.0;36.0;16.0;4.0;59.0;-81.0;-45.0;-45.0;-31.0;-23.0;-11.0;0.0;-3.0;3.0;-7.0;-41.0;35.0;-23.0;-38.0;-26.0;-44.0;-100.0;-60.0;-19.0;-11.0;-49.0;-23.0;18.0;-14.0;-10.0;99.0;57.0;33.0;13.0;12.0;-1.0;-1.0;-21.0;8.0;-18.0;-10.0;-5.0;-2.0;1.0;-60.0;-29.0;-16.0;97.0;47.0;-3.0;28.0;13.0;-34.0;-26.0;-24.0;-17.0;-13.0;27.0;13.0;5.0;-44.0;-3.0;30.0;3.0;11:00:00;-1.0;FIO;CAG
CRO X NAP 23-10-2016;278 (85%);134 (73%);412 (81%);126 (67%);147 (79%);273 (73%);7;5;12;2;5;7;64%;48%;57%;36%;52%;43%;4;0;4;2;2;4;4;3;7;1;6;7;0;0;0;0;1;1;20;38;58;19;18;37;9;20;1;2;3;2;3;5;0;0;0;0;1;1;1;0;1;1;0;1;327;184;511;187;186;373;1;0;1;0;0;0;8;3;11;2;7;9;1;0;1;1;3;4;4;4;8;1;3;4;1;1;2;2;1;3;9;4;13;4;8;12;0;0;0;1;1;2;2.0;2016-10-23;10.0;-19.0;-13.0;-17.0;-9.0;-34.0;-24.0;-62.0;-36.0;-21.0;-85.0;-7.0;-49.0;-28.0;-16.0;-8.0;-6.0;-8.0;-10.0;-12.0;-12.0;12.0;-6.0;43.0;25.0;29.0;11.0;-62.0;-32.0;-64.0;-75.0;-49.0;-23.0;-10.0;-13.0;-3.0;-4.0;4.0;-2.0;-61.0;;54.0;8.0;-22.0;-11.0;-7.0;-3.0;-6.0;-4.0;-1.0;-1.0;5.0;3.0;3.0;3.0;3.0;-44.0;7.0;14.0;13.0;16.0;61.0;42.0;25.0;-44.0;33.0;7.0;-34.0;-38.0;-20.0;-9.0;-43.0;-81.0;-46.0;-27.0;-17.0;105.0;61.0;-24.0;-41.0;20.0;9.0;10.0;5.0;7.0;3.0;3.0;57.0;34.0;-24.0;100.0;5.0;1.0;11:00:00;-1.0;NAP;CRO
EMP X CHV 23-10-2016;142 (76%);146 (74%);288 (75%);172 (82%);172 (76%);344 (79%);7;9;16;4;6;10;47%;48%;47%;53%;52%;53%;2;2;4;2;2;4;1;2;3;2;4;6;;;;;;;28;29;57;33;35;68;28;16;1;2;3;2;0;2;;;;;;;3;1;4;1;0;1;188;197;385;210;225;435;0;1;1;0;0;0;2;2;4;1;3;4;1;6;7;0;1;1;2;0;2;1;2;3;3;6;9;2;2;4;5;8;13;3;5;8;1;4;5;2;1;3;0.0;2016-10-23;-8.0;-37.0;-18.0;-17.0;-6.0;3.0;9.0;52.0;31.0;18.0;15.0;-4.0;-17.0;-7.0;5.0;-5.0;-48.0;-28.0;-17.0;40.0;23.0;-24.0;-2.0;7.0;8.0;4.0;4.0;12.0;4.0;4.0;3.0;-4.0;1.0;2.0;4.0;5.0;7.0;-8.0;-14.0;9.0;5.0;-47.0;-25.0;-16.0;-11.0;2.0;-8.0;-3.0;-3.0;24.0;11.0;-7.0;3.0;-33.0;-17.0;-7.0;2.0;-6.0;-8.0;-6.0;-27.0;-45.0;52.0;8.0;-7.0;-59.0;-56.0;1.0;-36.0;-25.0;-43.0;-20.0;-9.0;-4.0;7.0;25.0;16.0;20.0;-5.0;13.0;23.0;13.0;13.0;32.0;23.0;22.0;52.0;77.0;50.0;-62.0;36.0;5.0;0.0;11:00:00;0.0;CHV;EMP
