game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
SAN X OSN 02-08-2019;FT;0;1;False;90;999;period
BOC X ARM 02-08-2019;FT;3;3;False;90;999;period
STP X FUR 02-08-2019;FT;1;3;False;90;999;period
STP X FUR 02-08-2019;HT;1;2;False;45;999;period
KAR X DRE 03-08-2019;FT;4;2;False;90;999;period
HEI X STU 04-08-2019;FT;2;2;False;90;999;period
D98 X HKI 04-08-2019;FT;2;0;False;90;999;period
D98 X HKI 04-08-2019;HT;1;0;False;45;999;period
AUE X WEH 04-08-2019;FT;3;2;False;90;999;period
AUE X WEH 04-08-2019;HT;2;1;False;45;999;period
NUR X HSV 05-08-2019;FT;0;4;False;90;999;period
NUR X HSV 05-08-2019;HT;0;2;False;45;999;period
OSN X D98 19-08-2019;FT;4;0;False;90;999;period
D98 X DRE 23-08-2019;FT;0;0;False;90;999;period
BOC X WEH 24-08-2019;HT;0;3;False;45;999;period
KAR X HSV 25-08-2019;FT;2;4;False;90;999;period
DRE X STP 31-08-2019;HT;1;3;False;45;999;period
WEH X JAH 31-08-2019;FT;0;5;False;90;999;period
HSV X H96 01-09-2019;FT;3;0;False;90;999;period
HEI X HKI 14-09-2019;HT;2;0;False;45;999;period
JAH X STU 14-09-2019;FT;2;3;False;90;999;period
WEH X ARM 21-09-2019;FT;2;5;False;90;999;period
AUE X DRE 29-09-2019;FT;4;1;False;90;999;period
AUE X DRE 29-09-2019;HT;3;1;False;45;999;period
AUE X NUR 18-10-2019;FT;4;3;False;90;999;period
BOC X KAR 20-10-2019;HT;3;2;False;45;999;period
HSV X STU 26-10-2019;FT;6;2;False;90;999;period
BOC X NUR 04-11-2019;HT;3;0;False;45;999;period
NUR X ARM 10-11-2019;FT;1;5;False;90;999;period
WEH X HKI 23-11-2019;FT;3;6;False;90;999;period
WEH X HKI 23-11-2019;HT;2;4;False;45;999;period
ARM X JAH 09-02-2020;FT;6;0;False;90;999;period
BOC X SAN 01-03-2020;FT;4;4;False;90;999;period
BOC X SAN 01-03-2020;HT;2;2;False;45;999;period
OSN X WEH 06-03-2020;FT;2;6;False;90;999;period
OSN X WEH 06-03-2020;HT;2;5;False;45;999;period
WEH X NUR 16-06-2020;FT;0;6;False;90;999;period
STU X SAN 17-06-2020;FT;5;1;False;90;999;period
STU X SAN 17-06-2020;HT;4;0;False;45;999;period
WEH X STP 28-06-2020;FT;5;3;False;90;999;period
