game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
HSV X STU 26-10-2019;;True;849;goalAwarded;varDecision;True;{'name': 'Bakery Jatta', 'slug': 'bakery-jatta', 'shortName': 'B. Jatta', 'position': 'M', 'userCount': 311, 'id': 842526};24
OSN X FUR 27-10-2019;;False;884;goalAwarded;varDecision;False;{'name': 'Branimir Hrgota', 'slug': 'branimir-hrgota', 'shortName': 'B. Hrgota', 'position': 'F', 'userCount': 155, 'id': 148076};44
STP X KAR 02-11-2019;;True;956;penaltyAwarded;varDecision;True;{'name': 'Daniel Buballa', 'slug': 'daniel-buballa', 'shortName': 'D. Buballa', 'position': 'D', 'userCount': 14, 'id': 146927};48
FUR X D98 02-11-2019;;False;958;penaltyAwarded;varDecision;False;{'name': 'Tim Skarke', 'slug': 'tim-skarke', 'shortName': 'T. Skarke', 'position': 'M', 'userCount': 16, 'id': 800252};78
STU X DRE 03-11-2019;;False;983;penaltyNotAwarded;varDecision;False;{'name': 'Moussa Koné', 'slug': 'moussa-kone', 'shortName': 'M. Koné', 'position': 'F', 'userCount': 268, 'id': 796085};49
WEH X HSV 03-11-2019;;False;984;cardUpgrade;varDecision;True;{'name': 'Stefan Aigner', 'slug': 'stefan-aigner', 'shortName': 'S. Aigner', 'position': 'M', 'userCount': 41, 'id': 15803};56
DRE X WEH 08-11-2019;;False;1020;goalAwarded;varDecision;False;{'name': 'Manuel Schäffler', 'slug': 'manuel-schaffler', 'shortName': 'M. Schäffler', 'position': 'F', 'userCount': 166, 'id': 26758};27
NUR X ARM 10-11-2019;;True;1052;cardUpgrade;varDecision;True;{'name': 'Enrico Valentini', 'slug': 'enrico-valentini', 'shortName': 'E. Valentini', 'position': 'D', 'userCount': 55, 'id': 40197};27
D98 X JAH 10-11-2019;;False;1055;penaltyNotAwarded;varDecision;True;{'name': 'Serdar Dursun', 'slug': 'serdar-dursun', 'shortName': 'S. Dursun', 'position': 'F', 'userCount': 191, 'id': 123917};71
KAR X AUE 11-11-2019;;False;1081;penaltyAwarded;varDecision;True;{'name': 'Marvin Pourié', 'slug': 'marvin-pourie', 'shortName': 'M. Pourié', 'position': 'F', 'userCount': 38, 'id': 46338};84
KAR X AUE 11-11-2019;;False;1080;cardUpgrade;varDecision;False;{'name': 'Jan Hochscheidt', 'slug': 'jan-hochscheidt', 'shortName': 'J. Hochscheidt', 'position': 'F', 'userCount': 49, 'id': 26825};40
