game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
ARM X STP 29-07-2019;1.0;2019-07-29;10.0;18.0;5.0;-5.0;-18.0;-10.0;-11.0;-6.0;34.0;20.0;15.0;18.0;29.0;19.0;10.0;5.0;4.0;10.0;12.0;31.0;24.0;20.0;14.0;18.0;18.0;-15.0;-29.0;-11.0;-6.0;9.0;8.0;7.0;6.0;-18.0;2.0;-3.0;-5.0;-21.0;16.0;-4.0;21.0;10.0;-9.0;53.0;37.0;-15.0;43.0;85.0;100.0;100.0;56.0;6.0;-3.0;8.0;-7.0;-30.0;-2.0;-12.0;-6.0;17.0;50.0;36.0;35.0;29.0;38.0;43.0;22.0;4.0;18.0;17.0;23.0;12.0;6.0;-7.0;6.0;16.0;69.0;95.0;8.0;63.0;49.0;42.0;21.0;7.0;43.0;40.0;24.0;14.0;34.0;28.0;81.0;36.0;1.0;16:30:00;0.0;STP;ARM
SAN X OSN 02-08-2019;1.0;2019-08-02;-6.0;21.0;14.0;19.0;12.0;7.0;5.0;15.0;11.0;4.0;29.0;-2.0;15.0;3.0;42.0;32.0;30.0;6.0;7.0;6.0;31.0;25.0;-11.0;6.0;5.0;3.0;12.0;2.0;10.0;12.0;-9.0;-1.0;7.0;-7.0;-22.0;56.0;31.0;6.0;8.0;37.0;;5.0;4.0;3.0;11.0;-59.0;7.0;1.0;16.0;17.0;23.0;38.0;25.0;20.0;19.0;6.0;-26.0;3.0;9.0;2.0;4.0;4.0;-4.0;-2.0;3.0;26.0;31.0;-15.0;77.0;46.0;30.0;15.0;12.0;-30.0;-11.0;-15.0;-4.0;-26.0;18.0;-12.0;-6.0;-47.0;-34.0;-17.0;-21.0;13.0;6.0;6.0;8.0;20.0;-20.0;66.0;0.0;14:30:00;-1.0;OSN;SAN
BOC X ARM 02-08-2019;3.0;2019-08-02;8.0;1.0;-12.0;-12.0;-47.0;-30.0;-19.0;-12.0;-5.0;38.0;22.0;18.0;11.0;8.0;37.0;-31.0;-31.0;-19.0;-12.0;-13.0;-10.0;-8.0;17.0;-20.0;-46.0;-77.0;-47.0;29.0;-7.0;-36.0;-12.0;-2.0;13.0;40.0;25.0;22.0;13.0;-19.0;70.0;42.0;;27.0;14.0;6.0;40.0;30.0;62.0;38.0;24.0;23.0;-24.0;-36.0;-69.0;-40.0;-21.0;37.0;24.0;15.0;14.0;12.0;-17.0;-1.0;28.0;51.0;29.0;36.0;-31.0;47.0;-10.0;-14.0;-43.0;52.0;43.0;-33.0;6.0;11.0;18.0;14.0;3.0;32.0;50.0;56.0;10.0;-12.0;-6.0;25.0;15.0;27.0;13.0;9.0;51.0;-12.0;3.0;14:30:00;0.0;ARM;BOC
STP X FUR 02-08-2019;3.0;2019-08-02;-5.0;55.0;35.0;100.0;100.0;80.0;13.0;23.0;-28.0;-41.0;-25.0;5.0;-7.0;-4.0;6.0;11.0;21.0;78.0;78.0;54.0;32.0;-30.0;2.0;38.0;20.0;51.0;37.0;27.0;-48.0;-48.0;-31.0;-13.0;-1.0;2.0;8.0;22.0;28.0;21.0;28.0;31.0;43.0;42.0;47.0;27.0;48.0;2.0;30.0;4.0;-3.0;-2.0;54.0;30.0;19.0;12.0;-30.0;-12.0;3.0;31.0;67.0;40.0;20.0;23.0;11.0;-9.0;-3.0;-8.0;-25.0;2.0;-55.0;-28.0;-15.0;-5.0;4.0;9.0;22.0;17.0;25.0;63.0;29.0;37.0;34.0;29.0;28.0;27.0;26.0;11.0;6.0;22.0;14.0;22.0;10.0;-1.0;1.0;16:30:00;-1.0;FUR;STP
KAR X DRE 03-08-2019;2.0;2019-08-03;-10.0;-25.0;-35.0;-26.0;-21.0;-19.0;-12.0;-13.0;-10.0;-3.0;-3.0;-17.0;-3.0;4.0;1.0;50.0;42.0;-33.0;-22.0;-55.0;-41.0;-26.0;-10.0;-18.0;-10.0;33.0;20.0;11.0;7.0;-12.0;-14.0;-18.0;-23.0;36.0;-36.0;-23.0;-14.0;-7.0;6.0;-21.0;36.0;10.0;-15.0;-26.0;-20.0;13.0;-51.0;-28.0;-13.0;-8.0;47.0;7.0;3.0;20.0;30.0;14.0;12.0;31.0;40.0;11.0;-6.0;47.0;43.0;-36.0;-12.0;42.0;12.0;-31.0;-6.0;-6.0;-17.0;-67.0;-39.0;28.0;12.0;18.0;12.0;16.0;-32.0;5.0;46.0;20.0;6.0;-3.0;-15.0;-55.0;45.0;6.0;-5.0;-29.0;-50.0;-51.0;4.0;09:00:00;1.0;DRE;KAR
H96 X JAH 03-08-2019;1.0;2019-08-03;4.0;30.0;13.0;12.0;54.0;52.0;47.0;34.0;39.0;19.0;6.0;-5.0;4.0;24.0;9.0;3.0;-34.0;-20.0;-14.0;-15.0;-24.0;-69.0;7.0;-53.0;-29.0;-14.0;42.0;28.0;33.0;24.0;17.0;38.0;9.0;-25.0;11.0;7.0;-36.0;-22.0;-8.0;-2.0;-2.0;64.0;39.0;25.0;17.0;30.0;66.0;37.0;1.0;7.0;9.0;6.0;16.0;59.0;40.0;49.0;11.0;47.0;32.0;11.0;3.0;5.0;6.0;8.0;43.0;28.0;15.0;14.0;12.0;9.0;37.0;24.0;58.0;31.0;-38.0;-13.0;-2.0;20.0;21.0;-66.0;-22.0;-45.0;-20.0;46.0;38.0;20.0;23.0;58.0;35.0;42.0;57.0;24.0;1.0;11:30:00;0.0;JAH;H96
HEI X STU 04-08-2019;2.0;2019-08-04;4.0;-21.0;-16.0;-25.0;-22.0;-20.0;-38.0;-1.0;1.0;9.0;-6.0;9.0;-33.0;-23.0;-16.0;-36.0;-46.0;-33.0;-88.0;-55.0;-72.0;-44.0;8.0;-57.0;-31.0;21.0;-57.0;-38.0;-44.0;-4.0;-7.0;6.0;-7.0;7.0;2.0;-4.0;18.0;7.0;45.0;19.0;;-6.0;-32.0;-78.0;-61.0;5.0;-42.0;-92.0;-100.0;-40.0;-18.0;-10.0;-6.0;-23.0;-40.0;-44.0;-48.0;-29.0;-29.0;-22.0;34.0;15.0;39.0;27.0;-21.0;-49.0;-49.0;-28.0;-49.0;-28.0;-17.0;-12.0;-27.0;-10.0;-9.0;27.0;48.0;54.0;-24.0;25.0;32.0;15.0;-13.0;-1.0;29.0;17.0;-12.0;3.0;4.0;-22.0;-18.0;8.0;2.0;09:30:00;0.0;STU;HEI
D98 X HKI 04-08-2019;0.0;2019-08-04;10.0;18.0;19.0;36.0;18.0;-15.0;-29.0;-20.0;-37.0;-39.0;-25.0;21.0;-16.0;-12.0;-25.0;22.0;34.0;18.0;-14.0;-2.0;-20.0;-22.0;49.0;-11.0;-34.0;-25.0;-21.0;-62.0;-43.0;-80.0;-43.0;-23.0;-16.0;35.0;-52.0;-26.0;-17.0;-28.0;-23.0;-7.0;-20.0;-12.0;-17.0;-57.0;-35.0;19.0;42.0;41.0;18.0;19.0;27.0;5.0;-7.0;-11.0;-32.0;-26.0;10.0;-14.0;-10.0;14.0;21.0;40.0;20.0;15.0;11.0;9.0;-39.0;-10.0;-49.0;-75.0;-51.0;-37.0;-25.0;-42.0;-96.0;-64.0;-67.0;-63.0;-4.0;-87.0;-62.0;-44.0;-49.0;-35.0;-41.0;-35.0;-60.0;-42.0;-34.0;35.0;-68.0;-24.0;2.0;11:30:00;1.0;HKI;D98
AUE X WEH 04-08-2019;2.0;2019-08-04;10.0;-6.0;13.0;8.0;5.0;-14.0;-5.0;-43.0;-50.0;-31.0;56.0;9.0;24.0;18.0;14.0;10.0;6.0;-4.0;55.0;20.0;41.0;25.0;8.0;14.0;8.0;-92.0;-100.0;-63.0;38.0;-2.0;11.0;9.0;-29.0;22.0;-39.0;-25.0;-39.0;-36.0;-68.0;-36.0;-38.0;-24.0;-23.0;-6.0;-18.0;16.0;-5.0;-30.0;-7.0;-6.0;6.0;7.0;-7.0;6.0;2.0;-3.0;7.0;-2.0;-7.0;-9.0;-8.0;-17.0;-47.0;-55.0;-32.0;-49.0;-30.0;-33.0;-44.0;-34.0;-31.0;-18.0;-10.0;-27.0;-18.0;-23.0;-17.0;-19.0;-12.0;36.0;52.0;30.0;47.0;26.0;-14.0;-7.0;-41.0;-42.0;-84.0;-2.0;-53.0;-13.0;3.0;11:30:00;1.0;WEH;AUE
NUR X HSV 05-08-2019;4.0;2019-08-05;-2.0;-9.0;-2.0;-18.0;-10.0;-6.0;-25.0;-28.0;-14.0;-8.0;-5.0;-3.0;3.0;5.0;40.0;25.0;22.0;23.0;15.0;11.0;-34.0;-20.0;-5.0;-31.0;-32.0;-40.0;-19.0;-6.0;7.0;-7.0;2.0;9.0;2.0;-2.0;-6.0;-5.0;31.0;6.0;21.0;18.0;-33.0;-24.0;-25.0;-9.0;-3.0;17.0;4.0;41.0;28.0;-35.0;-17.0;31.0;8.0;62.0;36.0;19.0;4.0;8.0;10.0;6.0;40.0;22.0;19.0;16.0;39.0;-76.0;-67.0;-31.0;-37.0;-18.0;-65.0;-55.0;-26.0;35.0;16.0;9.0;5.0;1.0;-23.0;-8.0;-15.0;-30.0;-13.0;-3.0;-8.0;-8.0;-1.0;-8.0;-3.0;-17.0;2.0;-9.0;0.0;16:30:00;-1.0;HSV;NUR
