game;length;time;addedTime;incidentType
MCI X LIV 2014-08-25;5;90;0;injuryTime
MCI X LIV 2014-08-25;1;45;0;injuryTime
MCI X TOT 2014-10-18;3;90;0;injuryTime
MCI X TOT 2014-10-18;3;45;0;injuryTime
NEW X CHE 2014-12-06;6;90;0;injuryTime
CHE X MCI 2015-01-31;2;45;0;injuryTime
SWA X LIV 2015-03-16;4;90;0;injuryTime
MCI X WBA 2015-03-21;2;90;0;injuryTime
SUN X CRY 2015-04-11;4;45;0;injuryTime
MCI X WES 2015-04-19;9;90;0;injuryTime
SOU X TOT 2015-04-25;7;90;0;injuryTime
LEI X SOU 2015-05-09;5;45;0;injuryTime
