game;addedTime;id;incidentClass;incidentType;isHome;player;reason;time
NEW X TOT 2015-04-19;;118297074;yellow;card;False;{'name': 'Érik Lamela', 'slug': 'erik-lamela', 'shortName': 'É. Lamela', 'position': 'M', 'userCount': 2874, 'id': 122702};Foul;45
NEW X TOT 2015-04-19;;118297072;yellow;card;False;{'name': 'Paulinho', 'slug': 'paulinho', 'shortName': 'Paulinho', 'position': 'M', 'userCount': 4019, 'id': 115183};Off the ball foul;42
NEW X TOT 2015-04-19;;118297052;yellow;card;True;{'name': 'Jack Colback', 'slug': 'jack-colback', 'shortName': 'J. Colback', 'position': 'M', 'userCount': 61, 'id': 40686};Foul;40
HUL X LIV 2015-04-28;5.0;118301951;yellow;card;True;{'name': 'Gastón Ramírez', 'slug': 'gaston-ramirez', 'shortName': 'G. Ramírez', 'position': 'M', 'userCount': 736, 'id': 135590};Time wasting;90
HUL X LIV 2015-04-28;;118301856;yellow;card;True;{'name': 'Jake Livermore', 'slug': 'jake-livermore', 'shortName': 'J. Livermore', 'position': 'M', 'userCount': 96, 'id': 34578};Foul;39
ARS X SUN 2015-05-20;;118313199;yellow;card;True;{'name': 'Aaron Ramsey', 'slug': 'aaron-ramsey', 'shortName': 'A. Ramsey', 'position': 'M', 'userCount': 6366, 'id': 23571};Foul;18
SOU X TOT 2015-04-25;6.0;118299080;yellow;card;False;{'name': 'Federico Fazio', 'slug': 'federico-fazio', 'shortName': 'F. Fazio', 'position': 'D', 'userCount': 1226, 'id': 27569};Foul;90
SOU X TOT 2015-04-25;;118299047;yellow;card;True;{'name': 'Steven Davis', 'slug': 'steven-davis', 'shortName': 'S. Davis', 'position': 'M', 'userCount': 147, 'id': 559};Foul;66
SOU X TOT 2015-04-25;;118299012;yellow;card;False;{'name': 'Ben Davies', 'slug': 'ben-davies', 'shortName': 'B. Davies', 'position': 'D', 'userCount': 1371, 'id': 94758};Foul;34
SOU X TOT 2015-04-25;;118299011;yellow;card;False;{'name': 'Jan Vertonghen', 'slug': 'jan-vertonghen', 'shortName': 'J. Vertonghen', 'position': 'D', 'userCount': 3150, 'id': 16921};Foul;31
BUR X LEI 2015-04-25;;118299401;yellow;card;True;{'name': 'Ross Wallace', 'slug': 'ross-wallace', 'shortName': 'R. Wallace', 'position': 'M', 'userCount': 21, 'id': 9046};Foul;85
BUR X LEI 2015-04-25;;118299375;yellow;card;True;{'name': 'Danny Ings', 'slug': 'danny-ings', 'shortName': 'D. Ings', 'position': 'F', 'userCount': 2756, 'id': 130181};Foul;73
BUR X LEI 2015-04-25;;118299365;yellow;card;True;{'name': 'Ben Mee', 'slug': 'ben-mee', 'shortName': 'B. Mee', 'position': 'D', 'userCount': 309, 'id': 137774};Foul;66
NEW X SWA 2015-04-25;4.0;118299448;yellow;card;False;{'name': 'Marvin Emnes', 'slug': 'marvin-emnes', 'shortName': 'M. Emnes', 'position': 'F', 'userCount': 24, 'id': 14212};Unsporting behaviour;90
NEW X SWA 2015-04-25;;118299289;yellow;card;False;{'name': 'Jordi Amat', 'slug': 'jordi-amat', 'shortName': 'J. Amat', 'position': 'D', 'userCount': 66, 'id': 106273};Foul;42
NEW X SWA 2015-04-25;;118299230;yellow;card;True;{'name': 'Vurnon Anita', 'slug': 'vurnon-anita', 'shortName': 'V. Anita', 'position': 'M', 'userCount': 83, 'id': 15007};Foul;39
QPR X WES 2015-04-25;;118299383;yellow;card;True;{'name': 'Charlie Austin', 'slug': 'charlie-austin', 'shortName': 'C. Austin', 'position': 'F', 'userCount': 314, 'id': 97905};Argument;77
STO X SUN 2015-04-25;;118299399;yellow;card;False;{'name': 'Billy Jones', 'slug': 'billy-jones', 'shortName': 'B. Jones', 'position': 'D', 'userCount': 5, 'id': 27338};Foul;80
STO X SUN 2015-04-25;;118299363;yellow;card;False;"{'name': ""John O'Shea"", 'slug': 'john-oshea', 'shortName': ""J. O'Shea"", 'position': 'D', 'userCount': 72, 'id': 763}";Foul;62
STO X SUN 2015-04-25;;118299362;yellow;card;True;{'name': 'Philipp Wollscheid', 'slug': 'philipp-wollscheid', 'shortName': 'P. Wollscheid', 'position': 'D', 'userCount': 14, 'id': 94329};Argument;60
STO X SUN 2015-04-25;;118299349;yellow;card;True;{'name': 'Mame Biram Diouf', 'slug': 'mame-biram-diouf', 'shortName': 'M. B. Diouf', 'position': 'M', 'userCount': 356, 'id': 22481};Foul;58
STO X SUN 2015-04-25;;118299176;yellow;card;False;{'name': 'Lee Cattermole', 'slug': 'lee-cattermole', 'shortName': 'L. Cattermole', 'position': 'M', 'userCount': 54, 'id': 14210};Foul;18
WBA X LIV 2015-04-25;;118299344;yellow;card;True;{'name': 'Craig Dawson', 'slug': 'craig-dawson', 'shortName': 'C. Dawson', 'position': 'D', 'userCount': 132, 'id': 50027};Foul;61
MCI X ASV 2015-04-25;;118299820;yellow;card;False;{'name': 'Carlos Sánchez', 'slug': 'carlos-sanchez', 'shortName': 'C. Sánchez', 'position': 'M', 'userCount': 1669, 'id': 26995};Foul;65
MCI X ASV 2015-04-25;;118299798;yellow;card;False;{'name': 'Ashley Westwood', 'slug': 'ashley-westwood', 'shortName': 'A. Westwood', 'position': 'M', 'userCount': 230, 'id': 49647};Off the ball foul;62
MCI X ASV 2015-04-25;;118299776;yellow;card;True;{'name': 'David Silva', 'slug': 'david-silva', 'shortName': 'D. Silva', 'position': 'M', 'userCount': 8076, 'id': 11781};Foul;46
EVE X MUN 2015-04-26;;118300746;yellow;card;False;{'name': 'Luke Shaw', 'slug': 'luke-shaw', 'shortName': 'L. Shaw', 'position': 'D', 'userCount': 3887, 'id': 190839};Foul;64
EVE X MUN 2015-04-26;;118300641;yellow;card;False;{'name': 'Marouane Fellaini', 'slug': 'marouane-fellaini', 'shortName': 'M. Fellaini', 'position': 'M', 'userCount': 2630, 'id': 21764};Foul;12
ARS X CHE 2015-04-26;5.0;118301140;yellow;card;True;{'name': 'Nacho Monreal', 'slug': 'nacho-monreal', 'shortName': 'N. Monreal', 'position': 'D', 'userCount': 1459, 'id': 17088};Foul;90
ARS X CHE 2015-04-26;3.0;118301138;yellow;card;True;{'name': 'Santi Cazorla', 'slug': 'santi-cazorla', 'shortName': 'S. Cazorla', 'position': 'M', 'userCount': 2946, 'id': 17651};Foul;90
ARS X CHE 2015-04-26;;118301134;yellow;card;True;{'name': 'Aaron Ramsey', 'slug': 'aaron-ramsey', 'shortName': 'A. Ramsey', 'position': 'M', 'userCount': 6366, 'id': 23571};Foul;89
ARS X CHE 2015-04-26;;118301095;yellow;card;False;{'name': 'Branislav Ivanović', 'slug': 'branislav-ivanovic', 'shortName': 'B. Ivanović', 'position': 'D', 'userCount': 887, 'id': 25233};Persistent fouling;72
