game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Clearances_away_1ST;Clearances_away_2ND;Clearances_away_ALL;Clearances_home_1ST;Clearances_home_2ND;Clearances_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Crosses_away_1ST;Crosses_away_2ND;Crosses_away_ALL;Crosses_home_1ST;Crosses_home_2ND;Crosses_home_ALL;Dribbles_away_1ST;Dribbles_away_2ND;Dribbles_away_ALL;Dribbles_home_1ST;Dribbles_home_2ND;Dribbles_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Interceptions_away_1ST;Interceptions_away_2ND;Interceptions_away_ALL;Interceptions_home_1ST;Interceptions_home_2ND;Interceptions_home_ALL;Long balls_away_1ST;Long balls_away_2ND;Long balls_away_ALL;Long balls_home_1ST;Long balls_home_2ND;Long balls_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Possession lost_away_1ST;Possession lost_away_2ND;Possession lost_away_ALL;Possession lost_home_1ST;Possession lost_home_2ND;Possession lost_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Tackles_away_1ST;Tackles_away_2ND;Tackles_away_ALL;Tackles_home_1ST;Tackles_home_2ND;Tackles_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
CHV X JUV 18-08-2018;392 (93%);225 (88%);617 (91%);96 (76%);103 (76%);199 (76%);7;15;22;4;7;11;77%;67%;73%;23%;33%;27%;1;2;3;0;0;0;1;3;4;1;1;2;2;2;4;0;0;0;3;3;6;18;26;44;5;3;8;0;0;0;;;;;;;2/15 (13%);6/19 (32%);8/34 (24%);2/5 (40%);1/4 (25%);3/9 (33%);6/11 (55%);5/9 (56%);11/20 (55%);3/4 (75%);2/5 (40%);5/9 (56%);18;30;48;17;31;48;9;8;0;0;0;1;7;8;;;;;;;4;4;8;9;2;11;32/45 (71%);21/30 (70%);53/75 (71%);12/26 (46%);15/32 (47%);27/58 (47%);2;1;3;0;1;1;423;256;679;126;135;261;;;127;;;101;;;;;;;8;9;17;1;1;2;9;4;13;2;2;4;2;8;10;1;1;2;5;5;10;2;2;4;4;7;11;8;15;23;13;14;27;3;3;6;0;0;0;0;2;2;3.0;2018-08-18;-8.0;-66.0;-51.0;-36.0;-76.0;-39.0;74.0;26.0;11.0;5.0;-57.0;-12.0;-48.0;-50.0;-35.0;-49.0;-30.0;-15.0;-12.0;-5.0;-11.0;-41.0;-19.0;-46.0;-32.0;-24.0;-19.0;-97.0;-85.0;-100.0;-100.0;-64.0;83.0;-100.0;25.0;-23.0;-9.0;-11.0;-26.0;4.0;-23.0;3.0;-43.0;-29.0;-22.0;-100.0;-74.0;-44.0;-11.0;-3.0;3.0;27.0;94.0;48.0;22.0;-14.0;-69.0;-36.0;-89.0;-72.0;-43.0;-37.0;-84.0;-52.0;-71.0;-18.0;-13.0;-83.0;-63.0;-77.0;-97.0;-72.0;-73.0;-82.0;-100.0;-100.0;-88.0;-96.0;-79.0;-97.0;-96.0;-63.0;41.0;1.0;29.0;-71.0;-38.0;-30.0;-57.0;-50.0;-40.0;-49.0;2.0;14:00:00;-1.0;JUV;CHV
LAZ X NAP 18-08-2018;317 (86%);320 (86%);637 (86%);161 (83%);160 (76%);321 (80%);5;8;13;7;9;16;66%;65%;65%;34%;35%;35%;0;1;1;0;1;1;1;1;2;1;1;2;1;1;2;2;1;3;4;9;13;13;7;20;2;5;7;2;2;4;;;;;;;3/9 (33%);1/8 (13%);4/17 (24%);1/4 (25%);3/5 (60%);4/9 (44%);1/6 (17%);3/6 (50%);4/12 (33%);4/5 (80%);4/12 (33%);8/17 (47%);15;28;43;21;25;46;5;8;0;0;0;1;0;1;1;0;1;0;1;1;7;3;10;11;3;14;18/37 (49%);21/40 (53%);39/77 (51%);22/38 (58%);9/31 (29%);31/69 (45%);0;2;2;2;2;4;367;374;741;193;210;403;;;151;;;134;;;;;;;4;2;6;3;3;6;4;1;5;2;4;6;2;1;3;1;0;1;3;1;4;2;2;4;4;15;19;9;9;18;7;3;10;5;5;10;;;;;;;2.0;2018-08-18;9.0;6.0;7.0;-8.0;-6.0;-3.0;-1.0;-1.0;-11.0;-11.0;-6.0;35.0;-40.0;-24.0;-13.0;-1.0;-4.0;-4.0;45.0;22.0;9.0;2.0;23.0;23.0;2.0;-16.0;-11.0;-36.0;-29.0;-47.0;-34.0;-25.0;-18.0;16.0;-21.0;-31.0;-100.0;-100.0;-75.0;-48.0;-53.0;-15.0;-37.0;-20.0;-33.0;26.0;-29.0;-23.0;-21.0;-19.0;-29.0;21.0;-6.0;90.0;30.0;13.0;40.0;-90.0;-56.0;-49.0;-66.0;-41.0;-8.0;-20.0;-21.0;-25.0;-16.0;33.0;-11.0;16.0;-6.0;-11.0;29.0;11.0;3.0;14.0;37.0;18.0;39.0;8.0;3.0;-3.0;-4.0;-4.0;30.0;5.0;-9.0;-1.0;-30.0;18.0;21.0;50.0;1.0;16:30:00;-1.0;NAP;LAZ
SAM X FIO 19-08-2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOR X ROM 19-08-2018;237 (83%);126 (78%);363 (81%);104 (67%);133 (79%);237 (73%);7;15;22;11;10;21;65%;49%;58%;35%;51%;42%;0;1;1;0;1;1;0;1;1;0;1;1;3;2;5;0;0;0;7;21;28;7;5;12;1;4;5;1;5;6;1;0;1;0;1;1;0/6 (0%);7/12 (58%);7/18 (39%);1/6 (17%);0/13 (0%);1/19 (5%);3/7 (43%);3/4 (75%);6/11 (55%);6/9 (67%);10/15 (67%);16/24 (67%);18;33;51;30;31;61;14;10;0;4;4;1;3;4;2;1;3;1;0;1;6;7;13;7;6;13;18/33 (55%);12/23 (52%);30/56 (54%);19/42 (45%);19/30 (63%);38/72 (53%);1;0;1;1;1;2;285;162;447;155;169;324;;;126;;;135;;;;;;;5;7;12;3;3;6;3;3;6;3;3;6;2;4;6;0;4;4;3;2;5;0;4;4;4;9;13;8;5;13;8;9;17;3;7;10;1;2;3;0;1;1;1.0;2018-08-19;-3.0;-21.0;-22.0;-34.0;-22.0;17.0;-4.0;1.0;-13.0;-45.0;-59.0;-4.0;-49.0;-37.0;-71.0;-33.0;-23.0;-40.0;-29.0;-24.0;-27.0;-18.0;-9.0;34.0;-39.0;-17.0;-50.0;-39.0;-30.0;-15.0;-8.0;-1.0;20.0;12.0;62.0;33.0;-31.0;-3.0;-2.0;-3.0;-52.0;-56.0;98.0;87.0;100.0;10.0;6.0;-16.0;-16.0;-2.0;-12.0;-5.0;-7.0;-74.0;-55.0;-33.0;40.0;-24.0;18.0;13.0;-42.0;-23.0;-56.0;-87.0;-59.0;33.0;35.0;67.0;53.0;64.0;-94.0;-43.0;-9.0;30.0;9.0;11.0;-62.0;-34.0;30.0;-34.0;-9.0;-61.0;-28.0;43.0;27.0;22.0;21.0;-13.0;11.0;-31.0;-84.0;167.0;0.0;14:00:00;-1.0;ROM;TOR
BGN X SPA 19-08-2018;190 (82%);229 (81%);419 (82%);126 (75%);118 (71%);244 (73%);9;14;23;16;11;27;57%;62%;60%;43%;38%;40%;0;0;0;1;0;1;0;0;0;1;0;1;2;0;2;1;3;4;9;15;24;3;3;6;0;0;0;4;3;7;0;1;1;0;0;0;2/6 (33%);3/5 (60%);5/11 (45%);2/10 (20%);4/17 (24%);6/27 (22%);9/11 (82%);6/13 (46%);15/24 (63%);4/9 (44%);2/5 (40%);6/14 (43%);32;33;65;38;31;69;15;16;2;1;3;2;2;4;0;0;0;0;1;1;5;7;12;8;4;12;13/30 (43%);25/47 (53%);38/77 (48%);15/29 (52%);15/29 (52%);30/58 (52%);0;0;0;3;1;4;231;282;513;168;166;334;;;147;;;153;0;0;0;0;1;1;1;4;5;3;5;8;3;3;6;2;4;6;2;3;5;2;1;3;6;2;8;2;3;5;7;7;14;11;11;22;7;6;13;5;8;13;1;1;2;1;3;4;1.0;2018-08-19;-4.0;84.0;44.0;38.0;62.0;41.0;34.0;20.0;10.0;2.0;-1.0;-6.0;12.0;-15.0;-11.0;-7.0;56.0;27.0;17.0;40.0;9.0;8.0;15.0;4.0;-4.0;-4.0;-40.0;-27.0;-19.0;-9.0;50.0;1.0;-33.0;5.0;-15.0;-54.0;-31.0;-19.0;-11.0;-3.0;-40.0;-3.0;-7.0;-9.0;-11.0;-15.0;29.0;16.0;3.0;-7.0;-1.0;14.0;8.0;-31.0;-14.0;-36.0;-5.0;-26.0;-6.0;34.0;15.0;6.0;-63.0;-3.0;-14.0;-12.0;-11.0;-7.0;-5.0;-5.0;-77.0;-40.0;-28.0;-4.0;-7.0;26.0;-23.0;-8.0;66.0;13.0;38.0;35.0;23.0;40.0;19.0;47.0;31.0;31.0;23.0;35.0;18.0;-20.0;0.0;16:30:00;-1.0;SPA;BGN
EMP X CAG 19-08-2018;180 (80%);189 (81%);369 (81%);158 (73%);148 (77%);306 (75%);11;8;19;7;14;21;52%;57%;55%;48%;43%;45%;0;0;0;1;0;1;0;0;0;2;1;3;0;3;3;0;1;1;6;5;11;13;24;37;1;5;6;3;3;6;0;0;0;1;0;1;1/8 (13%);9/25 (36%);10/33 (30%);1/5 (20%);2/6 (33%);3/11 (27%);1/3 (33%);1/3 (33%);2/6 (33%);7/10 (70%);8/9 (89%);15/19 (79%);29;23;52;31;34;65;19;19;1;1;2;1;2;3;0;1;1;0;0;0;10;5;15;4;4;8;20/37 (54%);16/29 (55%);36/66 (55%);14/37 (38%);15/30 (50%);29/67 (43%);0;0;0;2;3;5;225;233;458;215;192;407;;;159;;;147;;;;;;;2;7;9;4;3;7;3;6;9;3;1;4;1;2;3;2;2;4;2;4;6;1;1;2;7;6;13;5;7;12;4;11;15;5;4;9;1;2;3;1;2;3;0.0;2018-08-19;8.0;40.0;69.0;73.0;50.0;17.0;87.0;42.0;53.0;24.0;-45.0;12.0;-20.0;-1.0;-6.0;-7.0;-4.0;-5.0;-15.0;-6.0;-1.0;-2.0;-9.0;6.0;-41.0;-71.0;-52.0;-30.0;-6.0;-10.0;21.0;15.0;28.0;-4.0;8.0;1.0;25.0;16.0;-100.0;3.0;13.0;-3.0;17.0;7.0;2.0;-30.0;-29.0;27.0;69.0;35.0;61.0;23.0;21.0;33.0;55.0;8.0;-11.0;-25.0;-45.0;-16.0;-11.0;-40.0;-18.0;12.0;-16.0;-48.0;-59.0;66.0;-73.0;-65.0;-69.0;-35.0;-11.0;12.0;-9.0;2.0;-3.0;-51.0;65.0;-4.0;-4.0;-7.0;5.0;-43.0;-17.0;-61.0;-31.0;-13.0;-68.0;47.0;-68.0;-87.0;2.0;16:30:00;1.0;CAG;EMP
PRM X UDI 19-08-2018;180 (87%);201 (89%);381 (88%);160 (85%);119 (76%);279 (81%);7;13;20;5;4;9;52%;60%;56%;48%;40%;44%;;;;;;;0;2;2;0;1;1;2;0;2;3;1;4;16;11;27;9;13;22;2;3;5;3;1;4;1;0;1;0;0;0;1/9 (11%);3/21 (14%);4/30 (13%);4/11 (36%);1/8 (13%);5/19 (26%);2/3 (67%);3/8 (38%);5/11 (45%);2/4 (50%);1/3 (33%);3/7 (43%);21;26;47;17;20;37;13;14;2;0;2;1;1;2;;;;;;;3;5;8;0;5;5;10/24 (42%);13/17 (76%);23/41 (56%);20/28 (71%);10/30 (33%);30/58 (52%);0;0;0;1;0;1;208;226;434;188;157;345;;;105;;;114;;;;;;;3;6;9;7;3;10;3;7;10;1;1;2;1;4;5;3;1;4;3;5;8;0;0;0;7;3;10;4;9;13;6;11;17;7;3;10;0;2;2;0;2;2;2.0;2018-08-19;9.0;4.0;1.0;37.0;62.0;32.0;36.0;5.0;-62.0;-23.0;-21.0;35.0;-59.0;-36.0;46.0;12.0;13.0;17.0;16.0;9.0;13.0;15.0;6.0;-39.0;32.0;79.0;50.0;30.0;-44.0;-27.0;-26.0;-39.0;-4.0;-37.0;-6.0;50.0;22.0;14.0;78.0;-16.0;0.0;-9.0;-5.0;-3.0;-7.0;-23.0;-58.0;-39.0;-60.0;-36.0;45.0;5.0;5.0;-33.0;-13.0;26.0;-19.0;35.0;-36.0;-10.0;-39.0;-58.0;-40.0;-100.0;-56.0;-68.0;-28.0;-22.0;-100.0;-51.0;-17.0;-16.0;-48.0;-20.0;15.0;33.0;-21.0;-19.0;-12.0;-17.0;-70.0;-63.0;45.0;-12.0;-27.0;-4.0;10.0;-9.0;-25.0;-3.0;-7.0;9.0;2.0;16:30:00;0.0;UDI;PRM
SAS X INT 19-08-2018;195 (87%);288 (87%);483 (87%);158 (81%);118 (78%);276 (80%);2;15;17;2;6;8;54%;70%;63%;46%;30%;37%;0;2;2;1;0;1;0;2;2;2;0;2;1;2;3;4;1;5;6;6;12;9;23;32;2;2;4;3;1;4;0;0;0;1;0;1;2/12 (17%);4/20 (20%);6/32 (19%);2/9 (22%);1/3 (33%);3/12 (25%);2/4 (50%);7/10 (70%);9/14 (64%);4/10 (40%);4/8 (50%);8/18 (44%);23;47;70;17;21;38;11;23;1;0;1;2;1;3;0;0;0;0;1;1;5;7;12;6;7;13;9/21 (43%);18/25 (72%);27/46 (59%);16/32 (50%);14/33 (42%);30/65 (46%);0;1;1;1;2;3;225;330;555;196;151;347;;;135;;;123;;;;;;;1;6;7;6;3;9;1;7;8;2;3;5;2;1;3;2;0;2;3;4;7;2;1;3;10;11;21;4;8;12;4;10;14;8;4;12;1;1;2;2;1;3;0.0;2018-08-19;-3.0;19.0;57.0;41.0;99.0;53.0;23.0;-56.0;-27.0;-21.0;-12.0;-1.0;-6.0;-46.0;-89.0;-40.0;-30.0;-25.0;-34.0;22.0;74.0;41.0;6.0;24.0;-18.0;-31.0;-20.0;-16.0;-17.0;-17.0;-62.0;-38.0;-27.0;-8.0;23.0;1.0;2.0;-33.0;-21.0;27.0;;3.0;-43.0;-69.0;-52.0;91.0;-46.0;-36.0;-24.0;-19.0;11.0;-7.0;14.0;1.0;-44.0;-32.0;53.0;-28.0;-53.0;-52.0;-23.0;51.0;22.0;51.0;-57.0;-11.0;-16.0;36.0;-3.0;-43.0;-40.0;-38.0;-28.0;-23.0;-21.0;-13.0;-11.0;-69.0;27.0;-47.0;-38.0;-31.0;-36.0;-17.0;-12.0;9.0;-29.0;-41.0;-22.0;22.0;-11.0;-205.0;1.0;16:30:00;1.0;INT;SAS
ATT X FRO 20-08-2018;144 (76%);179 (83%);323 (80%);248 (87%);245 (85%);493 (86%);10;3;13;5;10;15;41%;43%;42%;59%;57%;58%;0;1;1;0;1;1;0;1;1;1;3;4;0;0;0;1;0;1;9;13;22;5;4;9;2;2;4;2;2;4;;;;;;;0/10 (0%);0/7 (0%);0/17 (0%);1/5 (20%);2/9 (22%);3/14 (21%);2/4 (50%);4/7 (57%);6/11 (55%);4/6 (67%);2/2 (100%);6/8 (75%);30;17;47;21;21;42;11;15;3;2;5;0;0;0;1;0;1;0;0;0;0;4;4;7;3;10;21/35 (60%);6/29 (21%);27/64 (42%);22/35 (63%);12/19 (63%);34/54 (63%);0;3;3;4;2;6;190;216;406;286;287;573;;;137;;;131;;;;;;;0;1;1;7;5;12;2;4;6;5;2;7;0;0;0;4;5;9;2;3;5;3;2;5;10;4;14;5;6;11;2;4;6;10;7;17;1;1;2;0;0;0;0.0;2018-08-20;7.0;56.0;10.0;6.0;6.0;100.0;60.0;16.0;12.0;11.0;13.0;11.0;14.0;100.0;35.0;2.0;-19.0;-6.0;-22.0;-10.0;11.0;-6.0;13.0;7.0;48.0;34.0;27.0;17.0;11.0;57.0;100.0;90.0;38.0;25.0;1.0;-1.0;-6.0;-30.0;-20.0;-3.0;-19.0;2.0;-1.0;108.0;63.0;22.0;42.0;-33.0;5.0;34.0;82.0;26.0;14.0;2.0;21.0;24.0;100.0;4.0;2.0;76.0;41.0;18.0;39.0;2.0;-2.0;9.0;-22.0;67.0;-29.0;-18.0;19.0;-5.0;-61.0;-38.0;-24.0;-46.0;-22.0;42.0;57.0;13.0;8.0;5.0;1.0;-3.0;6.0;27.0;13.0;10.0;19.0;41.0;53.0;103.0;4.0;16:30:00;1.0;FRO;ATT
SAM X FIO 19-09-2018;141 (77%);96 (70%);237 (74%);228 (83%);178 (78%);406 (81%);6;5;11;5;8;13;42%;38%;40%;58%;62%;60%;2;0;2;0;0;0;3;0;3;0;0;0;0;1;1;0;0;0;5;8;13;10;7;17;4;2;6;0;4;4;;;;;;;3/10 (30%);1/10 (10%);4/20 (20%);1/3 (33%);3/10 (30%);4/13 (31%);3/9 (33%);1/5 (20%);4/14 (29%);2/4 (50%);6/11 (55%);8/15 (53%);20;29;49;25;29;54;15;14;1;2;3;5;3;8;0;0;0;1;0;1;5;10;15;1;3;4;13/34 (38%);8/29 (28%);21/63 (33%);7/17 (41%);10/18 (56%);17/35 (49%);0;1;1;0;3;3;183;138;321;274;228;502;;;142;;;153;;;;;;;8;2;10;2;0;2;4;1;5;4;2;6;6;3;9;1;3;4;2;3;5;3;5;8;5;16;21;11;7;18;10;5;15;5;5;10;0;2;2;1;2;3;1.0;2018-09-19;9.0;39.0;22.0;7.0;8.0;-107.0;-62.0;-50.0;-33.0;-17.0;-1.0;-70.0;1.0;-27.0;31.0;11.0;8.0;-33.0;-78.0;-33.0;44.0;16.0;-43.0;14.0;16.0;-28.0;-51.0;-84.0;-62.0;-39.0;-18.0;10.0;4.0;-32.0;6.0;16.0;31.0;16.0;6.0;-38.0;0.0;-47.0;-17.0;40.0;56.0;-9.0;-45.0;-54.0;-37.0;-30.0;-35.0;17.0;10.0;13.0;62.0;53.0;-5.0;35.0;100.0;85.0;52.0;55.0;40.0;16.0;19.0;11.0;36.0;-50.0;23.0;13.0;5.0;3.0;6.0;27.0;11.0;3.0;-12.0;-12.0;44.0;-25.0;44.0;20.0;23.0;18.0;65.0;28.0;-49.0;-12.0;13.0;7.0;46.0;-14.0;1.0;15:00:00;0.0;FIO;SAM
