game;addedTime;id;incidentClass;incidentType;injury;isHome;playerIn;playerOut;time
WOB X H96 26-09-2015;;118342286;;substitution;;False;{'name': 'Mevlüt Erdinç', 'slug': 'mevlut-erdinc', 'shortName': 'M. Erdinç', 'position': 'F', 'userCount': 218, 'id': 35584};{'name': 'Artur Sobiech', 'slug': 'artur-sobiech', 'shortName': 'A. Sobiech', 'position': 'F', 'userCount': 171, 'id': 45444};73
WOB X H96 26-09-2015;;118342274;;substitution;;False;{'name': 'Felix Klaus', 'slug': 'felix-klaus', 'shortName': 'F. Klaus', 'position': 'F', 'userCount': 151, 'id': 116570};{'name': 'Leon Andreasen', 'slug': 'leon-andreasen', 'shortName': 'L. Andreasen', 'position': 'M', 'userCount': 2, 'id': 8594};66
WOB X H96 26-09-2015;;118342240;;substitution;;True;{'name': 'Maximilian Arnold', 'slug': 'maximilian-arnold', 'shortName': 'M. Arnold', 'position': 'M', 'userCount': 902, 'id': 147289};{'name': 'Julian Draxler', 'slug': 'julian-draxler', 'shortName': 'J. Draxler', 'position': 'M', 'userCount': 4846, 'id': 142680};58
HSV X S04 26-09-2015;1.0;118342816;;substitution;;False;{'name': 'Benedikt Höwedes', 'slug': 'benedikt-howedes', 'shortName': 'B. Höwedes', 'position': 'D', 'userCount': 613, 'id': 21482};{'name': 'Leroy Sané', 'slug': 'leroy-sane', 'shortName': 'L. Sané', 'position': 'F', 'userCount': 18065, 'id': 293519};90
HSV X S04 26-09-2015;;118342796;;substitution;;True;{'name': 'Sven Schipplock', 'slug': 'sven-schipplock', 'shortName': 'S. Schipplock', 'position': 'F', 'userCount': 31, 'id': 26706};{'name': 'Albin Ekdal', 'slug': 'albin-ekdal', 'shortName': 'A. Ekdal', 'position': 'M', 'userCount': 300, 'id': 21992};76
HSV X S04 26-09-2015;;118342790;;substitution;;False;{'name': 'Pierre-Emile Højbjerg', 'slug': 'pierre-emile-hojbjerg', 'shortName': 'P. Højbjerg', 'position': 'M', 'userCount': 778, 'id': 149593};{'name': 'Max Meyer', 'slug': 'max-meyer', 'shortName': 'M. Meyer', 'position': 'M', 'userCount': 649, 'id': 187431};73
HSV X S04 26-09-2015;;118342786;;substitution;;True;{'name': 'Nicolai Müller', 'slug': 'nicolai-muller', 'shortName': 'N. Müller', 'position': 'M', 'userCount': 90, 'id': 21394};{'name': 'Lewis Holtby', 'slug': 'lewis-holtby', 'shortName': 'L. Holtby', 'position': 'M', 'userCount': 159, 'id': 31921};70
HSV X S04 26-09-2015;;118342773;;substitution;;True;{'name': 'Ivo Iličević', 'slug': 'ivo-ilicevic', 'shortName': 'I. Iličević', 'position': 'M', 'userCount': 44, 'id': 9819};{'name': 'Michael Gregoritsch', 'slug': 'michael-gregoritsch', 'shortName': 'M. Gregoritsch', 'position': 'F', 'userCount': 466, 'id': 111483};62
HSV X S04 26-09-2015;;118342458;injury;substitution;True;False;{'name': 'Leroy Sané', 'slug': 'leroy-sane', 'shortName': 'L. Sané', 'position': 'F', 'userCount': 18065, 'id': 293519};{'name': 'Marco Höger', 'slug': 'marco-hoger', 'shortName': 'M. Höger', 'position': 'M', 'userCount': 68, 'id': 102703};6
SGE X BCS 27-09-2015;;118343667;;substitution;;True;{'name': 'Slobodan Medojević', 'slug': 'slobodan-medojevic', 'shortName': 'S. Medojević', 'position': 'M', 'userCount': 30, 'id': 50306};{'name': 'Luca Waldschmidt', 'slug': 'luca-waldschmidt', 'shortName': 'L. Waldschmidt', 'position': 'F', 'userCount': 1220, 'id': 319861};87
SGE X BCS 27-09-2015;;118343662;;substitution;;False;{'name': 'Johannes van den Bergh', 'slug': 'johannes-van-den-bergh', 'shortName': 'J. v. d. Bergh', 'position': 'D', 'userCount': 20, 'id': 16077};{'name': 'Genki Haraguchi', 'slug': 'genki-haraguchi', 'shortName': 'G. Haraguchi', 'position': 'M', 'userCount': 350, 'id': 48243};86
SGE X BCS 27-09-2015;;118343651;;substitution;;False;{'name': 'Alexander Baumjohann', 'slug': 'alexander-baumjohann', 'shortName': 'A. Baumjohann', 'position': 'M', 'userCount': 69, 'id': 254};{'name': 'Salomon Kalou', 'slug': 'salomon-kalou', 'shortName': 'S. Kalou', 'position': 'M', 'userCount': 1591, 'id': 10086};77
SGE X BCS 27-09-2015;;118343647;;substitution;;True;{'name': 'Luc Castaignos', 'slug': 'luc-castaignos', 'shortName': 'L. Castaignos', 'position': 'F', 'userCount': 62, 'id': 91047};{'name': 'Stefan Aigner', 'slug': 'stefan-aigner', 'shortName': 'S. Aigner', 'position': 'M', 'userCount': 35, 'id': 15803};70
SGE X BCS 27-09-2015;;118343643;;substitution;;False;{'name': 'Valentin Stocker', 'slug': 'valentin-stocker', 'shortName': 'V. Stocker', 'position': 'M', 'userCount': 104, 'id': 26286};{'name': 'Tolga Ciğerci', 'slug': 'tolga-cigerci', 'shortName': 'T. Ciğerci', 'position': 'M', 'userCount': 247, 'id': 120298};67
SGE X BCS 27-09-2015;;118343633;;substitution;;True;{'name': 'Luca Waldschmidt', 'slug': 'luca-waldschmidt', 'shortName': 'L. Waldschmidt', 'position': 'F', 'userCount': 1220, 'id': 319861};{'name': 'Václav Kadlec', 'slug': 'vaclav-kadlec', 'shortName': 'V. Kadlec', 'position': 'F', 'userCount': 38, 'id': 39546};56
DOR X D98 27-09-2015;1.0;118343943;;substitution;;True;{'name': 'Adrián Ramos', 'slug': 'adrian-ramos', 'shortName': 'A. Ramos', 'position': 'F', 'userCount': 906, 'id': 38172};{'name': 'Shinji Kagawa', 'slug': 'shinji-kagawa', 'shortName': 'S. Kagawa', 'position': 'M', 'userCount': 1891, 'id': 34853};90
DOR X D98 27-09-2015;;118343924;;substitution;;False;{'name': 'Dominik Stroh-Engel', 'slug': 'dominik-stroh-engel', 'shortName': 'D. Stroh-Engel', 'position': 'F', 'userCount': 12, 'id': 1475};{'name': 'Jérôme Gondorf', 'slug': 'jerome-gondorf', 'shortName': 'J. Gondorf', 'position': 'M', 'userCount': 64, 'id': 38502};83
DOR X D98 27-09-2015;;118343901;;substitution;;False;{'name': 'Tobias Kempe', 'slug': 'tobias-kempe', 'shortName': 'T. Kempe', 'position': 'M', 'userCount': 73, 'id': 37630};{'name': 'Konstantin Rausch', 'slug': 'konstantin-rausch', 'shortName': 'K. Rausch', 'position': 'D', 'userCount': 41, 'id': 34556};67
DOR X D98 27-09-2015;;118343893;;substitution;;True;{'name': 'Adnan Januzaj', 'slug': 'adnan-januzaj', 'shortName': 'A. Januzaj', 'position': 'M', 'userCount': 2386, 'id': 328145};{'name': 'Marco Reus', 'slug': 'marco-reus', 'shortName': 'M. Reus', 'position': 'M', 'userCount': 21696, 'id': 37092};59
DOR X D98 27-09-2015;;118343891;injury;substitution;True;False;{'name': 'Florian Jungwirth', 'slug': 'florian-jungwirth', 'shortName': 'F. Jungwirth', 'position': 'D', 'userCount': 9, 'id': 26756};{'name': 'Peter Niemeyer', 'slug': 'peter-niemeyer', 'shortName': 'P. Niemeyer', 'position': 'D', 'userCount': 5, 'id': 2650};57
D98 X MAI 02-10-2015;3.0;118345533;;substitution;;False;{'name': 'Christoph Moritz', 'slug': 'christoph-moritz', 'shortName': 'C. Moritz', 'position': 'M', 'userCount': 33, 'id': 74340};{'name': 'Yunus Malli', 'slug': 'yunus-malli', 'shortName': 'Y. Malli', 'position': 'M', 'userCount': 504, 'id': 136262};90
D98 X MAI 02-10-2015;;118345524;;substitution;;False;{'name': 'Florian Niederlechner', 'slug': 'florian-niederlechner', 'shortName': 'F. Niederlechner', 'position': 'F', 'userCount': 547, 'id': 156146};{'name': 'Pablo De Blasis', 'slug': 'pablo-de-blasis', 'shortName': 'P. D. Blasis', 'position': 'D', 'userCount': 124, 'id': 256683};90
D98 X MAI 02-10-2015;;118345503;;substitution;;False;{'name': 'Leon Balogun', 'slug': 'leon-balogun', 'shortName': 'L. Balogun', 'position': 'D', 'userCount': 276, 'id': 37234};{'name': 'Yoshinori Muto', 'slug': 'yoshinori-muto', 'shortName': 'Y. Muto', 'position': 'F', 'userCount': 457, 'id': 335047};83
D98 X MAI 02-10-2015;;118345501;;substitution;;True;{'name': 'Dominik Stroh-Engel', 'slug': 'dominik-stroh-engel', 'shortName': 'D. Stroh-Engel', 'position': 'F', 'userCount': 12, 'id': 1475};{'name': 'Konstantin Rausch', 'slug': 'konstantin-rausch', 'shortName': 'K. Rausch', 'position': 'D', 'userCount': 41, 'id': 34556};82
