game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
NAP X BCA 29-09-2019;;False;614;goalAwarded;varDecision;True;{'name': 'Konstantinos Manolas', 'slug': 'konstantinos-manolas', 'shortName': 'K. Manolas', 'position': 'D', 'userCount': 3013, 'id': 41234};19
LAZ X GEN 29-09-2019;;False;624;goalAwarded;varDecision;True;{'name': 'Luis Alberto', 'slug': 'luis-alberto', 'shortName': 'L. Alberto', 'position': 'M', 'userCount': 3043, 'id': 111416};36
MIL X FIO 29-09-2019;;False;643;cardUpgrade;varDecision;True;{'name': 'Mateo Musacchio', 'slug': 'mateo-musacchio', 'shortName': 'M. Musacchio', 'position': 'D', 'userCount': 1108, 'id': 34125};53
PRM X TOR 30-09-2019;;False;658;penaltyNotAwarded;varDecision;False;{'name': 'Andrea Belotti', 'slug': 'andrea-belotti', 'shortName': 'A. Belotti', 'position': 'F', 'userCount': 4571, 'id': 220223};41
PRM X TOR 30-09-2019;;False;657;penaltyNotAwarded;varDecision;True;{'name': 'Dejan Kulusevski', 'slug': 'dejan-kulusevski', 'shortName': 'D. Kulusevski', 'position': 'F', 'userCount': 2968, 'id': 928124};29
GEN X MIL 05-10-2019;;False;699;penaltyNotAwarded;varDecision;False;{'name': 'Rafael Leão', 'slug': 'rafael-leao', 'shortName': 'R. Leão', 'position': 'F', 'userCount': 3731, 'id': 851284};54
FIO X UDI 06-10-2019;;False;707;goalAwarded;varDecision;False;{'name': 'Ilija Nestorovski', 'slug': 'ilija-nestorovski', 'shortName': 'I. Nestorovski', 'position': 'F', 'userCount': 412, 'id': 55314};34
BGN X LAZ 06-10-2019;;False;712;cardUpgrade;varDecision;True;{'name': 'Gary Medel', 'slug': 'gary-medel', 'shortName': 'G. Medel', 'position': 'M', 'userCount': 1246, 'id': 22975};69
ROM X CAG 06-10-2019;;False;710;penaltyNotAwarded;varDecision;False;{'name': 'Giovanni Simeone', 'slug': 'giovanni-simeone', 'shortName': 'G. Simeone', 'position': 'F', 'userCount': 2483, 'id': 341143};24
MIL X LEC 20-10-2019;;False;831;penaltyNotAwarded;varDecision;False;{'name': 'Diego Farias', 'slug': 'diego-farias', 'shortName': 'D. Farias', 'position': 'F', 'userCount': 276, 'id': 41008};60
BCA X FIO 21-10-2019;;False;835;goalAwarded;varDecision;True;{'name': 'Sandro Tonali', 'slug': 'sandro-tonali', 'shortName': 'S. Tonali', 'position': 'M', 'userCount': 4211, 'id': 892673};6
LEC X JUV 26-10-2019;;False;856;penaltyNotAwarded;varDecision;False;{'name': 'Miralem Pjanić', 'slug': 'miralem-pjanic', 'shortName': 'M. Pjanić', 'position': 'M', 'userCount': 10548, 'id': 27678};49
LEC X JUV 26-10-2019;;False;854;goalAwarded;varDecision;False;{'name': 'Gonzalo Higuaín', 'slug': 'gonzalo-higuain', 'shortName': 'G. Higuaín', 'position': 'F', 'userCount': 18116, 'id': 19438};16
INT X PRM 26-10-2019;;False;866;goalNotAwarded;varDecision;True;{'name': 'Romelu Lukaku', 'slug': 'romelu-lukaku', 'shortName': 'R. Lukaku', 'position': 'F', 'userCount': 29562, 'id': 78893};55
ATT X UDI 27-10-2019;;False;894;penaltyNotAwarded;varDecision;True;{'name': 'Luis Muriel', 'slug': 'luis-muriel', 'shortName': 'L. Muriel', 'position': 'F', 'userCount': 5380, 'id': 119242};72
ATT X UDI 27-10-2019;;False;891;penaltyAwarded;varDecision;False;{'name': 'Rodrigo Becão', 'slug': 'rodrigo-becao', 'shortName': 'R. Becão', 'position': 'D', 'userCount': 420, 'id': 880207};38
ATT X UDI 27-10-2019;;False;890;goalNotAwarded;varDecision;True;{'name': 'Josip Iličić', 'slug': 'josip-ilicic', 'shortName': 'J. Iličić', 'position': 'F', 'userCount': 4630, 'id': 41270};24
SPA X NAP 27-10-2019;;False;892;penaltyAwarded;varDecision;False;{'name': 'Dries Mertens', 'slug': 'dries-mertens', 'shortName': 'D. Mertens', 'position': 'F', 'userCount': 8991, 'id': 32493};39
FIO X LAZ 27-10-2019;;False;905;goalNotAwarded;varDecision;False;{'name': 'Joaquín Correa', 'slug': 'joaquin-correa', 'shortName': 'J. Correa', 'position': 'F', 'userCount': 2563, 'id': 249929};23
JUV X GEN 30-10-2019;3.0;False;925;goalAwarded;varDecision;True;{'name': 'Cristiano Ronaldo', 'slug': 'cristiano-ronaldo', 'shortName': 'C. Ronaldo', 'position': 'F', 'userCount': 318587, 'id': 750};90
SAM X LEC 30-10-2019;2.0;False;923;penaltyAwarded;varDecision;False;{'name': 'Evgen Shakhov', 'slug': 'evgen-shakhov', 'shortName': 'E. Shakhov', 'position': 'M', 'userCount': 310, 'id': 41310};45
ROM X NAP 02-11-2019;;False;959;penaltyNotAwarded;varDecision;True;{'name': 'Chris Smalling', 'slug': 'chris-smalling', 'shortName': 'C. Smalling', 'position': 'D', 'userCount': 3548, 'id': 47741};25
HEL X BCA 03-11-2019;;False;986;penaltyAwarded;varDecision;True;{'name': 'Eddie Salcedo', 'slug': 'eddie-salcedo', 'shortName': 'E. Salcedo', 'position': 'F', 'userCount': 772, 'id': 893643};31
BCA X TOR 09-11-2019;;False;1027;penaltyNotAwarded;varDecision;False;{'name': 'Andrea Belotti', 'slug': 'andrea-belotti', 'shortName': 'A. Belotti', 'position': 'F', 'userCount': 4571, 'id': 220223};25
LAZ X LEC 10-11-2019;;False;1060;review;varDecision;False;{'name': 'Marco Mancosu', 'slug': 'marco-mancosu', 'shortName': 'M. Mancosu', 'position': 'M', 'userCount': 707, 'id': 25522};69
UDI X SPA 10-11-2019;5.0;False;1065;penaltyNotAwarded;varDecision;False;{'name': 'Jacopo Sala', 'slug': 'jacopo-sala', 'shortName': 'J. Sala', 'position': 'D', 'userCount': 71, 'id': 100568};90
ATT X JUV 23-11-2019;;True;1119;penaltyNotAwarded;varDecision;True;{'name': 'Hans Hateboer', 'slug': 'hans-hateboer', 'shortName': 'H. Hateboer', 'position': 'M', 'userCount': 1262, 'id': 356352};79
ROM X BCA 24-11-2019;;False;1135;goalAwarded;varDecision;True;{'name': 'Nicolò Zaniolo', 'slug': 'nicolo-zaniolo', 'shortName': 'N. Zaniolo', 'position': 'M', 'userCount': 4860, 'id': 864898};63
SAM X UDI 24-11-2019;;False;1141;penaltyNotAwarded;varDecision;True;{'name': 'Fabio Quagliarella', 'slug': 'fabio-quagliarella', 'shortName': 'F. Quagliarella', 'position': 'F', 'userCount': 2931, 'id': 11621};73
SAM X UDI 24-11-2019;;False;1138;goalAwarded;varDecision;False;{'name': 'Ilija Nestorovski', 'slug': 'ilija-nestorovski', 'shortName': 'I. Nestorovski', 'position': 'F', 'userCount': 412, 'id': 55314};5
