game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Clearances_away_1ST;Clearances_away_2ND;Clearances_away_ALL;Clearances_home_1ST;Clearances_home_2ND;Clearances_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Crosses_away_1ST;Crosses_away_2ND;Crosses_away_ALL;Crosses_home_1ST;Crosses_home_2ND;Crosses_home_ALL;Dribbles_away_1ST;Dribbles_away_2ND;Dribbles_away_ALL;Dribbles_home_1ST;Dribbles_home_2ND;Dribbles_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Interceptions_away_1ST;Interceptions_away_2ND;Interceptions_away_ALL;Interceptions_home_1ST;Interceptions_home_2ND;Interceptions_home_ALL;Long balls_away_1ST;Long balls_away_2ND;Long balls_away_ALL;Long balls_home_1ST;Long balls_home_2ND;Long balls_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Possession lost_away_1ST;Possession lost_away_2ND;Possession lost_away_ALL;Possession lost_home_1ST;Possession lost_home_2ND;Possession lost_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Tackles_away_1ST;Tackles_away_2ND;Tackles_away_ALL;Tackles_home_1ST;Tackles_home_2ND;Tackles_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
MIL X FIO 29-09-2019;164 (82%);251 (90%);415 (86%);309 (88%);197 (86%);506 (87%);4;3;7;9;4;13;36%;55%;45%;64%;45%;55%;1;1;2;0;0;0;2;2;4;0;0;0;3;3;6;0;3;3;13;9;22;3;5;8;2;4;6;3;1;4;;;;;;;1/4 (25%);1/7 (14%);2/11 (18%);1/14 (7%);1/5 (20%);2/19 (11%);10/12 (83%);7/11 (64%);17/23 (74%);7/9 (78%);13/18 (72%);20/27 (74%);29;25;54;28;35;63;14;10;2;0;2;2;2;4;;;;;;;8;2;10;3;7;10;10/26 (38%);19/27 (70%);29/53 (55%);19/28 (68%);11/27 (41%);30/55 (55%);1;1;2;0;0;0;201;280;481;352;230;582;58;50;108;71;56;127;0;0;0;0;1;1;3;5;8;2;2;4;3;0;3;4;1;5;3;4;7;2;1;3;6;2;8;4;3;7;10;10;20;10;9;19;9;7;16;6;5;11;1;3;4;1;1;2;3.0;2019-09-29;4.0;8.0;-86.0;-46.0;-54.0;-82.0;-67.0;-39.0;-29.0;-38.0;-25.0;6.0;-11.0;-4.0;3.0;6.0;79.0;85.0;47.0;22.0;12.0;-6.0;7.0;-7.0;-5.0;5.0;55.0;56.0;74.0;43.0;30.0;-38.0;-15.0;-5.0;-5.0;4.0;46.0;36.0;30.0;23.0;6.0;5.0;2.0;24.0;23.0;-10.0;33.0;29.0;29.0;14.0;9.0;-7.0;-1.0;-1.0;-29.0;-35.0;-10.0;-34.0;-26.0;19.0;-38.0;-22.0;-26.0;-73.0;-48.0;-6.0;21.0;-7.0;11.0;-74.0;-50.0;-37.0;-27.0;-17.0;-38.0;-90.0;-100.0;-67.0;24.0;-35.0;-3.0;4.0;6.0;4.0;9.0;23.0;26.0;39.0;35.0;14.0;42.0;-4.0;1.0;16:45:00;-1.0;FIO;MIL
PRM X TOR 30-09-2019;174 (85%);128 (74%);302 (80%);110 (76%);190 (83%);300 (80%);11;5;16;12;11;23;59%;42%;50%;41%;58%;50%;1;1;2;1;1;2;3;1;4;2;2;4;1;0;1;1;5;6;12;13;25;11;4;15;3;0;3;1;6;7;0;0;0;2;0;2;5/16 (31%);3/6 (50%);8/22 (36%);0/8 (0%);6/20 (30%);6/28 (21%);2/5 (40%);3/8 (38%);5/13 (38%);2/4 (50%);2/5 (40%);4/9 (44%);25;36;61;24;25;49;14;17;1;1;2;3;1;4;0;0;0;0;1;1;8;5;13;5;3;8;21/32 (66%);16/33 (48%);37/65 (57%);12/24 (50%);22/32 (69%);34/56 (61%);;;;;;;205;172;377;145;228;373;55;73;128;56;82;138;1;0;1;0;0;0;6;1;7;5;7;12;1;0;1;6;4;10;5;1;6;3;2;5;1;0;1;5;4;9;8;15;23;3;9;12;7;1;8;10;11;21;3;0;3;1;1;2;2.0;2019-09-30;13.0;-90.0;-40.0;-73.0;-41.0;31.0;-12.0;-3.0;6.0;3.0;-9.0;97.0;-19.0;-67.0;-37.0;35.0;34.0;14.0;-21.0;-5.0;-4.0;-12.0;58.0;-10.0;53.0;26.0;44.0;29.0;29.0;11.0;-16.0;-20.0;-10.0;23.0;-15.0;-10.0;-6.0;-58.0;-34.0;-13.0;36.0;26.0;24.0;18.0;60.0;10.0;59.0;37.0;100.0;72.0;24.0;14.0;10.0;19.0;39.0;27.0;-44.0;18.0;37.0;17.0;3.0;9.0;4.0;29.0;37.0;25.0;17.0;-31.0;13.0;8.0;2.0;-19.0;-7.0;-18.0;-6.0;5.0;15.0;80.0;-45.0;53.0;35.0;27.0;39.0;22.0;10.0;13.0;6.0;57.0;29.0;-29.0;-19.0;9.0;3.0;16:45:00;1.0;TOR;PRM
BCA X SAS 04-10-2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPA X PRM 05-10-2019;137 (74%);147 (79%);284 (77%);159 (78%);103 (80%);262 (78%);10;8;18;5;6;11;47%;60%;53%;53%;40%;47%;;;;;;;0;0;0;1;0;1;1;3;4;0;3;3;20;7;27;2;12;14;2;6;8;4;1;5;;;;;;;0/5 (0%);2/13 (15%);2/18 (11%);3/17 (18%);0/7 (0%);3/24 (13%);1/1 (100%);4/6 (67%);5/7 (71%);8/11 (73%);6/8 (75%);14/19 (74%);22;21;43;23;24;47;13;10;2;4;6;0;1;1;;;;;;;3;1;4;7;8;15;18/38 (47%);25/34 (74%);43/72 (60%);17/38 (45%);12/21 (57%);29/59 (49%);2;2;4;1;0;1;185;185;370;205;129;334;71;65;136;78;53;131;0;0;0;0;1;1;0;2;2;5;5;10;1;2;3;6;0;6;0;1;1;3;4;7;2;4;6;4;2;6;6;6;12;6;5;11;2;6;8;9;7;16;1;1;2;2;3;5;0.0;2019-10-05;5.0;12.0;52.0;29.0;19.0;7.0;3.0;-4.0;7.0;5.0;9.0;40.0;-17.0;33.0;15.0;18.0;-19.0;-4.0;-24.0;-18.0;-13.0;-7.0;77.0;-6.0;-3.0;59.0;37.0;39.0;34.0;19.0;5.0;62.0;34.0;51.0;19.0;30.0;48.0;13.0;21.0;28.0;5.0;1.0;-3.0;-4.0;6.0;83.0;13.0;20.0;2.0;-26.0;-18.0;-28.0;-15.0;13.0;72.0;86.0;52.0;55.0;57.0;36.0;15.0;-18.0;-9.0;-13.0;10.0;6.0;-10.0;31.0;-7.0;-12.0;-10.0;-18.0;-12.0;27.0;-22.0;-31.0;-25.0;-18.0;40.0;-14.0;-10.0;-43.0;-16.0;-4.0;13.0;2.0;-44.0;-25.0;-10.0;26.0;-7.0;-56.0;1.0;11:00:00;1.0;PRM;SPA
HEL X SAM 05-10-2019;130 (73%);140 (70%);270 (72%);142 (72%);84 (60%);226 (67%);9;14;23;9;12;21;47%;58%;53%;53%;42%;47%;0;0;0;1;0;1;0;0;0;2;0;2;3;3;6;2;2;4;10;8;18;6;13;19;1;3;4;6;3;9;0;2;2;1;0;1;2/5 (40%);3/11 (27%);5/16 (31%);3/12 (25%);1/12 (8%);4/24 (17%);3/5 (60%);7/12 (58%);10/17 (59%);4/5 (80%);1/7 (14%);5/12 (42%);23;39;62;29;28;57;15;14;1;1;2;0;2;2;;;;;;;5;6;11;4;5;9;10/29 (34%);9/30 (30%);19/59 (32%);9/27 (33%);12/37 (32%);21/64 (33%);3;1;4;2;1;3;177;199;376;196;141;337;79;96;175;83;97;180;;;;;;;3;4;7;3;0;3;1;5;6;0;1;1;0;2;2;2;1;3;1;6;7;1;4;5;3;13;16;9;11;20;4;10;14;4;4;8;3;0;3;1;0;1;0.0;2019-10-05;5.0;44.0;5.0;-6.0;-8.0;-39.0;-26.0;-4.0;-2.0;-6.0;-7.0;5.0;-30.0;-38.0;-24.0;-17.0;-4.0;-2.0;-4.0;9.0;31.0;23.0;14.0;43.0;35.0;24.0;31.0;21.0;29.0;3.0;1.0;-5.0;29.0;7.0;-33.0;-13.0;-13.0;-14.0;-12.0;-3.0;26.0;14.0;8.0;-15.0;-8.0;1.0;-8.0;-6.0;-2.0;-25.0;-13.0;-7.0;-3.0;16.0;13.0;25.0;5.0;6.0;5.0;22.0;6.0;-13.0;-13.0;-22.0;-21.0;-22.0;-53.0;19.0;-59.0;-35.0;-15.0;-6.0;18.0;11.0;-41.0;-26.0;-15.0;-5.0;22.0;-5.0;15.0;38.0;21.0;11.0;-9.0;-15.0;22.0;11.0;6.0;76.0;4.0;-44.0;2.0;14:00:00;1.0;SAM;HEL
GEN X MIL 05-10-2019;175 (84%);178 (84%);353 (84%);179 (82%);172 (85%);351 (84%);5;3;8;5;12;17;48%;51%;50%;52%;49%;50%;0;0;0;1;1;2;0;1;1;1;1;2;0;1;1;1;1;2;13;4;17;8;2;10;0;0;0;5;2;7;0;0;0;0;1;1;0/5 (0%);0/3 (0%);0/8 (0%);1/15 (7%);4/9 (44%);5/24 (21%);3/5 (60%);3/3 (100%);6/8 (75%);3/4 (75%);3/5 (60%);6/9 (67%);23;26;49;17;25;42;14;23;3;2;5;2;2;4;;;;;;;4;3;7;7;3;10;18/26 (69%);13/24 (54%);31/50 (62%);23/38 (61%);15/23 (65%);38/61 (62%);1;0;1;2;1;3;208;212;420;218;202;420;53;52;105;63;53;116;0;2;2;1;1;2;1;4;5;4;5;9;2;0;2;1;5;6;2;4;6;4;2;6;3;1;4;2;3;5;4;9;13;3;3;6;4;5;9;6;8;14;1;3;4;1;3;4;2.0;2019-10-05;8.0;6.0;2.0;2.0;4.0;13.0;13.0;58.0;42.0;24.0;5.0;1.0;7.0;19.0;14.0;10.0;1.0;-3.0;-44.0;-32.0;-49.0;-22.0;12.0;-6.0;7.0;11.0;56.0;45.0;-43.0;-17.0;-8.0;42.0;22.0;7.0;47.0;57.0;58.0;30.0;24.0;17.0;32.0;21.0;18.0;16.0;17.0;4.0;5.0;-20.0;-51.0;-39.0;-34.0;-48.0;-21.0;-30.0;-34.0;-5.0;9.0;7.0;2.0;46.0;26.0;21.0;16.0;-33.0;-22.0;-57.0;-39.0;-13.0;-29.0;-17.0;-3.0;-9.0;-10.0;-13.0;-18.0;-4.0;16.0;11.0;34.0;22.0;54.0;33.0;20.0;18.0;48.0;32.0;45.0;30.0;44.0;10.0;24.0;60.0;1.0;16:45:00;-1.0;MIL;GEN
FIO X UDI 06-10-2019;184 (80%);150 (76%);334 (78%);222 (84%);134 (78%);356 (82%);4;4;8;5;9;14;47%;55%;50%;53%;45%;50%;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;4;3;7;11;6;17;6;17;23;1;2;3;7;5;12;;;;;;;2/6 (33%);0/14 (0%);2/20 (10%);5/10 (50%);1/6 (17%);6/16 (38%);3/3 (100%);9/14 (64%);12/17 (71%);3/9 (33%);4/8 (50%);7/17 (41%);19;27;46;17;29;46;11;9;1;2;3;0;1;1;;;;;;;4;6;10;3;6;9;10/27 (37%);12/24 (50%);22/51 (43%);15/27 (56%);11/22 (50%);26/49 (53%);;;;;;;229;197;426;263;172;435;61;79;140;64;61;125;;;;;;;2;3;5;5;6;11;3;3;6;3;2;5;0;1;1;1;3;4;1;2;3;3;2;5;9;10;19;5;10;15;3;5;8;8;8;16;0;2;2;1;0;1;0.0;2019-10-06;-10.0;-11.0;38.0;33.0;19.0;12.0;13.0;24.0;30.0;20.0;14.0;-24.0;9.0;3.0;-5.0;-49.0;45.0;47.0;84.0;47.0;20.0;36.0;27.0;17.0;3.0;-5.0;-5.0;-54.0;34.0;36.0;26.0;49.0;62.0;-27.0;28.0;19.0;33.0;58.0;37.0;31.0;19.0;14.0;6.0;7.0;14.0;-12.0;-22.0;-8.0;-10.0;-7.0;-7.0;13.0;50.0;28.0;36.0;20.0;-20.0;-36.0;-34.0;-58.0;-38.0;-25.0;-14.0;-16.0;-3.0;33.0;29.0;-2.0;23.0;28.0;80.0;45.0;-73.0;-37.0;-26.0;-16.0;37.0;21.0;6.0;65.0;6.0;3.0;5.0;-9.0;-10.0;-27.0;-24.0;-20.0;21.0;-25.0;2.0;-33.0;1.0;08:30:00;1.0;UDI;FIO
ATT X LEC 06-10-2019;187 (81%);141 (79%);328 (80%);233 (87%);265 (87%);498 (87%);6;7;13;6;6;12;47%;38%;43%;53%;62%;57%;1;0;1;2;5;7;1;1;2;3;6;9;2;1;3;0;1;1;13;8;21;8;3;11;4;1;5;5;4;9;0;0;0;0;1;1;1/13 (8%);2/4 (50%);3/17 (18%);4/13 (31%);0/5 (0%);4/18 (22%);3/5 (60%);4/4 (100%);7/9 (78%);5/11 (45%);5/9 (56%);10/20 (50%);24;27;51;23;27;50;13;15;6;6;12;1;0;1;;;;;;;4;9;13;8;4;12;13/26 (50%);16/28 (57%);29/54 (54%);16/23 (70%);13/23 (57%);29/46 (63%);1;1;2;0;0;0;231;179;410;267;306;573;75;56;131;63;59;122;;;;;;;3;1;4;11;12;23;2;0;2;6;8;14;1;1;2;8;7;15;2;1;3;3;4;7;10;7;17;10;7;17;5;2;7;14;16;30;0;3;3;0;2;2;1.0;2019-10-06;-4.0;100.0;71.0;2.0;27.0;23.0;38.0;60.0;39.0;29.0;27.0;7.0;17.0;18.0;13.0;5.0;-5.0;-3.0;-24.0;-7.0;34.0;26.0;74.0;42.0;87.0;70.0;74.0;32.0;31.0;31.0;70.0;44.0;32.0;58.0;-30.0;37.0;8.0;39.0;3.0;-23.0;-2.0;5.0;57.0;38.0;21.0;54.0;28.0;30.0;18.0;54.0;98.0;60.0;69.0;70.0;40.0;22.0;3.0;33.0;24.0;32.0;22.0;12.0;10.0;-15.0;-3.0;13.0;24.0;2.0;11.0;-9.0;-3.0;18.0;53.0;35.0;45.0;26.0;78.0;65.0;24.0;43.0;45.0;75.0;39.0;26.0;23.0;2.0;-56.0;-36.0;-23.0;20.0;-14.0;23.0;3.0;11:00:00;1.0;LEC;ATT
BGN X LAZ 06-10-2019;164 (72%);135 (83%);299 (76%);160 (78%);192 (86%);352 (82%);18;5;23;9;2;11;53%;43%;48%;47%;57%;52%;0;2;2;1;2;3;0;2;2;3;2;5;1;2;3;0;2;2;10;7;17;12;4;16;3;1;4;3;2;5;;;;;;;4/9 (44%);0/8 (0%);4/17 (24%);1/9 (11%);2/10 (20%);3/19 (16%);6/10 (60%);3/7 (43%);9/17 (53%);6/12 (50%);10/12 (83%);16/24 (67%);38;19;57;27;30;57;16;13;4;2;6;0;2;2;0;1;1;1;0;1;8;3;11;5;4;9;20/34 (59%);13/23 (57%);33/57 (58%);11/28 (39%);9/19 (47%);20/47 (43%);0;1;1;0;2;2;229;162;391;205;223;428;85;50;135;70;56;126;0;1;1;0;1;1;3;3;6;5;4;9;3;1;4;4;4;8;2;2;4;6;2;8;3;2;5;5;4;9;8;5;13;6;8;14;6;5;11;10;8;18;1;3;4;1;4;5;2.0;2019-10-06;-10.0;38.0;31.0;21.0;27.0;-21.0;-72.0;-43.0;-25.0;-44.0;-24.0;14.0;-15.0;63.0;31.0;18.0;-46.0;-14.0;-13.0;-13.0;-9.0;-2.0;3.0;-3.0;-5.0;44.0;38.0;19.0;-23.0;-25.0;-32.0;-19.0;18.0;36.0;-10.0;4.0;76.0;78.0;50.0;32.0;-13.0;-3.0;38.0;19.0;41.0;-23.0;28.0;27.0;10.0;9.0;10.0;12.0;9.0;9.0;33.0;20.0;-15.0;26.0;19.0;39.0;16.0;13.0;-12.0;7.0;7.0;16.0;10.0;-7.0;6.0;-5.0;-1.0;8.0;7.0;10.0;-15.0;-15.0;-12.0;-42.0;49.0;-19.0;-12.0;-17.0;-4.0;17.0;-12.0;-18.0;-16.0;-51.0;-31.0;27.0;-38.0;42.0;2.0;11:00:00;0.0;LAZ;BGN
ROM X CAG 06-10-2019;113 (75%);83 (60%);196 (68%);262 (89%);226 (81%);488 (85%);9;11;20;10;24;34;34%;33%;34%;66%;67%;66%;0;0;0;0;2;2;1;0;1;0;2;2;2;1;3;3;3;6;8;17;25;5;2;7;1;0;1;3;4;7;;;;;;;3/5 (60%);1/4 (25%);4/9 (44%);1/6 (17%);6/14 (43%);7/20 (35%);5/7 (71%);2/4 (50%);7/11 (64%);4/8 (50%);5/8 (63%);9/16 (56%);24;32;56;25;42;67;11;18;3;3;6;0;1;1;;;;;;;2;8;10;8;7;15;11/24 (46%);8/40 (20%);19/64 (30%);26/38 (68%);21/31 (68%);47/69 (68%);1;0;1;1;0;1;150;138;288;295;279;574;55;81;136;54;80;134;;;;;;;3;0;3;3;14;17;1;2;3;1;8;9;1;1;2;3;3;6;1;4;5;4;0;4;5;9;14;6;9;15;4;4;8;7;14;21;3;1;4;1;0;1;1.0;2019-10-06;-10.0;67.0;44.0;31.0;23.0;20.0;12.0;36.0;27.0;14.0;10.0;-10.0;11.0;6.0;-7.0;-20.0;-5.0;4.0;-39.0;-10.0;-1.0;5.0;-8.0;8.0;16.0;25.0;27.0;36.0;25.0;21.0;77.0;50.0;28.0;-2.0;23.0;18.0;22.0;18.0;8.0;-10.0;-20.0;-8.0;20.0;79.0;47.0;3.0;28.0;22.0;25.0;44.0;83.0;45.0;18.0;11.0;41.0;18.0;5.0;12.0;6.0;5.0;-28.0;-35.0;-10.0;29.0;24.0;18.0;17.0;15.0;11.0;-8.0;5.0;33.0;17.0;27.0;19.0;16.0;44.0;47.0;16.0;37.0;27.0;34.0;21.0;16.0;44.0;55.0;3.0;41.0;28.0;5.0;44.0;31.0;1.0;11:00:00;0.0;CAG;ROM
TOR X NAP 06-10-2019;228 (83%);209 (84%);437 (84%);112 (73%);134 (76%);246 (75%);10;7;17;6;6;12;64%;59%;61%;36%;41%;39%;0;1;1;0;0;0;0;1;1;0;0;0;3;3;6;0;3;3;2;13;15;6;13;19;2;3;5;1;3;4;;;;;;;1/6 (17%);3/11 (27%);4/17 (24%);1/5 (20%);4/13 (31%);5/18 (28%);3/4 (75%);3/6 (50%);6/10 (60%);4/6 (67%);8/17 (47%);12/23 (52%);24;25;49;28;27;55;12;11;2;2;4;2;1;3;;;;;;;3;12;15;7;7;14;13/16 (81%);9/18 (50%);22/34 (65%);18/36 (50%);14/31 (45%);32/67 (48%);0;1;1;0;2;2;274;249;523;153;176;329;69;69;138;60;79;139;;;;;;;3;5;8;3;5;8;2;5;7;3;2;5;2;1;3;2;2;4;4;4;8;2;2;4;3;13;16;8;11;19;7;9;16;5;7;12;2;0;2;1;0;1;0.0;2019-10-06;-33.0;-37.0;-27.0;-53.0;-24.0;-22.0;-9.0;-10.0;11.0;-6.0;-11.0;-30.0;-8.0;-8.0;-30.0;-25.0;-43.0;-34.0;-27.0;-17.0;29.0;-23.0;-65.0;-3.0;-1.0;-5.0;-7.0;-5.0;-7.0;-6.0;7.0;14.0;7.0;-51.0;8.0;5.0;2.0;-14.0;-16.0;-15.0;79.0;49.0;34.0;28.0;94.0;-35.0;50.0;-50.0;-17.0;-16.0;-16.0;-11.0;16.0;9.0;7.0;5.0;-37.0;4.0;32.0;11.0;7.0;33.0;2.0;-20.0;-6.0;-10.0;38.0;-19.0;-44.0;-12.0;-15.0;-7.0;28.0;68.0;44.0;33.0;11.0;-9.0;-11.0;-12.0;-13.0;-21.0;-53.0;-71.0;-48.0;-34.0;-71.0;-54.0;-32.0;-12.0;23.0;17.0;0.0;14:00:00;0.0;NAP;TOR
INT X JUV 06-10-2019;201 (87%);199 (85%);400 (86%);161 (83%);240 (84%);401 (84%);6;4;10;4;2;6;54%;45%;49%;46%;55%;51%;0;1;1;0;1;1;0;2;2;1;1;2;4;2;6;3;2;5;9;6;15;9;3;12;2;0;2;2;5;7;1;0;1;1;0;1;1/9 (11%);0/5 (0%);1/14 (7%);1/10 (10%);3/11 (27%);4/21 (19%);6/10 (60%);7/8 (88%);13/18 (72%);6/6 (100%);5/10 (50%);11/16 (69%);25;29;54;21;18;39;9;22;1;1;2;1;3;4;1;0;1;0;1;1;3;8;11;5;7;12;15/19 (79%);15/26 (58%);30/45 (67%);13/22 (59%);20/32 (63%);33/54 (61%);2;0;2;1;1;2;230;235;465;195;285;480;57;49;106;52;69;121;;;;;;;3;6;9;4;2;6;2;4;6;1;1;2;2;4;6;2;1;3;5;4;9;2;2;4;2;9;11;10;5;15;8;10;18;6;4;10;1;2;3;0;2;2;2.0;2019-10-06;2.0;-10.0;18.0;25.0;24.0;21.0;16.0;24.0;15.0;86.0;73.0;-34.0;34.0;18.0;14.0;-21.0;-11.0;-18.0;-11.0;-3.0;-1.0;41.0;31.0;30.0;13.0;-24.0;-13.0;-13.0;-25.0;-22.0;-13.0;-23.0;-38.0;-27.0;-20.0;-19.0;-10.0;-39.0;-41.0;-30.0;-12.0;-3.0;-27.0;-20.0;-25.0;-30.0;-38.0;-28.0;-19.0;-28.0;-41.0;-26.0;-27.0;-77.0;-50.0;-30.0;-14.0;-16.0;-8.0;2.0;1.0;14.0;14.0;39.0;13.0;11.0;10.0;14.0;4.0;-11.0;-14.0;-11.0;29.0;-26.0;-7.0;23.0;10.0;-19.0;-15.0;-76.0;-38.0;-15.0;-6.0;-4.0;6.0;38.0;69.0;47.0;48.0;-24.0;44.0;20.0;1.0;16:45:00;-1.0;JUV;INT
BCA X SAS 18-12-2019;244 (87%);336 (91%);580 (89%);123 (78%);123 (77%);246 (77%);4;2;6;7;6;13;64%;69%;67%;36%;31%;33%;;;;;;;1;0;1;0;0;0;0;2;2;3;2;5;9;15;24;10;5;15;2;2;4;2;2;4;0;1;1;0;2;2;1/13 (8%);1/6 (17%);2/19 (11%);2/8 (25%);5/12 (42%);7/20 (35%);6/8 (75%);6/11 (55%);12/19 (63%);2/6 (33%);4/5 (80%);6/11 (55%);22;30;52;22;26;48;16;17;1;5;6;1;2;3;;;;;;;3;5;8;7;6;13;10/20 (50%);8/14 (57%);18/34 (53%);9/19 (47%);7/13 (54%);16/32 (50%);2;1;3;1;2;3;282;370;652;158;160;318;65;59;124;63;66;129;;;;;;;1;2;3;6;10;16;1;3;4;3;5;8;2;3;5;1;5;6;2;6;8;1;2;3;7;12;19;5;10;15;3;8;11;7;12;19;3;0;3;1;1;2;2.0;2019-12-18;7.0;39.0;16.0;2.0;-7.0;-11.0;-42.0;-24.0;-21.0;27.0;8.0;6.0;3.0;-50.0;-41.0;-32.0;-23.0;-60.0;-36.0;-15.0;-12.0;-33.0;-30.0;-6.0;6.0;21.0;12.0;20.0;12.0;59.0;38.0;11.0;6.0;-17.0;2.0;22.0;8.0;5.0;-5.0;-12.0;-2.0;-6.0;-9.0;-10.0;-16.0;-40.0;18.0;2.0;47.0;60.0;37.0;55.0;38.0;78.0;71.0;43.0;-26.0;11.0;4.0;-36.0;-26.0;-17.0;-15.0;-34.0;-18.0;-11.0;-8.0;-5.0;-8.0;-47.0;-33.0;-25.0;-19.0;-16.0;-18.0;-25.0;38.0;42.0;2.0;53.0;67.0;35.0;11.0;-7.0;-29.0;-65.0;-65.0;-44.0;-31.0;2.0;-18.0;15.0;0.0;17:45:00;-1.0;SAS;BCA
