game;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5
SCP X STP 26-09-2015;-6;-31;-13;-3;-32;-19;-9;-6;5;2;-6;-3;-42;-55;-38.0;-23;-18;-4;-1;-5;-9;-5;-7;5;-1.0;-6;-8;-5;-84;-46.0;-27;-16.0;30;-65;16;-21;-7;30;16;9;;6;-5;-41;36;-84;1;1;2;24;57;40;14;4;-5;-4;-50;-2;1;-5;-1;-5;-2;1;1;10;1;-25;30;67;30;16;10;3;5;2;1;50;-14;29;12;12;36;18;10;6;3;-25;-15;-4;-1;-50.0
HEI X KAR 27-09-2015;-1;77;45;28;21;5;-8;-5;-4;5;-1;-1;4;2;-5.0;-2;6;-5;-6;-33;-24;-15;-1;36;16.0;-45;-24;-14;-6;-3.0;-5;-1.0;1;-1;1;21;18;11;12;17;15.0;1;6;-3;-3;10;-4;-25;-18;-13;-5;-5;-9;-13;28;8;-6;-8;-3;8;-3;-18;-8;-12;-15;-11;-3;-36;-49;-36;-34;-27;-24;-38;-30;-24;-16;-5;-22;-2;-7;4;-2;-12;-8;-5;-19;-12;-8;20;-2;-80.0
MUN X RBL 27-09-2015;-6;9;-6;5;-7;-4;-3;-1;-6;-3;-2;-3;-31;-19;-6.0;-4;-7;-7;5;-6;-4;-8;-2;5;-1.0;-1;-1;60;33;19.0;-21;-1.0;-6;-1;-4;5;10;8;3;-68;0.0;3;9;28;19;-6;19;14;15;10;11;2;-5;-1;6;2;-8;2;2;7;-10;-2;-5;91;52;-75;-24;-80;-28;-23;-18;-34;-14;-12;-11;-5;76;44;75;27;22;14;3;2;2;-20;-10;-11;-6;15;6;25.0
SCF X FSV 27-09-2015;1;1;1;1;1;2;2;2;32;14;14;1;14;14;7.0;5;13;8;6;-4;2;7;1;9;46.0;59;41;25;15;52.0;35;21.0;88;-5;23;-44;-13;-7;17;2;10.0;6;10;7;-4;6;75;44;26;10;11;1;6;8;35;21;2;12;12;7;2;1;-5;-32;-59;-34;-24;7;-18;-7;1;71;42;21;-40;-34;41;14;4;49;53;33;-25;41;89;82;19;34;28;-5;2;-5.0
EBR X FUR 28-09-2015;-1;-44;-28;-18;-17;-86;-45;-28;-19;-65;-33;35;30;6;;38;27;21;-45;-40;-26;-15;24;-9;;35;25;35;21;;17;;-10;8;10;3;7;3;-5;-11;-35.0;-1;45;30;47;9;22;17;1;9;2;-6;10;3;5;2;4;41;23;13;16;4;5;-11;-5;-4;-8;-6;30;19;30;12;-51;-28;35;17;15;7;-9;8;1;-1;-1;5;-6;-8;9;1;-7;-12;-14;-50.0
KAI X DUS 02-10-2015;-5;-2;-23;74;33;13;16;9;3;-2;4;-2;-7;-4;-49.0;-55;-29;24;2;-27;-17;-52;-5;-39;-44.0;-41;-25;-13;-9;-32.0;42;15.0;15;-2;16;13;6;5;24;7;5.0;37;45;25;-47;-6;-25;-19;-19;-8;74;41;18;15;7;-8;6;-6;-5;3;-37;-23;-56;-35;-23;-13;-29;-7;-6;28;12;5;2;-23;28;1;38;26;4;15;9;-8;18;6;1;-2;-2;-8;-10;-2;-2;85.0
ARM X MUN 02-10-2015;-1;-48;-29;-18;-11;4;-2;54;31;-42;29;4;48;23;20.0;17;9;9;12;8;-39;-18;1;37;16.0;11;11;8;9;7.0;5;1.0;-3;-2;93;46;25;8;42;16;;2;-3;3;43;4;-26;-6;25;7;36;8;-11;-9;-10;35;-7;16;-11;-6;-7;-2;-6;-18;-50;-39;25;-8;-6;-6;55;32;12;2;-6;-11;25;1;-6;-33;-40;-25;-14;-10;-5;-8;-7;-6;-1;-79;28;35.0
FSV X HEI 02-10-2015;5;-23;-19;-1;-1;-76;-48;-28;-12;-7;-11;8;-10;-11;-7.0;-9;-79;-72;-32;20;-1;45;10;28;21.0;6;-31;-13;-3;-7.0;5;7.0;-6;11;-74;-27;-15;-3;7;14;-40.0;-4;-6;-1;-2;7;-4;-4;-4;-30;-20;-14;38;15;8;-8;4;-3;-2;-3;18;12;5;-78;-46;-41;-29;7;-22;-12;-12;-6;-8;-50;-39;-33;-24;-19;4;-13;-7;10;-6;-40;-18;-16;-25;-16;-8;-35;-6;-40.0
STP X SAN 03-10-2015;-1;-37;-18;-17;-11;-9;-2;-2;-8;-1;-2;-1;-8;9;5.0;6;-7;1;1;11;12;13;-3;4;-34.0;-13;-7;16;17;24.0;19;17.0;15;19;8;4;32;19;1;1;30.0;1;5;23;64;2;43;26;13;20;-12;14;-7;-12;-19;24;-77;-7;-2;-2;-7;-12;-13;-14;-19;-17;-16;-46;-16;-55;-38;-29;-18;129;62;30;-82;-8;-100;-16;-15;-47;-16;-6;66;43;24;9;36;-60;17;-75.0
FUR X BOC 03-10-2015;-4;-1;-3;15;7;10;5;8;8;5;2;-25;6;3;46.0;27;-76;-40;-19;-14;-8;6;-100;4;2.0;-75;-42;-25;-9;-5.0;72;48.0;69;-45;46;27;-35;-18;-18;-23;;-16;-9;-7;-6;-22;-10;-37;-24;-46;-19;-88;-54;-76;-47;-33;40;-28;-21;-13;-17;41;-35;-19;-6;30;12;22;9;5;2;-35;40;10;-41;-85;-78;-50;20;-25;-22;-13;-6;-4;5;21;12;6;-21;-21;-11;-75.0
EBR X UNB 04-10-2015;1;8;-5;-10;-5;-7;-19;81;42;25;16;1;11;-5;-1.0;26;10;6;4;-80;-51;-29;1;-16;-13.0;-6;-2;2;22;13.0;9;-19.0;-1;1;-1;2;7;11;7;5;;4;-6;-52;-36;1;-17;-10;10;5;-6;-36;-27;-20;-45;-29;1;-19;-9;-9;-2;2;-49;-33;-18;-4;7;1;6;5;-4;-5;-2;2;2;6;5;4;6;78;47;23;15;9;1;1;7;-4;20;4;1;35.0
KAR X SCF 04-10-2015;5;25;12;4;-11;-7;-19;-6;5;10;5;-6;9;10;5.0;2;1;-1;5;72;43;60;5;36;90.0;48;23;-31;-10;-11.0;-2;5.0;14;1;13;48;23;13;-16;-5;;-41;-25;-15;-29;20;-28;-20;-13;-18;-15;-4;-3;4;1;-22;46;-43;54;14;10;10;11;10;43;28;24;62;11;13;67;42;57;31;20;5;8;3;41;-5;6;-5;-5;-2;11;66;55;34;21;54;-95;75.0
RBL X NUR 04-10-2015;-1;41;100;62;43;22;13;79;48;24;21;-6;9;7;5.0;4;3;9;1;2;-9;-2;-4;22;43.0;27;13;9;5;2.0;72;45.0;23;16;10;52;57;30;20;20;;10;6;11;14;4;10;8;17;52;82;56;30;14;5;5;5;1;-6;-77;-11;-2;50;24;39;15;28;5;18;6;11;7;7;4;-81;-41;-25;-50;80;-60;40;-41;-14;-4;-4;42;15;9;26;49;17;0.0
DUI X SCP 05-10-2015;1;-24;-12;-4;-2;-51;-29;-22;-43;-25;-11;-4;-6;-3;20.0;12;62;37;22;-25;-7;-3;-11;-46;-2.0;1;1;25;19;15.0;-30;-11.0;-13;-10;21;12;10;6;29;11;-5.0;1;-2;-7;-6;-50;9;6;2;-22;-8;-12;-14;-14;39;61;-43;65;37;56;29;12;8;-42;-25;-21;-19;-59;-53;-40;-55;-34;39;32;14;9;9;2;-33;-1;74;42;34;14;2;4;4;5;12;-23;7;5.0
DUS X ARM 16-10-2015;-10;-1;-6;-2;1;1;26;16;9;6;4;-6;6;4;42.0;-40;-27;76;40;26;39;-35;-3;-10;61.0;26;15;7;-50;-25.0;-13;-7.0;-3;-2;7;10;6;-5;-4;-5;-20.0;-1;5;1;-36;-6;-25;-10;-77;-56;-31;-18;-11;-2;-31;-18;-3;-11;-5;-22;-15;-8;6;1;8;16;20;-7;52;32;-30;41;25;12;-20;-33;-22;-12;-10;-11;-4;-24;-8;-7;-6;18;67;42;23;-1;-3;-25.0
SCP X EBR 16-10-2015;1;30;19;9;6;9;1;6;-10;76;48;1;30;22;100.0;67;44;20;-41;-55;-28;-22;20;-13;-5.0;5;1;6;3;3.0;3;-9.0;-6;-40;7;-4;-4;32;24;11;20.0;2;2;2;2;-15;-29;-15;-12;-56;-32;-16;-3;7;37;-29;-18;7;1;1;-5;-39;-22;-12;-16;-8;2;106;2;41;26;16;5;3;6;-5;6;9;55;-30;21;79;47;18;14;2;-28;-46;46;41;6;-5.0
SAN X KAI 16-10-2015;-1;-30;-25;-15;29;14;7;13;7;6;7;4;8;3;20.0;100;63;30;-37;-13;-30;-64;1;-39;-22.0;-19;-11;4;-12;-2.0;-42;39.0;100;-2;19;10;2;-7;-22;-11;-5.0;4;3;-5;1;-11;1;-10;-9;-69;-50;-34;-13;-11;-11;-10;9;-9;-5;-11;-15;-12;-54;-34;-21;-34;-12;-2;28;17;13;7;-12;-8;-7;13;3;-2;-2;-27;-17;-8;-36;-28;-17;-32;-21;-12;-8;-51;-2;-35.0
NUR X FSV 17-10-2015;21;5;1;35;16;8;4;1;-3;-8;4;13;-1;-7;-5.0;-30;-16;23;40;31;27;23;9;19;16.0;46;30;15;7;41.0;20;10.0;-7;-7;-1;49;24;11;8;21;-5.0;2;-4;-10;-9;-6;37;-25;-22;16;28;14;1;80;39;4;-6;-42;-14;-16;-35;-21;29;3;-7;-42;29;-10;-2;22;53;6;100;67;59;33;23;2;39;-4;-27;-20;-41;-23;22;12;-9;5;2;18;5;-40.0
UNB X STP 17-10-2015;6;8;5;-4;2;16;-39;-11;-5;42;22;4;7;-19;-7.0;-81;-17;27;7;10;13;-14;-4;-10;-4.0;42;23;16;11;7.0;-44;-23.0;-7;2;-8;-43;-21;77;38;19;;90;55;-39;-7;6;-10;-17;-16;-12;-83;-45;-2;-11;-7;5;9;-36;-17;-10;-12;-8;-18;-7;45;73;47;6;58;33;-96;-51;-21;-11;40;30;48;58;5;64;41;34;13;11;4;2;-5;81;6;4;-20;85.0
HEI X DUI 18-10-2015;1;33;40;45;71;3;-5;6;1;-2;2;1;27;46;28.0;-40;-12;31;11;2;-30;-13;1;31;7.0;4;5;3;-20;-41.0;-54;-32.0;-23;6;-12;6;2;1;-5;-51;-10.0;-5;-34;-52;-27;4;-18;-16;-4;-1;-2;-3;39;-52;-59;-91;3;-56;-47;-26;-14;-5;19;3;-32;-14;-9;2;-13;-14;-12;-13;-7;-14;-28;30;3;1;77;41;26;13;37;97;64;38;17;8;10;46;4;-35.0
SCF X FUR 18-10-2015;-1;36;22;7;7;3;2;-5;1;61;36;-5;47;24;10.0;-35;-18;16;3;-50;-23;-12;6;52;32.0;-39;-7;7;22;68.0;75;41.0;31;2;18;8;4;22;12;31;75.0;-6;-3;-2;-7;-5;-9;40;19;-36;-59;-30;78;36;26;31;1;96;100;83;47;59;32;-73;-33;28;14;21;11;19;13;13;9;83;56;-43;-3;93;47;55;39;29;19;12;9;6;5;-74;-46;59;37;-40.0
BOC X RBL 18-10-2015;21;-94;-57;-33;-18;37;-29;-1;-4;32;10;12;5;-34;-11.0;-2;32;39;57;30;19;10;2;11;26.0;12;13;9;1;2.0;2;-19.0;-8;-40;-8;-23;-12;-84;-13;-1;10.0;32;15;10;8;-27;3;4;5;1;3;-12;-7;-6;4;4;-17;5;26;39;51;33;-72;-29;-10;-5;19;-4;17;18;13;11;9;9;-16;-2;4;34;-2;19;26;14;12;13;12;5;7;-46;-21;3;-9;60.0
MUN X KAR 19-10-2015;6;44;25;14;12;6;-2;14;27;9;9;2;-17;-8;-7.0;24;20;12;1;-7;4;-2;-12;-2;-2.0;-2;-78;-48;-25;29.0;11;11.0;10;-1;34;21;6;2;69;37;;20;-21;-9;-15;-7;-4;5;12;7;55;52;90;53;26;-21;-55;-6;-8;45;29;23;43;66;40;23;8;-34;-6;-4;-3;10;-36;35;9;15;8;12;-15;4;7;33;59;44;31;17;13;-26;-17;-10;1;-5.0
FSV X BOC 23-10-2015;1;-18;-9;-8;9;41;-57;29;5;1;-2;4;1;-7;-5.0;-44;-100;-56;-29;-18;-9;48;1;27;9.0;4;1;-4;-23;-55.0;39;32.0;77;29;46;34;60;32;23;12;0.0;-2;4;7;50;-22;80;69;100;91;46;29;17;66;38;-40;-33;-19;-5;-46;-66;-40;-42;-24;11;78;52;-60;53;100;81;33;20;-25;-10;-12;-6;-24;-57;-18;-6;-8;-5;35;-31;20;82;43;18;-32;-1;10.0
RBL X DUS 23-10-2015;1;51;29;48;23;14;-5;1;41;18;6;1;9;15;1.0;1;1;6;3;2;1;1;6;1;1.0;1;11;13;13;9.0;31;18.0;11;4;12;100;78;22;9;22;95.0;13;49;35;27;7;5;9;8;-44;-22;-11;-1;37;25;15;-10;5;3;2;31;14;85;51;36;40;40;-7;19;7;5;-4;-1;-19;-90;-53;-25;-34;6;-18;-9;-9;-5;-5;-2;1;-4;11;36;-5;1;10.0
FUR X MUN 23-10-2015;1;16;13;7;43;22;13;8;-5;-2;-1;-1;6;-30;-15.0;41;23;8;2;1;-6;41;-1;21;-40.0;-20;-11;-4;-2;1.0;-10;-3.0;-20;5;-10;-4;2;2;8;51;-5.0;-4;2;77;42;36;26;26;10;1;1;70;41;45;26;16;25;24;4;1;31;28;-35;31;11;4;-25;14;-5;6;1;1;2;5;3;2;-20;-10;7;41;19;11;-59;-28;-18;-4;-6;-4;2;33;2;0.0
UNB X SCP 24-10-2015;-1;20;46;27;30;17;13;4;-41;-24;-14;15;-9;30;-21.0;-2;-2;-1;20;-31;-4;32;-76;19;12.0;16;41;24;16;-24.0;-6;7.0;2;-35;8;3;63;64;40;-31;35.0;5;2;-1;-11;-41;-36;-17;-46;-22;-18;-9;82;78;47;29;-100;48;24;-39;-19;-5;-44;-30;-14;-2;7;-61;6;10;6;3;100;67;9;6;9;-2;-26;-1;1;6;-25;-17;-49;-29;-17;-8;6;-16;53;40.0
KAR X KAI 24-10-2015;-1;10;-49;-18;22;56;29;17;1;2;-2;-1;2;6;11.0;2;-24;-11;-11;7;2;-4;-9;2;11.0;48;29;18;51;25.0;12;2.0;12;-9;4;23;39;24;14;8;75.0;1;25;15;89;-4;63;48;57;39;-30;21;12;10;1;3;-16;5;38;27;22;54;33;-29;47;24;12;-3;8;8;7;5;9;11;23;14;9;6;12;4;3;-3;2;27;18;12;-28;-15;-4;7;2;0.0
DUI X NUR 24-10-2015;-6;15;8;-42;-22;-31;-14;-9;-43;-27;-16;-43;-10;-7;-7.0;6;-5;-1;6;8;5;54;-30;32;19.0;11;7;46;-30;1.0;1;-5.0;-5;-24;6;-30;-25;-44;-25;-10;25.0;6;4;-4;-39;-15;-17;-14;-2;-70;-47;-27;-10;12;3;9;-15;-14;-9;-5;7;27;53;33;55;22;11;-2;4;27;14;4;-5;-1;-2;-1;-5;-2;-1;-16;-4;-22;-12;-7;-3;-7;-2;-1;6;29;-35;25.0
ARM X SAN 25-10-2015;-1;10;-40;-20;-13;-7;-9;-2;6;2;47;36;24;14;14.0;3;1;1;-50;-18;-5;-2;10;1;48.0;28;17;10;27;13.0;8;5.0;3;6;-10;36;33;20;7;5;;-5;6;2;7;-5;10;47;33;40;69;66;100;61;35;13;1;-20;-16;-43;-25;-13;-10;6;3;-40;-21;6;-11;-11;-5;6;4;2;-5;6;2;2;21;6;-10;-2;-1;6;8;6;4;-65;-41;8;-5;-25.0
EBR X HEI 25-10-2015;-1;-10;-6;-9;-11;29;12;11;-52;-31;-51;20;-31;-20;-4.0;2;-4;-9;42;72;74;45;11;29;15.0;11;1;-4;2;2.0;1;2.0;3;6;-4;2;16;11;27;58;0.0;2;2;2;-4;3;29;25;18;15;3;14;61;45;35;25;2;14;4;32;18;26;15;9;23;19;15;-6;-20;-5;-64;-8;-15;11;41;100;65;39;-9;18;3;-62;-42;-24;-43;-24;31;13;3;-6;21;55.0
STP X SCF 25-10-2015;1;-6;-8;-10;-7;4;4;4;-4;32;15;-25;10;2;-4.0;-7;31;11;42;26;11;-5;-20;5;1.0;6;-30;31;9;5.0;3;4.0;1;-13;-4;-5;-11;-35;-59;-38;;-21;-10;-7;2;24;-4;32;8;2;-4;-4;-8;-8;-8;42;2;18;19;19;14;13;9;11;38;53;38;1;58;55;67;33;20;15;4;2;7;25;-1;35;22;4;-4;-6;-6;-49;-24;-5;29;-1;14;35.0
KAI X ARM 30-10-2015;1;2;7;4;3;43;-39;-2;2;7;6;41;12;8;40.0;100;98;58;35;-40;-27;-20;25;-11;-1.0;-5;-25;-9;-9;6.0;-4;1.0;1;11;1;1;1;1;1;-5;;-1;2;1;22;47;25;21;14;59;45;22;-14;-73;-66;-68;29;-44;-23;-7;-6;-30;-16;-18;-15;-7;-6;15;6;2;2;2;2;2;-24;-12;-1;-4;10;-2;-9;-14;-47;-100;-64;-31;-22;-9;1;2;-9;-5.0
DUS X FUR 30-10-2015;-15;4;3;7;7;5;33;-35;-8;21;9;-8;-5;-25;-23.0;-9;-10;-6;45;31;18;11;6;1;-2.0;40;27;46;33;24.0;11;6.0;-35;5;-25;-20;-12;-7;-6;-3;;-1;1;-4;6;3;8;5;54;33;25;20;12;4;-30;-65;-5;-28;31;9;3;11;36;20;32;39;23;1;17;10;45;30;38;22;14;10;66;100;36;67;45;27;2;-33;-14;-8;-9;-9;31;15;75;50.0
BOC X STP 30-10-2015;1;-79;-46;97;38;23;20;8;7;18;7;-5;10;7;-5.0;-5;-2;6;2;2;7;25;41;20;62.0;-40;-1;-31;-18;31.0;-20;-23.0;-21;18;-12;-38;41;13;14;1;0.0;1;7;5;5;7;-39;-19;-15;12;7;9;17;12;-29;22;5;1;2;2;-4;-4;-45;-30;-16;-42;-18;-39;7;-3;7;7;30;100;73;44;8;64;-27;32;25;51;62;28;13;-24;-71;-43;-24;-10;7;-15.0
HEI X UNB 31-10-2015;5;-17;-11;-12;-3;30;20;6;-31;35;3;2;-31;-16;-7.0;-7;-9;-3;-7;-99;-59;-30;-1;-18;20.0;42;44;26;15;12.0;4;1.0;-6;-1;-2;-2;-1;5;-6;-31;35.0;11;36;22;18;-1;61;41;32;14;8;1;6;33;20;12;5;-75;-39;-24;36;13;-30;-8;-54;-33;-19;1;-8;-14;-3;-1;1;1;2;2;-40;-16;-61;-8;16;12;16;15;9;5;-45;-18;-10;-36;-5;5.0
SCP X FSV 31-10-2015;1;4;3;2;-15;-12;-6;6;1;-5;-6;-5;-3;30;16.0;14;9;-6;-2;30;16;39;-41;24;-26.0;70;36;14;3;-6.0;-5;-23.0;-38;-24;-22;-13;-2;5;4;-6;0.0;40;16;10;10;-13;10;2;1;-1;-1;-1;-6;-4;30;9;-7;10;10;30;15;38;21;-36;-26;-46;-30;6;-18;10;-6;-1;5;-6;-3;5;-1;-1;9;-1;-1;20;100;66;-41;-1;-2;-28;-92;6;-1;30.0
MUN X DUI 01-11-2015;-1;64;42;16;8;44;21;-41;-7;-5;-11;-1;-47;-25;-15.0;-4;-2;1;5;-6;-6;30;5;15;3.0;2;6;1;-1;-1.0;5;32.0;19;1;16;4;2;30;17;5;5.0;-3;3;4;3;-1;-30;31;39;24;65;46;-50;-15;-8;41;-1;19;56;34;16;67;50;28;62;48;20;40;12;47;36;-30;-3;26;46;33;23;15;31;-39;-19;-5;-37;-25;-40;32;-14;-1;2;18;-49;75.0
SCF X EBR 01-11-2015;1;25;17;7;-3;12;7;76;42;27;-28;2;-5;-6;-1.0;-39;-19;-9;-3;-59;-35;-48;3;-26;-18.0;-49;-26;-16;-7;28.0;19;43.0;100;4;68;46;49;24;16;11;-5.0;8;2;40;27;9;14;11;5;-37;-18;-17;-12;-43;-24;-11;7;44;40;-77;-26;-17;-15;-7;9;6;-4;1;-29;-11;36;62;48;27;21;-24;-10;-16;7;-8;6;-4;1;1;100;100;84;56;39;6;6;35.0
SAN X RBL 01-11-2015;-1;-5;-5;-12;-2;-1;6;-60;-37;-17;-10;-29;-2;2;1.0;-1;5;1;5;2;76;44;21;25;14.0;-86;-56;-34;-25;-55.0;-67;-45.0;-32;2;-24;-17;-7;5;-26;-10;;-11;-13;-10;-10;-30;-13;-9;-6;4;-2;-2;-3;-3;4;-42;-21;-56;-35;-22;-5;-1;24;12;95;54;25;-10;16;8;-8;-6;-25;-92;-51;-26;-27;-11;-2;-3;9;1;39;21;6;-32;-18;19;40;6;-47;-30.0
NUR X KAR 02-11-2015;1;1;1;5;43;65;4;-20;21;2;21;1;8;1;1.0;1;6;-4;2;31;19;12;5;33;15.0;38;18;12;6;45.0;20;-29.0;-8;3;-4;37;-19;42;21;8;;8;-11;-5;-2;-5;-61;-37;-21;-7;-4;-41;-22;-13;-8;-10;-1;5;81;48;23;-31;-9;-81;-53;-40;31;6;10;16;10;2;11;-60;-62;-51;-19;21;2;9;53;33;14;7;9;57;29;18;36;1;36;25.0
FSV X SAN 06-11-2015;1;29;23;-46;-43;-19;-16;-10;5;3;1;-6;-6;-47;-33.0;-14;30;7;-31;-17;-15;-11;-22;-11;-9.0;-4;-11;-66;-38;-51.0;-25;-13.0;11;-13;4;35;16;10;50;1;0.0;5;38;17;15;10;8;4;-26;-14;40;12;2;2;-6;5;-6;-6;-8;-5;5;-1;-6;-2;-31;-19;-11;-1;-2;-1;6;43;-61;-100;-66;-40;-26;-11;5;-40;-18;-86;-51;-25;-7;-34;-15;-3;-2;43;-1;-5.0
KAR X BOC 06-11-2015;-1;5;-46;-26;-21;-13;-33;-12;30;18;15;-31;30;17;-31.0;-19;30;13;7;6;-6;5;-19;-1;-1.0;-6;75;42;55;32.0;29;32.0;14;-12;-76;-46;-23;-15;-8;-11;5.0;-6;75;41;18;-58;-31;-17;-16;-15;-4;-26;-21;-13;25;-41;-35;-17;-11;-7;-7;-2;-7;-5;-33;-21;-18;-19;-16;35;20;11;-46;-22;-11;-7;75;44;-11;25;19;85;44;-41;-13;-4;-8;-5;10;-7;-21;0.0
FUR X ARM 06-11-2015;-1;6;2;31;19;-20;6;1;-1;1;1;-89;20;12;27.0;16;10;-5;-4;6;-5;6;-53;2;21.0;17;16;50;30;12.0;3;2.0;-10;-31;-5;31;17;36;53;42;0.0;1;6;4;3;-18;-5;1;1;-5;-21;26;3;-5;6;5;-10;32;-30;-4;-12;-1;26;21;13;9;6;1;2;27;-30;-6;51;28;65;41;45;23;-5;19;13;-10;-1;6;42;30;19;47;28;-2;14;0.0
UNB X NUR 07-11-2015;1;-9;-1;5;-6;25;12;31;12;7;6;-19;4;80;88.0;82;89;48;42;72;36;23;-18;14;2.0;6;7;-5;11;6.0;-5;-1.0;-5;-16;-6;-6;-5;-6;3;98;0.0;60;-53;-12;13;-15;-6;-16;-8;-7;-7;76;38;28;83;100;-85;79;43;25;6;-36;-21;-86;-51;-29;-14;-20;-7;1;1;-5;-1;-100;-65;-68;-69;-40;-17;-14;-8;-2;-10;66;36;26;20;52;25;-15;-1;15.0
DUI X SCF 07-11-2015;31;-13;-7;-42;-25;-19;-12;-11;-43;-25;-9;18;-10;-5;-4.0;-2;-6;-3;-1;-45;-16;36;-25;15;9.0;9;-5;-12;-11;-6.0;11;4.0;-5;-7;1;-4;76;43;26;-11;0.0;-12;-17;-46;-33;-4;-24;-19;-16;-32;-14;25;39;8;1;-1;-9;-2;-9;-85;-45;-37;-33;-29;-27;-22;35;-25;8;-26;-21;-17;-13;-83;-58;-39;-28;-22;-67;-8;-14;-19;-36;-27;-21;35;3;6;1;-39;-13;10.0
EBR X MUN 08-11-2015;5;-1;9;35;20;11;6;12;5;2;-26;-6;-14;-8;-4.0;-1;1;32;24;50;71;43;-1;29;47.0;46;20;13;8;8.0;4;8.0;6;-1;4;8;5;3;3;31;0.0;19;12;28;32;-1;18;11;7;4;-60;-68;-39;-62;-16;6;5;-90;51;23;8;5;10;3;-15;-6;-3;7;6;-25;-10;-5;-2;56;29;13;3;-15;3;-10;6;11;12;8;30;8;-30;-14;31;1;11;-15.0
RBL X KAI 08-11-2015;-1;-11;-9;7;7;10;27;57;35;20;17;-1;9;8;5.0;3;2;-35;-19;-11;-6;-3;-21;1;21.0;18;11;7;-25;-13.0;-2;-1.0;1;-13;2;-5;-1;1;1;71;5.0;48;31;20;14;-8;45;28;18;12;19;10;8;11;68;42;-25;21;9;-49;-29;42;35;22;18;72;-74;-35;-20;-10;32;6;10;2;2;2;62;38;-20;54;33;21;-29;-20;-3;-5;7;10;13;-12;13;60.0
SCP X HEI 08-11-2015;6;8;7;5;5;5;-3;-7;18;39;60;9;38;35;22.0;83;53;64;34;27;43;-28;6;-6;-6.0;-2;-32;32;10;12.0;33;28.0;91;5;60;36;21;13;-19;-8;;-3;-5;-92;-92;5;-55;-68;-45;-20;-9;-1;36;21;12;17;-4;4;-31;-18;-11;-12;-7;-77;-6;5;1;2;6;9;2;1;-10;31;9;6;38;24;2;7;-40;-20;-9;31;20;15;14;4;1;3;46;-5.0
STP X DUS 09-11-2015;1;-34;-17;-10;76;41;27;21;8;1;-29;1;-17;-10;11.0;78;49;24;19;31;14;14;1;39;69.0;50;30;23;57;51.0;15;10.0;6;5;1;-19;-4;6;-5;1;80.0;1;1;2;2;23;-4;-5;-1;-5;-1;2;31;24;16;30;-40;19;10;6;-4;2;-4;-6;-7;-3;7;-9;79;43;26;21;8;-5;-1;-30;-12;31;-10;15;9;8;-20;-40;-43;76;35;18;8;-6;7;
DUS X DUI 20-11-2015;-2;8;6;7;-4;1;6;9;6;5;14;-13;48;34;1.0;6;4;2;62;33;15;10;-9;-30;-17.0;-14;-12;-6;1;1.0;-5;1.0;1;-27;1;-5;31;23;64;79;;68;39;-29;-1;-48;-22;-18;-5;22;22;36;22;49;28;47;-30;32;20;-44;-44;-27;-15;-8;52;32;25;32;16;10;18;11;7;80;48;-60;-93;-59;9;-50;-100;-61;-30;-26;-19;11;8;6;45;8;6;40.0
SAN X KAR 20-11-2015;1;-2;2;32;66;100;76;51;19;-14;47;-5;22;-49;-14.0;22;25;91;63;39;18;-34;-1;-23;-18.0;-59;-33;-6;-41;-23.0;-13;-36.0;-26;-9;-11;-5;7;5;-4;2;-5.0;-19;-66;-36;29;-29;-7;-1;1;-2;-8;-31;-14;-15;-10;-7;-16;-3;-8;-36;-22;-14;-30;-18;75;38;-76;-3;-70;-52;-32;-14;5;8;10;-11;-33;-11;-31;-7;-45;-26;-14;-8;-30;-14;-28;-16;21;-16;8;5.0
BOC X UNB 20-11-2015;-4;15;5;2;1;76;41;26;56;30;8;-1;6;25;38.0;29;53;33;4;1;1;-5;31;-1;-3.0;-2;5;26;20;6.0;3;-76.0;-85;68;-51;-30;-18;-55;-25;30;;13;7;7;33;46;17;44;-31;5;8;6;4;2;8;32;24;21;15;-18;-42;-19;-4;3;4;-8;-39;65;-21;48;33;23;14;56;37;-58;-18;-3;37;8;8;6;6;-3;8;16;12;9;8;24;6;-40.0
