game;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5
SAN X BOC 11-09-2015;-1;37;22;33;24;12;5;-6;5;-6;-7;-1;-4;-2;-2.0;-1;-60;-35;-19;-10;6;9;-1;6;9.0;6;4;-5;1;6.0;3;3.0;3;-40;7;39;24;90;54;37;5.0;1;1;31;19;-59;12;8;5;-5;-41;-38;-21;-10;-4;2;-40;4;-9;-1;-4;2;2;3;3;-4;2;-29;-4;2;7;-59;-10;-9;-35;-20;-2;6;-12;2;9;1;6;9;-30;-13;31;-75;-40;30;-31;-70.0
ARM X HEI 12-09-2015;1;-21;-43;-27;-17;-8;-5;-1;5;-31;-16;-5;-10;-51;-36.0;-19;-11;-32;-11;-6;5;-1;-7;1;-9.0;-32;-17;-8;32;18.0;-19;-21.0;-46;-4;-32;-17;-22;-40;-14;-11;;-5;2;4;4;-22;-3;-3;28;46;-33;38;22;3;8;8;-18;4;39;11;3;-28;38;-33;-15;-16;-10;-11;-11;-6;-10;-28;28;-8;-7;-11;28;4;-7;-3;-13;-8;-9;-7;-11;-3;28;23;11;-35;-3;-10.0
KAR X UNB 12-09-2015;5;-23;-19;-10;-81;-44;-20;30;55;83;53;2;26;14;25.0;82;49;40;24;19;1;1;-31;11;5.0;-6;20;10;-6;-1.0;-40;-26.0;-16;-17;-49;-35;-18;-6;-4;-1;20.0;25;21;14;-74;-5;-36;-27;-9;-44;-14;-6;-2;52;74;55;-9;4;4;2;27;24;18;17;11;46;87;-15;52;35;21;15;9;6;33;15;-75;-4;-7;-2;-8;-9;-5;-4;-2;6;33;25;20;-4;17;
FSV X EBR 13-09-2015;-5;40;19;6;-6;-1;-8;5;-1;-1;-1;-2;-1;5;1.0;-6;-7;-55;-33;-19;-11;-6;10;-5;-7.0;-34;-15;-4;6;7.0;11;1.0;-20;4;-11;-12;-2;-76;-43;6;35.0;3;10;9;9;-51;3;5;55;36;54;76;78;46;25;36;-28;100;71;45;30;29;18;14;6;7;16;-17;37;-78;-34;-8;-18;-19;-8;-1;8;2;-26;2;2;-30;-16;-84;-49;-28;41;45;33;-16;20;0.0
DUS X MUN 13-09-2015;1;75;43;29;22;13;-11;-4;-2;5;-6;-1;-1;-1;-1.0;20;11;-16;-4;5;-65;-43;-6;-24;75.0;30;27;16;10;70.0;47;26.0;19;5;-12;-6;9;-7;-8;-2;-5.0;4;-7;-3;39;-41;25;13;2;-7;-6;-5;29;9;25;55;-73;27;8;10;14;5;23;33;94;54;32;-88;22;-21;-11;-6;-4;-3;20;10;6;3;-52;1;-1;-1;-1;-1;-1;-1;-40;-24;20;-31;7;5.0
FUR X NUR 13-09-2015;1;-13;32;18;16;31;39;57;35;21;62;31;31;22;19.0;7;7;15;10;2;7;5;14;8;6.0;35;22;-44;-17;-38.0;92;45.0;36;14;98;61;1;-9;-10;-11;;-6;6;2;42;-9;55;28;-30;-7;-7;-1;-1;-6;75;43;42;30;12;-11;-1;-1;-31;-23;-8;10;-6;-74;-41;-13;-13;-38;-22;-5;-9;-75;-42;-25;-29;-15;-9;10;35;11;-76;-35;-26;-17;-28;-16;-11;45.0
STP X DUI 14-09-2015;-1;-11;-1;6;-30;-20;-31;-48;-29;-14;26;1;6;11;6.0;14;6;33;63;41;22;7;1;-32;-26.0;-57;-4;4;12;6.0;5;30.0;21;-5;51;24;18;12;6;29;;17;11;8;27;-2;16;11;13;10;6;5;-3;2;-3;-34;-1;-18;-3;7;4;-28;-11;-10;7;7;8;-5;80;48;8;14;14;-5;-20;-10;-6;11;-3;-5;-5;-1;1;1;6;13;83;45;32;-11;1;10.0
HEI X RBL 18-09-2015;6;-26;-43;-17;-6;3;33;28;38;64;65;5;43;27;11.0;-8;-11;-9;-7;-36;-18;-7;5;-11;-13.0;-8;-57;-76;-17;-86.0;-53;-25.0;-19;5;-15;-40;-26;-53;-38;-24;;-14;-9;-8;-5;5;5;4;-6;5;-1;-1;5;1;4;12;-3;31;17;14;87;60;38;12;-36;-38;-18;-18;-6;5;3;-36;-20;-17;-11;-7;-21;-13;-33;-22;-14;-53;-30;-18;-40;-24;-11;-2;-1;-48;-1;-40.0
SCF X ARM 18-09-2015;1;8;28;-27;9;10;14;15;44;29;20;8;30;26;16.0;8;-5;1;1;1;6;3;9;7;4.0;3;-5;-1;1;1.0;1;1.0;1;14;1;5;3;72;-115;6;5.0;28;47;9;-75;-32;-10;-7;-1;6;5;6;9;35;21;13;-9;8;45;85;11;32;24;42;22;92;49;-2;20;-29;-9;22;17;2;5;-4;32;8;4;-29;-12;-5;7;2;5;-4;2;1;2;4;2;65.0
BOC X DUS 18-09-2015;6;-35;-35;-100;-76;-47;-30;-55;-80;-51;-75;3;46;63;47.0;29;61;58;35;91;54;34;2;19;11.0;-40;-57;-33;-14;-8.0;-1;-30.0;-11;-20;56;-30;1;-20;-10;-14;;-11;-10;-3;27;-10;16;16;6;45;31;24;45;28;20;13;-6;-64;-34;-24;-8;-18;-9;-4;-1;-4;7;-8;-34;-16;-8;-13;-62;-33;32;8;6;9;6;6;-34;-58;47;32;20;11;10;-4;-21;41;12;-75.0
NUR X SAN 19-09-2015;-1;4;7;2;-5;-5;-8;-4;-2;96;56;1;39;18;6.0;-2;6;-5;1;-4;-2;-1;40;6;24.0;65;34;1;-25;36.0;4;-30.0;-13;24;-10;-2;-5;-25;-14;-47;;-7;-6;-8;-2;45;4;9;3;35;24;12;14;12;-12;-1;32;24;10;9;-7;4;24;56;41;65;54;49;26;12;12;5;7;-35;-17;-10;-5;11;26;7;-5;21;87;91;60;41;-45;-22;-54;11;-36;-10.0
MUN X KAI 19-09-2015;-6;11;2;1;1;1;6;78;42;25;15;-2;9;1;1.0;-30;-16;-9;-5;6;-30;-17;6;-11;-13.0;-30;-22;-14;-10;-17.0;-30;-19.0;-12;57;-19;-12;19;26;13;7;-5.0;4;-6;25;6;29;3;-6;-33;-17;-10;-7;-4;-1;-32;-20;13;-87;-53;-67;-3;-3;2;5;5;9;24;13;43;24;13;56;31;16;19;5;-50;-70;12;-42;-31;-13;-5;-1;-1;-20;-13;-3;-12;9;-53;10.0
SCP X KAR 19-09-2015;1;17;-60;-58;-36;-50;-29;-12;-4;-1;1;1;6;4;13.0;38;33;20;53;31;42;65;-5;34;-20.0;51;28;19;13;10.0;8;1.0;-9;6;-3;-11;-10;7;1;12;;9;6;4;4;-5;7;5;79;48;59;36;32;15;20;10;1;42;25;16;10;-34;-13;-1;-5;-7;1;1;6;-19;-3;-40;-38;-22;-10;-10;-52;31;31;46;28;38;100;78;39;14;2;-5;-12;18;-5;0.0
UNB X FUR 20-09-2015;-5;7;-40;-33;-14;-7;-4;20;88;52;36;6;22;12;67.0;35;21;13;8;21;48;29;1;18;96.0;56;6;9;6;-6.0;-3;21.0;17;6;6;4;-5;-1;-30;1;5.0;-5;-3;-83;-51;-40;-41;-26;-21;-8;-26;-46;-23;-20;-13;-2;56;24;32;13;51;-32;-8;-33;-20;-16;-34;25;-21;-82;-50;-31;-28;-23;-13;-18;-40;-13;20;-7;20;4;4;6;3;35;26;15;-21;7;5;0.0
EBR X STP 20-09-2015;-21;15;16;14;-6;-6;-9;-16;-70;-36;-16;-37;-10;-5;-1.0;-1;-5;-8;-10;-41;-19;36;-22;14;4.0;5;2;6;2;1.0;1;-5.0;-2;-13;-41;-39;-63;-12;-7;-30;0.0;-17;20;-6;-6;-3;-7;-10;-28;-27;-11;-47;-28;-21;-12;-3;-31;-6;5;-16;-9;-6;20;53;1;-1;4;-17;-11;-8;-8;-5;5;6;23;13;-11;-2;50;-1;15;6;-6;5;32;-26;-4;25;72;28;40;100.0
DUI X FSV 20-09-2015;5;-5;-2;-31;-23;-8;-4;46;27;12;1;-21;31;10;11.0;2;1;1;-4;-3;21;11;-50;6;4.0;3;1;-5;-2;-1.0;1;-80.0;-47;31;-31;-17;-13;22;12;42;-5.0;46;56;27;25;1;10;3;-7;-9;29;7;-32;-41;-25;-18;1;-11;-5;49;27;5;-40;-21;-16;-34;-14;1;-5;-3;-27;-9;50;-30;-2;5;32;15;4;11;11;6;-5;-16;-10;-56;-33;-19;-5;1;90;45.0
KAI X NUR 22-09-2015;6;21;7;4;-20;-14;61;50;65;25;16;3;15;13;15.0;5;3;1;-5;6;7;39;-5;23;9.0;-11;-3;-4;-7;5.0;-1;5.0;3;-1;2;-1;-96;-56;-43;-1;-5.0;-1;-1;-1;-6;6;-4;5;-1;-6;5;-1;-76;-51;-36;-22;-30;-14;-98;-59;-35;-22;-14;-2;30;-31;-9;-10;65;-36;-8;-3;5;15;4;-6;5;1;-10;-1;-31;-17;-11;-11;-7;30;16;9;15;-5;4;
ARM X BOC 22-09-2015;1;-1;-5;6;-70;-34;-19;-10;-6;7;34;1;26;16;-45.0;36;6;3;-5;1;-76;-50;6;-34;-15.0;-8;1;1;31;18.0;11;11.0;7;4;-50;-28;-6;-4;-2;31;-15.0;18;10;9;9;-30;41;23;12;15;7;-42;-50;-31;-20;-8;-15;-3;-31;-60;-67;-46;-29;-16;-8;-2;-6;-8;30;15;29;17;10;33;-41;-63;-8;-4;-4;-5;-1;78;24;29;12;-31;35;10;4;-7;-1;40.0
KAR X DUS 22-09-2015;1;1;-5;-20;21;20;7;-20;-31;-19;-7;1;-3;1;22.0;23;14;69;46;96;18;7;1;-3;2.0;7;9;7;61;37.0;18;17.0;16;1;7;-29;-12;-36;-15;-2;;2;40;26;-101;6;-66;-34;-28;-12;-11;-9;-6;-53;-37;-16;-30;-4;105;59;35;25;74;41;-46;-17;-55;-14;-47;-100;-62;-36;-12;41;21;23;9;-5;-8;76;49;24;15;10;1;1;1;1;6;6;-10;-5.0
