game;length;time;addedTime;incidentType
BAY X TSG 24-08-2018;6;90;0;injuryTime
BAY X TSG 24-08-2018;5;45;0;injuryTime
DUS X AUG 25-08-2018;5;90;0;injuryTime
SCF X SGE 25-08-2018;2;45;0;injuryTime
SVW X H96 25-08-2018;3;90;0;injuryTime
WOB X S04 25-08-2018;1;45;0;injuryTime
NUR X MAI 01-09-2018;2;90;0;injuryTime
TSG X SCF 01-09-2018;6;45;0;injuryTime
BLK X WOB 01-09-2018;4;90;0;injuryTime
SGE X SVW 01-09-2018;7;90;0;injuryTime
S04 X BCS 02-09-2018;3;45;0;injuryTime
DUS X TSG 15-09-2018;4;45;0;injuryTime
NUR X TSG 20-10-2018;7;45;0;injuryTime
MAI X H96 09-12-2018;10;90;0;injuryTime
NUR X BCS 20-01-2019;1;90;0;injuryTime
