game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
ARS X TOT 2019-09-01;;True;376;goalNotAwarded;varDecision;True;{'name': 'Sead Kolašinac', 'slug': 'sead-kolasinac', 'shortName': 'S. Kolašinac', 'position': 'D', 'userCount': 2872, 'id': 142148};80
ARS X TOT 2019-09-01;;True;375;goalAwarded;varDecision;True;{'name': 'Pierre-Emerick Aubameyang', 'slug': 'pierre-emerick-aubameyang', 'shortName': 'P. Aubameyang', 'position': 'F', 'userCount': 40686, 'id': 51498};72
LEI X BOU 2019-08-31;;True;341;cardUpgrade;varDecision;True;{'name': 'Youri Tielemans', 'slug': 'youri-tielemans', 'shortName': 'Y. Tielemans', 'position': 'M', 'userCount': 4332, 'id': 331737};55
BOU X EVE 2019-09-15;;True;460;goalAwarded;varDecision;True;{'name': 'Callum Wilson', 'slug': 'callum-wilson', 'shortName': 'C. Wilson', 'position': 'F', 'userCount': 1863, 'id': 113956};24
BHA X BUR 2019-09-14;;True;434;cardUpgrade;varDecision;False;{'name': 'Ashley Westwood', 'slug': 'ashley-westwood', 'shortName': 'A. Westwood', 'position': 'M', 'userCount': 230, 'id': 49647};83
SHE X SOU 2019-09-14;;False;433;goalAwarded;varDecision;True;{'name': 'Oliver McBurnie', 'slug': 'oliver-mcburnie', 'shortName': 'O. McBurnie', 'position': 'F', 'userCount': 478, 'id': 367228};53
WOL X CHE 2019-09-14;;True;435;goalAwarded;varDecision;True;{'name': 'Patrick Cutrone', 'slug': 'patrick-cutrone', 'shortName': 'P. Cutrone', 'position': 'F', 'userCount': 4861, 'id': 795044};86
CHE X LIV 2019-09-22;;False;539;goalAwarded;varDecision;True;{'name': 'César Azpilicueta', 'slug': 'cesar-azpilicueta', 'shortName': 'C. Azpilicueta', 'position': 'D', 'userCount': 4167, 'id': 21555};28
LEI X TOT 2019-09-21;;False;508;goalAwarded;varDecision;False;{'name': 'Serge Aurier', 'slug': 'serge-aurier', 'shortName': 'S. Aurier', 'position': 'D', 'userCount': 4004, 'id': 105697};66
LEI X TOT 2019-09-21;;False;507;goalAwarded;varDecision;True;{'name': 'Ayoze Pérez', 'slug': 'ayoze-perez', 'shortName': 'A. Pérez', 'position': 'M', 'userCount': 1781, 'id': 345195};17
