game;length;time;addedTime;incidentType
LIV X NOR 2019-08-09;2;90;0;injuryTime
LIV X NOR 2019-08-09;3;45;0;injuryTime
WES X MCI 2019-08-10;5;90;0;injuryTime
WES X MCI 2019-08-10;1;45;0;injuryTime
BOU X SHE 2019-08-10;4;90;0;injuryTime
BUR X SOU 2019-08-10;3;90;0;injuryTime
CRY X EVE 2019-08-10;2;45;0;injuryTime
SHE X CRY 2019-08-18;7;90;0;injuryTime
BOU X MCI 2019-08-25;6;45;0;injuryTime
MUN X CRY 2019-08-24;5;45;0;injuryTime
TOT X NEW 2019-08-25;6;90;0;injuryTime
WAT X WES 2019-08-24;4;45;0;injuryTime
BHA X TOT 2019-10-05;7;45;0;injuryTime
EVE X TOT 2019-11-03;12;90;0;injuryTime
TOT X CHE 2019-12-22;8;90;0;injuryTime
BUR X ASV 2020-01-01;9;90;0;injuryTime
ASV X MCI 2020-01-12;1;90;0;injuryTime
