game;name;slug;shortName;id;national;team_name;team_id;goals;goalAssist;totalTackle;totalPass;totalDuels;minutesPlayed;position;rating;shotsOnTarget;shotsOffTarget;shotsBlocked;totalContest;totalClearance;outfielderBlock;interceptionWon;wonTackle;challengeLost;accuratePass;keyPass;totalCross;totalLongBalls;dispossessed;wasFouled;fouls;saves;punches;runsOut;goodHighClaim;team
CRU X GRE 2018-04-14;Arthur;gremio;Arthur;794927;False;Grêmio;5926;;;0;99 (95%);13 (10);90';M;7.5;0;0;0;3 (2);1;1;3;0 (0);1;99 (95%);0;0 (0);4 (4);1;6;0;;;;;GRE
CRU X GRE 2018-04-14;Paulo Miranda;gremio;P. Miranda;43299;False;Grêmio;5926;;;0;56 (87%);10 (7);90';D;7.5;0;0;0;0 (0);8;1;1;0 (0);;56 (87%);0;0 (0);9 (7);0;1;2;;;;;GRE
CRU X GRE 2018-04-14;Léo Moura;gremio;L. Moura;34143;False;Grêmio;5926;;;0;82 (90%);12 (9);90';D;7.4;0;0;0;4 (2);0;0;0;0 (0);;82 (90%);1;3 (2);7 (4);0;4;1;;;;;GRE
CRU X GRE 2018-04-14;Ramiro;gremio;Ramiro;330693;False;Grêmio;5926;;;3;53 (88%);10 (6);90';M;7.3;0;0;1;2 (2);1;0;0;3 (2);;53 (88%);3;6 (2);8 (3);2;1;2;;;;;GRE
CRU X GRE 2018-04-14;Marcelo Grohe;gremio;M. Grohe;39427;False;Grêmio;5926;;;0;9 (40%);0 (0);90';G;7.3;0;0;0;0 (0);1;0;0;0 (0);;9 (40%);0;0 (0);17 (4);0;0;0;2;1;0 (0);0;GRE
CRU X GRE 2018-04-14;Henrique;cruzeiro;Henrique;33117;False;Cruzeiro;1954;;;4;35 (85%);15 (9);90';M;7.3;0;2;0;1 (1);1;0;4;4 (3);2;35 (85%);0;1 (0);4 (3);1;2;0;;;;;CRU
CRU X GRE 2018-04-14;André;gremio;André;118815;False;Grêmio;5926;1;;1;17 (68%);14 (4);76';F;7.2;1;1;0;0 (0);1;0;0;1 (1);;17 (68%);0;0 (0);1 (1);4;1;4;;;;;GRE
CRU X GRE 2018-04-14;Jailson;gremio;Jaja;794861;False;Grêmio;5926;;;3;24 (85%);6 (5);32';M;7.1;0;0;0;2 (2);1;0;0;3 (2);;24 (85%);0;0 (0);2 (1);0;0;0;;;;;GRE
CRU X GRE 2018-04-14;Dedé;cruzeiro;Dedé;166701;False;Cruzeiro;1954;;;3;40 (88%);15 (10);90';D;7.1;0;0;0;2 (2);0;0;3;3 (2);2;40 (88%);0;0 (0);4 (3);0;2;1;;;;;CRU
CRU X GRE 2018-04-14;Bruno Cortêz;gremio;B. Cortêz;165577;False;Grêmio;5926;;;3;30 (76%);16 (9);90';D;7.1;0;0;0;2 (1);3;0;2;3 (1);1;30 (76%);2;2 (1);2 (0);2;3;2;;;;;GRE
CRU X GRE 2018-04-14;Léo;cruzeiro;Léo;35574;False;Cruzeiro;1954;;;1;43 (87%);8 (4);90';D;7.1;0;0;0;0 (0);2;2;2;1 (1);;43 (87%);0;0 (0);5 (4);0;0;1;;;;;CRU
CRU X GRE 2018-04-14;Maicon;gremio;Maicon;26230;False;Grêmio;5926;;;0;78 (96%);6 (3);58';M;7.1;0;0;0;1 (1);2;1;0;0 (0);1;78 (96%);0;0 (0);6 (6);0;1;1;;;;;GRE
CRU X GRE 2018-04-14;Alejandro Cabral;cruzeiro;A. Cabral;48471;False;Cruzeiro;1954;;;3;32 (80%);9 (4);67';M;7.0;0;0;0;0 (0);0;0;3;3 (2);1;32 (80%);2;1 (0);1 (1);1;1;2;;;;;CRU
CRU X GRE 2018-04-14;Giorgian De Arrascaeta;cruzeiro;G. De Arrascaeta;333587;False;Cruzeiro;1954;;;2;32 (84%);18 (7);90';M;6.9;0;3;0;1 (0);1;0;1;2 (2);3;32 (84%);3;4 (0);1 (1);0;5;3;;;;;CRU
CRU X GRE 2018-04-14;Thiago Neves;cruzeiro;T. Neves;33534;False;Cruzeiro;1954;;;0;33 (80%);9 (3);90';M;6.9;1;1;1;2 (0);1;0;1;0 (0);;33 (80%);3;6 (1);2 (1);1;1;0;;;;;CRU
CRU X GRE 2018-04-14;Rafael Sóbis;cruzeiro;R. Sóbis;17789;False;Cruzeiro;1954;;;1;13 (86%);2 (1);45';F;6.9;0;1;0;0 (0);2;0;2;1 (0);;13 (86%);1;1 (0);1 (1);0;0;1;;;;;CRU
CRU X GRE 2018-04-14;Bressan;gremio;Bressan;312114;False;Grêmio;5926;;;0;0 (0%);2 (1);14';D;6.8;0;0;0;0 (0);3;0;1;0 (0);;0 (0%);0;0 (0);0 (0);0;0;0;;;;;GRE
CRU X GRE 2018-04-14;Egídio;cruzeiro;Egídio;34147;False;Cruzeiro;1954;;;3;48 (90%);12 (6);90';D;6.8;0;0;0;0 (0);3;0;0;3 (1);1;48 (90%);0;2 (0);4 (3);0;2;5;;;;;CRU
CRU X GRE 2018-04-14;Everton;gremio;Everton;386198;False;Grêmio;5926;;1;0;22 (78%);19 (8);85';M;6.7;1;1;1;11 (6);0;0;0;0 (0);;22 (78%);1;0 (0);0 (0);4;1;1;;;;;GRE
CRU X GRE 2018-04-14;Rafael Marques;cruzeiro;R. Marques;60254;False;Cruzeiro;1954;;;2;1 (100%);3 (2);14';F;6.7;0;0;0;0 (0);0;0;0;2 (0);;1 (100%);0;0 (0);0 (0);0;0;1;;;;;CRU
CRU X GRE 2018-04-14;Cícero;gremio;Cícero;33539;False;Grêmio;5926;;;0;45 (81%);8 (5);90';M;6.7;0;0;0;0 (0);0;0;0;0 (0);;45 (81%);0;0 (0);2 (2);1;1;0;;;;;GRE
CRU X GRE 2018-04-14;Edílson;cruzeiro;Edílson;123349;False;Cruzeiro;1954;;;1;26 (65%);6 (2);90';D;6.6;0;0;1;1 (0);1;0;2;1 (0);;26 (65%);1;3 (0);9 (2);0;0;1;;;;;CRU
CRU X GRE 2018-04-14;Michel;gremio;Michel;869642;False;Grêmio;5926;;;0;8 (80%);1 (1);5';M;6.5;0;0;0;0 (0);1;0;0;0 (0);;8 (80%);0;0 (0);2 (0);0;0;0;;;;;GRE
CRU X GRE 2018-04-14;Fábio;cruzeiro;Fábio;17785;False;Cruzeiro;1954;;;0;4 (40%);0 (0);90';G;6.5;0;0;0;0 (0);0;0;0;0 (0);;4 (40%);0;0 (0);7 (1);0;0;0;1;0;0 (0);0;CRU
CRU X GRE 2018-04-14;Sassá;cruzeiro;Sassá;243157;False;Cruzeiro;1954;;;0;2 (100%);11 (2);45';F;6.4;0;0;0;2 (1);0;0;0;0 (0);;2 (100%);0;0 (0);0 (0);1;1;3;;;;;CRU
CRU X GRE 2018-04-14;Robinho;cruzeiro;Robinho;125018;False;Cruzeiro;1954;;;2;27 (75%);7 (2);76';M;6.3;0;0;0;0 (0);0;0;0;2 (0);3;27 (75%);0;3 (1);4 (3);1;0;1;;;;;CRU
CRU X GRE 2018-04-14;Federico Mancuello;cruzeiro;F. Mancuello;122615;False;Cruzeiro;1954;;;1;11 (78%);7 (1);23';M;6.3;1;0;1;0 (0);0;0;1;1 (0);4;11 (78%);0;0 (0);0 (0);0;0;1;;;;;CRU
CRU X GRE 2018-04-14;Walter Kannemann;gremio;W. Kannemann;249647;False;Grêmio;5926;;;0;36 (85%);5 (1);73';D;6.2;0;0;0;0 (0);3;0;1;0 (0);1;36 (85%);0;0 (0);11 (6);0;1;2;;;;;GRE
VIT X FLA 2018-04-14;Réver;flamengo;Réver;39421;False;Flamengo;5981;1;;0;18 (69%);6 (4);90';D;7.9;2;0;0;0 (0);6;2;0;0 (0);;18 (69%);1;0 (0);10 (2);0;2;0;;;;;FLA
VIT X FLA 2018-04-14;Rhayner;vitoria;Rhayner;241468;False;Vitória;1962;;1;0;58 (82%);23 (13);90';M;7.6;0;4;1;15 (10);0;0;1;0 (0);1;58 (82%);2;4 (1);4 (1);0;1;2;;;;;VIT
VIT X FLA 2018-04-14;Lucas Paquetá;flamengo;L. Paquetá;839981;False;Flamengo;5981;1;;1;12 (70%);22 (12);56';M;7.5;2;0;0;5 (4);1;0;0;1 (0);2;12 (70%);1;0 (0);1 (0);0;6;1;;;;;FLA
VIT X FLA 2018-04-14;Denílson;vitoria;Denílson;331855;False;Vitória;1962;1;;0;18 (94%);8 (2);90';F;7.3;3;1;0;1 (1);2;0;0;0 (0);;18 (94%);1;1 (0);0 (0);2;0;1;;;;;VIT
VIT X FLA 2018-04-14;Yago;vitoria;Yago;552164;False;Vitória;1962;1;;2;45 (84%);11 (5);90';M;7.1;1;1;1;1 (0);0;0;0;2 (1);;45 (84%);3;5 (0);2 (1);1;3;4;;;;;VIT
VIT X FLA 2018-04-14;Juninho;vitoria;Juninho;243443;False;Vitória;1962;;;0;41 (97%);2 (1);45';D;7.0;0;0;0;1 (1);0;0;0;0 (0);;41 (97%);4;5 (1);1 (1);1;0;0;;;;;VIT
VIT X FLA 2018-04-14;Uillian Correia;vitoria;U. Correia;253857;False;Vitória;1962;;;2;64 (90%);8 (3);90';M;6.9;1;0;0;0 (0);1;0;1;2 (0);1;64 (90%);2;0 (0);13 (9);0;0;3;;;;;VIT
VIT X FLA 2018-04-14;Renê;flamengo;Renê;243113;False;Flamengo;5981;;;5;26 (72%);10 (6);90';D;6.9;0;0;0;0 (0);7;1;4;5 (5);2;26 (72%);1;0 (0);6 (0);1;1;0;;;;;FLA
VIT X FLA 2018-04-14;Willian Arão;flamengo;W. Arão;242213;False;Flamengo;5981;;;3;21 (87%);10 (5);63';M;6.9;0;1;0;1 (1);1;1;0;3 (2);2;21 (87%);1;1 (1);2 (0);0;0;1;;;;;FLA
VIT X FLA 2018-04-14;Geuvânio;flamengo;Geuvânio;243187;False;Flamengo;5981;;1;0;12 (85%);5 (1);34';M;6.8;0;0;0;0 (0);0;0;1;0 (0);1;12 (85%);1;0 (0);1 (1);0;0;1;;;;;FLA
VIT X FLA 2018-04-14;Diego;flamengo;Diego;6256;False;Flamengo;5981;;;1;26 (78%);19 (10);90';M;6.8;0;1;0;1 (1);2;1;1;1 (0);4;26 (78%);3;3 (2);3 (0);2;8;3;;;;;FLA
VIT X FLA 2018-04-14;Jeferson;vitoria;Jeferson;358526;False;Vitória;1962;;;0;13 (100%);5 (2);11';D;6.7;0;0;1;1 (1);0;0;0;0 (0);;13 (100%);0;3 (0);1 (1);0;1;3;;;;;VIT
VIT X FLA 2018-04-14;Rodinei;flamengo;Rodinei;244039;False;Flamengo;5981;;;2;14 (77%);10 (8);90';D;6.7;0;0;0;3 (3);0;0;1;2 (2);1;14 (77%);0;4 (0);1 (0);0;2;0;;;;;FLA
VIT X FLA 2018-04-14;Guilherme Costa;vitoria;G. Costa;156013;False;Vitória;1962;;;0;9 (100%);2 (2);23';M;6.7;0;1;0;1 (1);0;0;0;0 (0);;9 (100%);0;5 (0);0 (0);0;1;0;;;;;VIT
VIT X FLA 2018-04-14;Pará;flamengo;Pará;124982;False;Flamengo;5981;;;1;0 (0%);1 (1);5';D;6.7;0;0;0;0 (0);0;0;0;1 (0);;0 (0%);0;0 (0);0 (0);0;0;0;;;;;FLA
VIT X FLA 2018-04-14;Diego Alves;flamengo;D. Alves;27828;False;Flamengo;5981;;;0;14 (45%);0 (0);90';G;6.7;0;0;0;0 (0);2;0;0;0 (0);;14 (45%);0;0 (0);25 (8);0;0;0;3;2;0 (0);0;FLA
VIT X FLA 2018-04-14;Ramon;vitoria;Ramon;839516;False;Vitória;1962;;;0;31 (88%);11 (6);90';D;6.6;0;0;0;2 (2);4;0;2;0 (0);;31 (88%);0;0 (0);3 (3);0;0;3;;;;;VIT
VIT X FLA 2018-04-14;Willian Farias;vitoria;W. Farias;243239;False;Vitória;1962;;;0;58 (93%);9 (5);90';M;6.6;0;1;0;0 (0);0;0;1;0 (0);2;58 (93%);0;0 (0);3 (3);0;2;2;;;;;VIT
VIT X FLA 2018-04-14;Pedro Botelho;vitoria;P. Botelho;83454;False;Vitória;1962;;;0;43 (81%);4 (2);67';D;6.6;0;1;0;0 (0);2;0;3;0 (0);2;43 (81%);0;3 (0);8 (2);0;0;0;;;;;VIT
VIT X FLA 2018-04-14;Alexander Baumjohann;vitoria;A. Baumjohann;254;False;Vitória;1962;;;0;13 (86%);2 (1);45';M;6.6;0;0;2;0 (0);0;0;0;0 (0);;13 (86%);1;1 (1);0 (0);0;1;1;;;;;VIT
VIT X FLA 2018-04-14;Vinícius Júnior;flamengo;V. Júnior;868812;False;Flamengo;5981;;1;0;12 (60%);10 (3);85';M;6.5;1;3;0;2 (0);0;0;0;0 (0);3;12 (60%);1;3 (0);1 (0);1;3;1;;;;;FLA
VIT X FLA 2018-04-14;Caíque;vitoria;Caíque;839514;False;Vitória;1962;;;0;7 (53%);0 (0);90';G;6.5;0;0;0;0 (0);1;0;0;0 (0);;7 (53%);0;0 (0);8 (2);0;0;0;3;1;0 (0);0;VIT
VIT X FLA 2018-04-14;Henrique Dourado;flamengo;Henrique;329219;False;Flamengo;5981;;;0;6 (100%);4 (1);27';F;6.5;0;0;0;0 (0);0;0;0;0 (0);;6 (100%);0;0 (0);0 (0);0;1;1;;;;;FLA
VIT X FLA 2018-04-14;Kanu;vitoria;Kanu;59839;False;Vitória;1962;;;1;41 (95%);8 (4);90';D;6.5;0;0;0;0 (0);6;0;2;1 (0);1;41 (95%);0;0 (0);5 (3);0;0;2;;;;;VIT
VIT X FLA 2018-04-14;Juan;flamengo;Juan;235;False;Flamengo;5981;;;0;13 (52%);3 (3);90';D;6.4;0;0;0;0 (0);8;0;1;0 (0);;13 (52%);0;0 (0);10 (3);0;1;0;;;;;FLA
VIT X FLA 2018-04-14;Rodrigo Andrade;vitoria;R. Andrade;874398;False;Vitória;1962;;;3;43 (91%);15 (5);79';D;6.3;1;1;0;4 (2);0;0;4;3 (2);3;43 (91%);1;3 (1);0 (0);2;0;3;;;;;VIT
VIT X FLA 2018-04-14;Gustavo Cuéllar;flamengo;G. Cuéllar;180059;False;Flamengo;5981;;;1;26 (89%);7 (2);90';M;6.2;0;0;0;1 (1);2;0;0;1 (1);3;26 (89%);0;0 (0);4 (1);1;0;1;;;;;FLA
VIT X FLA 2018-04-14;Éverton Ribeiro;flamengo;É. Ribeiro;145063;False;Flamengo;5981;;;0;6 (85%);1 (1);10';M;3.0;0;0;0;0 (0);0;0;0;0 (0);;6 (85%);0;0 (0);1 (1);0;0;1;;;;;FLA
SAN X CEA 2018-04-14;Jean Mota;santos;J. Mota;243231;False;Santos;1968;;;5;53 (81%);14 (9);86';M;8.0;1;3;1;2 (2);0;1;3;5 (5);1;53 (81%);3;2 (0);9 (7);2;1;2;;;;;SAN
SAN X CEA 2018-04-14;Lucas Veríssimo;santos;L. Veríssimo;826343;False;Santos;1968;;;3;62 (96%);6 (6);90';D;7.8;0;1;0;0 (0);1;1;2;3 (2);;62 (96%);1;0 (0);1 (1);0;0;0;;;;;SAN
SAN X CEA 2018-04-14;Dodô;santos;Dodô;108481;False;Santos;1968;;;3;40 (87%);6 (4);90';D;7.6;0;0;0;1 (0);0;1;6;3 (3);1;40 (87%);1;6 (2);2 (1);0;1;0;;;;;SAN
SAN X CEA 2018-04-14;Juninho;ceara-sc;Juninho;842073;False;Ceará SC;2001;;;3;74 (87%);7 (6);90';M;7.5;0;1;2;3 (3);0;1;1;3 (2);1;74 (87%);1;2 (0);9 (6);0;0;0;;;;;CEA
SAN X CEA 2018-04-14;Luiz Otávio;ceara-sc;L. Otávio;871204;False;Ceará SC;2001;;;3;21 (100%);4 (4);90';D;7.4;0;0;0;0 (0);17;1;1;3 (2);;21 (100%);0;0 (0);0 (0);0;0;0;;;;;CEA
SAN X CEA 2018-04-14;Rodrygo;santos;Rodrygo;910536;False;Santos;1968;1;;1;19 (76%);15 (5);77';F;7.3;1;1;1;4 (2);1;0;1;1 (1);3;19 (76%);2;3 (0);1 (0);4;1;0;;;;;SAN
SAN X CEA 2018-04-14;Léo Cittadini;santos;L. Cittadini;332171;False;Santos;1968;;;4;43 (89%);12 (6);80';M;7.3;0;2;0;0 (0);1;0;1;4 (3);3;43 (89%);2;1 (0);1 (0);0;0;1;;;;;SAN
SAN X CEA 2018-04-14;Ernandes;ceara-sc;Ernandes;241436;False;Ceará SC;2001;;;2;43 (93%);3 (3);90';M;7.2;0;2;0;1 (1);0;2;0;2 (1);;43 (93%);0;1 (0);2 (2);0;0;0;;;;;CEA
SAN X CEA 2018-04-14;Vanderlei;santos;Vanderlei;77526;False;Santos;1968;;;0;15 (93%);0 (0);90';G;7.2;0;0;0;0 (0);0;0;0;0 (0);;15 (93%);0;0 (0);5 (4);0;0;0;2;0;0 (0);0;SAN
SAN X CEA 2018-04-14;Gabriel Barbosa;santos;Gabriel;358554;False;Santos;1968;;;0;22 (88%);6 (1);90';F;7.1;1;4;3;0 (0);0;0;1;0 (0);1;22 (88%);2;2 (0);1 (1);3;1;1;;;;;SAN
SAN X CEA 2018-04-14;Daniel Guedes;santos;D. Guedes;178483;False;Santos;1968;;;1;58 (96%);7 (2);90';D;7.1;0;0;0;3 (1);0;0;0;1 (1);3;58 (96%);4;10 (4);0 (0);0;0;0;;;;;SAN
SAN X CEA 2018-04-14;David Braz;santos;D. Braz;46942;False;Santos;1968;;;0;49 (94%);1 (1);90';D;7.1;0;0;0;0 (0);4;0;2;0 (0);;49 (94%);0;0 (0);6 (3);0;0;0;;;;;SAN
SAN X CEA 2018-04-14;Eduardo Sasha;santos;E. Sasha;143846;False;Santos;1968;;1;0;32 (86%);6 (2);90';F;7.0;0;0;2;0 (0);0;0;0;0 (0);;32 (86%);2;1 (0);1 (0);2;1;2;;;;;SAN
SAN X CEA 2018-04-14;Javier Reina;ceara-sc;J. Reina;590378;False;Ceará SC;2001;;;0;56 (91%);11 (6);76';M;6.9;1;0;0;4 (3);0;0;1;0 (0);2;56 (91%);2;0 (0);1 (1);0;2;0;;;;;CEA
SAN X CEA 2018-04-14;Felipe Azevedo;ceara-sc;F. Azevedo;166471;False;Ceará SC;2001;;;0;28 (70%);15 (9);86';M;6.8;0;0;1;8 (7);0;0;0;0 (0);1;28 (70%);3;0 (0);4 (1);3;2;0;;;;;CEA
SAN X CEA 2018-04-14;Valdo;ceara-sc;Valdo;870752;False;Ceará SC;2001;;;1;22 (100%);4 (1);90';D;6.7;0;0;0;0 (0);5;2;0;1 (1);;22 (100%);0;0 (0);0 (0);0;0;0;;;;;CEA
SAN X CEA 2018-04-14;Vitor Bueno;santos;V. F. Bueno;808785;False;Santos;1968;;;1;13 (92%);2 (1);10';M;6.7;0;0;0;0 (0);1;1;0;1 (0);;13 (92%);0;1 (0);0 (0);0;0;0;;;;;SAN
SAN X CEA 2018-04-14;Roberto César;ceara-sc;R. César;125031;False;Ceará SC;2001;;;1;12 (85%);4 (2);21';M;6.7;0;0;0;2 (1);0;0;0;1 (1);;12 (85%);0;1 (0);0 (0);0;0;0;;;;;CEA
SAN X CEA 2018-04-14;Arthur;ceara-sc;Arthur;870762;False;Ceará SC;2001;;;0;18 (78%);8 (2);90';F;6.6;1;0;0;3 (1);0;0;0;0 (0);;18 (78%);1;0 (0);0 (0);0;0;0;;;;;CEA
SAN X CEA 2018-04-14;Pio;ceara-sc;Pio;870189;False;Ceará SC;2001;;;4;59 (89%);16 (10);90';D;6.6;0;0;2;4 (2);1;0;2;4 (4);2;59 (89%);0;2 (0);3 (3);0;1;1;;;;;CEA
SAN X CEA 2018-04-14;Arnaldo;ceara-sc;Arnaldo;801074;False;Ceará SC;2001;;;1;6 (85%);2 (1);4';D;6.6;0;0;0;1 (0);0;0;0;1 (1);;6 (85%);1;0 (0);0 (0);0;0;0;;;;;CEA
SAN X CEA 2018-04-14;Ricardinho;ceara-sc;Ricardinho;880130;False;Ceará SC;2001;;;0;5 (100%);2 (1);14';M;6.5;0;0;0;1 (1);0;0;0;0 (0);;5 (100%);0;0 (0);0 (0);1;0;0;;;;;CEA
SAN X CEA 2018-04-14;Diego Pituca;santos;D. Pituca;866417;False;Santos;1968;;;0;12 (100%);0 (0);4';D;6.5;0;0;0;0 (0);0;0;0;0 (0);;12 (100%);0;0 (0);0 (0);0;0;0;;;;;SAN
SAN X CEA 2018-04-14;Alison;santos;Alison;329201;False;Santos;1968;;;1;60 (92%);16 (5);90';M;6.5;0;1;0;0 (0);2;1;5;1 (1);7;60 (92%);0;1 (0);3 (2);0;0;1;;;;;SAN
SAN X CEA 2018-04-14;Éverson;ceara-sc;Éverson;870748;False;Ceará SC;2001;;;0;15 (55%);0 (0);90';G;6.4;0;0;0;0 (0);2;0;1;0 (0);;15 (55%);0;0 (0);22 (10);0;0;0;2;1;0 (0);1;CEA
SAN X CEA 2018-04-14;Arthur Gomes;santos;Arthur;822524;False;Santos;1968;;;0;3 (100%);5 (2);13';M;6.4;0;0;0;2 (2);0;0;0;0 (0);1;3 (100%);0;1 (1);0 (0);2;0;0;;;;;SAN
SAN X CEA 2018-04-14;Rafael Carioca;ceara-sc;R. Carioca;915350;False;Ceará SC;2001;;;2;28 (87%);10 (4);90';D;6.3;0;0;0;2 (0);1;1;2;2 (0);1;28 (87%);1;4 (0);4 (2);0;1;2;;;;;CEA
SAN X CEA 2018-04-14;Wescley;ceara-sc;Wescley;869854;False;Ceará SC;2001;;;1;17 (73%);10 (3);69';M;6.0;0;0;0;5 (1);0;0;0;1 (1);;17 (73%);0;1 (0);0 (0);1;1;2;;;;;CEA
AME X SPT 2018-04-15;Serginho;america-mineiro;Serginho;843735;False;América Mineiro;1973;2;;1;21 (75%);9 (4);86';M;8.6;2;1;0;2 (1);0;0;2;1 (1);;21 (75%);2;3 (1);0 (0);2;0;1;;;;;AME
AME X SPT 2018-04-15;Messias;america-mineiro;Messias;839765;False;América Mineiro;1973;;;5;20 (66%);10 (8);90';D;8.1;0;0;0;0 (0);6;3;5;5 (5);;20 (66%);0;0 (0);8 (2);0;0;1;;;;;AME
AME X SPT 2018-04-15;Christian;america-mineiro;Christian;839769;False;América Mineiro;1973;;;5;37 (86%);10 (9);81';M;8.0;0;1;0;0 (0);0;0;5;5 (5);;37 (86%);0;0 (0);8 (7);0;3;1;;;;;AME
AME X SPT 2018-04-15;Carlinhos;america-mineiro;Carlinhos;360322;False;América Mineiro;1973;1;;1;34 (82%);7 (3);90';D;7.9;2;1;0;1 (0);2;0;2;1 (1);1;34 (82%);2;2 (1);4 (1);0;1;0;;;;;AME
AME X SPT 2018-04-15;Jory;america-mineiro;Jory;839762;False;América Mineiro;1973;;;0;16 (55%);1 (1);90';G;7.8;0;0;0;0 (0);1;0;0;0 (0);;16 (55%);1;0 (0);23 (10);0;0;0;5;1;0 (0);2;AME
AME X SPT 2018-04-15;Norberto Neto;america-mineiro;N. Neto;839515;False;América Mineiro;1973;;;6;22 (81%);13 (9);90';D;7.6;0;0;0;1 (0);1;1;2;6 (3);2;22 (81%);1;2 (1);5 (2);1;1;0;;;;;AME
AME X SPT 2018-04-15;Gabriel;sport-recife;Gabriel;243459;False;Sport Recife;1959;;;0;54 (96%);4 (4);45';M;7.6;0;1;0;2 (2);0;0;0;0 (0);;54 (96%);3;0 (0);4 (3);0;2;0;;;;;SPT
AME X SPT 2018-04-15;Luan;america-mineiro;Luan;73096;False;América Mineiro;1973;;1;3;25 (80%);14 (6);81';M;7.5;0;1;0;2 (1);0;0;2;3 (2);1;25 (80%);3;5 (3);2 (1);2;2;3;;;;;AME
AME X SPT 2018-04-15;Rafael Lima;america-mineiro;R. Lima;551306;False;América Mineiro;1973;;;0;35 (92%);1 (1);90';D;7.1;0;0;0;0 (0);4;0;2;0 (0);;35 (92%);1;0 (0);4 (2);0;0;0;;;;;AME
AME X SPT 2018-04-15;Juninho;america-mineiro;Juninho;330691;False;América Mineiro;1973;;;2;35 (77%);6 (5);90';M;7.0;0;0;0;0 (0);0;0;1;2 (2);;35 (77%);0;0 (0);8 (4);0;3;1;;;;;AME
AME X SPT 2018-04-15;Anselmo;sport-recife;Anselmo;256671;False;Sport Recife;1959;;;4;38 (84%);17 (11);90';M;7.0;0;1;0;2 (2);2;0;0;4 (4);1;38 (84%);2;0 (0);5 (4);3;3;1;;;;;SPT
AME X SPT 2018-04-15;Rafael Moura;america-mineiro;R. Moura;23395;False;América Mineiro;1973;;1;0;11 (55%);8 (3);90';F;6.9;0;1;0;0 (0);1;0;0;0 (0);1;11 (55%);1;0 (0);0 (0);2;0;1;;;;;AME
AME X SPT 2018-04-15;Sander;sport-recife;Sander;795014;False;Sport Recife;1959;;;1;32 (80%);7 (5);45';D;6.8;0;0;0;1 (0);1;0;0;1 (1);1;32 (80%);2;2 (0);2 (1);0;2;0;;;;;SPT
AME X SPT 2018-04-15;Aylon;america-mineiro;Aylon;364528;False;América Mineiro;1973;;;1;18 (75%);17 (7);90';M;6.8;0;4;0;1 (1);0;0;2;1 (1);2;18 (75%);0;0 (0);0 (0);2;2;1;;;;;AME
AME X SPT 2018-04-15;Everton Felipe;sport-recife;E. Felipe;551578;False;Sport Recife;1959;;;0;14 (77%);1 (0);21';M;6.7;0;1;0;0 (0);0;0;0;0 (0);;14 (77%);0;2 (0);5 (4);1;0;0;;;;;SPT
AME X SPT 2018-04-15;Gerson Magrão;america-mineiro;G. Magrão;47748;False;América Mineiro;1973;;;1;2 (66%);1 (1);9';M;6.7;0;0;0;0 (0);1;0;0;1 (1);;2 (66%);0;0 (0);0 (0);0;0;0;;;;;AME
AME X SPT 2018-04-15;Fellipe Bastos;sport-recife;F. Bastos;42109;False;Sport Recife;1959;;;2;49 (84%);5 (2);69';M;6.7;1;2;0;0 (0);0;0;1;2 (1);;49 (84%);0;0 (0);5 (3);2;0;1;;;;;SPT
AME X SPT 2018-04-15;Matheus Ferreira;sport-recife;M. Ferreira;922553;False;Sport Recife;1959;;;1;18 (78%);3 (1);45';M;6.5;0;0;0;0 (0);1;0;1;1 (1);;18 (78%);0;0 (0);2 (2);0;0;0;;;;;SPT
AME X SPT 2018-04-15;Ernando;sport-recife;Ernando;82967;False;Sport Recife;1959;;;0;43 (86%);2 (1);90';D;6.5;0;0;1;0 (0);4;0;4;0 (0);;43 (86%);0;0 (0);4 (1);0;1;0;;;;;SPT
AME X SPT 2018-04-15;Raul Prata;sport-recife;R. Prata;870934;False;Sport Recife;1959;;;1;59 (83%);9 (3);90';D;6.4;0;0;0;2 (0);0;0;5;1 (0);;59 (83%);1;4 (0);5 (2);1;0;1;;;;;SPT
AME X SPT 2018-04-15;Andrigo;sport-recife;Andrigo;780264;False;Sport Recife;1959;;;1;33 (86%);7 (2);90';F;6.4;1;0;1;1 (1);0;0;0;1 (0);;33 (86%);2;6 (0);2 (1);1;0;1;;;;;SPT
AME X SPT 2018-04-15;Marlone;sport-recife;Marlone;281187;False;Sport Recife;1959;;;0;36 (80%);10 (2);90';M;6.4;3;1;1;1 (1);0;0;1;0 (0);;36 (80%);0;3 (0);6 (3);5;1;1;;;;;SPT
AME X SPT 2018-04-15;Wesley;america-mineiro;Wesley;34073;False;América Mineiro;1973;;;0;1 (100%);1 (0);4';M;6.4;0;0;0;0 (0);0;0;0;0 (0);;1 (100%);0;0 (0);0 (0);0;0;1;;;;;AME
AME X SPT 2018-04-15;Zé Ricardo;america-mineiro;Z. Ricardo;840132;False;América Mineiro;1973;;;0;1 (33%);2 (0);9';M;6.2;0;0;0;0 (0);0;0;1;0 (0);1;1 (33%);0;0 (0);2 (0);0;0;1;;;;;AME
AME X SPT 2018-04-15;Léo Ortiz;sport-recife;L. Ortiz;869643;False;Sport Recife;1959;;;0;65 (92%);7 (2);90';D;6.1;0;0;0;0 (0);3;0;0;0 (0);1;65 (92%);0;0 (0);7 (5);0;0;2;;;;;SPT
