game;name;slug;shortName;id;national;team_name;team_id;goals;goalAssist;totalTackle;totalPass;totalDuels;minutesPlayed;position;rating;shotsOnTarget;shotsOffTarget;shotsBlocked;totalContest;totalClearance;outfielderBlock;interceptionWon;challengeLost;accuratePass;keyPass;totalCross;totalLongBalls;dispossessed;wasFouled;fouls;saves;punches;runsOut;goodHighClaim;team
FLA X CAM 2017-05-13;Elias;atletico-mineiro;Elias;329051;False;Atlético Mineiro;1977;1;;1;45 (80%);8 (5);90';M;7.7;1;1;1;4 (3);1;0;1;;45 (80%);1;1 (0);3 (1);1;1;0;;;;;CAM
FLA X CAM 2017-05-13;Réver;flamengo;Réver;39421;False;Flamengo;5981;;;2;35 (87%);6 (3);90';D;7.7;1;0;0;0 (0);4;1;6;1;35 (87%);0;0 (0);14 (10);0;0;1;;;;;FLA
FLA X CAM 2017-05-13;Rafael Vaz;flamengo;R. Vaz;335167;False;Flamengo;5981;;;0;25 (71%);4 (2);90';D;7.5;0;0;0;0 (0);6;2;2;;25 (71%);0;0 (0);10 (3);0;1;0;;;;;FLA
FLA X CAM 2017-05-13;Gabriel;atletico-mineiro;Gabriel;559194;False;Atlético Mineiro;1977;;;3;50 (83%);6 (4);90';D;7.4;0;0;0;0 (0);12;1;3;1;50 (83%);0;0 (0);10 (5);0;0;1;;;;;CAM
FLA X CAM 2017-05-13;Felipe Santana;atletico-mineiro;F. Santana;37232;False;Atlético Mineiro;1977;;;1;47 (87%);7 (4);90';D;7.3;0;0;0;0 (0);5;1;3;;47 (87%);0;0 (0);8 (5);0;0;2;;;;;CAM
FLA X CAM 2017-05-13;Matheus Sávio;flamengo;M. Sávio;795034;False;Flamengo;5981;1;;1;15 (88%);6 (3);60';M;7.2;1;1;0;0 (0);0;0;1;1;15 (88%);0;2 (0);0 (0);2;1;0;;;;;FLA
FLA X CAM 2017-05-13;Éverton Cardoso;flamengo;É. Cardoso;76526;False;Flamengo;5981;;1;3;16 (69%);8 (5);90';M;7.2;1;0;0;3 (1);0;0;1;;16 (69%);2;9 (0);2 (0);1;1;0;;;;;FLA
FLA X CAM 2017-05-13;Rafael Carioca;atletico-mineiro;R. Carioca;39423;False;Atlético Mineiro;1977;;;2;69 (93%);7 (4);90';M;7.2;0;0;0;2 (2);0;0;5;;69 (93%);1;0 (0);1 (1);1;0;2;;;;;CAM
FLA X CAM 2017-05-13;Renê;flamengo;Renê;243113;False;Flamengo;5981;;;3;17 (85%);4 (4);30';D;7.1;0;0;0;0 (0);1;0;1;;17 (85%);2;3 (2);1 (0);0;0;0;;;;;FLA
FLA X CAM 2017-05-13;Fred;atletico-mineiro;Fred;12764;False;Atlético Mineiro;1977;;1;0;14 (70%);9 (3);80';F;7.1;0;2;1;0 (0);1;0;0;;14 (70%);1;1 (0);0 (0);2;2;1;;;;;CAM
FLA X CAM 2017-05-13;Willian Arão;flamengo;W. Arão;242213;False;Flamengo;5981;;;1;21 (67%);9 (2);90';M;7.0;0;0;0;1 (0);1;3;3;2;21 (67%);0;1 (0);4 (3);1;0;0;;;;;FLA
FLA X CAM 2017-05-13;Adilson;atletico-mineiro;Adilson;39618;False;Atlético Mineiro;1977;;;4;49 (86%);6 (4);90';M;7.0;0;1;0;0 (0);2;0;1;;49 (86%);0;0 (0);0 (0);0;0;1;;;;;CAM
FLA X CAM 2017-05-13;Márcio Araújo;flamengo;M. Araújo;24174;False;Flamengo;5981;;;3;41 (93%);8 (5);90';M;7.0;0;0;0;0 (0);2;0;3;;41 (93%);0;0 (0);4 (3);1;2;2;;;;;FLA
FLA X CAM 2017-05-13;Carlos César;atletico-mineiro;C. César;241490;False;Atlético Mineiro;1977;;;5;20 (74%);8 (6);90';D;6.9;0;0;0;1 (0);4;0;2;1;20 (74%);0;0 (0);3 (2);0;1;0;;;;;CAM
