game;accuratePass;aerialDuels;challengeLost;dispossessed;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
MUN X UNB 16-09-2016;75 (85%);4 (2);1;1;0;;1;;3 (1);3743;1;6;90';Michael Liendl;False;;0;M;;8.1;;;M. Liendl;2;3;1;1860-munchen;MUN;2536;1860 München;0;0 (0);6 (0);7 (3);22 (17);75 (85%);1;106;0
MUN X UNB 16-09-2016;15 (53%);6 (3);;0;1;;;;4 (2);48557;4;1;90';Christopher Trimmel;False;;5;D;;7.5;;;C. Trimmel;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;2;1 (0);0 (0);10 (5);2 (1);15 (53%);1;53;1
MUN X UNB 16-09-2016;19 (76%);5 (4);;1;1;;;;5 (3);137053;3;0;90';Toni Leistner;False;;3;D;;7.4;;;T. Leistner;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;5;0 (0);0 (0);10 (7);4 (2);19 (76%);2;43;2
MUN X UNB 16-09-2016;11 (78%);3 (1);1;0;2;;1;;5 (1);168959;1;0;54';Kenny Prince Redondo;False;;0;F;;7.3;;;K. P. Redondo;0;1;2;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;1;1 (0);0 (0);8 (2);0 (0);11 (78%);1;26;0
MUN X UNB 16-09-2016;7 (70%);17 (6);;1;1;;;;7 (5);24933;1;1;90';Sascha Mölders;False;;0;F;;7.3;;;S. Mölders;2;5;0;1860-munchen;MUN;2536;1860 München;0;0 (0);0 (0);24 (11);0 (0);7 (70%);2;27;3
MUN X UNB 16-09-2016;55 (84%);5 (3);1;0;1;;;;9 (6);254125;1;3;90';Maximilian Wittek;False;;0;D;;7.1;;;M. Wittek;1;2;0;1860-munchen;MUN;2536;1860 München;1;2 (1);1 (0);14 (9);10 (8);55 (84%);3;100;3
MUN X UNB 16-09-2016;23 (79%);0 (0);;0;0;;;;3 (1);138158;1;3;45';Levent Ayçiçek;False;;0;M;;7.1;;;L. Ayçiçek;4;1;0;1860-munchen;MUN;2536;1860 München;0;3 (1);5 (2);3 (1);4 (3);23 (79%);0;45;0
MUN X UNB 16-09-2016;25 (71%);5 (3);1;0;1;;;;5 (4);15416;5;0;90';Stephan Fürstner;False;;1;M;;7.1;;;S. Fürstner;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;3;1 (1);0 (0);10 (7);6 (1);25 (71%);0;52;4
MUN X UNB 16-09-2016;18 (64%);9 (5);1;2;1;;;;15 (9);773591;3;0;90';Kristian Pedersen;False;;1;D;;7.0;;;K. Pedersen;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;6;4 (1);0 (0);24 (14);6 (2);18 (64%);7;68;1
MUN X UNB 16-09-2016;9 (45%);2 (0);1;1;1;;1;;11 (4);122573;3;0;86';Steven Skrzybski;False;;0;F;;6.9;;;S. Skrzybski;0;0;2;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;0;4 (0);1 (0);13 (4);4 (1);9 (45%);3;40;1
MUN X UNB 16-09-2016;2 (66%);3 (2);;0;0;;;;0 (0);51246;0;0;36';Roberto Punčec;False;;2;D;;6.9;;;R. Punčec;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;4;0 (0);0 (0);3 (2);1 (0);2 (66%);0;10;0
MUN X UNB 16-09-2016;26 (57%);8 (5);;1;0;;;;4 (3);50505;3;0;90';Damir Kreilach;False;;0;M;;6.9;;;D. Kreilach;0;1;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;1;0 (0);0 (0);12 (8);6 (2);26 (57%);1;58;2
MUN X UNB 16-09-2016;13 (43%);0 (0);;;0;;;0;0 (0);183475;0;0;90';Jakob Busk;False;;0;G;0;6.8;1 (1);4;J. Busk;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;1;0 (0);0 (0);0 (0);28 (11);13 (43%);0;38;0
MUN X UNB 16-09-2016;7 (100%);0 (0);;0;1;;;;0 (0);109099;0;1;16';Stefan Mugoša;False;;0;F;;6.8;;;S. Mugoša;2;0;1;1860-munchen;MUN;2536;1860 München;0;0 (0);0 (0);0 (0);1 (1);7 (100%);0;10;0
MUN X UNB 16-09-2016;8 (72%);2 (2);;0;0;;;;2 (1);127547;1;1;45';Daylon Claasen;False;;0;M;;6.7;;;D. Claasen;0;1;0;1860-munchen;MUN;2536;1860 München;0;1 (0);0 (0);4 (3);0 (0);8 (72%);1;18;1
MUN X UNB 16-09-2016;17 (81%);3 (1);;0;4;;;;7 (3);44806;2;0;69';Felix Kroos;False;;1;M;;6.7;;;F. Kroos;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;1;1 (0);1 (0);10 (4);3 (3);17 (81%);2;30;1
MUN X UNB 16-09-2016;26 (61%);5 (5);2;1;3;;;;16 (4);14700;2;5;90';Karim Matmour;False;;0;M;;6.7;;;K. Matmour;0;0;2;1860-munchen;MUN;2536;1860 München;0;8 (2);3 (3);21 (9);0 (0);26 (61%);1;71;2
MUN X UNB 16-09-2016;41 (93%);6 (3);;0;2;;;;3 (2);3887;1;2;90';Jan Mauersberger;False;;0;D;;6.7;;;J. Mauersberger;0;1;0;1860-munchen;MUN;2536;1860 München;1;0 (0);0 (0);9 (5);4 (3);41 (93%);1;50;1
MUN X UNB 16-09-2016;21 (67%);8 (4);1;0;3;;;;7 (4);117399;0;0;90';Collin Quaner;False;1;1;F;;6.6;;;C. Quaner;0;2;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;1;2 (2);0 (0);15 (8);0 (0);21 (67%);0;44;2
MUN X UNB 16-09-2016;5 (71%);1 (1);;0;0;;;;0 (0);14108;1;0;21';Michael Parensen;False;;0;D;;6.6;;;M. Parensen;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;1;0 (0);0 (0);1 (1);0 (0);5 (71%);0;9;0
MUN X UNB 16-09-2016;18 (75%);7 (2);;1;1;;;;4 (2);11263;1;1;74';Ivica Olić;False;;0;F;;6.6;;;I. Olić;1;0;0;1860-munchen;MUN;2536;1860 München;0;0 (0);1 (0);11 (4);1 (0);18 (75%);1;33;1
MUN X UNB 16-09-2016;42 (73%);1 (1);;0;0;;;;5 (4);71848;4;2;89';Fanol Perdedaj;False;;0;D;;6.5;;;F. Perdedaj;1;0;0;1860-munchen;MUN;2536;1860 München;2;1 (0);1 (0);6 (5);6 (2);42 (73%);3;83;1
MUN X UNB 16-09-2016;24 (77%);0 (0);;;0;;;0;0 (0);8893;0;0;90';Jan Zimmermann;False;;0;G;0;6.3;0 (0);2;J. Zimmermann;0;0;0;1860-munchen;MUN;2536;1860 München;0;0 (0);0 (0);0 (0);12 (5);24 (77%);0;36;0
MUN X UNB 16-09-2016;39 (83%);6 (0);;1;7;;;;10 (3);9435;1;0;90';Daniel Adlung;False;;0;M;;6.2;;;D. Adlung;2;2;1;1860-munchen;MUN;2536;1860 München;0;1 (0);1 (0);16 (3);5 (1);39 (83%);1;63;2
MUN X UNB 16-09-2016;43 (74%);3 (1);;0;1;;;;3 (2);155961;0;0;90';Miloš Degenek;False;;0;D;;5.9;;;M. Degenek;0;0;0;1860-munchen;MUN;2536;1860 München;3;1 (1);0 (0);6 (3);14 (4);43 (74%);1;66;0
MUN X UNB 16-09-2016;20 (76%);4 (3);;0;1;;;;2 (1);8782;2;0;53';Fabian Schönheim;False;;0;D;;5.7;;;F. Schönheim;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;0;0 (0);0 (0);6 (4);10 (5);20 (76%);0;29;1
MUN X UNB 16-09-2016;1 (50%);0 (0);;0;0;;;;0 (0);39815;0;1;4';Philipp Hosiner;False;;0;F;;–;;;P. Hosiner;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;0;0 (0);0 (0);0 (0);1 (0);1 (50%);0;2;0
MUN X UNB 16-09-2016;0 (0%);1 (0);;0;0;;;;0 (0);12861;0;0;1';Kai Bülow;False;;0;D;;–;;;K. Bülow;0;0;0;1860-munchen;MUN;2536;1860 München;0;0 (0);0 (0);1 (0);0 (0);0 (0%);0;0;0
HEI X KAR 04-11-2016;10 (41%);0 (0);1;1;0;1;1;;5 (2);26573;2;3;90';Marc Schnatterer;False;;0;M;;8.0;;;M. Schnatterer;0;1;1;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;2;1 (0);7 (3);5 (2);3 (0);10 (41%);1;46;1
HEI X KAR 04-11-2016;22 (64%);5 (2);1;0;1;;;;8 (6);800252;2;0;90';Tim Skarke;False;1;0;M;;7.6;;;T. Skarke;0;2;2;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;0;2 (2);0 (0);13 (8);2 (0);22 (64%);3;48;2
HEI X KAR 04-11-2016;31 (75%);0 (0);;0;1;;;;7 (4);8740;0;5;90';Moritz Stoppelkamp;False;1;0;M;;7.5;;;M. Stoppelkamp;0;2;2;karlsruher-sc;KAR;2553;Karlsruher SC;1;4 (2);9 (2);7 (4);7 (2);31 (75%);0;68;2
HEI X KAR 04-11-2016;42 (80%);6 (1);;0;1;;1;;4 (3);147099;4;1;90';Hiroki Yamada;False;;0;M;;7.4;;;H. Yamada;0;0;1;karlsruher-sc;KAR;2553;Karlsruher SC;1;0 (0);0 (0);10 (4);2 (0);42 (80%);1;64;2
HEI X KAR 04-11-2016;22 (64%);11 (6);;1;2;;;;4 (2);122578;0;2;71';Denis Thomalla;False;;1;F;;7.1;;;D. Thomalla;0;1;0;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;0;0 (0);3 (1);15 (8);0 (0);22 (64%);1;46;1
HEI X KAR 04-11-2016;32 (76%);9 (6);;0;1;;;;2 (1);72192;4;0;89';Timo Beermann;False;;0;D;;7.1;;;T. Beermann;0;0;0;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;11;0 (0);0 (0);11 (7);7 (1);32 (76%);0;62;1
HEI X KAR 04-11-2016;36 (72%);8 (6);1;1;1;;;;8 (5);40230;3;1;90';Marcel Titsch-Rivero;False;;0;M;;7.1;;;M. Titsch-Rivero;0;0;0;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;1;0 (0);0 (0);16 (11);8 (5);36 (72%);4;64;2
HEI X KAR 04-11-2016;4 (57%);4 (1);;1;0;;;;3 (2);5542;0;2;19';Erwin Hoffer;False;;0;F;;7.1;;;E. Hoffer;0;1;1;karlsruher-sc;KAR;2553;Karlsruher SC;0;1 (1);0 (0);7 (3);0 (0);4 (57%);0;14;1
HEI X KAR 04-11-2016;32 (74%);11 (6);1;0;3;;1;;8 (3);128792;1;0;90';Sebastian Griesbeck;False;;0;M;;6.9;;;S. Griesbeck;1;0;1;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;1;2 (0);0 (0);19 (9);8 (5);32 (74%);2;54;1
HEI X KAR 04-11-2016;13 (54%);3 (2);;1;1;;;;7 (5);19225;0;0;90';Arne Feick;False;;0;D;;6.9;;;A. Feick;0;1;0;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;1;0 (0);0 (0);10 (7);6 (2);13 (54%);3;41;2
HEI X KAR 04-11-2016;28 (84%);1 (1);1;0;0;;;;8 (6);800444;1;0;90';Matthias Bader;False;;0;D;;6.8;;;M. Bader;1;0;0;karlsruher-sc;KAR;2553;Karlsruher SC;1;5 (4);1 (0);9 (7);8 (7);28 (84%);2;51;0
HEI X KAR 04-11-2016;16 (72%);8 (3);;2;5;;;;8 (1);798541;1;3;90';Florian Kamberi;False;1;0;F;;6.8;;;F. Kamberi;0;3;0;karlsruher-sc;KAR;2553;Karlsruher SC;0;0 (0);0 (0);16 (4);0 (0);16 (72%);0;36;3
HEI X KAR 04-11-2016;27 (79%);9 (2);;0;1;;;;4 (3);254207;3;0;90';David Kinsombi;False;;1;D;;6.8;;;D. Kinsombi;0;0;0;karlsruher-sc;KAR;2553;Karlsruher SC;3;0 (0);0 (0);13 (5);5 (3);27 (79%);1;45;2
HEI X KAR 04-11-2016;39 (78%);4 (1);;2;0;;;;8 (5);253993;1;1;88';Grischa Prömel;False;;0;M;;6.8;;;G. Prömel;0;1;0;karlsruher-sc;KAR;2553;Karlsruher SC;0;2 (1);0 (0);12 (6);7 (4);39 (78%);1;65;3
HEI X KAR 04-11-2016;18 (78%);1 (1);;1;0;;;;1 (0);134562;4;0;45';Ylli Sallahi;False;;0;M;;6.8;;;Y. Sallahi;0;0;0;karlsruher-sc;KAR;2553;Karlsruher SC;2;0 (0);0 (0);2 (1);7 (5);18 (78%);0;39;0
HEI X KAR 04-11-2016;14 (60%);8 (4);;1;2;;;;4 (2);98217;0;1;71';Dimitris Diamantakos;False;;0;F;;6.8;;;D. Diamantakos;0;1;0;karlsruher-sc;KAR;2553;Karlsruher SC;1;0 (0);1 (0);12 (6);0 (0);14 (60%);0;32;2
HEI X KAR 04-11-2016;44 (73%);18 (12);;0;2;;;;2 (2);123642;1;0;90';Bjarne Thoelke;False;;0;D;;6.7;;;B. Thoelke;0;1;0;karlsruher-sc;KAR;2553;Karlsruher SC;3;0 (0);0 (0);20 (14);9 (2);44 (73%);2;70;2
HEI X KAR 04-11-2016;27 (61%);0 (0);;;0;;;0;1 (1);121908;0;0;90';Kevin Müller;False;;0;G;0;6.7;0 (0);4;K. Müller;0;0;0;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;0;0 (0);0 (0);1 (1);33 (16);27 (61%);0;52;1
HEI X KAR 04-11-2016;12 (80%);10 (4);2;0;3;;;;4 (0);52755;0;1;80';John Verhoek;False;;0;F;;6.7;;;J. Verhoek;0;1;0;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;2;0 (0);0 (0);14 (4);0 (0);12 (80%);0;23;0
HEI X KAR 04-11-2016;40 (78%);6 (2);;0;4;;;;4 (1);26765;2;0;90';Mathias Wittek;False;;0;D;;6.6;;;M. Wittek;0;0;0;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;3;0 (0);0 (0);10 (3);15 (9);40 (78%);1;59;0
HEI X KAR 04-11-2016;18 (64%);4 (3);;0;0;;;;1 (1);16073;3;0;45';Dennis Kempe;False;;0;D;;6.6;;;D. Kempe;0;0;0;karlsruher-sc;KAR;2553;Karlsruher SC;1;0 (0);0 (0);5 (4);3 (1);18 (64%);1;41;0
HEI X KAR 04-11-2016;24 (63%);3 (3);2;0;0;;;;5 (3);3952;0;0;90';Robert Strauss;False;;0;D;;6.6;;;R. Strauss;0;0;1;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;4;0 (0);1 (0);8 (6);9 (1);24 (63%);1;68;3
HEI X KAR 04-11-2016;17 (47%);0 (0);;;0;;;0;0 (0);120024;0;0;90';Rene Vollath;False;;0;G;0;6.4;0 (0);3;R. Vollath;0;0;0;karlsruher-sc;KAR;2553;Karlsruher SC;0;0 (0);0 (0);0 (0);29 (11);17 (47%);0;44;0
HEI X KAR 04-11-2016;1 (25%);0 (0);;0;0;;;;1 (0);574822;0;0;10';Dominik Widemann;False;;0;F;;6.3;;;D. Widemann;0;0;0;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;0;1 (0);0 (0);1 (0);0 (0);1 (25%);0;6;0
HEI X KAR 04-11-2016;1 (25%);2 (1);;0;2;;;;4 (0);181893;0;0;19';Bard Finne;False;;0;F;;6.3;;;B. Finne;0;0;0;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;0;2 (0);0 (0);6 (1);0 (0);1 (25%);0;7;0
HEI X KAR 04-11-2016;29 (80%);4 (1);1;4;2;;;;10 (2);129510;1;0;90';Manuel Torres;False;1;0;M;;5.8;;;M. Torres;0;2;1;karlsruher-sc;KAR;2553;Karlsruher SC;1;1 (0);1 (0);14 (3);3 (2);29 (80%);1;54;1
HEI X KAR 04-11-2016;3 (100%);1 (0);;0;0;;;;1 (1);592022;0;0;2';Yann Rollim;False;;0;M;;–;;;Y. Rollim;0;0;0;karlsruher-sc;KAR;2553;Karlsruher SC;0;0 (0);0 (0);2 (1);0 (0);3 (100%);1;5;0
HEI X KAR 04-11-2016;0 (0%);0 (0);;0;0;;;;0 (0);15004;0;0;1';Norman Theuerkauf;False;;0;M;;–;;;N. Theuerkauf;0;0;0;1-fc-heidenheim;HEI;5885;1. FC Heidenheim;0;0 (0);0 (0);0 (0);0 (0);0 (0%);0;0;0
AUE X NUR 04-11-2016;25 (51%);5 (3);;0;0;;;;7 (6);424;6;4;90';Christian Tiffert;False;;0;M;;7.9;;;C. Tiffert;0;0;0;erzgebirge-aue;AUE;2566;Erzgebirge Aue;0;2 (1);4 (2);12 (9);17 (5);25 (51%);3;73;2
AUE X NUR 04-11-2016;19 (67%);7 (3);;1;1;;1;;8 (5);8907;2;2;90';Nicky Adler;False;;0;M;;7.6;;;N. Adler;4;2;1;erzgebirge-aue;AUE;2566;Erzgebirge Aue;2;2 (1);2 (0);15 (8);2 (2);19 (67%);2;54;4
AUE X NUR 04-11-2016;41 (77%);8 (3);2;0;5;1;1;;13 (3);168833;2;2;90';Kevin Möhwald;False;;0;M;;7.4;;;K. Möhwald;0;1;1;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;1;5 (1);2 (1);21 (6);3 (2);41 (77%);0;74;2
AUE X NUR 04-11-2016;14 (82%);4 (3);;0;0;1;;;1 (1);142329;3;2;45';Fabio Kaufmann;False;;0;M;;7.3;;;F. Kaufmann;0;0;0;erzgebirge-aue;AUE;2566;Erzgebirge Aue;1;0 (0);3 (1);5 (4);0 (0);14 (82%);1;32;0
AUE X NUR 04-11-2016;18 (54%);5 (2);;0;1;;;;9 (8);78881;3;2;90';Sebastian Hertner;False;;0;D;;7.3;;;S. Hertner;1;0;0;erzgebirge-aue;AUE;2566;Erzgebirge Aue;1;1 (1);2 (1);14 (10);15 (6);18 (54%);3;64;5
AUE X NUR 04-11-2016;25 (71%);7 (2);;2;1;1;;;7 (3);37630;4;3;89';Tobias Kempe;False;;1;M;;7.3;;;T. Kempe;1;0;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;1;1 (0);4 (1);14 (5);7 (4);25 (71%);1;56;2
AUE X NUR 04-11-2016;30 (73%);4 (3);;0;1;;;;1 (0);22454;1;2;90';Even Hovland;False;;2;D;;7.3;;;E. Hovland;0;1;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;6;0 (0);0 (0);5 (3);17 (8);30 (73%);0;51;0
AUE X NUR 04-11-2016;37 (63%);3 (1);;0;1;;;;11 (9);136930;5;0;89';Calogero Rizzuto;False;;0;D;;7.2;;;C. Rizzuto;0;0;0;erzgebirge-aue;AUE;2566;Erzgebirge Aue;2;2 (1);3 (0);14 (10);25 (10);37 (63%);3;95;5
AUE X NUR 04-11-2016;22 (50%);8 (6);1;1;0;;;;6 (4);14206;2;1;90';Laszló Sepsi;False;;0;D;;7.2;;;L. Sepsi;0;0;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;6;0 (0);2 (1);14 (10);9 (5);22 (50%);4;88;0
AUE X NUR 04-11-2016;24 (57%);4 (3);;0;1;;;;8 (7);132148;0;0;90';Steve Breitkreuz;False;;0;D;;7.0;;;S. Breitkreuz;0;0;0;erzgebirge-aue;AUE;2566;Erzgebirge Aue;3;0 (0);0 (0);12 (10);19 (5);24 (57%);7;52;0
AUE X NUR 04-11-2016;30 (68%);4 (2);1;0;0;;;;1 (0);108171;4;0;90';Adam Sušac;False;1;3;D;;7.0;;;A. Sušac;1;0;1;erzgebirge-aue;AUE;2566;Erzgebirge Aue;4;0 (0);0 (0);5 (2);9 (2);30 (68%);0;58;0
AUE X NUR 04-11-2016;21 (75%);8 (7);;0;2;;;;4 (2);833067;1;0;90';Lukas Mühl;False;;0;D;;6.9;;;L. Mühl;0;0;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;6;0 (0);0 (0);12 (9);4 (4);21 (75%);2;41;0
AUE X NUR 04-11-2016;25 (67%);5 (2);1;0;4;;;;7 (2);272779;4;0;68';Tim Leibold;False;;1;M;;6.6;;;T. Leibold;0;0;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;1;2 (1);0 (0);12 (4);4 (2);25 (67%);0;50;1
AUE X NUR 04-11-2016;12 (75%);11 (2);;0;1;;;;3 (1);254001;0;1;90';Pascal Köpke;False;1;0;F;;6.6;;;P. Köpke;0;0;1;erzgebirge-aue;AUE;2566;Erzgebirge Aue;0;1 (0);1 (0);14 (3);1 (1);12 (75%);0;22;2
AUE X NUR 04-11-2016;6 (75%);4 (2);;0;0;;;;0 (0);830012;0;0;22';Patrick Kammerbauer;False;;0;D;;6.5;;;P. Kammerbauer;0;0;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;0;0 (0);0 (0);4 (2);0 (0);6 (75%);0;10;1
AUE X NUR 04-11-2016;5 (62%);2 (2);;0;1;;;;6 (3);142524;0;0;45';Cebio Soukou;False;;0;M;;6.5;;;C. Soukou;0;0;0;erzgebirge-aue;AUE;2566;Erzgebirge Aue;0;2 (0);0 (0);8 (5);2 (1);5 (62%);2;20;1
AUE X NUR 04-11-2016;10 (38%);0 (0);;;0;;;0;0 (0);18601;0;0;90';Thorsten Kirschbaum;False;;0;G;0;6.5;0 (0);2;T. Kirschbaum;0;0;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;0;0 (0);0 (0);0 (0);23 (7);10 (38%);0;30;0
AUE X NUR 04-11-2016;17 (70%);9 (3);1;2;1;;;;5 (2);1000041;0;0;81';Jakub Sylvestr;False;2;0;F;;6.4;;;J. Sylvestr;0;1;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;0;1 (1);1 (0);14 (5);0 (0);17 (70%);1;35;0
AUE X NUR 04-11-2016;26 (78%);6 (1);;1;2;;;;5 (2);137095;1;1;90';Mario Kvesić;False;;0;M;;6.4;;;M. Kvesić;0;1;0;erzgebirge-aue;AUE;2566;Erzgebirge Aue;0;2 (1);2 (0);11 (3);4 (3);26 (78%);1;48;0
AUE X NUR 04-11-2016;28 (73%);7 (5);1;0;3;;;;5 (2);137051;1;0;90';Ondřej Petrák;False;;0;M;;6.4;;;O. Petrák;0;0;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;2;0 (0);0 (0);12 (7);2 (1);28 (73%);1;45;1
AUE X NUR 04-11-2016;1 (50%);0 (0);;1;0;;;;1 (0);40026;0;0;7';Max Wegner;False;;0;F;;6.4;;;M. Wegner;0;0;0;erzgebirge-aue;AUE;2566;Erzgebirge Aue;0;0 (0);1 (0);1 (0);0 (0);1 (50%);0;4;0
AUE X NUR 04-11-2016;16 (66%);0 (0);;1;1;;;;6 (2);243;1;0;90';Miso Brecko;False;;1;D;;6.4;;;M. Brecko;0;0;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;5;2 (0);2 (0);6 (2);6 (1);16 (66%);1;53;1
AUE X NUR 04-11-2016;0 (0%);1 (1);;1;2;;;;5 (1);326643;0;0;9';Cedric Teuchert;False;1;0;F;;6.3;;;C. Teuchert;0;0;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;1;1 (0);1 (0);6 (2);0 (0);0 (0%);0;7;1
AUE X NUR 04-11-2016;23 (62%);0 (0);;1;0;;1;;8 (1);23486;0;1;90';Guido Burgstaller;False;;1;M;;6.3;;;G. Burgstaller;2;0;1;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;1;6 (0);3 (0);8 (1);2 (1);23 (62%);0;62;1
AUE X NUR 04-11-2016;25 (59%);0 (0);;;0;;;0;0 (0);391;0;0;90';Daniel Haas;False;;0;G;0;6.3;0 (0);1;D. Haas;0;0;0;erzgebirge-aue;AUE;2566;Erzgebirge Aue;0;0 (0);0 (0);0 (0);21 (4);25 (59%);0;48;0
AUE X NUR 04-11-2016;18 (56%);9 (5);2;0;2;;;;4 (0);96301;1;0;83';Philipp Riese;False;;0;M;;6.1;;;P. Riese;0;1;0;erzgebirge-aue;AUE;2566;Erzgebirge Aue;1;0 (0);0 (0);13 (5);6 (1);18 (56%);0;37;0
AUE X NUR 04-11-2016;1 (100%);1 (0);;0;0;;;;3 (3);108667;0;0;1';Simon Skarlatidis;False;;0;M;;–;;;S. Skarlatidis;0;0;0;erzgebirge-aue;AUE;2566;Erzgebirge Aue;0;1 (1);0 (0);4 (3);0 (0);1 (100%);1;4;1
AUE X NUR 04-11-2016;0 (0%);0 (0);;0;0;;;;0 (0);13059;0;0;1';Rúrik Gíslason;False;;0;M;;–;;;R. Gíslason;0;0;0;1-fc-nurnberg;NUR;2523;1. FC Nürnberg;0;0 (0);0 (0);0 (0);0 (0);0 (0%);0;0;0
DUS X DRE 04-11-2016;16 (61%);3 (1);1;2;4;;2;;15 (6);108452;1;0;90';Akaki Gogia;False;;0;F;;8.3;;;A. Gogia;0;0;3;dynamo-dresden;DRE;2595;Dynamo Dresden;0;4 (2);1 (0);18 (7);2 (1);16 (61%);2;49;2
DUS X DRE 04-11-2016;22 (64%);1 (0);;0;1;;;;4 (3);97924;1;5;90';Niklas Kreuzer;False;;1;D;;7.9;;;N. Kreuzer;0;0;0;dynamo-dresden;DRE;2595;Dynamo Dresden;2;0 (0);5 (3);5 (3);10 (5);22 (64%);3;58;0
DUS X DRE 04-11-2016;30 (83%);5 (2);1;1;1;;1;;10 (5);798154;0;2;77';Niklas Hauptmann;False;;0;M;;7.7;;;N. Hauptmann;0;0;1;dynamo-dresden;DRE;2595;Dynamo Dresden;0;3 (1);0 (0);15 (7);1 (1);30 (83%);2;53;2
DUS X DRE 04-11-2016;61 (87%);1 (0);1;0;2;;;;11 (9);9439;1;2;90';Adam Bodzek;False;;1;M;;7.7;;;A. Bodzek;0;0;0;fortuna-dusseldorf;DUS;2588;Fortuna Düsseldorf;1;0 (0);0 (0);12 (9);10 (8);61 (87%);6;82;3
DUS X DRE 04-11-2016;36 (78%);1 (1);;;0;;;1;0 (0);187185;0;0;90';Marvin Schwäbe;False;;0;G;0;7.4;0 (0);5;M. Schwäbe;0;0;0;dynamo-dresden;DRE;2595;Dynamo Dresden;0;0 (0);0 (0);1 (1);22 (12);36 (78%);0;58;0
DUS X DRE 04-11-2016;33 (78%);5 (4);;0;0;;;;1 (1);164963;1;0;90';Florian Ballas;False;;0;D;;7.3;;;F. Ballas;0;0;0;dynamo-dresden;DRE;2595;Dynamo Dresden;12;0 (0);0 (0);6 (5);11 (5);33 (78%);0;56;1
DUS X DRE 04-11-2016;50 (80%);5 (4);;1;0;;;;5 (3);143914;1;0;90';Giuliano Modica;False;1;0;D;;7.3;;;G. Modica;0;1;0;dynamo-dresden;DRE;2595;Dynamo Dresden;3;1 (0);0 (0);10 (7);18 (9);50 (80%);2;72;1
DUS X DRE 04-11-2016;10 (58%);1 (0);2;2;1;1;;;16 (10);142169;0;1;88';Erich Berko;False;;0;F;;7.2;;;E. Berko;0;1;0;dynamo-dresden;DRE;2595;Dynamo Dresden;1;3 (2);1 (0);17 (10);2 (0);10 (58%);3;37;5
DUS X DRE 04-11-2016;36 (87%);2 (2);1;0;0;1;;;3 (1);4861;1;1;74';Andreas Lambertz;False;;1;M;;7.2;;;A. Lambertz;0;1;0;dynamo-dresden;DRE;2595;Dynamo Dresden;0;1 (0);0 (0);5 (3);3 (2);36 (87%);0;52;2
DUS X DRE 04-11-2016;28 (90%);5 (4);4;0;0;1;;;9 (4);38310;2;1;90';Marco Hartmann;False;;0;M;;7.1;;;M. Hartmann;1;0;0;dynamo-dresden;DRE;2595;Dynamo Dresden;1;1 (0);0 (0);14 (8);3 (2);28 (90%);3;49;2
