game;fixture;id;team_home;team_away;date;link;home_score;away_score
ARS X WBA 16-08-2008;1;781506;ARS;WBA;16-08-2008;https://www.sofascore.com/pt/west-bromwich-albion-arsenal/isR;1;0
BOL X STO 16-08-2008;1;781509;BOL;STO;16-08-2008;https://www.sofascore.com/pt/bolton-wanderers-stoke-city/fsE;3;1
EVE X BLR 16-08-2008;1;781511;EVE;BLR;16-08-2008;https://www.sofascore.com/pt/everton-blackburn-rovers/WsY;2;3
HUL X FUL 16-08-2008;1;781512;HUL;FUL;16-08-2008;https://www.sofascore.com/pt/hull-city-fulham/TsWb;2;1
MID X TOT 16-08-2008;1;781514;MID;TOT;16-08-2008;https://www.sofascore.com/pt/middlesbrough-tottenham/IsL;2;1
WES X WIG 16-08-2008;1;781516;WES;WIG;16-08-2008;https://www.sofascore.com/pt/wigan-athletic-west-ham-united/MsZ;2;1
SUN X LIV 16-08-2008;1;781515;SUN;LIV;16-08-2008;https://www.sofascore.com/pt/liverpool-sunderland/QU;0;1
CHE X POR 17-08-2008;1;781510;CHE;POR;17-08-2008;https://www.sofascore.com/pt/chelsea-portsmouth/csN;4;0
ASV X MCI 17-08-2008;1;781507;ASV;MCI;17-08-2008;https://www.sofascore.com/pt/aston-villa-manchester-city/rP;4;2
MUN X NEW 17-08-2008;1;781513;MUN;NEW;17-08-2008;https://www.sofascore.com/pt/newcastle-united-manchester-united/DYBe;1;1
BLR X HUL 23-08-2008;2;781519;BLR;HUL;23-08-2008;https://www.sofascore.com/pt/hull-city-blackburn-rovers/WsWb;1;1
LIV X MID 23-08-2008;2;781522;LIV;MID;23-08-2008;https://www.sofascore.com/pt/liverpool-middlesbrough/LsU;2;1
NEW X BOL 23-08-2008;2;781525;NEW;BOL;23-08-2008;https://www.sofascore.com/pt/bolton-wanderers-newcastle-united/fsO;1;0
STO X ASV 23-08-2008;2;781529;STO;ASV;23-08-2008;https://www.sofascore.com/pt/aston-villa-stoke-city/EP;3;2
TOT X SUN 23-08-2008;2;781531;TOT;SUN;23-08-2008;https://www.sofascore.com/pt/sunderland-tottenham/IQ;1;2
WBA X EVE 23-08-2008;2;781532;WBA;EVE;23-08-2008;https://www.sofascore.com/pt/west-bromwich-albion-everton/iY;1;2
FUL X ARS 23-08-2008;2;781521;FUL;ARS;23-08-2008;https://www.sofascore.com/pt/fulham-arsenal/RsT;1;0
WIG X CHE 24-08-2008;2;781533;WIG;CHE;24-08-2008;https://www.sofascore.com/pt/wigan-athletic-chelsea/NsZ;0;1
MCI X WES 24-08-2008;2;781524;MCI;WES;24-08-2008;https://www.sofascore.com/pt/west-ham-united-manchester-city/rM;3;0
POR X MUN 25-08-2008;2;781527;POR;MUN;25-08-2008;https://www.sofascore.com/pt/manchester-united-portsmouth/csK;0;1
BOL X WBA 30-08-2008;3;781536;BOL;WBA;30-08-2008;https://www.sofascore.com/pt/west-bromwich-albion-bolton-wanderers/fsi;0;0
EVE X POR 30-08-2008;3;781539;EVE;POR;30-08-2008;https://www.sofascore.com/pt/everton-portsmouth/csY;0;3
HUL X WIG 30-08-2008;3;781541;HUL;WIG;30-08-2008;https://www.sofascore.com/pt/hull-city-wigan-athletic/ZsWb;0;5
MID X STO 30-08-2008;3;781544;MID;STO;30-08-2008;https://www.sofascore.com/pt/middlesbrough-stoke-city/EsL;2;1
WES X BLR 30-08-2008;3;781547;WES;BLR;30-08-2008;https://www.sofascore.com/pt/blackburn-rovers-west-ham-united/MsW;4;1
ARS X NEW 30-08-2008;3;781534;ARS;NEW;30-08-2008;https://www.sofascore.com/pt/arsenal-newcastle-united/Ardc;3;0
CHE X TOT 31-08-2008;3;781538;CHE;TOT;31-08-2008;https://www.sofascore.com/pt/chelsea-tottenham/IN;1;1
SUN X MCI 31-08-2008;3;781546;SUN;MCI;31-08-2008;https://www.sofascore.com/pt/sunderland-manchester-city/rQ;0;3
ASV X LIV 31-08-2008;3;781535;ASV;LIV;31-08-2008;https://www.sofascore.com/pt/liverpool-aston-villa/PU;0;0
MUN X FUL 18-02-2009;3;781542;MUN;FUL;18-02-2009;https://www.sofascore.com/pt/fulham-manchester-united/KsT;3;0
LIV X MUN 13-09-2008;4;781862;LIV;MUN;13-09-2008;https://www.sofascore.com/pt/liverpool-manchester-united/KU;2;1
BLR X ARS 13-09-2008;4;781858;BLR;ARS;13-09-2008;https://www.sofascore.com/pt/blackburn-rovers-arsenal/RsW;0;4
FUL X BOL 13-09-2008;4;781860;FUL;BOL;13-09-2008;https://www.sofascore.com/pt/bolton-wanderers-fulham/fsT;2;1
NEW X HUL 13-09-2008;4;781866;NEW;HUL;13-09-2008;https://www.sofascore.com/pt/hull-city-newcastle-united/OWb;1;2
POR X MID 13-09-2008;4;781868;POR;MID;13-09-2008;https://www.sofascore.com/pt/middlesbrough-portsmouth/csL;2;1
WBA X WES 13-09-2008;4;781871;WBA;WES;13-09-2008;https://www.sofascore.com/pt/west-bromwich-albion-west-ham-united/iM;3;2
WIG X SUN 13-09-2008;4;781872;WIG;SUN;13-09-2008;https://www.sofascore.com/pt/wigan-athletic-sunderland/QsZ;1;1
MCI X CHE 13-09-2008;4;781864;MCI;CHE;13-09-2008;https://www.sofascore.com/pt/chelsea-manchester-city/rN;1;3
STO X EVE 14-09-2008;4;781869;STO;EVE;14-09-2008;https://www.sofascore.com/pt/everton-stoke-city/EY;2;3
TOT X ASV 15-09-2008;4;781870;TOT;ASV;15-09-2008;https://www.sofascore.com/pt/aston-villa-tottenham/IP;1;2
