game;fixture;id;team_home;team_away;date;link;home_score;away_score
ING X MAI 02-04-2017;26;7108703;ING;MAI;02-04-2017;https://www.sofascore.com/pt/ingolstadt-1-fsv-mainz-05/gbbsFrc;2;1
BLK X WOB 02-04-2017;26;7108460;BLK;WOB;02-04-2017;https://www.sofascore.com/pt/bayer-04-leverkusen-wolfsburg/zabsGdb;3;3
KOL X SGE 04-04-2017;27;7108708;KOL;SGE;04-04-2017;https://www.sofascore.com/pt/eintracht-frankfurt-1-fc-koln/wdbszdb;1;0
TSG X BAY 04-04-2017;27;7108443;TSG;BAY;04-04-2017;https://www.sofascore.com/pt/bayern-munchen-1899-hoffenheim/ubbsxdb;1;0
DOR X HSV 04-04-2017;27;7108501;DOR;HSV;04-04-2017;https://www.sofascore.com/pt/hamburger-sv-borussia-dortmund/ydbsBdb;3;0
SVW X S04 04-04-2017;27;7108527;SVW;S04;04-04-2017;https://www.sofascore.com/pt/werder-bremen-fc-schalke-04/FabsJab;3;0
MAI X RBL 05-04-2017;27;7108706;MAI;RBL;05-04-2017;https://www.sofascore.com/pt/rb-leipzig-1-fsv-mainz-05/gbbskCo;2;3
AUG X ING 05-04-2017;27;7108424;AUG;ING;05-04-2017;https://www.sofascore.com/pt/ingolstadt-augsburg/acbsFrc;2;3
BMG X BCS 05-04-2017;27;7108421;BMG;BCS;05-04-2017;https://www.sofascore.com/pt/hertha-bsc-borussia-mgladbach/CabsDab;1;0
D98 X BLK 05-04-2017;27;7108407;D98;BLK;05-04-2017;https://www.sofascore.com/pt/bayer-04-leverkusen-darmstadt-98/BbbsGdb;0;2
WOB X SCF 05-04-2017;27;7108707;WOB;SCF;05-04-2017;https://www.sofascore.com/pt/freiburg-wolfsburg/zabsNab;0;1
SGE X SVW 07-04-2017;28;7108462;SGE;SVW;07-04-2017;https://www.sofascore.com/pt/eintracht-frankfurt-werder-bremen/Jabszdb;2;2
KOL X BMG 08-04-2017;28;7108453;KOL;BMG;08-04-2017;https://www.sofascore.com/pt/1-fc-koln-borussia-mgladbach/Cabswdb;2;3
S04 X WOB 08-04-2017;28;7108524;S04;WOB;08-04-2017;https://www.sofascore.com/pt/fc-schalke-04-wolfsburg/zabsFab;4;1
SCF X MAI 08-04-2017;28;7108423;SCF;MAI;08-04-2017;https://www.sofascore.com/pt/1-fsv-mainz-05-freiburg/Nabsgbb;1;0
HSV X TSG 08-04-2017;28;7108709;HSV;TSG;08-04-2017;https://www.sofascore.com/pt/hamburger-sv-1899-hoffenheim/ubbsBdb;2;1
RBL X BLK 08-04-2017;28;7108710;RBL;BLK;08-04-2017;https://www.sofascore.com/pt/rb-leipzig-bayer-04-leverkusen/GdbskCo;1;0
BAY X DOR 08-04-2017;28;7108417;BAY;DOR;08-04-2017;https://www.sofascore.com/pt/borussia-dortmund-bayern-munchen/xdbsydb;4;1
BCS X AUG 09-04-2017;28;7108428;BCS;AUG;09-04-2017;https://www.sofascore.com/pt/augsburg-hertha-bsc/Dabsacb;2;0
ING X D98 09-04-2017;28;7108454;ING;D98;09-04-2017;https://www.sofascore.com/pt/ingolstadt-darmstadt-98/BbbsFrc;3;2
MAI X BCS 15-04-2017;29;7108451;MAI;BCS;15-04-2017;https://www.sofascore.com/pt/1-fsv-mainz-05-hertha-bsc/Dabsgbb;1;0
TSG X BMG 15-04-2017;29;7108713;TSG;BMG;15-04-2017;https://www.sofascore.com/pt/1899-hoffenheim-borussia-mgladbach/Cabsubb;5;3
AUG X KOL 15-04-2017;29;7108477;AUG;KOL;15-04-2017;https://www.sofascore.com/pt/1-fc-koln-augsburg/acbswdb;2;1
DOR X SGE 15-04-2017;29;7108711;DOR;SGE;15-04-2017;https://www.sofascore.com/pt/eintracht-frankfurt-borussia-dortmund/ydbszdb;3;1
RBL X SCF 15-04-2017;29;7108714;RBL;SCF;15-04-2017;https://www.sofascore.com/pt/rb-leipzig-freiburg/NabskCo;4;0
WOB X ING 15-04-2017;29;7108712;WOB;ING;15-04-2017;https://www.sofascore.com/pt/ingolstadt-wolfsburg/zabsFrc;3;0
BLK X BAY 15-04-2017;29;7108525;BLK;BAY;15-04-2017;https://www.sofascore.com/pt/bayer-04-leverkusen-bayern-munchen/xdbsGdb;0;0
SVW X HSV 16-04-2017;29;7108445;SVW;HSV;16-04-2017;https://www.sofascore.com/pt/hamburger-sv-werder-bremen/JabsBdb;2;1
D98 X S04 16-04-2017;29;7108478;D98;S04;16-04-2017;https://www.sofascore.com/pt/darmstadt-98-fc-schalke-04/FabsBbb;2;1
KOL X TSG 21-04-2017;30;7108467;KOL;TSG;21-04-2017;https://www.sofascore.com/pt/1-fc-koln-1899-hoffenheim/ubbswdb;1;1
BAY X MAI 22-04-2017;30;7108715;BAY;MAI;22-04-2017;https://www.sofascore.com/pt/bayern-munchen-1-fsv-mainz-05/gbbsxdb;2;2
SGE X AUG 22-04-2017;30;7108418;SGE;AUG;22-04-2017;https://www.sofascore.com/pt/eintracht-frankfurt-augsburg/acbszdb;3;1
HSV X D98 22-04-2017;30;7108409;HSV;D98;22-04-2017;https://www.sofascore.com/pt/hamburger-sv-darmstadt-98/BbbsBdb;1;2
BCS X WOB 22-04-2017;30;7108426;BCS;WOB;22-04-2017;https://www.sofascore.com/pt/hertha-bsc-wolfsburg/zabsDab;1;0
ING X SVW 22-04-2017;30;7108444;ING;SVW;22-04-2017;https://www.sofascore.com/pt/ingolstadt-werder-bremen/JabsFrc;2;4
BMG X DOR 22-04-2017;30;7108716;BMG;DOR;22-04-2017;https://www.sofascore.com/pt/borussia-dortmund-borussia-mgladbach/Cabsydb;2;3
SCF X BLK 23-04-2017;30;7108456;SCF;BLK;23-04-2017;https://www.sofascore.com/pt/bayer-04-leverkusen-freiburg/NabsGdb;2;1
S04 X RBL 23-04-2017;30;7108717;S04;RBL;23-04-2017;https://www.sofascore.com/pt/rb-leipzig-fc-schalke-04/FabskCo;1;1
BLK X S04 28-04-2017;31;7108479;BLK;S04;28-04-2017;https://www.sofascore.com/pt/bayer-04-leverkusen-fc-schalke-04/FabsGdb;1;4
MAI X BMG 29-04-2017;31;7108508;MAI;BMG;29-04-2017;https://www.sofascore.com/pt/1-fsv-mainz-05-borussia-mgladbach/Cabsgbb;1;2
DOR X KOL 29-04-2017;31;7108429;DOR;KOL;29-04-2017;https://www.sofascore.com/pt/borussia-dortmund-1-fc-koln/wdbsydb;0;0
D98 X SCF 29-04-2017;31;7108506;D98;SCF;29-04-2017;https://www.sofascore.com/pt/darmstadt-98-freiburg/NabsBbb;3;0
RBL X ING 29-04-2017;31;7108720;RBL;ING;29-04-2017;https://www.sofascore.com/pt/ingolstadt-rb-leipzig/FrcskCo;0;0
SVW X BCS 29-04-2017;31;7108425;SVW;BCS;29-04-2017;https://www.sofascore.com/pt/werder-bremen-hertha-bsc/DabsJab;2;0
WOB X BAY 29-04-2017;31;7108480;WOB;BAY;29-04-2017;https://www.sofascore.com/pt/bayern-munchen-wolfsburg/zabsxdb;0;6
AUG X HSV 30-04-2017;31;7108718;AUG;HSV;30-04-2017;https://www.sofascore.com/pt/hamburger-sv-augsburg/acbsBdb;4;0
TSG X SGE 30-04-2017;31;7108719;TSG;SGE;30-04-2017;https://www.sofascore.com/pt/eintracht-frankfurt-1899-hoffenheim/ubbszdb;1;0
KOL X SVW 05-05-2017;32;7108722;KOL;SVW;05-05-2017;https://www.sofascore.com/pt/1-fc-koln-werder-bremen/Jabswdb;4;3
BAY X D98 06-05-2017;32;7108353;BAY;D98;06-05-2017;https://www.sofascore.com/pt/bayern-munchen-darmstadt-98/Bbbsxdb;1;0
DOR X TSG 06-05-2017;32;7108350;DOR;TSG;06-05-2017;https://www.sofascore.com/pt/borussia-dortmund-1899-hoffenheim/ubbsydb;2;1
BMG X AUG 06-05-2017;32;7108351;BMG;AUG;06-05-2017;https://www.sofascore.com/pt/augsburg-borussia-mgladbach/Cabsacb;1;1
SGE X WOB 06-05-2017;32;7108355;SGE;WOB;06-05-2017;https://www.sofascore.com/pt/eintracht-frankfurt-wolfsburg/zabszdb;0;2
ING X BLK 06-05-2017;32;7108352;ING;BLK;06-05-2017;https://www.sofascore.com/pt/ingolstadt-bayer-04-leverkusen/GdbsFrc;1;1
BCS X RBL 06-05-2017;32;7108721;BCS;RBL;06-05-2017;https://www.sofascore.com/pt/rb-leipzig-hertha-bsc/DabskCo;1;4
HSV X MAI 07-05-2017;32;7108354;HSV;MAI;07-05-2017;https://www.sofascore.com/pt/hamburger-sv-1-fsv-mainz-05/gbbsBdb;0;0
SCF X S04 07-05-2017;32;7108502;SCF;S04;07-05-2017;https://www.sofascore.com/pt/freiburg-fc-schalke-04/FabsNab;2;0
MAI X SGE 13-05-2017;33;7108358;MAI;SGE;13-05-2017;https://www.sofascore.com/pt/eintracht-frankfurt-1-fsv-mainz-05/gbbszdb;4;2
AUG X DOR 13-05-2017;33;7108431;AUG;DOR;13-05-2017;https://www.sofascore.com/pt/borussia-dortmund-augsburg/acbsydb;1;1
BLK X KOL 13-05-2017;33;7108446;BLK;KOL;13-05-2017;https://www.sofascore.com/pt/bayer-04-leverkusen-1-fc-koln/wdbsGdb;2;2
D98 X BCS 13-05-2017;33;7108359;D98;BCS;13-05-2017;https://www.sofascore.com/pt/darmstadt-98-hertha-bsc/DabsBbb;0;2
S04 X HSV 13-05-2017;33;7108357;S04;HSV;13-05-2017;https://www.sofascore.com/pt/hamburger-sv-fc-schalke-04/FabsBdb;1;1
SCF X ING 13-05-2017;33;7108361;SCF;ING;13-05-2017;https://www.sofascore.com/pt/ingolstadt-freiburg/NabsFrc;1;1
RBL X BAY 13-05-2017;33;7108724;RBL;BAY;13-05-2017;https://www.sofascore.com/pt/rb-leipzig-bayern-munchen/xdbskCo;4;5
SVW X TSG 13-05-2017;33;7108723;SVW;TSG;13-05-2017;https://www.sofascore.com/pt/1899-hoffenheim-werder-bremen/Jabsubb;3;5
WOB X BMG 13-05-2017;33;7108356;WOB;BMG;13-05-2017;https://www.sofascore.com/pt/borussia-mgladbach-wolfsburg/zabsCab;1;1
KOL X MAI 20-05-2017;34;7108725;KOL;MAI;20-05-2017;https://www.sofascore.com/pt/1-fc-koln-1-fsv-mainz-05/gbbswdb;2;0
TSG X AUG 20-05-2017;34;7108363;TSG;AUG;20-05-2017;https://www.sofascore.com/pt/augsburg-1899-hoffenheim/ubbsacb;0;0
BAY X SCF 20-05-2017;34;7108430;BAY;SCF;20-05-2017;https://www.sofascore.com/pt/bayern-munchen-freiburg/Nabsxdb;4;1
DOR X SVW 20-05-2017;34;7108526;DOR;SVW;20-05-2017;https://www.sofascore.com/pt/borussia-dortmund-werder-bremen/Jabsydb;4;3
BMG X D98 20-05-2017;34;7108362;BMG;D98;20-05-2017;https://www.sofascore.com/pt/darmstadt-98-borussia-mgladbach/CabsBbb;2;2
SGE X RBL 20-05-2017;34;7108726;SGE;RBL;20-05-2017;https://www.sofascore.com/pt/rb-leipzig-eintracht-frankfurt/zdbskCo;2;2
HSV X WOB 20-05-2017;34;7108463;HSV;WOB;20-05-2017;https://www.sofascore.com/pt/hamburger-sv-wolfsburg/zabsBdb;2;1
BCS X BLK 20-05-2017;34;7108360;BCS;BLK;20-05-2017;https://www.sofascore.com/pt/bayer-04-leverkusen-hertha-bsc/DabsGdb;2;6
ING X S04 20-05-2017;34;7108447;ING;S04;20-05-2017;https://www.sofascore.com/pt/ingolstadt-fc-schalke-04/FabsFrc;1;1
