game;fixture;id;team_home;team_away;date;link;home_score;away_score
STU X H96 26-07-2019;1;8272635;STU;H96;26-07-2019;https://www.sofascore.com/pt/vfb-stuttgart-hannover-96/QabsCdb;2;1
DRE X NUR 27-07-2019;1;8272640;DRE;NUR;27-07-2019;https://www.sofascore.com/pt/dynamo-dresden-1-fc-nurnberg/yabsVbb;0;1
HKI X SAN 27-07-2019;1;8272647;HKI;SAN;27-07-2019;https://www.sofascore.com/pt/sv-sandhausen-holstein-kiel/ybbshyc;1;1
OSN X HEI 27-07-2019;1;8272637;OSN;HEI;27-07-2019;https://www.sofascore.com/pt/1-fc-heidenheim-vfl-osnabruck/GbbsKrc;1;3
HSV X D98 28-07-2019;1;8272638;HSV;D98;28-07-2019;https://www.sofascore.com/pt/hamburger-sv-darmstadt-98/BbbsBdb;1;1
JAH X BOC 28-07-2019;1;8272633;JAH;BOC;28-07-2019;https://www.sofascore.com/pt/ssv-jahn-regensburg-vfl-bochum/Rabsrbb;3;1
FUR X AUE 28-07-2019;1;8272642;FUR;AUE;28-07-2019;https://www.sofascore.com/pt/erzgebirge-aue-spvgg-greuther-furth/bbbsqbb;0;2
WEH X KAR 28-07-2019;1;8272643;WEH;KAR;28-07-2019;https://www.sofascore.com/pt/wehen-wiesbaden-karlsruher-sc/dbbsXbb;1;2
ARM X STP 29-07-2019;1;8272639;ARM;STP;29-07-2019;https://www.sofascore.com/pt/arminia-bielefeld-fc-st-pauli/BabsPab;1;1
SAN X OSN 02-08-2019;2;8272481;SAN;OSN;02-08-2019;https://www.sofascore.com/pt/sv-sandhausen-vfl-osnabruck/Gbbshyc;0;1
BOC X ARM 02-08-2019;2;8272479;BOC;ARM;02-08-2019;https://www.sofascore.com/pt/vfl-bochum-arminia-bielefeld/PabsRab;3;3
STP X FUR 02-08-2019;2;8272483;STP;FUR;02-08-2019;https://www.sofascore.com/pt/spvgg-greuther-furth-fc-st-pauli/Babsbbb;1;3
KAR X DRE 03-08-2019;2;8272475;KAR;DRE;03-08-2019;https://www.sofascore.com/pt/dynamo-dresden-karlsruher-sc/dbbsVbb;4;2
H96 X JAH 03-08-2019;2;8272476;H96;JAH;03-08-2019;https://www.sofascore.com/pt/ssv-jahn-regensburg-hannover-96/Qabsrbb;1;1
HEI X STU 04-08-2019;2;8272474;HEI;STU;04-08-2019;https://www.sofascore.com/pt/1-fc-heidenheim-vfb-stuttgart/CdbsKrc;2;2
D98 X HKI 04-08-2019;2;8272478;D98;HKI;04-08-2019;https://www.sofascore.com/pt/darmstadt-98-holstein-kiel/ybbsBbb;2;0
AUE X WEH 04-08-2019;2;8272480;AUE;WEH;04-08-2019;https://www.sofascore.com/pt/wehen-wiesbaden-erzgebirge-aue/qbbsXbb;3;2
NUR X HSV 05-08-2019;2;8272477;NUR;HSV;05-08-2019;https://www.sofascore.com/pt/hamburger-sv-1-fc-nurnberg/yabsBdb;0;4
HSV X BOC 16-08-2019;3;8272473;HSV;BOC;16-08-2019;https://www.sofascore.com/pt/hamburger-sv-vfl-bochum/RabsBdb;1;0
SAN X NUR 16-08-2019;3;8272493;SAN;NUR;16-08-2019;https://www.sofascore.com/pt/sv-sandhausen-1-fc-nurnberg/yabshyc;3;2
ARM X AUE 17-08-2019;3;8272472;ARM;AUE;17-08-2019;https://www.sofascore.com/pt/erzgebirge-aue-arminia-bielefeld/Pabsqbb;3;1
STU X STP 17-08-2019;3;8272482;STU;STP;17-08-2019;https://www.sofascore.com/pt/vfb-stuttgart-fc-st-pauli/BabsCdb;2;1
WEH X H96 17-08-2019;3;8272499;WEH;H96;17-08-2019;https://www.sofascore.com/pt/wehen-wiesbaden-hannover-96/QabsXbb;0;3
DRE X HEI 18-08-2019;3;8272470;DRE;HEI;18-08-2019;https://www.sofascore.com/pt/1-fc-heidenheim-dynamo-dresden/VbbsKrc;2;1
HKI X KAR 18-08-2019;3;8272468;HKI;KAR;18-08-2019;https://www.sofascore.com/pt/holstein-kiel-karlsruher-sc/dbbsybb;2;1
FUR X JAH 18-08-2019;3;8272496;FUR;JAH;18-08-2019;https://www.sofascore.com/pt/ssv-jahn-regensburg-spvgg-greuther-furth/bbbsrbb;1;0
OSN X D98 19-08-2019;3;8272495;OSN;D98;19-08-2019;https://www.sofascore.com/pt/vfl-osnabruck-darmstadt-98/BbbsGbb;4;0
D98 X DRE 23-08-2019;4;8272492;D98;DRE;23-08-2019;https://www.sofascore.com/pt/dynamo-dresden-darmstadt-98/BbbsVbb;0;0
AUE X STU 23-08-2019;4;8272490;AUE;STU;23-08-2019;https://www.sofascore.com/pt/vfb-stuttgart-erzgebirge-aue/qbbsCdb;0;0
H96 X FUR 24-08-2019;4;8272494;H96;FUR;24-08-2019;https://www.sofascore.com/pt/spvgg-greuther-furth-hannover-96/Qabsbbb;1;1
JAH X ARM 24-08-2019;4;8272497;JAH;ARM;24-08-2019;https://www.sofascore.com/pt/ssv-jahn-regensburg-arminia-bielefeld/Pabsrbb;1;3
BOC X WEH 24-08-2019;4;8272488;BOC;WEH;24-08-2019;https://www.sofascore.com/pt/wehen-wiesbaden-vfl-bochum/RabsXbb;3;3
HEI X SAN 25-08-2019;4;8272498;HEI;SAN;25-08-2019;https://www.sofascore.com/pt/sv-sandhausen-1-fc-heidenheim/Krcshyc;0;2
NUR X OSN 25-08-2019;4;8272486;NUR;OSN;25-08-2019;https://www.sofascore.com/pt/vfl-osnabruck-1-fc-nurnberg/yabsGbb;1;0
KAR X HSV 25-08-2019;4;8272489;KAR;HSV;25-08-2019;https://www.sofascore.com/pt/hamburger-sv-karlsruher-sc/dbbsBdb;2;4
STP X HKI 26-08-2019;4;8272484;STP;HKI;26-08-2019;https://www.sofascore.com/pt/holstein-kiel-fc-st-pauli/Babsybb;2;1
NUR X HEI 30-08-2019;5;8272491;NUR;HEI;30-08-2019;https://www.sofascore.com/pt/1-fc-heidenheim-1-fc-nurnberg/yabsKrc;2;2
SAN X D98 30-08-2019;5;8272463;SAN;D98;30-08-2019;https://www.sofascore.com/pt/sv-sandhausen-darmstadt-98/Bbbshyc;1;0
ARM X FUR 31-08-2019;5;8272455;ARM;FUR;31-08-2019;https://www.sofascore.com/pt/spvgg-greuther-furth-arminia-bielefeld/Pabsbbb;2;2
DRE X STP 31-08-2019;5;8272460;DRE;STP;31-08-2019;https://www.sofascore.com/pt/dynamo-dresden-fc-st-pauli/BabsVbb;3;3
WEH X JAH 31-08-2019;5;8272447;WEH;JAH;31-08-2019;https://www.sofascore.com/pt/wehen-wiesbaden-ssv-jahn-regensburg/rbbsXbb;0;5
