game;fixture;id;team_home;team_away;date;link;home_score;away_score
BGN X FIO 22-08-2009;1;1108390;BGN;FIO;22-08-2009;https://www.sofascore.com/pt/fiorentina-bologna/KdbsTdb;1;1
RSI X MIL 22-08-2009;1;1108398;RSI;MIL;22-08-2009;https://www.sofascore.com/pt/milan-robur-siena/Rdbsantb;1;2
INT X BAR 23-08-2009;1;1108393;INT;BAR;23-08-2009;https://www.sofascore.com/pt/bari-inter/Xdbsmeb;1;1
CAT X SAM 23-08-2009;1;1108391;CAT;SAM;23-08-2009;https://www.sofascore.com/pt/catania-sampdoria/lebsAeb;1;2
GEN X ROM 23-08-2009;1;1108392;GEN;ROM;23-08-2009;https://www.sofascore.com/pt/genoa-roma/cebsneb;3;2
JUV X CHV 23-08-2009;1;1108394;JUV;CHV;23-08-2009;https://www.sofascore.com/pt/chievoverona-juventus/MdbsUdb;1;0
LAZ X ATT 23-08-2009;1;1108395;LAZ;ATT;23-08-2009;https://www.sofascore.com/pt/lazio-atalanta/LdbsZdb;1;0
LIV X CAG 23-08-2009;1;1108396;LIV;CAG;23-08-2009;https://www.sofascore.com/pt/livorno-cagliari/uebsBeb;0;0
PAL X NAP 23-08-2009;1;1108397;PAL;NAP;23-08-2009;https://www.sofascore.com/pt/palermo-napoli/oebspeb;2;1
UDI X PRM 23-08-2009;1;1108399;UDI;PRM;23-08-2009;https://www.sofascore.com/pt/udinese-parma/PdbsVdb;2;2
BAR X BGN 29-08-2009;2;1108639;BAR;BGN;29-08-2009;https://www.sofascore.com/pt/bari-bologna/Kdbsmeb;0;0
MIL X INT 29-08-2009;2;1108647;MIL;INT;29-08-2009;https://www.sofascore.com/pt/inter-milan/RdbsXdb;0;4
ROM X JUV 30-08-2009;2;1108653;ROM;JUV;30-08-2009;https://www.sofascore.com/pt/roma-juventus/Mdbsceb;1;3
ATT X GEN 30-08-2009;2;1108637;ATT;GEN;30-08-2009;https://www.sofascore.com/pt/genoa-atalanta/Ldbsneb;0;1
CAG X RSI 30-08-2009;2;1108641;CAG;RSI;30-08-2009;https://www.sofascore.com/pt/cagliari-robur-siena/uebsantb;1;3
CHV X LAZ 30-08-2009;2;1108643;CHV;LAZ;30-08-2009;https://www.sofascore.com/pt/lazio-chievoverona/UdbsZdb;1;2
FIO X PAL 30-08-2009;2;1108645;FIO;PAL;30-08-2009;https://www.sofascore.com/pt/palermo-fiorentina/Tdbspeb;1;0
NAP X LIV 30-08-2009;2;1108649;NAP;LIV;30-08-2009;https://www.sofascore.com/pt/livorno-napoli/oebsBeb;3;1
PRM X CAT 30-08-2009;2;1108651;PRM;CAT;30-08-2009;https://www.sofascore.com/pt/catania-parma/PdbsAeb;2;1
SAM X UDI 30-08-2009;2;1108655;SAM;UDI;30-08-2009;https://www.sofascore.com/pt/sampdoria-udinese/Vdbsleb;3;1
LIV X MIL 12-09-2009;3;1108669;LIV;MIL;12-09-2009;https://www.sofascore.com/pt/livorno-milan/RdbsBeb;0;0
LAZ X JUV 12-09-2009;3;1108667;LAZ;JUV;12-09-2009;https://www.sofascore.com/pt/lazio-juventus/MdbsZdb;0;2
ATT X SAM 13-09-2009;3;1108657;ATT;SAM;13-09-2009;https://www.sofascore.com/pt/sampdoria-atalanta/Ldbsleb;0;1
BGN X CHV 13-09-2009;3;1108659;BGN;CHV;13-09-2009;https://www.sofascore.com/pt/chievoverona-bologna/KdbsUdb;0;2
FIO X CAG 13-09-2009;3;1108661;FIO;CAG;13-09-2009;https://www.sofascore.com/pt/cagliari-fiorentina/Tdbsueb;1;0
INT X PRM 13-09-2009;3;1108665;INT;PRM;13-09-2009;https://www.sofascore.com/pt/inter-parma/PdbsXdb;2;0
PAL X BAR 13-09-2009;3;1108671;PAL;BAR;13-09-2009;https://www.sofascore.com/pt/palermo-bari/mebspeb;1;1
RSI X ROM 13-09-2009;3;1108673;RSI;ROM;13-09-2009;https://www.sofascore.com/pt/roma-robur-siena/cebsantb;1;2
UDI X CAT 13-09-2009;3;1108675;UDI;CAT;13-09-2009;https://www.sofascore.com/pt/catania-udinese/VdbsAeb;4;2
GEN X NAP 13-09-2009;3;1108663;GEN;NAP;13-09-2009;https://www.sofascore.com/pt/napoli-genoa/nebsoeb;4;1
