game;fixture;id;team_home;team_away;date;link;home_score;away_score
TOT X MCI 14-08-2010;1;1379602;TOT;MCI;14-08-2010;https://www.sofascore.com/pt/tottenham-manchester-city/rI;0;0
ASV X WES 14-08-2010;1;1379594;ASV;WES;14-08-2010;https://www.sofascore.com/pt/aston-villa-west-ham-united/MP;3;0
BLR X EVE 14-08-2010;1;1379595;BLR;EVE;14-08-2010;https://www.sofascore.com/pt/everton-blackburn-rovers/WsY;1;0
BLC X WIG 14-08-2010;1;1379596;BLC;WIG;14-08-2010;https://www.sofascore.com/pt/blackpool-wigan-athletic/Zsrb;-1;-1
BOL X FUL 14-08-2010;1;1379597;BOL;FUL;14-08-2010;https://www.sofascore.com/pt/bolton-wanderers-fulham/fsT;0;0
SUN X BIR 14-08-2010;1;1379601;SUN;BIR;14-08-2010;https://www.sofascore.com/pt/birmingham-city-sunderland/jQ;2;2
WIG X BLC 14-08-2010;1;1380091;WIG;BLC;14-08-2010;https://www.sofascore.com/pt/blackpool-wigan-athletic/Zsrb;0;4
WOL X STO 14-08-2010;1;1379603;WOL;STO;14-08-2010;https://www.sofascore.com/pt/wolverhampton-stoke-city/dsE;2;1
CHE X WBA 14-08-2010;1;1379598;CHE;WBA;14-08-2010;https://www.sofascore.com/pt/west-bromwich-albion-chelsea/wv;6;0
LIV X ARS 15-08-2010;1;1379599;LIV;ARS;15-08-2010;https://www.sofascore.com/pt/liverpool-arsenal/HQfh;1;1
MUN X NEW 16-08-2010;1;1379600;MUN;NEW;16-08-2010;https://www.sofascore.com/pt/newcastle-united-manchester-united/DYBe;3;0
ARS X BLC 21-08-2010;2;1379604;ARS;BLC;21-08-2010;https://www.sofascore.com/pt/blackpool-arsenal/Rsrb;6;0
BIR X BLR 21-08-2010;2;1379605;BIR;BLR;21-08-2010;https://www.sofascore.com/pt/birmingham-city-blackburn-rovers/jsW;2;1
EVE X WOL 21-08-2010;2;1379606;EVE;WOL;21-08-2010;https://www.sofascore.com/pt/everton-wolverhampton/dsY;1;1
STO X TOT 21-08-2010;2;1379610;STO;TOT;21-08-2010;https://www.sofascore.com/pt/tottenham-stoke-city/EsI;1;2
WBA X SUN 21-08-2010;2;1379611;WBA;SUN;21-08-2010;https://www.sofascore.com/pt/west-bromwich-albion-sunderland/iQ;1;0
WES X BOL 21-08-2010;2;1379612;WES;BOL;21-08-2010;https://www.sofascore.com/pt/bolton-wanderers-west-ham-united/fsM;1;3
WIG X CHE 21-08-2010;2;1379613;WIG;CHE;21-08-2010;https://www.sofascore.com/pt/wigan-athletic-chelsea/NsZ;0;6
NEW X ASV 22-08-2010;2;1379609;NEW;ASV;22-08-2010;https://www.sofascore.com/pt/aston-villa-newcastle-united/OP;6;0
FUL X MUN 22-08-2010;2;1379607;FUL;MUN;22-08-2010;https://www.sofascore.com/pt/fulham-manchester-united/KsT;2;2
MCI X LIV 23-08-2010;2;1379608;MCI;LIV;23-08-2010;https://www.sofascore.com/pt/liverpool-manchester-city/rU;3;0
BLR X ARS 28-08-2010;3;1379615;BLR;ARS;28-08-2010;https://www.sofascore.com/pt/blackburn-rovers-arsenal/RsW;1;2
BLC X FUL 28-08-2010;3;1379616;BLC;FUL;28-08-2010;https://www.sofascore.com/pt/blackpool-fulham/Tsrb;2;2
CHE X STO 28-08-2010;3;1379618;CHE;STO;28-08-2010;https://www.sofascore.com/pt/chelsea-stoke-city/EN;2;0
TOT X WIG 28-08-2010;3;1379622;TOT;WIG;28-08-2010;https://www.sofascore.com/pt/wigan-athletic-tottenham/IsZ;0;1
WOL X NEW 28-08-2010;3;1379623;WOL;NEW;28-08-2010;https://www.sofascore.com/pt/newcastle-united-wolverhampton/dsO;1;1
MUN X WES 28-08-2010;3;1379620;MUN;WES;28-08-2010;https://www.sofascore.com/pt/west-ham-united-manchester-united/KM;3;0
BOL X BIR 29-08-2010;3;1379617;BOL;BIR;29-08-2010;https://www.sofascore.com/pt/birmingham-city-bolton-wanderers/fsj;2;2
LIV X WBA 29-08-2010;3;1379619;LIV;WBA;29-08-2010;https://www.sofascore.com/pt/west-bromwich-albion-liverpool/iU;1;0
SUN X MCI 29-08-2010;3;1379621;SUN;MCI;29-08-2010;https://www.sofascore.com/pt/sunderland-manchester-city/rQ;1;0
