game;fixture;id;team_home;team_away;date;link;home_score;away_score
WIG X BLR 19-11-2011;12;1769066;WIG;BLR;19-11-2011;https://www.sofascore.com/pt/wigan-athletic-blackburn-rovers/WsZ;3;3
SWA X MUN 19-11-2011;12;1769063;SWA;MUN;19-11-2011;https://www.sofascore.com/pt/swansea-city-manchester-united/JdCg;0;1
CHE X LIV 20-11-2011;12;1769057;CHE;LIV;20-11-2011;https://www.sofascore.com/pt/liverpool-chelsea/NsU;1;2
TOT X ASV 21-11-2011;12;1769064;TOT;ASV;21-11-2011;https://www.sofascore.com/pt/aston-villa-tottenham/IP;2;0
STO X BLR 26-11-2011;13;1769073;STO;BLR;26-11-2011;https://www.sofascore.com/pt/blackburn-rovers-stoke-city/EW;3;1
BOL X EVE 26-11-2011;13;1769068;BOL;EVE;26-11-2011;https://www.sofascore.com/pt/bolton-wanderers-everton/fsY;0;2
CHE X WOL 26-11-2011;13;1769069;CHE;WOL;26-11-2011;https://www.sofascore.com/pt/chelsea-wolverhampton/dsN;3;0
MUN X NEW 26-11-2011;13;1769071;MUN;NEW;26-11-2011;https://www.sofascore.com/pt/newcastle-united-manchester-united/DYBe;1;1
NOR X QPR 26-11-2011;13;1769072;NOR;QPR;26-11-2011;https://www.sofascore.com/pt/norwich-city-queens-park-rangers/bsnf;2;1
SUN X WIG 26-11-2011;13;1769074;SUN;WIG;26-11-2011;https://www.sofascore.com/pt/wigan-athletic-sunderland/QsZ;1;2
WBA X TOT 26-11-2011;13;1769076;WBA;TOT;26-11-2011;https://www.sofascore.com/pt/west-bromwich-albion-tottenham/iI;1;3
ARS X FUL 26-11-2011;13;1769067;ARS;FUL;26-11-2011;https://www.sofascore.com/pt/fulham-arsenal/RsT;1;1
SWA X ASV 27-11-2011;13;1769075;SWA;ASV;27-11-2011;https://www.sofascore.com/pt/swansea-city-aston-villa/Pzb;0;0
LIV X MCI 27-11-2011;13;1769070;LIV;MCI;27-11-2011;https://www.sofascore.com/pt/liverpool-manchester-city/rU;1;1
NEW X CHE 03-12-2011;14;1769083;NEW;CHE;03-12-2011;https://www.sofascore.com/pt/newcastle-united-chelsea/NO;0;3
BLR X SWA 03-12-2011;14;1769078;BLR;SWA;03-12-2011;https://www.sofascore.com/pt/swansea-city-blackburn-rovers/Wszb;4;2
MCI X NOR 03-12-2011;14;1769082;MCI;NOR;03-12-2011;https://www.sofascore.com/pt/norwich-city-manchester-city/rnf;5;1
QPR X WBA 03-12-2011;14;1769084;QPR;WBA;03-12-2011;https://www.sofascore.com/pt/west-bromwich-albion-queens-park-rangers/bsi;1;1
TOT X BOL 03-12-2011;14;1769085;TOT;BOL;03-12-2011;https://www.sofascore.com/pt/bolton-wanderers-tottenham/fsI;3;0
WIG X ARS 03-12-2011;14;1769086;WIG;ARS;03-12-2011;https://www.sofascore.com/pt/wigan-athletic-arsenal/RsZ;0;4
ASV X MUN 03-12-2011;14;1769077;ASV;MUN;03-12-2011;https://www.sofascore.com/pt/aston-villa-manchester-united/KP;0;1
EVE X STO 04-12-2011;14;1769080;EVE;STO;04-12-2011;https://www.sofascore.com/pt/everton-stoke-city/EY;0;1
WOL X SUN 04-12-2011;14;1769087;WOL;SUN;04-12-2011;https://www.sofascore.com/pt/sunderland-wolverhampton/dsQ;2;1
FUL X LIV 05-12-2011;14;1769081;FUL;LIV;05-12-2011;https://www.sofascore.com/pt/liverpool-fulham/TsU;1;0
ARS X EVE 10-12-2011;15;1769088;ARS;EVE;10-12-2011;https://www.sofascore.com/pt/everton-arsenal/RY;1;0
BOL X ASV 10-12-2011;15;1769089;BOL;ASV;10-12-2011;https://www.sofascore.com/pt/bolton-wanderers-aston-villa/fsP;1;2
LIV X QPR 10-12-2011;15;1769092;LIV;QPR;10-12-2011;https://www.sofascore.com/pt/liverpool-queens-park-rangers/bsU;1;0
MUN X WOL 10-12-2011;15;1769093;MUN;WOL;10-12-2011;https://www.sofascore.com/pt/manchester-united-wolverhampton/dsK;4;1
NOR X NEW 10-12-2011;15;1769094;NOR;NEW;10-12-2011;https://www.sofascore.com/pt/newcastle-united-norwich-city/Onf;4;2
SWA X FUL 10-12-2011;15;1769097;SWA;FUL;10-12-2011;https://www.sofascore.com/pt/swansea-city-fulham/Tszb;2;0
WBA X WIG 10-12-2011;15;1769098;WBA;WIG;10-12-2011;https://www.sofascore.com/pt/west-bromwich-albion-wigan-athletic/isZ;1;2
SUN X BLR 11-12-2011;15;1769096;SUN;BLR;11-12-2011;https://www.sofascore.com/pt/blackburn-rovers-sunderland/QsW;2;1
STO X TOT 11-12-2011;15;1769095;STO;TOT;11-12-2011;https://www.sofascore.com/pt/tottenham-stoke-city/EsI;2;1
CHE X MCI 12-12-2011;15;1769091;CHE;MCI;12-12-2011;https://www.sofascore.com/pt/chelsea-manchester-city/rN;2;1
BLR X WBA 17-12-2011;16;1769100;BLR;WBA;17-12-2011;https://www.sofascore.com/pt/west-bromwich-albion-blackburn-rovers/isW;1;2
EVE X NOR 17-12-2011;16;1769101;EVE;NOR;17-12-2011;https://www.sofascore.com/pt/everton-norwich-city/Ynf;1;1
FUL X BOL 17-12-2011;16;1769102;FUL;BOL;17-12-2011;https://www.sofascore.com/pt/bolton-wanderers-fulham/fsT;2;0
NEW X SWA 17-12-2011;16;1769105;NEW;SWA;17-12-2011;https://www.sofascore.com/pt/swansea-city-newcastle-united/Ozb;0;0
WOL X STO 17-12-2011;16;1769109;WOL;STO;17-12-2011;https://www.sofascore.com/pt/wolverhampton-stoke-city/dsE;1;2
WIG X CHE 17-12-2011;16;1769108;WIG;CHE;17-12-2011;https://www.sofascore.com/pt/wigan-athletic-chelsea/NsZ;1;1
QPR X MUN 18-12-2011;16;1769106;QPR;MUN;18-12-2011;https://www.sofascore.com/pt/manchester-united-queens-park-rangers/bK;0;2
ASV X LIV 18-12-2011;16;1769099;ASV;LIV;18-12-2011;https://www.sofascore.com/pt/liverpool-aston-villa/PU;0;2
TOT X SUN 18-12-2011;16;1769107;TOT;SUN;18-12-2011;https://www.sofascore.com/pt/sunderland-tottenham/IQ;1;0
MCI X ARS 18-12-2011;16;1769103;MCI;ARS;18-12-2011;https://www.sofascore.com/pt/arsenal-manchester-city/rsR;1;0
WOL X NOR 20-12-2011;17;1769112;WOL;NOR;20-12-2011;https://www.sofascore.com/pt/wolverhampton-norwich-city/dnf;2;2
BLR X BOL 20-12-2011;17;1769117;BLR;BOL;20-12-2011;https://www.sofascore.com/pt/bolton-wanderers-blackburn-rovers/fsW;1;2
ASV X ARS 21-12-2011;17;1769114;ASV;ARS;21-12-2011;https://www.sofascore.com/pt/arsenal-aston-villa/PR;1;2
MCI X STO 21-12-2011;17;1769115;MCI;STO;21-12-2011;https://www.sofascore.com/pt/stoke-city-manchester-city/rE;3;0
NEW X WBA 21-12-2011;17;1769116;NEW;WBA;21-12-2011;https://www.sofascore.com/pt/west-bromwich-albion-newcastle-united/iO;2;3
EVE X SWA 21-12-2011;17;1769118;EVE;SWA;21-12-2011;https://www.sofascore.com/pt/swansea-city-everton/Yzb;1;0
FUL X MUN 21-12-2011;17;1769119;FUL;MUN;21-12-2011;https://www.sofascore.com/pt/fulham-manchester-united/KsT;0;5
QPR X SUN 21-12-2011;17;1769113;QPR;SUN;21-12-2011;https://www.sofascore.com/pt/sunderland-queens-park-rangers/bsQ;2;3
WIG X LIV 21-12-2011;17;1769111;WIG;LIV;21-12-2011;https://www.sofascore.com/pt/wigan-athletic-liverpool/UsZ;0;0
TOT X CHE 22-12-2011;17;1769110;TOT;CHE;22-12-2011;https://www.sofascore.com/pt/chelsea-tottenham/IN;1;1
CHE X FUL 26-12-2011;18;1769122;CHE;FUL;26-12-2011;https://www.sofascore.com/pt/fulham-chelsea/NsT;1;1
BOL X NEW 26-12-2011;18;1769121;BOL;NEW;26-12-2011;https://www.sofascore.com/pt/bolton-wanderers-newcastle-united/fsO;0;2
LIV X BLR 26-12-2011;18;1769123;LIV;BLR;26-12-2011;https://www.sofascore.com/pt/blackburn-rovers-liverpool/UsW;1;1
MUN X WIG 26-12-2011;18;1769124;MUN;WIG;26-12-2011;https://www.sofascore.com/pt/wigan-athletic-manchester-united/KsZ;5;0
SUN X EVE 26-12-2011;18;1769128;SUN;EVE;26-12-2011;https://www.sofascore.com/pt/everton-sunderland/QY;1;1
WBA X MCI 26-12-2011;18;1769130;WBA;MCI;26-12-2011;https://www.sofascore.com/pt/west-bromwich-albion-manchester-city/ir;0;0
STO X ASV 26-12-2011;18;1769127;STO;ASV;26-12-2011;https://www.sofascore.com/pt/aston-villa-stoke-city/EP;0;0
ARS X WOL 27-12-2011;18;1769120;ARS;WOL;27-12-2011;https://www.sofascore.com/pt/arsenal-wolverhampton/dsR;1;1
SWA X QPR 27-12-2011;18;1769129;SWA;QPR;27-12-2011;https://www.sofascore.com/pt/swansea-city-queens-park-rangers/bszb;1;1
NOR X TOT 27-12-2011;18;1769126;NOR;TOT;27-12-2011;https://www.sofascore.com/pt/tottenham-norwich-city/Inf;0;2
LIV X NEW 30-12-2011;19;1769134;LIV;NEW;30-12-2011;https://www.sofascore.com/pt/liverpool-newcastle-united/OU;3;1
MUN X BLR 31-12-2011;19;1769135;MUN;BLR;31-12-2011;https://www.sofascore.com/pt/blackburn-rovers-manchester-united/KsW;2;3
ARS X QPR 31-12-2011;19;1769131;ARS;QPR;31-12-2011;https://www.sofascore.com/pt/arsenal-queens-park-rangers/bsR;1;0
BOL X WOL 31-12-2011;19;1769132;BOL;WOL;31-12-2011;https://www.sofascore.com/pt/bolton-wanderers-wolverhampton/dsf;1;1
CHE X ASV 31-12-2011;19;1769133;CHE;ASV;31-12-2011;https://www.sofascore.com/pt/aston-villa-chelsea/NP;1;3
NOR X FUL 31-12-2011;19;1769136;NOR;FUL;31-12-2011;https://www.sofascore.com/pt/fulham-norwich-city/Tnf;1;1
STO X WIG 31-12-2011;19;1769138;STO;WIG;31-12-2011;https://www.sofascore.com/pt/wigan-athletic-stoke-city/EsZ;2;2
SWA X TOT 31-12-2011;19;1769140;SWA;TOT;31-12-2011;https://www.sofascore.com/pt/swansea-city-tottenham/Iszb;1;1
WBA X EVE 01-01-2012;19;1769141;WBA;EVE;01-01-2012;https://www.sofascore.com/pt/west-bromwich-albion-everton/iY;0;1
SUN X MCI 01-01-2012;19;1769139;SUN;MCI;01-01-2012;https://www.sofascore.com/pt/sunderland-manchester-city/rQ;1;0
ASV X SWA 02-01-2012;20;1769142;ASV;SWA;02-01-2012;https://www.sofascore.com/pt/swansea-city-aston-villa/Pzb;0;2
BLR X STO 02-01-2012;20;1769143;BLR;STO;02-01-2012;https://www.sofascore.com/pt/blackburn-rovers-stoke-city/EW;1;2
QPR X NOR 02-01-2012;20;1769148;QPR;NOR;02-01-2012;https://www.sofascore.com/pt/norwich-city-queens-park-rangers/bsnf;1;2
WOL X CHE 02-01-2012;20;1769151;WOL;CHE;02-01-2012;https://www.sofascore.com/pt/chelsea-wolverhampton/dsN;1;2
FUL X ARS 02-01-2012;20;1769145;FUL;ARS;02-01-2012;https://www.sofascore.com/pt/fulham-arsenal/RsT;2;1
TOT X WBA 03-01-2012;20;1769149;TOT;WBA;03-01-2012;https://www.sofascore.com/pt/west-bromwich-albion-tottenham/iI;1;0
WIG X SUN 03-01-2012;20;1769150;WIG;SUN;03-01-2012;https://www.sofascore.com/pt/wigan-athletic-sunderland/QsZ;1;4
MCI X LIV 03-01-2012;20;1769146;MCI;LIV;03-01-2012;https://www.sofascore.com/pt/liverpool-manchester-city/rU;3;0
EVE X BOL 04-01-2012;20;1769144;EVE;BOL;04-01-2012;https://www.sofascore.com/pt/bolton-wanderers-everton/fsY;1;2
NEW X MUN 04-01-2012;20;1769147;NEW;MUN;04-01-2012;https://www.sofascore.com/pt/newcastle-united-manchester-united/DYBe;3;0
ASV X EVE 14-01-2012;21;1769152;ASV;EVE;14-01-2012;https://www.sofascore.com/pt/everton-aston-villa/PY;1;1
BLR X FUL 14-01-2012;21;1769153;BLR;FUL;14-01-2012;https://www.sofascore.com/pt/blackburn-rovers-fulham/TsW;3;1
CHE X SUN 14-01-2012;21;1769154;CHE;SUN;14-01-2012;https://www.sofascore.com/pt/sunderland-chelsea/NsQ;1;0
LIV X STO 14-01-2012;21;1769155;LIV;STO;14-01-2012;https://www.sofascore.com/pt/liverpool-stoke-city/EU;0;0
MUN X BOL 14-01-2012;21;1769156;MUN;BOL;14-01-2012;https://www.sofascore.com/pt/bolton-wanderers-manchester-united/fsK;3;0
TOT X WOL 14-01-2012;21;1769159;TOT;WOL;14-01-2012;https://www.sofascore.com/pt/tottenham-wolverhampton/dsI;1;1
WBA X NOR 14-01-2012;21;1769160;WBA;NOR;14-01-2012;https://www.sofascore.com/pt/west-bromwich-albion-norwich-city/inf;1;2
NEW X QPR 15-01-2012;21;1769157;NEW;QPR;15-01-2012;https://www.sofascore.com/pt/newcastle-united-queens-park-rangers/bsO;1;0
SWA X ARS 15-01-2012;21;1769158;SWA;ARS;15-01-2012;https://www.sofascore.com/pt/swansea-city-arsenal/Rszb;3;2
WIG X MCI 16-01-2012;21;1769161;WIG;MCI;16-01-2012;https://www.sofascore.com/pt/wigan-athletic-manchester-city/rsZ;0;1
NOR X CHE 21-01-2012;22;1769168;NOR;CHE;21-01-2012;https://www.sofascore.com/pt/chelsea-norwich-city/Nnf;0;0
EVE X BLR 21-01-2012;22;1769165;EVE;BLR;21-01-2012;https://www.sofascore.com/pt/everton-blackburn-rovers/WsY;1;1
FUL X NEW 21-01-2012;22;1769166;FUL;NEW;21-01-2012;https://www.sofascore.com/pt/fulham-newcastle-united/OsT;5;2
QPR X WIG 21-01-2012;22;1769169;QPR;WIG;21-01-2012;https://www.sofascore.com/pt/wigan-athletic-queens-park-rangers/bsZ;3;1
STO X WBA 21-01-2012;22;1769170;STO;WBA;21-01-2012;https://www.sofascore.com/pt/west-bromwich-albion-stoke-city/iE;1;2
SUN X SWA 21-01-2012;22;1769171;SUN;SWA;21-01-2012;https://www.sofascore.com/pt/swansea-city-sunderland/Qzb;2;0
WOL X ASV 21-01-2012;22;1769173;WOL;ASV;21-01-2012;https://www.sofascore.com/pt/aston-villa-wolverhampton/dsP;2;3
BOL X LIV 21-01-2012;22;1769164;BOL;LIV;21-01-2012;https://www.sofascore.com/pt/bolton-wanderers-liverpool/fsU;3;1
MCI X TOT 22-01-2012;22;1769167;MCI;TOT;22-01-2012;https://www.sofascore.com/pt/tottenham-manchester-city/rI;3;2
ARS X MUN 22-01-2012;22;1769163;ARS;MUN;22-01-2012;https://www.sofascore.com/pt/arsenal-manchester-united/KR;1;2
SWA X CHE 31-01-2012;23;1769175;SWA;CHE;31-01-2012;https://www.sofascore.com/pt/swansea-city-chelsea/Nzb;1;1
TOT X WIG 31-01-2012;23;1769176;TOT;WIG;31-01-2012;https://www.sofascore.com/pt/wigan-athletic-tottenham/IsZ;3;1
WOL X LIV 31-01-2012;23;1769177;WOL;LIV;31-01-2012;https://www.sofascore.com/pt/liverpool-wolverhampton/dsU;0;3
EVE X MCI 31-01-2012;23;1769182;EVE;MCI;31-01-2012;https://www.sofascore.com/pt/everton-manchester-city/rY;1;0
MUN X STO 31-01-2012;23;1769179;MUN;STO;31-01-2012;https://www.sofascore.com/pt/manchester-united-stoke-city/EK;2;0
ASV X QPR 01-02-2012;23;1769180;ASV;QPR;01-02-2012;https://www.sofascore.com/pt/aston-villa-queens-park-rangers/bsP;2;2
BLR X NEW 01-02-2012;23;1769181;BLR;NEW;01-02-2012;https://www.sofascore.com/pt/blackburn-rovers-newcastle-united/OsW;0;2
BOL X ARS 01-02-2012;23;1769178;BOL;ARS;01-02-2012;https://www.sofascore.com/pt/bolton-wanderers-arsenal/fsR;0;0
FUL X WBA 01-02-2012;23;1769183;FUL;WBA;01-02-2012;https://www.sofascore.com/pt/west-bromwich-albion-fulham/isT;1;1
SUN X NOR 01-02-2012;23;1769174;SUN;NOR;01-02-2012;https://www.sofascore.com/pt/sunderland-norwich-city/Qnf;3;0
ARS X BLR 04-02-2012;24;1769184;ARS;BLR;04-02-2012;https://www.sofascore.com/pt/blackburn-rovers-arsenal/RsW;7;1
NOR X BOL 04-02-2012;24;1769189;NOR;BOL;04-02-2012;https://www.sofascore.com/pt/bolton-wanderers-norwich-city/fnf;2;0
QPR X WOL 04-02-2012;24;1769190;QPR;WOL;04-02-2012;https://www.sofascore.com/pt/wolverhampton-queens-park-rangers/bsd;1;2
STO X SUN 04-02-2012;24;1769191;STO;SUN;04-02-2012;https://www.sofascore.com/pt/sunderland-stoke-city/EQ;0;1
WBA X SWA 04-02-2012;24;1769192;WBA;SWA;04-02-2012;https://www.sofascore.com/pt/west-bromwich-albion-swansea-city/izb;1;2
