game;fixture;id;team_home;team_away;date;link;home_score;away_score
BAY X WOB 20-08-2010;1;1399129;BAY;WOB;20-08-2010;https://www.sofascore.com/pt/bayern-munchen-wolfsburg/zabsxdb;2;1
KOL X KAI 21-08-2010;1;1399153;KOL;KAI;21-08-2010;https://www.sofascore.com/pt/1-fc-kaiserslautern-1-fc-koln/wdbsAdb;1;3
TSG X SVW 21-08-2010;1;1399136;TSG;SVW;21-08-2010;https://www.sofascore.com/pt/1899-hoffenheim-werder-bremen/Jabsubb;4;1
BMG X NUR 21-08-2010;1;1399152;BMG;NUR;21-08-2010;https://www.sofascore.com/pt/borussia-mgladbach-1-fc-nurnberg/yabsCab;1;1
SCF X STP 21-08-2010;1;1399155;SCF;STP;21-08-2010;https://www.sofascore.com/pt/freiburg-fc-st-pauli/BabsNab;1;3
H96 X SGE 21-08-2010;1;1399156;H96;SGE;21-08-2010;https://www.sofascore.com/pt/eintracht-frankfurt-hannover-96/Qabszdb;2;1
HSV X S04 21-08-2010;1;1399157;HSV;S04;21-08-2010;https://www.sofascore.com/pt/hamburger-sv-fc-schalke-04/FabsBdb;2;1
MAI X STU 22-08-2010;1;1399158;MAI;STU;22-08-2010;https://www.sofascore.com/pt/vfb-stuttgart-1-fsv-mainz-05/gbbsCdb;2;0
DOR X BLK 22-08-2010;1;1399159;DOR;BLK;22-08-2010;https://www.sofascore.com/pt/bayer-04-leverkusen-borussia-dortmund/ydbsGdb;0;2
KAI X BAY 27-08-2010;2;1399534;KAI;BAY;27-08-2010;https://www.sofascore.com/pt/1-fc-kaiserslautern-bayern-munchen/xdbsAdb;2;0
NUR X SCF 28-08-2010;2;1399533;NUR;SCF;28-08-2010;https://www.sofascore.com/pt/freiburg-1-fc-nurnberg/yabsNab;1;2
SGE X HSV 28-08-2010;2;1399532;SGE;HSV;28-08-2010;https://www.sofascore.com/pt/hamburger-sv-eintracht-frankfurt/zdbsBdb;1;3
S04 X H96 28-08-2010;2;1399527;S04;H96;28-08-2010;https://www.sofascore.com/pt/hannover-96-fc-schalke-04/FabsQab;1;2
SVW X KOL 28-08-2010;2;1399528;SVW;KOL;28-08-2010;https://www.sofascore.com/pt/1-fc-koln-werder-bremen/Jabswdb;4;2
