game;fixture;id;team_home;team_away;date;link;home_score;away_score
FLA X SPT 14-05-2016;1;7043458;FLA;SPT;14-05-2016;https://www.sofascore.com/pt/flamengo-sport-recife/jOsGuc;1;0
PAL X CAP 14-05-2016;1;7043459;PAL;CAP;14-05-2016;https://www.sofascore.com/pt/athletico-paranaense-palmeiras/nOsrO;4;0
CAM X SAN 14-05-2016;1;7043456;CAM;SAN;14-05-2016;https://www.sofascore.com/pt/atletico-mineiro-santos/tOsCO;1;0
CFC X CRU 15-05-2016;1;7043464;CFC;CRU;15-05-2016;https://www.sofascore.com/pt/coritiba-cruzeiro/eOsHO;1;0
BOT X SPO 15-05-2016;1;7043460;BOT;SPO;15-05-2016;https://www.sofascore.com/pt/sao-paulo-botafogo/iOsGO;0;1
STA X VIT 15-05-2016;1;7043461;STA;VIT;15-05-2016;https://www.sofascore.com/pt/santa-cruz-vitoria/mOsBO;4;1
AME X FLU 15-05-2016;1;7043442;AME;FLU;15-05-2016;https://www.sofascore.com/pt/america-mineiro-fluminense/lOsyO;0;1
COR X GRE 15-05-2016;1;7043457;COR;GRE;15-05-2016;https://www.sofascore.com/pt/gremio-corinthians/hOsBtc;0;0
FIG X PON 15-05-2016;1;7043463;FIG;PON;15-05-2016;https://www.sofascore.com/pt/figueirense-ponte-preta/uOsKO;0;0
INT X CHA 15-05-2016;1;7043462;INT;CHA;15-05-2016;https://www.sofascore.com/pt/chapecoense-internacional/qOsVLi;0;0
PON X PAL 21-05-2016;2;7044226;PON;PAL;21-05-2016;https://www.sofascore.com/pt/ponte-preta-palmeiras/nOsuO;2;1
FLU X STA 21-05-2016;2;7043959;FLU;STA;21-05-2016;https://www.sofascore.com/pt/santa-cruz-fluminense/lOsBO;2;2
CRU X FIG 22-05-2016;2;7043949;CRU;FIG;22-05-2016;https://www.sofascore.com/pt/figueirense-cruzeiro/eOsKO;2;2
CAP X CAM 22-05-2016;2;7044191;CAP;CAM;22-05-2016;https://www.sofascore.com/pt/atletico-mineiro-athletico-paranaense/rOsCO;1;1
SAN X CFC 22-05-2016;2;7044213;SAN;CFC;22-05-2016;https://www.sofascore.com/pt/coritiba-santos/tOsHO;2;1
CHA X AME 22-05-2016;2;7044221;CHA;AME;22-05-2016;https://www.sofascore.com/pt/chapecoense-america-mineiro/yOsVLi;3;1
GRE X FLA 22-05-2016;2;7043948;GRE;FLA;22-05-2016;https://www.sofascore.com/pt/flamengo-gremio/BtcsGuc;1;0
SPO X INT 22-05-2016;2;7043957;SPO;INT;22-05-2016;https://www.sofascore.com/pt/sao-paulo-internacional/qOsGO;1;2
VIT X COR 22-05-2016;2;7043958;VIT;COR;22-05-2016;https://www.sofascore.com/pt/vitoria-corinthians/hOsmO;3;2
SPT X BOT 22-05-2016;2;7043966;SPT;BOT;22-05-2016;https://www.sofascore.com/pt/sport-recife-botafogo/iOsjO;1;1
BOT X CAP 25-05-2016;3;7043965;BOT;CAP;25-05-2016;https://www.sofascore.com/pt/athletico-paranaense-botafogo/iOsrO;2;1
FIG X SAN 25-05-2016;3;7043973;FIG;SAN;25-05-2016;https://www.sofascore.com/pt/figueirense-santos/tOsKO;2;2
AME X VIT 26-05-2016;3;7044217;AME;VIT;26-05-2016;https://www.sofascore.com/pt/america-mineiro-vitoria/mOsyO;1;1
FLA X CHA 26-05-2016;3;7043964;FLA;CHA;26-05-2016;https://www.sofascore.com/pt/flamengo-chapecoense/GucsVLi;2;2
CFC X SPO 26-05-2016;3;7044194;CFC;SPO;26-05-2016;https://www.sofascore.com/pt/coritiba-sao-paulo/GOsHO;1;1
PAL X FLU 26-05-2016;3;7044215;PAL;FLU;26-05-2016;https://www.sofascore.com/pt/palmeiras-fluminense/lOsnO;2;0
STA X CRU 26-05-2016;3;7044224;STA;CRU;26-05-2016;https://www.sofascore.com/pt/santa-cruz-cruzeiro/eOsBO;4;1
COR X PON 26-05-2016;3;7043963;COR;PON;26-05-2016;https://www.sofascore.com/pt/ponte-preta-corinthians/hOsuO;3;0
INT X SPT 26-05-2016;3;7043953;INT;SPT;26-05-2016;https://www.sofascore.com/pt/internacional-sport-recife/jOsqO;1;0
CAM X GRE 27-05-2016;3;7043956;CAM;GRE;27-05-2016;https://www.sofascore.com/pt/gremio-atletico-mineiro/COsBtc;0;3
CRU X AME 28-05-2016;4;7043961;CRU;AME;28-05-2016;https://www.sofascore.com/pt/america-mineiro-cruzeiro/eOsyO;1;1
CAP X FIG 28-05-2016;4;7044189;CAP;FIG;28-05-2016;https://www.sofascore.com/pt/figueirense-athletico-paranaense/rOsKO;2;1
CHA X STA 29-05-2016;4;7044220;CHA;STA;29-05-2016;https://www.sofascore.com/pt/chapecoense-santa-cruz/BOsVLi;1;1
PON X FLA 29-05-2016;4;7044447;PON;FLA;29-05-2016;https://www.sofascore.com/pt/flamengo-ponte-preta/uOsGuc;1;2
SPT X COR 29-05-2016;4;7043977;SPT;COR;29-05-2016;https://www.sofascore.com/pt/sport-recife-corinthians/hOsjO;0;2
FLU X BOT 29-05-2016;4;7043969;FLU;BOT;29-05-2016;https://www.sofascore.com/pt/fluminense-botafogo/iOslO;1;0
SPO X PAL 29-05-2016;4;7043970;SPO;PAL;29-05-2016;https://www.sofascore.com/pt/sao-paulo-palmeiras/nOsGO;1;0
VIT X CAM 29-05-2016;4;7043972;VIT;CAM;29-05-2016;https://www.sofascore.com/pt/atletico-mineiro-vitoria/mOsCO;1;1
GRE X CFC 29-05-2016;4;7043962;GRE;CFC;29-05-2016;https://www.sofascore.com/pt/gremio-coritiba/HOsBtc;2;0
SAN X INT 29-05-2016;4;7044432;SAN;INT;29-05-2016;https://www.sofascore.com/pt/santos-internacional/qOstO;0;1
INT X CAP 01-06-2016;5;7043968;INT;CAP;01-06-2016;https://www.sofascore.com/pt/athletico-paranaense-internacional/qOsrO;1;0
COR X SAN 02-06-2016;5;7043976;COR;SAN;02-06-2016;https://www.sofascore.com/pt/santos-corinthians/hOstO;1;0
CFC X CHA 02-06-2016;5;7044188;CFC;CHA;02-06-2016;https://www.sofascore.com/pt/chapecoense-coritiba/HOsVLi;3;4
STA X SPT 02-06-2016;5;7043982;STA;SPT;02-06-2016;https://www.sofascore.com/pt/santa-cruz-sport-recife/jOsBO;0;1
CAM X FLU 02-06-2016;5;7043967;CAM;FLU;02-06-2016;https://www.sofascore.com/pt/atletico-mineiro-fluminense/lOsCO;1;1
BOT X CRU 02-06-2016;5;7043978;BOT;CRU;02-06-2016;https://www.sofascore.com/pt/botafogo-cruzeiro/eOsiO;0;1
FIG X SPO 02-06-2016;5;7044219;FIG;SPO;02-06-2016;https://www.sofascore.com/pt/figueirense-sao-paulo/GOsKO;1;0
AME X PON 02-06-2016;5;7044209;AME;PON;02-06-2016;https://www.sofascore.com/pt/america-mineiro-ponte-preta/uOsyO;1;2
FLA X VIT 03-06-2016;5;7043975;FLA;VIT;03-06-2016;https://www.sofascore.com/pt/flamengo-vitoria/mOsGuc;1;0
PAL X GRE 03-06-2016;5;7044212;PAL;GRE;03-06-2016;https://www.sofascore.com/pt/gremio-palmeiras/nOsBtc;4;3
CAP X STA 04-06-2016;6;7044195;CAP;STA;04-06-2016;https://www.sofascore.com/pt/santa-cruz-athletico-paranaense/rOsBO;1;0
CHA X FLU 04-06-2016;6;7044225;CHA;FLU;04-06-2016;https://www.sofascore.com/pt/chapecoense-fluminense/lOsVLi;0;0
COR X CFC 04-06-2016;6;7043981;COR;CFC;04-06-2016;https://www.sofascore.com/pt/coritiba-corinthians/hOsHO;2;1
AME X FIG 05-06-2016;6;7044206;AME;FIG;05-06-2016;https://www.sofascore.com/pt/figueirense-america-mineiro/yOsKO;1;0
SAN X BOT 05-06-2016;6;7044216;SAN;BOT;05-06-2016;https://www.sofascore.com/pt/santos-botafogo/iOstO;3;0
FLA X PAL 05-06-2016;6;7043980;FLA;PAL;05-06-2016;https://www.sofascore.com/pt/flamengo-palmeiras/nOsGuc;1;2
GRE X PON 05-06-2016;6;7043971;GRE;PON;05-06-2016;https://www.sofascore.com/pt/gremio-ponte-preta/uOsBtc;1;0
SPT X CAM 05-06-2016;6;7043983;SPT;CAM;05-06-2016;https://www.sofascore.com/pt/atletico-mineiro-sport-recife/jOsCO;4;4
VIT X INT 05-06-2016;6;7043979;VIT;INT;05-06-2016;https://www.sofascore.com/pt/internacional-vitoria/mOsqO;1;0
CRU X SPO 05-06-2016;6;7043974;CRU;SPO;05-06-2016;https://www.sofascore.com/pt/sao-paulo-cruzeiro/eOsGO;0;1
INT X AME 11-06-2016;7;7044003;INT;AME;11-06-2016;https://www.sofascore.com/pt/america-mineiro-internacional/qOsyO;3;1
PON X CHA 11-06-2016;7;7044034;PON;CHA;11-06-2016;https://www.sofascore.com/pt/chapecoense-ponte-preta/uOsVLi;2;1
FLU X GRE 11-06-2016;7;7044229;FLU;GRE;11-06-2016;https://www.sofascore.com/pt/gremio-fluminense/lOsBtc;1;1
SPO X CAP 12-06-2016;7;7044055;SPO;CAP;12-06-2016;https://www.sofascore.com/pt/sao-paulo-athletico-paranaense/rOsGO;1;2
BOT X VIT 12-06-2016;7;7044049;BOT;VIT;12-06-2016;https://www.sofascore.com/pt/vitoria-botafogo/iOsmO;1;1
CFC X SPT 12-06-2016;7;7044258;CFC;SPT;12-06-2016;https://www.sofascore.com/pt/coritiba-sport-recife/jOsHO;3;2
CAM X CRU 12-06-2016;7;7044045;CAM;CRU;12-06-2016;https://www.sofascore.com/pt/atletico-mineiro-cruzeiro/eOsCO;2;3
FIG X FLA 12-06-2016;7;7043997;FIG;FLA;12-06-2016;https://www.sofascore.com/pt/flamengo-figueirense/KOsGuc;1;0
PAL X COR 12-06-2016;7;7044254;PAL;COR;12-06-2016;https://www.sofascore.com/pt/palmeiras-corinthians/hOsnO;1;0
STA X SAN 12-06-2016;7;7044237;STA;SAN;12-06-2016;https://www.sofascore.com/pt/santa-cruz-santos/tOsBO;0;2
CHA X GRE 15-06-2016;8;7044005;CHA;GRE;15-06-2016;https://www.sofascore.com/pt/gremio-chapecoense/BtcsVLi;3;3
PON X CAP 15-06-2016;8;7044056;PON;CAP;15-06-2016;https://www.sofascore.com/pt/ponte-preta-athletico-paranaense/rOsuO;3;2
SPO X VIT 15-06-2016;8;7044018;SPO;VIT;15-06-2016;https://www.sofascore.com/pt/sao-paulo-vitoria/mOsGO;2;0
BOT X AME 16-06-2016;8;7044069;BOT;AME;16-06-2016;https://www.sofascore.com/pt/america-mineiro-botafogo/iOsyO;3;1
STA X FIG 16-06-2016;8;7044238;STA;FIG;16-06-2016;https://www.sofascore.com/pt/figueirense-santa-cruz/BOsKO;1;0
SAN X SPT 16-06-2016;8;7044253;SAN;SPT;16-06-2016;https://www.sofascore.com/pt/santos-sport-recife/jOstO;2;0
