game;fixture;id;team_home;team_away;date;link;home_score;away_score
PAL X POR 19-05-2012;1;2495772;PAL;POR;19-05-2012;https://www.sofascore.com/pt/portuguesa-de-desportos-palmeiras/nOsWMi;1;1
SPT X FLA 19-05-2012;1;2495784;SPT;FLA;19-05-2012;https://www.sofascore.com/pt/flamengo-sport-recife/jOsGuc;1;1
FIG X NAU 20-05-2012;1;2495782;FIG;NAU;20-05-2012;https://www.sofascore.com/pt/nautico-figueirense/KOslP;2;1
BOT X SPO 20-05-2012;1;2495768;BOT;SPO;20-05-2012;https://www.sofascore.com/pt/sao-paulo-botafogo/iOsGO;4;2
COR X FLU 20-05-2012;1;2495774;COR;FLU;20-05-2012;https://www.sofascore.com/pt/fluminense-corinthians/hOslO;0;1
INT X CFC 20-05-2012;1;2495776;INT;CFC;20-05-2012;https://www.sofascore.com/pt/coritiba-internacional/qOsHO;2;0
PON X CAM 20-05-2012;1;2495780;PON;CAM;20-05-2012;https://www.sofascore.com/pt/atletico-mineiro-ponte-preta/uOsCO;0;1
BAH X SAN 20-05-2012;1;2495786;BAH;SAN;20-05-2012;https://www.sofascore.com/pt/santos-bahia/fOstO;0;0
CRU X ATG 20-05-2012;1;2495778;CRU;ATG;20-05-2012;https://www.sofascore.com/pt/atletico-goianiense-cruzeiro/eOsoWc;0;0
VAS X GRE 20-05-2012;1;2495770;VAS;GRE;20-05-2012;https://www.sofascore.com/pt/gremio-vasco-da-gama/zOsBtc;2;1
ATG X PON 26-05-2012;2;2505454;ATG;PON;26-05-2012;https://www.sofascore.com/pt/atletico-goianiense-ponte-preta/uOsoWc;1;1
FLA X INT 26-05-2012;2;2505436;FLA;INT;26-05-2012;https://www.sofascore.com/pt/flamengo-internacional/qOsGuc;3;3
POR X VAS 26-05-2012;2;2505448;POR;VAS;26-05-2012;https://www.sofascore.com/pt/portuguesa-de-desportos-vasco-da-gama/zOsWMi;0;1
NAU X CRU 27-05-2012;2;2505452;NAU;CRU;27-05-2012;https://www.sofascore.com/pt/nautico-cruzeiro/eOslP;0;0
CAM X COR 27-05-2012;2;2505446;CAM;COR;27-05-2012;https://www.sofascore.com/pt/atletico-mineiro-corinthians/hOsCO;1;0
CFC X BOT 27-05-2012;2;2505450;CFC;BOT;27-05-2012;https://www.sofascore.com/pt/coritiba-botafogo/iOsHO;2;3
SAN X SPT 27-05-2012;2;2505440;SAN;SPT;27-05-2012;https://www.sofascore.com/pt/santos-sport-recife/jOstO;0;0
SPO X BAH 27-05-2012;2;2505442;SPO;BAH;27-05-2012;https://www.sofascore.com/pt/sao-paulo-bahia/fOsGO;1;0
FLU X FIG 27-05-2012;2;2505438;FLU;FIG;27-05-2012;https://www.sofascore.com/pt/figueirense-fluminense/lOsKO;2;2
GRE X PAL 27-05-2012;2;2505444;GRE;PAL;27-05-2012;https://www.sofascore.com/pt/gremio-palmeiras/nOsBtc;1;0
ATG X GRE 06-06-2012;3;2505474;ATG;GRE;06-06-2012;https://www.sofascore.com/pt/atletico-goianiense-gremio/BtcsoWc;0;1
SPT X PAL 06-06-2012;3;2505472;SPT;PAL;06-06-2012;https://www.sofascore.com/pt/palmeiras-sport-recife/jOsnO;2;1
CAM X BAH 06-06-2012;3;2505466;CAM;BAH;06-06-2012;https://www.sofascore.com/pt/atletico-mineiro-bahia/fOsCO;1;1
CFC X POR 06-06-2012;3;2505470;CFC;POR;06-06-2012;https://www.sofascore.com/pt/portuguesa-de-desportos-coritiba/HOsWMi;2;0
VAS X NAU 06-06-2012;3;2505458;VAS;NAU;06-06-2012;https://www.sofascore.com/pt/nautico-vasco-da-gama/zOslP;4;2
INT X SPO 07-06-2012;3;2505464;INT;SPO;07-06-2012;https://www.sofascore.com/pt/sao-paulo-internacional/qOsGO;1;0
PON X FLA 07-06-2012;3;2505468;PON;FLA;07-06-2012;https://www.sofascore.com/pt/flamengo-ponte-preta/uOsGuc;2;2
SAN X FLU 07-06-2012;3;2505460;SAN;FLU;07-06-2012;https://www.sofascore.com/pt/santos-fluminense/lOstO;1;1
BOT X CRU 08-06-2012;3;2505456;BOT;CRU;08-06-2012;https://www.sofascore.com/pt/botafogo-cruzeiro/eOsiO;2;3
COR X FIG 08-06-2012;3;2505462;COR;FIG;08-06-2012;https://www.sofascore.com/pt/figueirense-corinthians/hOsKO;1;1
FLA X CFC 09-06-2012;4;2657286;FLA;CFC;09-06-2012;https://www.sofascore.com/pt/flamengo-coritiba/HOsGuc;3;1
PAL X CAM 10-06-2012;4;2505478;PAL;CAM;10-06-2012;https://www.sofascore.com/pt/atletico-mineiro-palmeiras/nOsCO;0;1
POR X ATG 10-06-2012;4;2505486;POR;ATG;10-06-2012;https://www.sofascore.com/pt/atletico-goianiense-portuguesa-de-desportos/oWcsWMi;2;0
BAH X VAS 10-06-2012;4;2505492;BAH;VAS;10-06-2012;https://www.sofascore.com/pt/vasco-da-gama-bahia/fOszO;1;2
FLU X INT 10-06-2012;4;2505476;FLU;INT;10-06-2012;https://www.sofascore.com/pt/internacional-fluminense/lOsqO;0;0
GRE X COR 10-06-2012;4;2505482;GRE;COR;10-06-2012;https://www.sofascore.com/pt/gremio-corinthians/hOsBtc;2;0
CRU X SPT 10-06-2012;4;2505484;CRU;SPT;10-06-2012;https://www.sofascore.com/pt/sport-recife-cruzeiro/eOsjO;1;0
FIG X PON 10-06-2012;4;2505488;FIG;PON;10-06-2012;https://www.sofascore.com/pt/figueirense-ponte-preta/uOsKO;0;0
NAU X BOT 10-06-2012;4;2505490;NAU;BOT;10-06-2012;https://www.sofascore.com/pt/nautico-botafogo/iOslP;3;2
SPO X SAN 10-06-2012;4;2505480;SPO;SAN;10-06-2012;https://www.sofascore.com/pt/sao-paulo-santos/tOsGO;1;0
CRU X FIG 16-06-2012;5;2505508;CRU;FIG;16-06-2012;https://www.sofascore.com/pt/figueirense-cruzeiro/eOsKO;1;0
INT X BOT 16-06-2012;5;2505506;INT;BOT;16-06-2012;https://www.sofascore.com/pt/internacional-botafogo/iOsqO;1;2
FLU X POR 17-06-2012;5;2505498;FLU;POR;17-06-2012;https://www.sofascore.com/pt/portuguesa-de-desportos-fluminense/lOsWMi;4;1
BAH X SPT 17-06-2012;5;2505516;BAH;SPT;17-06-2012;https://www.sofascore.com/pt/sport-recife-bahia/fOsjO;2;1
FLA X SAN 17-06-2012;5;2505496;FLA;SAN;17-06-2012;https://www.sofascore.com/pt/flamengo-santos/tOsGuc;1;0
PAL X VAS 17-06-2012;5;2505500;PAL;VAS;17-06-2012;https://www.sofascore.com/pt/vasco-da-gama-palmeiras/nOszO;1;1
SPO X CAM 17-06-2012;5;2505504;SPO;CAM;17-06-2012;https://www.sofascore.com/pt/sao-paulo-atletico-mineiro/COsGO;1;0
CFC X ATG 17-06-2012;5;2505512;CFC;ATG;17-06-2012;https://www.sofascore.com/pt/atletico-goianiense-coritiba/HOsoWc;3;0
NAU X GRE 17-06-2012;5;2505514;NAU;GRE;17-06-2012;https://www.sofascore.com/pt/gremio-nautico/lPsBtc;1;0
PON X COR 17-06-2012;5;2505510;PON;COR;17-06-2012;https://www.sofascore.com/pt/ponte-preta-corinthians/hOsuO;1;0
POR X SPO 23-06-2012;6;2505530;POR;SPO;23-06-2012;https://www.sofascore.com/pt/portuguesa-de-desportos-sao-paulo/GOsWMi;1;0
VAS X CRU 23-06-2012;6;2505520;VAS;CRU;23-06-2012;https://www.sofascore.com/pt/vasco-da-gama-cruzeiro/eOszO;1;3
CAM X NAU 24-06-2012;6;2505528;CAM;NAU;24-06-2012;https://www.sofascore.com/pt/nautico-atletico-mineiro/COslP;5;1
COR X PAL 24-06-2012;6;2505524;COR;PAL;24-06-2012;https://www.sofascore.com/pt/palmeiras-corinthians/hOsnO;2;1
FIG X BAH 24-06-2012;6;2505532;FIG;BAH;24-06-2012;https://www.sofascore.com/pt/figueirense-bahia/fOsKO;1;1
GRE X FLA 24-06-2012;6;2505526;GRE;FLA;24-06-2012;https://www.sofascore.com/pt/flamengo-gremio/BtcsGuc;2;0
ATG X FLU 24-06-2012;6;2505536;ATG;FLU;24-06-2012;https://www.sofascore.com/pt/atletico-goianiense-fluminense/lOsoWc;1;4
BOT X PON 24-06-2012;6;2505518;BOT;PON;24-06-2012;https://www.sofascore.com/pt/ponte-preta-botafogo/iOsuO;1;2
SAN X CFC 24-06-2012;6;2505522;SAN;CFC;24-06-2012;https://www.sofascore.com/pt/coritiba-santos/tOsHO;2;2
SPT X INT 24-06-2012;6;2505534;SPT;INT;24-06-2012;https://www.sofascore.com/pt/internacional-sport-recife/jOsqO;0;2
CRU X SPO 30-06-2012;7;2505548;CRU;SPO;30-06-2012;https://www.sofascore.com/pt/sao-paulo-cruzeiro/eOsGO;2;3
NAU X FLU 30-06-2012;7;2505554;NAU;FLU;30-06-2012;https://www.sofascore.com/pt/nautico-fluminense/lOslP;0;2
VAS X PON 30-06-2012;7;2505540;VAS;PON;30-06-2012;https://www.sofascore.com/pt/vasco-da-gama-ponte-preta/uOszO;3;2
BAH X INT 01-07-2012;7;2505556;BAH;INT;01-07-2012;https://www.sofascore.com/pt/internacional-bahia/fOsqO;1;1
CFC X SPT 01-07-2012;7;2505552;CFC;SPT;01-07-2012;https://www.sofascore.com/pt/coritiba-sport-recife/jOsHO;2;3
POR X SAN 01-07-2012;7;2505550;POR;SAN;01-07-2012;https://www.sofascore.com/pt/portuguesa-de-desportos-santos/tOsWMi;0;0
