game;fixture;id;team_home;team_away;date;link;home_score;away_score
FLA X CAM 13-05-2017;1;7383243;FLA;CAM;13-05-2017;https://www.sofascore.com/pt/flamengo-atletico-mineiro/COsGuc;1;1
COR X CHA 13-05-2017;1;7383239;COR;CHA;13-05-2017;https://www.sofascore.com/pt/chapecoense-corinthians/hOsVLi;1;1
FLU X SAN 14-05-2017;1;7383241;FLU;SAN;14-05-2017;https://www.sofascore.com/pt/santos-fluminense/lOstO;3;2
AVA X VIT 14-05-2017;1;7383242;AVA;VIT;14-05-2017;https://www.sofascore.com/pt/avai-vitoria/mOspWc;0;0
BAH X CAP 14-05-2017;1;7383245;BAH;CAP;14-05-2017;https://www.sofascore.com/pt/athletico-paranaense-bahia/fOsrO;6;2
CRU X SPO 14-05-2017;1;7383240;CRU;SPO;14-05-2017;https://www.sofascore.com/pt/sao-paulo-cruzeiro/eOsGO;1;0
PAL X VAS 14-05-2017;1;7383227;PAL;VAS;14-05-2017;https://www.sofascore.com/pt/vasco-da-gama-palmeiras/nOszO;4;0
PON X SPT 14-05-2017;1;7383238;PON;SPT;14-05-2017;https://www.sofascore.com/pt/ponte-preta-sport-recife/jOsuO;4;0
GRE X BOT 14-05-2017;1;7383237;GRE;BOT;14-05-2017;https://www.sofascore.com/pt/gremio-botafogo/iOsBtc;2;0
CFC X ATG 15-05-2017;1;7383236;CFC;ATG;15-05-2017;https://www.sofascore.com/pt/atletico-goianiense-coritiba/HOsoWc;4;1
SAN X CFC 20-05-2017;2;7383862;SAN;CFC;20-05-2017;https://www.sofascore.com/pt/coritiba-santos/tOsHO;1;0
ATG X FLA 20-05-2017;2;7383860;ATG;FLA;20-05-2017;https://www.sofascore.com/pt/atletico-goianiense-flamengo/GucsoWc;0;3
CHA X PAL 20-05-2017;2;7383859;CHA;PAL;20-05-2017;https://www.sofascore.com/pt/chapecoense-palmeiras/nOsVLi;1;0
VAS X BAH 21-05-2017;2;7383874;VAS;BAH;21-05-2017;https://www.sofascore.com/pt/vasco-da-gama-bahia/fOszO;2;1
CAP X GRE 21-05-2017;2;7383881;CAP;GRE;21-05-2017;https://www.sofascore.com/pt/gremio-athletico-paranaense/rOsBtc;0;2
CAM X FLU 21-05-2017;2;7383869;CAM;FLU;21-05-2017;https://www.sofascore.com/pt/atletico-mineiro-fluminense/lOsCO;1;2
VIT X COR 21-05-2017;2;7383873;VIT;COR;21-05-2017;https://www.sofascore.com/pt/vitoria-corinthians/hOsmO;0;1
BOT X PON 21-05-2017;2;7383863;BOT;PON;21-05-2017;https://www.sofascore.com/pt/ponte-preta-botafogo/iOsuO;2;0
SPT X CRU 21-05-2017;2;7383865;SPT;CRU;21-05-2017;https://www.sofascore.com/pt/sport-recife-cruzeiro/eOsjO;1;1
SPO X AVA 22-05-2017;2;7383864;SPO;AVA;22-05-2017;https://www.sofascore.com/pt/avai-sao-paulo/GOspWc;2;0
VAS X FLU 27-05-2017;3;7383870;VAS;FLU;27-05-2017;https://www.sofascore.com/pt/vasco-da-gama-fluminense/lOszO;3;2
SPO X PAL 27-05-2017;3;7383866;SPO;PAL;27-05-2017;https://www.sofascore.com/pt/sao-paulo-palmeiras/nOsGO;2;0
VIT X CFC 28-05-2017;3;7383872;VIT;CFC;28-05-2017;https://www.sofascore.com/pt/coritiba-vitoria/mOsHO;0;1
CAM X PON 28-05-2017;3;7383871;CAM;PON;28-05-2017;https://www.sofascore.com/pt/atletico-mineiro-ponte-preta/uOsCO;2;2
CAP X FLA 28-05-2017;3;7383899;CAP;FLA;28-05-2017;https://www.sofascore.com/pt/flamengo-athletico-paranaense/rOsGuc;1;1
ATG X COR 28-05-2017;3;7383883;ATG;COR;28-05-2017;https://www.sofascore.com/pt/atletico-goianiense-corinthians/hOsoWc;0;1
SAN X CRU 28-05-2017;3;7383875;SAN;CRU;28-05-2017;https://www.sofascore.com/pt/santos-cruzeiro/eOstO;0;1
