game;fixture;id;team_home;team_away;date;link;home_score;away_score
INT X CRO 03-02-2018;23;7498219;INT;CRO;03-02-2018;https://www.sofascore.com/pt/crotone-inter/Xdbsteb;1;1
HEL X ROM 04-02-2018;23;7498217;HEL;ROM;04-02-2018;https://www.sofascore.com/pt/roma-hellas-verona/bebsceb;0;1
ATT X CHV 04-02-2018;23;7498207;ATT;CHV;04-02-2018;https://www.sofascore.com/pt/chievoverona-atalanta/LdbsUdb;1;0
BGN X FIO 04-02-2018;23;7498218;BGN;FIO;04-02-2018;https://www.sofascore.com/pt/fiorentina-bologna/KdbsTdb;1;2
CAG X SPA 04-02-2018;23;7498221;CAG;SPA;04-02-2018;https://www.sofascore.com/pt/cagliari-spal/uebsfAV;2;0
JUV X SAS 04-02-2018;23;7498211;JUV;SAS;04-02-2018;https://www.sofascore.com/pt/sassuolo-juventus/MdbsTfb;7;0
UDI X MIL 04-02-2018;23;7498213;UDI;MIL;04-02-2018;https://www.sofascore.com/pt/udinese-milan/RdbsVdb;1;1
BEM X NAP 04-02-2018;23;7498212;BEM;NAP;04-02-2018;https://www.sofascore.com/pt/benevento-napoli/oebsjfb;0;2
LAZ X GEN 05-02-2018;23;7498214;LAZ;GEN;05-02-2018;https://www.sofascore.com/pt/genoa-lazio/Zdbsneb;1;2
FIO X JUV 09-02-2018;24;7498232;FIO;JUV;09-02-2018;https://www.sofascore.com/pt/fiorentina-juventus/MdbsTdb;0;2
SPA X MIL 10-02-2018;24;7498222;SPA;MIL;10-02-2018;https://www.sofascore.com/pt/milan-spal/RdbsfAV;0;4
CRO X ATT 10-02-2018;24;7498224;CRO;ATT;10-02-2018;https://www.sofascore.com/pt/crotone-atalanta/Ldbsteb;1;1
NAP X LAZ 10-02-2018;24;7498225;NAP;LAZ;10-02-2018;https://www.sofascore.com/pt/napoli-lazio/Zdbsoeb;4;1
SAS X CAG 11-02-2018;24;7498227;SAS;CAG;11-02-2018;https://www.sofascore.com/pt/sassuolo-cagliari/uebsTfb;0;0
CHV X GEN 11-02-2018;24;7498229;CHV;GEN;11-02-2018;https://www.sofascore.com/pt/genoa-chievoverona/Udbsneb;0;1
INT X BGN 11-02-2018;24;7498233;INT;BGN;11-02-2018;https://www.sofascore.com/pt/inter-bologna/KdbsXdb;2;1
SAM X HEL 11-02-2018;24;7498226;SAM;HEL;11-02-2018;https://www.sofascore.com/pt/sampdoria-hellas-verona/bebsleb;2;0
TOR X UDI 11-02-2018;24;7498245;TOR;UDI;11-02-2018;https://www.sofascore.com/pt/torino-udinese/VdbsWdb;2;0
