game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
BAY X SVW 26-08-2016;FT;6;0;False;90;999;period
BAY X SVW 26-08-2016;HT;2;0;False;45;999;period
KOL X D98 27-08-2016;FT;2;0;False;90;999;period
KOL X D98 27-08-2016;HT;1;0;False;45;999;period
AUG X WOB 27-08-2016;FT;0;2;False;90;999;period
AUG X WOB 27-08-2016;HT;0;1;False;45;999;period
DOR X MAI 27-08-2016;FT;2;1;False;90;999;period
SGE X S04 27-08-2016;FT;1;0;False;90;999;period
HSV X ING 27-08-2016;FT;1;1;False;90;999;period
BCS X SCF 28-08-2016;HT;0;0;False;45;999;period
TSG X RBL 28-08-2016;FT;2;2;False;90;999;period
BLK X HSV 10-09-2016;FT;3;1;False;90;999;period
WOB X KOL 10-09-2016;FT;0;0;False;90;999;period
SVW X AUG 11-09-2016;FT;1;2;False;90;999;period
MAI X TSG 11-09-2016;FT;4;4;False;90;999;period
MAI X TSG 11-09-2016;HT;4;1;False;45;999;period
KOL X SCF 16-09-2016;FT;3;0;False;90;999;period
KOL X SCF 16-09-2016;HT;3;0;False;45;999;period
BAY X ING 17-09-2016;HT;1;1;False;45;999;period
HSV X RBL 17-09-2016;FT;0;4;False;90;999;period
BMG X SVW 17-09-2016;FT;4;1;False;90;999;period
BMG X SVW 17-09-2016;HT;4;0;False;45;999;period
AUG X MAI 18-09-2016;FT;1;3;False;90;999;period
WOB X DOR 20-09-2016;FT;1;5;False;90;999;period
WOB X DOR 20-09-2016;HT;0;2;False;45;999;period
MAI X BLK 24-09-2016;FT;2;3;False;90;999;period
MAI X BLK 24-09-2016;HT;2;1;False;45;999;period
SGE X BCS 24-09-2016;FT;3;3;False;90;999;period
HSV X BAY 24-09-2016;FT;0;1;False;90;999;period
S04 X BMG 02-10-2016;FT;4;0;False;90;999;period
HSV X SGE 21-10-2016;FT;0;3;False;90;999;period
BLK X D98 05-11-2016;FT;3;2;False;90;999;period
HSV X DOR 05-11-2016;FT;2;5;False;90;999;period
HSV X DOR 05-11-2016;HT;0;3;False;45;999;period
MAI X SCF 19-11-2016;FT;4;2;False;90;999;period
SCF X RBL 25-11-2016;FT;1;4;False;90;999;period
SCF X RBL 25-11-2016;HT;1;3;False;45;999;period
HSV X SVW 26-11-2016;HT;2;2;False;45;999;period
MAI X BAY 02-12-2016;HT;1;2;False;45;999;period
BAY X WOB 10-12-2016;FT;5;0;False;90;999;period
D98 X KOL 28-01-2017;FT;1;6;False;90;999;period
BAY X HSV 25-02-2017;FT;8;0;False;90;999;period
TSG X ING 04-03-2017;FT;5;2;False;90;999;period
DOR X BLK 04-03-2017;FT;6;2;False;90;999;period
TSG X BMG 15-04-2017;FT;5;3;False;90;999;period
ING X SVW 22-04-2017;FT;2;4;False;90;999;period
WOB X BAY 29-04-2017;FT;0;6;False;90;999;period
KOL X SVW 05-05-2017;FT;4;3;False;90;999;period
KOL X SVW 05-05-2017;HT;3;2;False;45;999;period
RBL X BAY 13-05-2017;FT;4;5;False;90;999;period
SVW X TSG 13-05-2017;FT;3;5;False;90;999;period
BCS X BLK 20-05-2017;FT;2;6;False;90;999;period
