game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
MUN X TOT 2015-08-08;FT;1;0;False;90;999;period
MUN X TOT 2015-08-08;HT;1;0;False;45;999;period
BOU X ASV 2015-08-08;FT;0;1;False;90;999;period
BOU X ASV 2015-08-08;HT;0;0;False;45;999;period
EVE X WAT 2015-08-08;FT;2;2;False;90;999;period
EVE X WAT 2015-08-08;HT;0;1;False;45;999;period
LEI X SUN 2015-08-08;FT;4;2;False;90;999;period
LEI X SUN 2015-08-08;HT;3;0;False;45;999;period
NOR X CRY 2015-08-08;FT;1;3;False;90;999;period
CHE X SWA 2015-08-08;HT;2;1;False;45;999;period
ARS X WES 2015-08-09;FT;0;2;False;90;999;period
NEW X SOU 2015-08-09;HT;1;1;False;45;999;period
WBA X MCI 2015-08-10;FT;0;3;False;90;999;period
WBA X MCI 2015-08-10;HT;0;2;False;45;999;period
SWA X NEW 2015-08-15;FT;2;0;False;90;999;period
TOT X STO 2015-08-15;HT;2;0;False;45;999;period
WAT X WBA 2015-08-15;FT;0;0;False;90;999;period
WES X LEI 2015-08-15;FT;1;2;False;90;999;period
MCI X CHE 2015-08-16;FT;3;0;False;90;999;period
CRY X ASV 2015-08-22;FT;2;1;False;90;999;period
LEI X TOT 2015-08-22;FT;1;1;False;90;999;period
WES X BOU 2015-08-22;FT;3;4;False;90;999;period
WBA X CHE 2015-08-23;FT;2;3;False;90;999;period
WBA X CHE 2015-08-23;HT;1;3;False;45;999;period
EVE X CHE 2015-09-12;FT;3;1;False;90;999;period
LEI X ASV 2015-09-13;FT;3;2;False;90;999;period
MCI X WES 2015-09-19;HT;1;2;False;45;999;period
TOT X MCI 2015-09-26;FT;4;1;False;90;999;period
LEI X ARS 2015-09-26;FT;2;5;False;90;999;period
MCI X NEW 2015-10-03;FT;6;1;False;90;999;period
MCI X BOU 2015-10-17;FT;5;1;False;90;999;period
MCI X BOU 2015-10-17;HT;4;1;False;45;999;period
NEW X NOR 2015-10-18;FT;6;2;False;90;999;period
NEW X NOR 2015-10-18;HT;3;2;False;45;999;period
BOU X TOT 2015-10-25;FT;1;5;False;90;999;period
EVE X ASV 2015-11-21;FT;4;0;False;90;999;period
SWA X BOU 2015-11-21;HT;2;2;False;45;999;period
MCI X LIV 2015-11-21;FT;1;4;False;90;999;period
BOU X EVE 2015-11-28;FT;3;3;False;90;999;period
CRY X NEW 2015-11-28;HT;3;1;False;45;999;period
SWA X SUN 2016-01-13;FT;2;4;False;90;999;period
NOR X LIV 2016-01-23;FT;4;5;False;90;999;period
STO X EVE 2016-02-06;HT;0;3;False;45;999;period
ASV X LIV 2016-02-14;FT;0;6;False;90;999;period
ASV X CHE 2016-04-02;FT;0;4;False;90;999;period
