game;accuratePass;aerialDuels;challengeLost;disabled;dispossessed;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
MUN X TOT 2015-08-08;8 (88%);1 (0);;;1;1;;;;3 (1);82474;0;0;22';Ander Herrera;False;;0;M;;6.5;;;A. Herrera;0;0;0;manchester-united;MUN;35;Manchester United;0;1 (1);0 (0);4 (1);1 (1);8 (88%);0;14;0
MUN X TOT 2015-08-08;20 (76%);0 (0);;;1;2;;;;6 (2);32492;2;0;90';Nacer Chadli;False;1;0;M;;6.5;;;N. Chadli;0;0;0;tottenham;TOT;33;Tottenham;0;1 (0);0 (0);6 (2);1 (0);20 (76%);1;36;1
MUN X TOT 2015-08-08;23 (74%);0 (0);;;0;1;;;;9 (3);10589;3;1;90';Ashley Young;False;;0;M;;6.5;;;A. Young;0;0;1;manchester-united;MUN;35;Manchester United;2;5 (0);6 (0);9 (3);6 (3);23 (74%);1;57;2
MUN X TOT 2015-08-08;31 (91%);4 (2);;;5;3;;;;14 (6);9865;1;0;68';Mousa Dembélé;False;1;0;M;;6.5;;;M. Dembélé;0;0;0;tottenham;TOT;33;Tottenham;1;0 (0);1 (0);18 (8);2 (1);31 (91%);5;49;1
MUN X TOT 2015-08-08;20 (87%);2 (0);1;;0;2;;;;4 (1);326;0;0;30';Bastian Schweinsteiger;False;;0;M;;6.5;;;B. Schweinsteiger;0;0;0;manchester-united;MUN;35;Manchester United;2;0 (0);0 (0);6 (1);3 (2);20 (87%);1;27;0
MUN X TOT 2015-08-08;25 (86%);2 (1);;;6;0;;;;7 (1);138833;0;0;68';Memphis Depay;False;;0;M;;6.3;;;M. Depay;2;1;0;manchester-united;MUN;35;Manchester United;0;0 (0);1 (0);9 (2);2 (1);25 (86%);0;40;1
MUN X TOT 2015-08-08;30 (78%);1 (1);;;1;0;;;;1 (0);368120;1;0;53';Nabil Bentaleb;False;;2;M;;6.2;;;N. Bentaleb;0;0;0;tottenham;TOT;33;Tottenham;0;0 (0);0 (0);2 (1);2 (0);30 (78%);0;44;0
BOU X ASV 2015-08-08;88 (88%);3 (1);;;0;0;;;;1 (1);14695;2;4;90';Andrew Surman;False;;0;M;;8.1;;;A. Surman;0;2;0;bournemouth;BOU;60;Bournemouth;1;0 (0);1 (0);4 (2);18 (16);88 (88%);1;108;1
BOU X ASV 2015-08-08;31 (73%);1 (0);;;0;2;;;;13 (10);342915;5;0;90';Jordan Amavi;False;;0;D;;7.9;;;J. Amavi;0;0;0;aston-villa;ASV;40;Aston Villa;4;5 (4);3 (0);14 (10);11 (3);31 (73%);5;76;1
BOU X ASV 2015-08-08;31 (86%);6 (4);;;0;3;;;;4 (2);45680;4;0;90';Ciaran Clark;False;;1;D;;7.7;;;C. Clark;0;0;0;aston-villa;ASV;40;Aston Villa;14;0 (0);0 (0);10 (6);6 (4);31 (86%);2;58;0
BOU X ASV 2015-08-08;21 (84%);3 (2);;;0;0;;;;7 (6);9680;7;1;90';Micah Richards;False;;1;D;;7.7;;;M. Richards;0;0;0;aston-villa;ASV;40;Aston Villa;9;2 (1);0 (0);10 (8);2 (0);21 (84%);3;50;2
BOU X ASV 2015-08-08;42 (82%);1 (1);;;3;2;;;;15 (10);106337;3;0;90';Idrissa Gueye;False;;0;M;;7.5;;;I. Gueye;0;1;1;aston-villa;ASV;40;Aston Villa;2;2 (2);0 (0);16 (11);7 (2);42 (82%);4;74;4
BOU X ASV 2015-08-08;8 (50%);8 (6);;;0;1;;1;;1 (1);31812;0;0;31';Rudy Gestede;False;;0;F;;7.4;;;R. Gestede;0;1;1;aston-villa;ASV;40;Aston Villa;1;0 (0);0 (0);9 (7);1 (1);8 (50%);0;21;1
BOU X ASV 2015-08-08;69 (87%);3 (1);1;;1;0;;;;8 (6);15152;1;2;90';Simon Francis;False;;0;D;;7.4;;;S. Francis;0;0;0;bournemouth;BOU;60;Bournemouth;2;1 (1);8 (2);11 (7);9 (8);69 (87%);4;108;1
BOU X ASV 2015-08-08;14 (50%);0 (0);;;;0;;;4;0 (0);14889;0;0;90';Brad Guzan;False;;0;G;1;7.3;0 (0);2;B. Guzan;0;0;0;aston-villa;ASV;40;Aston Villa;1;0 (0);0 (0);0 (0);21 (9);14 (50%);0;42;0
BOU X ASV 2015-08-08;41 (87%);0 (0);1;;0;2;;;;7 (4);151124;3;1;71';Jordan Veretout;False;;0;M;;7.2;;;J. Veretout;0;0;0;aston-villa;ASV;40;Aston Villa;2;0 (0);0 (0);7 (4);5 (3);41 (87%);3;59;1
BOU X ASV 2015-08-08;41 (89%);0 (0);1;;1;1;1;;;5 (2);49647;1;1;90';Ashley Westwood;False;;0;M;;7.1;;;A. Westwood;0;0;0;aston-villa;ASV;40;Aston Villa;2;0 (0);5 (1);5 (2);4 (1);41 (89%);2;60;0
BOU X ASV 2015-08-08;23 (79%);2 (1);1;;1;1;;;;7 (3);74545;1;0;90';Leandro Bacuna;False;;0;D;;7.0;;;L. Bacuna;1;0;0;aston-villa;ASV;40;Aston Villa;2;1 (0);2 (0);9 (4);10 (5);23 (79%);3;56;0
BOU X ASV 2015-08-08;46 (92%);7 (4);;;0;1;;;;2 (1);14185;3;0;90';Tommy Elphick;False;;0;D;;6.9;;;T. Elphick;0;0;0;bournemouth;BOU;60;Bournemouth;5;0 (0);0 (0);9 (5);3 (2);46 (92%);0;60;1
BOU X ASV 2015-08-08;18 (81%);2 (1);1;;2;1;;;;9 (5);11764;1;0;69';Marc Pugh;False;;0;M;;6.9;;;M. Pugh;0;1;1;bournemouth;BOU;60;Bournemouth;0;1 (1);3 (0);11 (6);1 (1);18 (81%);3;38;1
BOU X ASV 2015-08-08;16 (88%);3 (0);;;0;0;;;;2 (2);103045;3;0;59';Jordan Ayew;False;;0;F;;6.8;;;J. Ayew;0;0;0;aston-villa;ASV;40;Aston Villa;0;1 (1);0 (0);5 (2);2 (2);16 (88%);0;25;1
BOU X ASV 2015-08-08;12 (85%);7 (2);;;0;0;;;;4 (2);13167;1;1;90';Gabriel Agbonlahor;False;;0;F;;6.8;;;G. Agbonlahor;1;0;1;aston-villa;ASV;40;Aston Villa;0;3 (1);2 (0);11 (4);1 (1);12 (85%);0;25;1
BOU X ASV 2015-08-08;47 (78%);1 (1);;;1;0;;;;4 (2);21501;3;1;90';Charlie Daniels;False;;0;D;;6.7;;;C. Daniels;0;0;0;bournemouth;BOU;60;Bournemouth;1;2 (1);2 (0);5 (3);7 (1);47 (78%);1;83;0
BOU X ASV 2015-08-08;43 (82%);7 (4);1;;0;1;;;;3 (1);42707;3;0;90';Steve Cook;False;;1;D;;6.6;;;S. Cook;0;0;0;bournemouth;BOU;60;Bournemouth;6;0 (0);0 (0);10 (5);16 (9);43 (82%);1;65;0
BOU X ASV 2015-08-08;21 (80%);1 (0);;;2;0;;;;9 (5);24055;0;0;78';Scott Sinclair;False;;0;F;;6.6;;;S. Sinclair;0;0;0;aston-villa;ASV;40;Aston Villa;0;3 (1);3 (0);10 (5);0 (0);21 (80%);2;42;2
BOU X ASV 2015-08-08;11 (78%);1 (1);1;;1;4;;;;11 (3);100621;0;1;53';Joshua King;False;;0;F;;6.5;;;J. King;1;1;0;bournemouth;BOU;60;Bournemouth;0;2 (0);0 (0);12 (4);0 (0);11 (78%);1;26;2
BOU X ASV 2015-08-08;12 (75%);4 (2);;;3;0;;;;4 (1);51348;1;0;37';Yann Kermorgant;False;;0;F;;6.5;;;Y. Kermorgant;0;0;0;bournemouth;BOU;60;Bournemouth;0;0 (0);1 (0);8 (3);1 (0);12 (75%);0;23;1
BOU X ASV 2015-08-08;7 (77%);2 (1);;;0;1;;;;1 (0);26995;0;0;19';Carlos Sánchez;False;;0;M;;6.5;;;C. Sánchez;0;0;0;aston-villa;ASV;40;Aston Villa;2;0 (0);0 (0);3 (1);2 (1);7 (77%);0;11;0
BOU X ASV 2015-08-08;7 (100%);0 (0);;;0;0;;;;5 (3);16590;0;0;21';Max Gradel;False;;0;M;;6.5;;;M. Gradel;0;0;0;bournemouth;BOU;60;Bournemouth;0;2 (0);1 (1);5 (3);0 (0);7 (100%);1;15;2
BOU X ASV 2015-08-08;10 (90%);0 (0);;;;0;;;3;0 (0);8994;0;0;90';Artur Boruc;False;;0;G;0;6.5;0 (0);2;A. Boruc;0;0;0;bournemouth;BOU;60;Bournemouth;0;0 (0);0 (0);0 (0);4 (3);10 (90%);0;20;0
BOU X ASV 2015-08-08;2 (50%);0 (0);;;0;0;;;;0 (0);764;0;0;12';Kieran Richardson;False;;0;M;;6.5;;;K. Richardson;0;0;0;aston-villa;ASV;40;Aston Villa;0;0 (0);0 (0);0 (0);0 (0);2 (50%);0;5;0
BOU X ASV 2015-08-08;45 (86%);0 (0);2;;0;3;;;;7 (2);19343;0;0;84';Dan Gosling;False;;0;M;;6.4;;;D. Gosling;0;1;0;bournemouth;BOU;60;Bournemouth;0;0 (0);0 (0);7 (2);4 (3);45 (86%);1;60;1
BOU X ASV 2015-08-08;48 (78%);1 (1);3;;1;1;;;;9 (1);42699;2;1;90';Matt Ritchie;False;;0;M;;6.3;;;M. Ritchie;0;2;0;bournemouth;BOU;60;Bournemouth;1;3 (0);8 (1);10 (2);9 (6);48 (78%);1;92;1
BOU X ASV 2015-08-08;13 (86%);5 (1);1;;6;2;;;;12 (2);113956;0;0;90';Callum Wilson;False;;1;F;;6.2;;;C. Wilson;1;0;1;bournemouth;BOU;60;Bournemouth;0;1 (0);3 (0);17 (3);0 (0);13 (86%);0;38;2
BOU X ASV 2015-08-08;7 (70%);0 (0);;;0;0;;;;0 (0);41628;0;0;6';Eunan O'Kane;False;;0;M;;–;;;E. O'Kane;0;0;0;bournemouth;BOU;60;Bournemouth;0;0 (0);0 (0);0 (0);1 (1);7 (70%);0;11;0
EVE X WAT 2015-08-08;12 (80%);9 (6);;False;0;0;;;;2 (2);22200;8;0;90';Craig Cathcart;False;;0;D;;7.7;;;C. Cathcart;0;0;0;watford;WAT;24;Watford;14;0 (0);0 (0);11 (8);5 (4);12 (80%);2;39;0
EVE X WAT 2015-08-08;11 (91%);2 (0);2;False;1;1;1;1;;5 (1);12790;0;1;27';Arouna Koné;False;;0;F;;7.7;;;A. Koné;0;1;1;everton;EVE;48;Everton;0;0 (0);0 (0);7 (1);0 (0);11 (91%);1;17;0
EVE X WAT 2015-08-08;34 (79%);3 (0);;False;1;1;;1;;8 (3);98435;2;1;90';Ross Barkley;False;;0;M;;7.4;;;R. Barkley;1;1;2;everton;EVE;48;Everton;0;4 (1);2 (1);11 (3);3 (1);34 (79%);0;64;2
EVE X WAT 2015-08-08;23 (92%);0 (0);1;False;0;1;;;;8 (5);16701;5;1;90';Étienne Capoue;False;;0;M;;7.4;;;É. Capoue;0;0;1;watford;WAT;24;Watford;5;2 (1);0 (0);8 (5);4 (2);23 (92%);3;46;1
EVE X WAT 2015-08-08;56 (75%);3 (1);;False;1;0;;;;5 (4);544;1;1;90';Gareth Barry;False;;1;M;;7.4;;;G. Barry;0;0;1;everton;EVE;48;Everton;3;1 (1);2 (0);8 (5);20 (13);56 (75%);2;94;1
EVE X WAT 2015-08-08;12 (80%);0 (0);2;False;2;1;;1;;9 (4);80008;2;1;59';Miguel Layún;False;;0;M;;7.3;;;M. Layún;0;1;1;watford;WAT;24;Watford;2;1 (1);1 (0);9 (4);0 (0);12 (80%);2;31;1
EVE X WAT 2015-08-08;5 (83%);2 (0);;False;1;1;;1;;4 (2);29774;0;0;16';Odion Ighalo;False;;0;F;;7.3;;;O. Ighalo;0;0;1;watford;WAT;24;Watford;0;2 (2);0 (0);6 (2);0 (0);5 (83%);0;12;0
EVE X WAT 2015-08-08;23 (65%);6 (5);;False;2;0;;;;5 (3);16779;4;1;90';José Holebas;False;;0;D;;7.2;;;J. Holebas;0;0;1;watford;WAT;24;Watford;8;2 (2);5 (2);11 (8);7 (2);23 (65%);1;69;0
EVE X WAT 2015-08-08;61 (91%);10 (5);2;False;0;0;;;;7 (4);152077;4;0;90';John Stones;False;;1;D;;7.1;;;J. Stones;0;0;0;everton;EVE;48;Everton;5;1 (0);0 (0);17 (9);15 (11);61 (91%);4;83;0
EVE X WAT 2015-08-08;13 (61%);2 (1);;False;0;1;;;;10 (8);128637;3;0;90';Allan Nyom;False;;0;D;;7.1;;;A. Nyom;0;0;0;watford;WAT;24;Watford;5;2 (1);3 (0);12 (9);6 (0);13 (61%);5;52;2
EVE X WAT 2015-08-08;23 (63%);17 (7);;False;2;1;1;;;7 (2);22109;0;1;90';Troy Deeney;False;1;0;F;;7.1;;;T. Deeney;2;0;1;watford;WAT;24;Watford;2;3 (1);0 (0);24 (9);1 (1);23 (63%);0;52;1
EVE X WAT 2015-08-08;26 (81%);1 (1);;False;0;0;;;;2 (2);20364;3;1;90';Ikechi Anya;False;;0;M;;7.1;;;I. Anya;1;1;0;watford;WAT;24;Watford;2;2 (2);2 (0);3 (3);0 (0);26 (81%);0;43;0
EVE X WAT 2015-08-08;8 (57%);7 (5);;False;0;2;;;;5 (3);15038;6;0;90';Sebastian Prödl;False;;0;D;;7.1;;;S. Prödl;0;0;0;watford;WAT;24;Watford;9;0 (0);0 (0);12 (8);4 (1);8 (57%);2;32;1
EVE X WAT 2015-08-08;16 (57%);0 (0);2;False;2;3;;;;11 (4);13990;0;2;74';José Jurado;False;;0;F;;6.8;;;J. Jurado;0;1;0;watford;WAT;24;Watford;0;0 (0);2 (1);11 (4);5 (1);16 (57%);4;41;0
EVE X WAT 2015-08-08;13 (54%);14 (5);;False;1;1;1;;;4 (2);78893;0;1;89';Romelu Lukaku;False;3;0;F;;6.7;;;R. Lukaku;0;1;1;everton;EVE;48;Everton;0;0 (0);1 (0);18 (7);0 (0);13 (54%);0;33;2
EVE X WAT 2015-08-08;10 (40%);4 (4);;False;;0;;;2;0 (0);2490;1;0;90';Heurelho Gomes;False;;0;G;3;6.7;1 (1);3;Gomes;0;0;0;watford;WAT;24;Watford;3;0 (0);0 (0);4 (4);25 (10);10 (40%);0;37;0
EVE X WAT 2015-08-08;13 (65%);0 (0);;False;;0;;;1;0 (0);744;0;0;90';Tim Howard;False;;0;G;0;6.7;1 (1);3;T. Howard;0;0;0;everton;EVE;48;Everton;0;0 (0);0 (0);0 (0);13 (7);13 (65%);0;38;0
EVE X WAT 2015-08-08;31 (91%);1 (0);;False;1;0;;;;3 (2);198030;0;0;63';Brendon Galloway;False;;0;D;;6.6;;;B. Galloway;0;0;0;everton;EVE;48;Everton;6;0 (0);1 (0);4 (2);4 (4);31 (91%);0;53;2
EVE X WAT 2015-08-08;44 (84%);0 (0);;False;1;1;;;;9 (6);76632;2;1;90';Séamus Coleman;False;;0;D;;6.6;;;S. Coleman;0;0;0;everton;EVE;48;Everton;1;4 (3);9 (1);9 (6);6 (3);44 (84%);1;87;2
EVE X WAT 2015-08-08;3 (50%);0 (0);;False;0;1;;;;3 (2);47668;2;0;31';Juan Carlos Paredes;False;;0;M;;6.6;;;J. C. Paredes;0;0;0;watford;WAT;24;Watford;2;1 (1);0 (0);3 (2);1 (0);3 (50%);0;12;1
EVE X WAT 2015-08-08;19 (95%);1 (0);1;False;0;2;;;;10 (6);11654;3;0;79';Valon Behrami;False;;2;M;;6.6;;;V. Behrami;0;0;0;watford;WAT;24;Watford;1;1 (0);0 (0);11 (6);0 (0);19 (95%);6;36;0
EVE X WAT 2015-08-08;7 (87%);0 (0);;False;0;0;;;;0 (0);642;0;1;11';Ben Watson;False;;0;M;;6.6;;;B. Watson;0;0;0;watford;WAT;24;Watford;0;0 (0);0 (0);0 (0);1 (1);7 (87%);0;8;0
EVE X WAT 2015-08-08;40 (83%);2 (0);2;False;1;0;;;;5 (1);46432;1;3;90';Tom Cleverley;False;;0;M;;6.4;;;T. Cleverley;0;0;0;everton;EVE;48;Everton;1;1 (0);3 (1);7 (1);5 (2);40 (83%);1;64;0
EVE X WAT 2015-08-08;59 (80%);0 (0);3;False;1;1;;;;8 (3);39283;0;0;90';James McCarthy;False;;0;M;;6.3;;;J. McCarthy;0;0;0;everton;EVE;48;Everton;1;1 (1);1 (0);8 (3);8 (6);59 (80%);1;84;1
EVE X WAT 2015-08-08;58 (80%);10 (8);1;False;2;0;;;;5 (1);10507;0;0;90';Phil Jagielka;False;;1;D;;6.2;;;P. Jagielka;0;0;0;everton;EVE;48;Everton;8;1 (0);0 (0);15 (9);27 (18);58 (80%);0;87;1
EVE X WAT 2015-08-08;24 (80%);4 (1);;False;6;0;;;;10 (4);3593;0;1;77';Kevin Mirallas;False;1;0;M;;6.2;;;K. Mirallas;1;0;0;everton;EVE;48;Everton;0;0 (0);10 (2);14 (5);1 (0);24 (80%);3;53;1
EVE X WAT 2015-08-08;6 (75%);0 (0);1;False;0;2;;;;6 (1);109064;0;0;13';Bryan Oviedo;False;;0;D;;5.8;;;B. Oviedo;0;0;0;everton;EVE;48;Everton;0;2 (0);2 (1);6 (1);0 (0);6 (75%);0;15;1
EVE X WAT 2015-08-08;1 (100%);0 (0);;False;0;0;;;;1 (1);9257;0;0;1';Steven Naismith;False;;0;F;;–;;;S. Naismith;0;0;0;everton;EVE;48;Everton;0;0 (0);0 (0);1 (1);1 (1);1 (100%);1;2;0
LEI X SUN 2015-08-08;20 (80%);0 (0);;;1;0;;2;;9 (7);158213;1;4;77';Riyad Mahrez;False;;0;M;;10;;;R. Mahrez;1;2;3;leicester-city;LEI;31;Leicester City;1;4 (3);5 (4);9 (7);3 (1);20 (80%);0;51;4
