game;length;time;addedTime;incidentType
MUN X TOT 2015-08-08;4;90;0;injuryTime
MUN X TOT 2015-08-08;1;45;0;injuryTime
BOU X ASV 2015-08-08;5;90;0;injuryTime
EVE X WAT 2015-08-08;2;45;0;injuryTime
LEI X SUN 2015-08-08;3;45;0;injuryTime
STO X LIV 2015-08-09;3;90;0;injuryTime
WES X BOU 2015-08-22;6;90;0;injuryTime
WES X BOU 2015-08-22;4;45;0;injuryTime
WAT X SOU 2015-08-23;2;90;0;injuryTime
BOU X LEI 2015-08-29;8;90;0;injuryTime
LIV X WES 2015-08-29;7;90;0;injuryTime
STO X BOU 2015-09-26;9;45;0;injuryTime
BOU X TOT 2015-10-25;1;90;0;injuryTime
ASV X WAT 2015-11-28;10;90;0;injuryTime
WES X LIV 2016-01-02;5;45;0;injuryTime
