game;length;time;addedTime;incidentType
CHA X CFC 09-05-2015;4;90;0;injuryTime
CHA X CFC 09-05-2015;2;45;0;injuryTime
PAL X CAM 09-05-2015;5;90;0;injuryTime
PAL X CAM 09-05-2015;1;45;0;injuryTime
FLU X JOI 10-05-2015;3;45;0;injuryTime
CAP X INT 10-05-2015;3;90;0;injuryTime
CAM X FLU 17-05-2015;1;90;0;injuryTime
FLA X SPT 17-05-2015;14;90;0;injuryTime
SPO X JOI 23-05-2015;2;90;0;injuryTime
FIG X CRU 31-05-2015;4;45;0;injuryTime
CFC X FLA 13-06-2015;6;90;0;injuryTime
COR X PON 02-07-2015;8;90;0;injuryTime
GRE X VAS 11-07-2015;5;45;0;injuryTime
CAP X SPT 09-08-2015;7;90;0;injuryTime
GRE X CFC 30-08-2015;6;45;0;injuryTime
CAP X JOI 06-09-2015;10;90;0;injuryTime
CHA X PAL 04-10-2015;7;45;0;injuryTime
