game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Clearances_away;Clearances_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Crosses_away;Crosses_home;Dispossessed_away;Dispossessed_home;Dribbles_away;Dribbles_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Interceptions_away;Interceptions_home;Long balls_away;Long balls_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Tackles_away;Tackles_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
SWA X MUN 2017-08-19;523 (87%);315 (78%);11;19;59%;41%;;;;;3;0;;;5;3;2;0;;;;;;;52;56;11;12;0;4;2;1;;;;;0;1;601;406;;;10;3;6;5;8;0;7;2;;;17;5;1;1;4;2017-08-19;10;-18;-41;-33;-23;-19;-17;-13;-13;-18;-18;7;-10;-5;-7;-4;-3;-2;4;8;-6;-1;10;-45;-32;-20;-8;-10;50;22;-36;-8;5;-20;10;-6;-6;-53;-44;-68;-65.0;-56;-40;-31;-12;28;-10;-6;-30;-19;-13;-9;-7;-43;-2;2;8;2;36;31;-24;7;-7;-11;-8;-4;-28;37;-16;51;24;29;-31;-42;-34;-26;-22;-10;-38;-3;-70;-41;-98;-89;-88;-43;-21;-2;7.0;-13;13.0;25.0;0;09:30:00;-1;MUN;SWA
BOU X WAT 2017-08-19;265 (78%);338 (77%);17;16;45%;55%;2;1;3;1;5;3;;;5;8;;;;;;;;;51;45;14;6;2;5;;;;;;;7;1;338;438;;;13;4;7;1;7;2;6;2;;;19;6;3;1;2;2017-08-19;-15;4;1;7;7;7;3;1;-1;-4;-1;-6;-30;-24;-16;-11;-8;4;4;7;5;3;-2;6;8;63;30;22;-36;-10;-7;4;-57;22;-33;-23;-18;-9;-4;-3;5.0;-7;-30;60;-31;16;-5;-4;-2;-7;19;7;3;-2;-7;-67;-13;-32;-22;-20;-39;-16;23;1;-7;-27;-42;44;28;7;-28;-58;-69;-40;-46;-27;-8;5;48;4;8;34;30;23;18;16;-75;-85;-95.0;12;1.0;5.0;0;12:00:00;-1;WAT;BOU
BUR X WBA 2017-08-19;127 (56%);374 (79%);20;24;33%;67%;0;2;0;2;2;5;;;5;5;;;;;;;;;44;52;11;11;;;;;;;;;3;1;228;471;1;0;5;11;5;15;1;0;3;9;;;8;20;0;1;1;2017-08-19;-2;41;-25;7;9;11;11;9;32;25;16;-3;16;7;-8;-6;-7;23;33;27;19;19;3;15;43;60;36;21;18;-15;6;-14;-7;8;-3;7;-29;-8;51;33;;16;13;34;18;11;-24;-5;-1;-30;-21;23;38;25;39;-24;13;-15;-4;12;35;30;21;15;5;28;19;15;13;10;-73;-38;-20;-9;-3;-28;-16;-3;16;7;9;44;33;71;48;35;30;39;48.0;21;36.0;55.0;0;12:00:00;-1;WBA;BUR
LEI X BHA 2017-08-19;435 (83%);332 (78%);16;17;55%;45%;;;;;3;6;;;2;6;;;;;;;;;39;46;10;8;2;2;;;;;;;2;1;526;427;;;1;7;0;4;2;4;4;7;;;5;14;0;1;0;2017-08-19;10;8;-1;-1;-1;8;9;10;10;5;1;81;2;-2;-2;-3;-9;5;26;12;4;6;48;7;1;7;11;23;15;35;22;14;14;34;42;32;44;22;8;-10;0.0;-10;-9;-9;-10;26;-15;-11;-4;3;2;97;54;27;11;1;92;-10;-10;-10;-35;-19;-9;-3;-5;22;8;48;1;-4;-5;-8;-20;-17;-6;37;-24;2;28;-4;-10;-12;-1;-1;5;1;-1;-1;4.0;15;-6.0;-20.0;2;12:00:00;1;BHA;LEI
LIV X CRY 2017-08-19;181 (66%);603 (85%);13;20;28%;72%;;;;;1;5;;;2;4;1;0;;;;;;;56;67;13;12;12;1;;;;;;;4;2;273;712;;;3;13;2;5;1;13;1;10;;;4;23;3;1;0;2017-08-19;-10;-13;45;22;13;-10;39;28;23;15;11;-1;5;-4;7;7;7;8;8;8;33;26;5;22;15;10;11;7;30;19;22;58;40;5;22;13;13;11;-34;8;0.0;51;37;21;37;6;24;13;10;39;24;71;85;53;21;20;2;45;71;52;42;24;-20;-2;16;12;12;-2;14;15;14;15;90;55;37;32;24;-30;-2;-7;6;11;51;38;72;48;33;21;18.0;-31;11.0;20.0;1;12:00:00;1;CRY;LIV
SOU X WES 2017-08-19;192 (67%);487 (86%);25;16;34%;66%;;;;;2;3;;;2;7;;;;;;;;;61;39;10;18;2;6;1;2;;;;;0;1;287;569;1;0;13;7;6;6;8;5;3;7;;;16;14;1;1;2;2017-08-19;10;-21;-56;77;23;14;8;2;-14;-11;-15;7;-42;-18;37;-69;-55;-24;-11;-5;6;9;6;3;-2;7;8;23;18;16;14;42;63;6;36;15;14;57;24;-82;15.0;-55;-26;-8;24;6;20;-42;-10;13;26;25;23;18;15;12;-5;36;1;25;59;34;-26;7;7;13;44;-5;34;26;21;27;-50;-55;-91;-48;-58;-19;-8;27;25;21;41;18;8;15;15;13;15.0;-29;15.0;95.0;3;12:00:00;1;WES;SOU
STO X ARS 2017-08-19;639 (87%);137 (64%);9;18;78%;22%;2;0;2;0;6;2;;;9;2;0;1;;;;;;;45;54;11;6;3;6;;;;;;;3;4;731;213;;;9;9;6;5;6;4;9;2;;;18;11;;;0;2017-08-19;-10;-2;-7;-30;-23;-19;-16;-15;-12;-7;-16;-8;-16;-55;-33;-6;-19;-17;-18;-17;-12;-68;-8;-36;-12;24;4;-37;-58;-37;-25;-46;-31;-2;-21;-19;-17;-15;-11;-8;0.0;-2;-26;74;28;41;10;-6;-6;-18;-16;-15;-41;-31;-25;-82;27;-72;-79;-44;-8;57;78;67;32;-19;-48;25;-27;-43;-25;-25;-18;-17;-45;-33;-25;-66;13;-50;-33;-31;-24;-17;-15;-15;-14;-24;-10.0;2;-2.0;-10.0;1;14:30:00;1;ARS;STO
HUD X NEW 2017-08-20;296 (71%);353 (77%);12;24;48%;52%;;;;;5;1;;;3;7;;;;;;;;;50;62;10;13;2;5;;;;;;;5;4;415;456;;;9;3;3;3;5;3;4;4;;;13;7;4;3;0;2017-08-20;10;60;30;19;11;5;-4;45;-61;-15;-4;7;3;28;20;24;32;10;-4;-10;-11;-13;-10;-12;-5;4;4;10;9;9;8;8;33;-4;18;3;7;-20;-5;11;45.0;7;-4;3;5;39;6;81;52;34;28;16;4;2;21;11;26;2;-3;-3;-15;-10;-1;-1;-11;-6;-54;21;-83;-85;-60;-41;29;-7;1;4;-7;-8;39;-9;-14;-38;-27;-15;-51;-11;-7;-6;-10.0;54;-5.0;-75.0;1;10:30:00;1;NEW;HUD
TOT X CHE 2017-08-20;195 (70%);501 (85%);16;12;33%;67%;;;;;3;6;;;3;14;1;0;;;;;;;68;59;21;14;6;0;1;1;;;;;;;280;592;;;6;11;4;6;2;6;3;8;;;9;18;3;4;2;2017-08-20;-15;26;19;23;20;18;50;35;13;13;9;-11;24;30;12;10;9;-72;-32;29;39;26;-9;75;78;44;28;21;9;3;2;8;16;-8;21;24;8;10;60;100;100.0;2;36;93;48;-43;28;16;1;-42;-24;-4;6;7;17;17;-53;16;16;15;14;33;45;32;24;15;38;-10;31;19;-44;-12;-27;-10;22;9;6;2;-2;2;7;40;25;7;-22;-7;9;4;-52.0;4;-28.0;-5.0;1;13:00:00;-1;CHE;TOT
MCI X EVE 2017-08-21;198 (66%);461 (82%);12;22;35%;65%;;;;;0;4;;;1;7;;;;;;;;;41;55;9;7;5;1;0;1;;;;;3;0;301;560;1;1;4;10;5;9;2;6;3;9;;;7;19;4;3;1;2017-08-21;10;39;20;55;32;14;7;9;8;4;6;13;-44;-23;-14;-9;-7;-8;-7;93;49;27;49;14;-10;-6;-2;1;31;-75;-28;34;18;3;12;17;13;-6;44;13;-35.0;4;5;6;7;8;7;2;19;35;26;25;20;16;7;-11;9;-4;-3;-6;-7;-2;2;27;16;11;7;16;5;37;23;44;-29;30;47;32;21;48;8;-36;10;4;81;49;35;23;16;21;30.0;64;21.0;20.0;1;17:00:00;0;EVE;MCI
BOU X MCI 2017-08-26;524 (87%);152 (59%);23;13;71%;29%;1;0;2;0;4;3;;;5;2;;;;;;;;;62;57;14;13;2;6;1;1;;;;;3;0;604;258;1;0;13;5;7;3;8;3;6;4;;;19;9;6;5;2;2017-08-26;1;-2;0;0;80;40;17;-25;-12;-11;-4;-1;67;-46;-76;-49;-35;-42;-62;-62;-47;-33;-1;-82;-45;-59;-40;-8;-3;2;-6;-12;-18;1;-15;-13;-12;-13;-14;-55;0.0;-8;-3;2;-6;19;-9;-10;-17;-16;-15;-20;-17;-11;-3;-8;11;-11;-8;23;8;3;-3;-1;-1;5;17;11;4;-11;-50;-35;-92;-60;-40;-51;-35;-14;6;-1;-4;-7;-11;-14;-16;-51;-64;-41;-28.0;4;-20.0;-95.0;1;09:30:00;-1;MCI;BOU
CRY X SWA 2017-08-26;369 (80%);416 (83%);18;21;47%;53%;;;;;2;1;;;1;1;;;;;;;;;51;50;6;9;3;1;;;;;;;3;0;464;504;;;5;7;2;12;3;3;2;9;;;7;16;1;4;2;2017-08-26;-9;-11;-19;-14;-7;-2;2;3;3;3;3;-8;18;34;12;-8;-8;23;6;3;1;-2;-9;29;19;14;7;3;-1;-2;-3;2;2;-44;-6;20;-31;-10;-13;-87;0.0;-49;33;4;-67;-29;-30;46;14;9;6;4;1;1;36;60;-20;39;56;36;22;13;53;35;27;-34;-8;-15;-6;-1;3;40;25;50;34;25;-33;-19;-7;-15;10;30;23;17;43;27;17;12;15.0;-8;3.0;35.0;0;12:00:00;-1;SWA;CRY
HUD X SOU 2017-08-26;382 (76%);265 (70%);18;25;56%;44%;;;;;0;6;;;4;5;;;;;;;;;52;59;10;10;6;2;;;;;;;3;0;502;378;;;3;12;3;4;3;6;3;4;;;6;16;1;0;0;2017-08-26;10;1;-25;-16;-11;52;24;15;14;13;15;7;20;-18;-6;-27;-24;38;9;1;-5;-35;-5;-31;-16;32;15;13;75;46;87;53;33;23;16;66;35;16;5;-3;0.0;-3;-4;-5;-8;10;-10;-3;-39;-20;-30;-17;-9;-2;36;22;5;14;14;4;1;-24;-17;-18;-58;-30;-12;3;-8;12;14;2;-6;35;37;45;26;23;2;18;6;-4;-3;-5;-47;-30;-1;-7;-10.0;1;-7.0;-60.0;0;12:00:00;0;SOU;HUD
NEW X WES 2017-08-26;358 (76%);169 (62%);16;25;63%;37%;;;;;0;3;;;5;7;;;;;;;;;57;56;11;17;5;3;;;;;;;2;0;473;271;;;3;10;5;6;3;8;5;7;;;8;17;3;1;0;2017-08-26;10;-23;-9;-23;-14;30;7;5;4;30;53;-7;30;16;13;4;-1;-2;-2;-3;-3;9;-6;-32;-23;-46;-60;-45;-28;-22;69;30;-31;-9;30;19;7;6;7;2;50.0;-12;34;20;16;-11;39;24;7;-65;-81;-60;-40;-28;-17;-3;-5;4;-7;-3;-7;14;13;2;2;-4;-6;-1;-8;-13;-11;37;53;3;3;22;46;20;32;9;1;-5;-10;-10;-45;36;75;40;19.0;21;9.0;45.0;3;12:00:00;1;WES;NEW
WAT X BHA 2017-08-26;359 (83%);244 (73%);20;20;58%;42%;;;;;6;3;;;11;3;;;;;;;;;43;55;18;7;0;2;2;0;;;;;5;0;433;334;0;1;10;4;8;5;2;0;6;4;;;16;8;1;0;0;2017-08-26;9;-19;-5;6;6;2;2;1;-1;3;-2;-7;-22;-19;-32;-26;-16;-19;-17;-54;-25;-20;6;-17;-15;-11;-9;14;-27;-35;-27;-3;-6;8;2;-3;-2;-4;-4;-3;-60.0;-13;-10;-18;-13;10;-9;-11;-83;-57;-37;-25;-43;-23;-46;-30;11;-21;-38;-25;-15;-12;-10;-6;-6;-26;27;17;-23;-16;-6;6;6;4;-41;-52;-31;-19;32;-11;25;14;8;-41;-21;-10;-27;-17;8.0;25;12.0;35.0;0;12:00:00;0;BHA;WAT
MUN X LEI 2017-08-26;208 (69%);576 (87%);24;22;31%;69%;;;;;2;8;;;3;9;;;;;;;;;63;54;7;8;5;4;;;;;;;3;2;300;662;;;5;12;5;7;4;7;6;10;;;11;22;2;1;0;2017-08-26;10;-5;6;7;10;-7;6;8;10;11;13;-17;83;91;76;47;29;4;3;3;33;26;9;44;68;42;30;29;37;51;32;15;10;4;6;2;33;20;24;18;0.0;11;12;12;19;-28;16;16;15;10;91;55;58;31;24;-30;-18;-2;-2;6;7;32;-30;-1;8;6;9;-8;15;100;99;21;-23;28;12;6;8;9;-5;5;-19;-3;82;32;-19;-19;-4;27;11.0;-2;3.0;-50.0;2;14:30:00;1;LEI;MUN
CHE X EVE 2017-08-27;355 (81%);500 (86%);10;16;44%;56%;;;;;2;7;;;3;6;;;;;;;;;45;47;7;12;5;0;;;;;;;;;437;583;;;3;8;5;4;0;7;4;10;;;7;18;2;2;0;2017-08-27;4;-6;29;10;36;100;56;28;18;10;2;5;2;2;2;2;2;1;21;10;79;46;4;26;13;7;-1;-26;-18;-8;-2;3;4;4;4;84;92;57;36;24;0.0;5;7;51;38;3;25;-18;-24;-12;31;22;18;16;7;-3;3;48;60;33;22;15;7;4;9;7;6;-4;20;19;13;-23;-10;-8;-7;-10;-5;-4;-5;-3;3;-33;-15;-6;-30;-45;-2;-18;-18.0;-7;-6.0;45.0;2;10:30:00;1;EVE;CHE
WBA X STO 2017-08-27;380 (87%);239 (76%);29;13;58%;42%;;;;;5;0;;;4;10;;;;;;;;;68;41;9;10;1;1;0;1;;;;;0;2;438;314;;;8;8;9;8;2;2;8;2;;;16;10;2;2;1;2017-08-27;-10;20;-1;-22;-15;-90;-52;-28;-26;-21;-12;-15;-5;3;3;5;11;-24;-58;-68;-44;-30;-8;-55;-30;-12;-3;7;1;7;25;8;-7;-4;-6;-10;16;31;20;13;;9;5;2;-1;19;-1;25;18;5;2;1;-1;-1;2;1;60;2;43;57;26;-21;5;-3;54;23;20;29;12;12;8;12;33;26;16;76;15;8;10;-9;-6;-12;-9;6;13;-38;-49;30;10.0;-29;-21.0;20.0;1;10:30:00;0;STO;WBA
LIV X ARS 2017-08-27;438 (81%);411 (81%);14;11;52%;48%;;;;;2;3;;;3;4;0;3;;;;;;;42;53;9;6;7;0;;;;;;;5;3;539;507;;;5;13;6;5;0;10;3;5;;;8;18;4;2;0;2017-08-27;-10;17;44;21;19;15;12;3;33;99;58;-7;29;39;23;4;-9;-5;38;29;22;17;-5;20;12;35;28;21;31;12;4;19;8;-4;-4;72;10;8;8;4;-5.0;-4;-30;-27;-15;-4;-2;3;5;10;33;51;25;49;78;38;34;16;1;-11;-38;-20;-9;-2;3;4;-27;22;-5;39;19;10;11;9;1;-2;79;45;-38;25;11;-29;-27;-20;-15;-11;-21;-9;38.0;-7;-28.0;65.0;4;13:00:00;1;ARS;LIV
TOT X BUR 2017-08-27;193 (71%);503 (86%);27;15;33%;67%;;;;;2;17;;;7;10;;;;;;;;;58;42;9;9;4;2;;;;;;;6;1;272;588;;;11;15;8;6;3;5;2;13;;;13;28;;;1;2017-08-27;10;-42;26;-25;-5;6;10;5;12;14;36;12;23;16;16;65;67;42;28;-27;-3;7;38;-13;-8;2;17;9;6;4;23;24;55;24;39;25;9;-19;-9;-5;-35.0;-3;3;3;4;9;100;69;48;35;53;31;15;11;8;5;-29;-53;-36;-23;-15;-10;-3;-2;-12;-8;-10;-15;-17;-3;-44;-64;67;100;66;38;73;45;-36;26;23;16;-10;-7;-9;-10;-43;-42;-21.0;-73;-29.0;-80.0;1;13:00:00;0;BUR;TOT
MCI X LIV 2017-09-09;288 (77%);658 (90%);4;9;34%;66%;;;;;2;0;;;3;8;;;;;;;;;39;36;9;10;6;3;;;;;;;2;5;372;730;1;0;2;10;2;3;3;10;5;3;;;7;13;2;2;0;2017-09-09;-10;38;24;16;96;49;25;16;10;-39;-55;-11;-29;-19;-7;-2;-23;83;11;12;12;6;-27;3;-8;-21;-46;38;33;22;3;62;37;41;22;16;13;6;6;3;105.0;10;10;10;10;8;9;-16;-1;10;84;54;38;47;32;18;-6;15;13;10;10;10;35;22;3;-5;21;-8;16;16;17;43;31;26;20;17;88;57;-4;39;33;24;38;32;23;18;10;9;54.0;68;5.0;80.0;5;09:30:00;1;LIV;MCI
