game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;home_score;hora;result;team_away;team_home
MUN X ARS 2011-08-28;325 (0%);454 (0%);6;4;43%;56%;6;1;5;3;1;1;35;51;8;9;0;1;0;7;394;524;1;0;6;10;20;25;26;35;2;2;2;2011-08-28;8;13:00:00;1;ARS;MUN
ARS X CHE 2012-04-21;311 (0%);430 (0%);4;11;43%;56%;7;3;7;7;;;44;53;11;12;0;2;4;5;381;496;;;5;6;14;13;19;19;4;3;0;2012-04-21;0;09:45:00;0;CHE;ARS
