game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;home_score;hora;result;team_away;team_home
SOU X HUL 2013-11-09;254 (0%);466 (0%);14;24;39%;60%;4;3;5;6;0;3;48;61;15;10;2;1;;;6;3;356;561;;;4;5;10;15;14;20;2;1;1;2013-11-09;4;13:00:00;1;HUL;SOU
MUN X LIV 2014-03-16;378 (0%);343 (0%);9;17;51%;48%;2;6;4;3;1;0;73;67;12;13;1;4;1;0;1;3;448;411;0;1;9;6;18;13;27;19;4;1;3;2014-03-16;0;11:30:00;-1;LIV;MUN
