game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
MUN X SOU 2016-08-19;453 (85%);340 (83%);6;13;57%;43%;;;;;3;1;0;4;;;44;48;8;11;3;1;;;2;2;533;408;;;7;7;9;6;1;5;6;5;13;12;;;0;2016-08-19;10;11;8;10;31;9;40;-40;-13;-15;-14;15;-22;-9;-4;-1;-7;-11;-13;-37;-22;-11;9.0;26;36;27;19;-37;47.0;19;94;52;30;5;6;1;-3;-4;-4;-33;0.0;-24;20;-6;-7;3;5;40;100;64;42;28;17;-7;-7;-9;31;-10;-41;-58;-39;-27;58;64;43;38;21;21;5;8;2;-3;-3;-4;-35;27;15;4;15;-40;-24;-21;-20;-18;-15;-14;-13;-13.0;-43.0;12;-26.0;-25.0;2;17:00:00;1;SOU;MUN
STO X MCI 2016-08-20;398 (81%);263 (73%);21;21;58%;42%;;;;;4;2;7;7;;;65;69;13;12;2;2;;;1;3;493;361;;;9;5;2;3;6;3;3;3;12;8;4;3;4;2016-08-20;-10;-7;-7;-42;-28;-20;-14;-11;23;7;56;-12;10;2;20;10;-47;-26;-36;-100;-79;-100;-14.0;-50;-25;7;7;17;10.0;-79;-42;-24;70;-15;46;30;10;-8;-12;-20;-5.0;12;9;8;-7;-16;108;55;20;11;7;-28;-16;-9;5;2;-13;63;18;12;1;-6;-12;-10;-2;-1;-6;-6;-3;-2;-7;-4;-3;-2;-26;-16;-15;10;-7;-5;-4;-6;-7;-9;-29;-100;-55;-25.0;-7.0;-7;8.0;-20.0;1;09:30:00;-1;MCI;STO
BUR X LIV 2016-08-20;765 (90%);130 (62%);11;15;81%;19%;;;;;8;0;12;1;;;58;39;5;14;0;5;;;0;3;848;210;;;9;0;13;1;5;2;17;3;26;3;1;0;0;2016-08-20;0;0;0;0;0;0;0;-7;-10;-12;-14;0;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;0.0;-14;-29;-23;-24;-40;-29.0;-22;29;38;21;0;-50;-25;-21;-43;-32;-27;0.0;-8;-36;-28;-24;0;-21;-64;-71;-69;-78;-54;-36;-26;-66;-36;0;-25;-19;-15;-9;-50;-34;-24;-13;31;12;0;-10;-5;-37;-29;-21;-16;-9;-6;-6;-7;0;-67;-68;-48;-35;-26;-17;-9;-36;-27.0;-21.0;0;-27.0;-30.0;2;12:00:00;1;LIV;BUR
SWA X HUL 2016-08-20;362 (79%);478 (85%);15;23;44%;56%;;;;;5;7;3;8;1;1;53;60;10;7;3;2;0;1;5;0;460;563;;;9;9;3;13;4;3;3;14;12;23;;;2;2016-08-20;10;6;4;41;12;10;39;-28;-8;28;36;9;24;37;22;12;6;28;16;10;36;19;9.0;6;-8;4;4;4;40.0;-26;-2;-3;23;9;12;8;8;9;32;-18;30.0;24;7;3;30;14;62;38;5;6;-2;4;11;12;57;36;11;13;29;14;1;-3;43;31;26;28;41;74;45;25;13;5;-2;3;28;19;24;17;45;-123;-90;-51;-33;-57;-47;32;4;-4.0;3.0;21;2.0;-90.0;0;12:00:00;-1;HUL;SWA
TOT X CRY 2016-08-20;234 (72%);353 (80%);8;13;44%;56%;;;;;2;6;4;10;;;68;59;9;19;4;2;;;0;2;325;440;;;4;10;6;9;2;5;6;10;10;20;3;3;0;2016-08-20;10;11;9;35;28;48;26;44;25;-24;27;-17;17;68;45;31;14;25;13;-28;103;66;-43.0;100;100;65;32;15;-4.0;-6;-2;1;56;-23;34;16;6;-4;-3;5;-5.0;5;7;8;4;-11;-6;-3;-1;1;-29;-16;26;14;14;39;26;22;30;-31;-28;-18;-11;-8;-2;5;-5;13;-3;29;13;5;-6;-11;-12;-11;-15;-8;11;30;15;9;6;100;59;-56;-26;-10.0;-13.0;11;2.0;-40.0;1;12:00:00;1;CRY;TOT
WAT X CHE 2016-08-20;488 (87%);251 (76%);12;9;63%;37%;;;;;3;2;5;0;2;0;58;52;10;20;1;2;1;0;2;1;560;330;;;6;3;6;2;4;2;7;3;13;6;3;4;2;2016-08-20;10;22;10;-23;-11;-11;-8;-6;-23;-15;-15;-8;-5;4;-4;-5;-6;7;-4;2;29;-25;-7.0;-4;-2;-1;26;12;2.0;-10;-3;-2;2;-11;-13;-14;-16;-17;-17;-15;-40.0;-5;-7;-9;-10;-6;-9;-9;-8;-43;-29;-20;32;48;32;21;-3;14;-24;-9;-6;5;4;-7;-8;-11;-36;-17;-30;-16;-13;-11;-38;-26;-19;-37;-27;-24;-4;-19;-100;-82;-54;-37;-28;-8;6;-69.0;-33.0;46;7.0;-55.0;1;12:00:00;-1;CHE;WAT
WBA X EVE 2016-08-20;486 (84%);174 (61%);13;14;67%;33%;;;;;1;2;4;7;;;60;59;10;16;3;5;;;1;0;580;283;;;10;8;5;5;7;4;3;3;13;11;1;3;2;2016-08-20;-10;100;74;46;50;60;22;15;6;-4;-6;-9;-11;-10;-9;-14;-55;-36;-26;-19;-20;-8;-9.0;-5;4;29;12;1;-6.0;-8;-37;-26;-20;-9;-12;-12;-40;-29;-22;-23;-75.0;6;-6;-6;-9;-9;-10;-12;-12;-22;-40;-26;23;12;5;3;-3;-3;-100;-100;-72;-48;-39;-16;-44;-31;-19;2;-11;-7;-3;-32;45;19;10;5;5;-24;1;-14;-23;41;59;35;-37;-9;-9;-10.0;34.0;-1;-2.0;-15.0;1;12:00:00;-1;EVE;WBA
LEI X ARS 2016-08-20;450 (81%);256 (71%);23;15;61%;39%;;;;;5;5;7;2;;;76;50;7;11;1;4;;;2;1;555;362;;;5;3;4;2;4;1;8;5;13;8;2;1;0;2016-08-20;5;-21;-20;-14;-10;-8;-3;5;-7;-8;-10;27;-12;-13;-6;-27;-19;-9;-35;-19;-9;-12;24.0;-14;-6;-23;-44;-32;-25.0;-91;-51;-27;-39;-23;-23;-4;-27;-17;-8;-4;-5.0;1;1;1;2;-11;3;-7;-8;-11;-3;4;25;10;21;-51;-11;-28;-25;-25;-20;-12;-11;-10;-9;-9;-29;-13;31;8;11;7;5;-7;-49;-40;-30;-24;-16;-20;-19;-42;-31;-24;-61;-9;7;-2.0;4.0;-15;-32.0;45.0;0;14:30:00;0;ARS;LEI
SUN X MID 2016-08-21;372 (78%);307 (77%);17;18;54%;46%;;;;;3;7;1;8;;;63;68;14;11;4;1;;;0;2;476;401;;;3;13;2;6;3;5;5;5;8;18;1;1;2;2016-08-21;-10;4;7;6;25;-80;-39;-25;-21;-15;-3;-5;-2;-1;-45;-19;-3;-2;30;25;39;27;-2.0;9;-3;-2;-6;-7;-28.0;-21;-21;46;20;1;14;10;7;-5;-7;-9;-80.0;3;9;5;42;3;24;13;6;3;-1;-1;-1;35;24;18;-6;18;13;93;88;55;60;64;35;2;8;-2;5;4;85;94;79;50;27;45;19;5;-3;-5;-10;-18;-20;-26;-40;-18;10;10.0;32.0;-3;6.0;-5.0;1;10:30:00;-1;MID;SUN
WES X BOU 2016-08-21;320 (78%);277 (78%);24;17;54%;46%;;;;;2;5;6;1;0;2;51;55;15;15;1;5;;;1;1;410;355;1;0;4;9;1;9;5;2;4;7;8;16;3;3;0;2016-08-21;-9;19;7;-6;-7;-11;-9;-3;2;2;3;-14;2;-5;6;5;7;8;4;2;36;21;-16.0;12;12;7;7;6;10.0;37;59;43;28;-13;8;-3;38;-28;-1;-1;30.0;-28;-39;-26;-18;-10;-98;-59;-52;-29;-81;-70;-37;-12;-3;6;-8;39;24;10;2;-4;-47;-27;-10;-5;-7;28;-1;1;1;1;5;3;2;-1;19;15;18;11;28;19;46;24;100;57;33;16.0;-31.0;16;-24.0;-25.0;1;13:00:00;1;BOU;WES
TOT X LIV 2016-08-27;325 (75%);306 (73%);6;16;51%;49%;;;;;6;2;5;5;;;42;67;17;11;3;2;1;0;6;2;433;419;;;10;5;4;5;3;4;3;6;13;11;5;3;1;2016-08-27;3;12;-6;-4;-3;24;12;1;-5;-41;-32;4;-35;-16;-12;-12;-9;-37;-26;-18;-53;-34;5.0;-26;-18;-3;3;-5;-4.0;3;8;10;3;6;-4;-4;3;-5;-83;-4;5.0;17;-29;-19;-14;-33;-15;23;6;-5;-60;-64;-34;-25;-13;7;-13;5;4;4;39;25;100;79;64;28;9;71;7;-4;33;56;16;6;1;-3;-12;-4;43;-31;-22;-11;-4;7;5;59;46;29.0;16.0;26;39.0;-25.0;1;09:30:00;0;LIV;TOT
CHE X BUR 2016-08-27;314 (77%);545 (87%);15;15;40%;60%;;;;;2;5;5;9;0;1;44;44;9;6;6;0;;;2;1;410;626;;;4;14;4;7;0;10;2;8;6;22;2;2;0;2016-08-27;10;79;45;52;30;12;83;82;51;35;25;7;12;8;8;17;61;43;32;31;80;50;5.0;36;28;17;-9;-5;-7.0;-3;-1;42;20;4;6;7;77;11;12;8;-10.0;6;-7;-38;-15;3;-1;37;72;52;36;27;25;100;61;41;2;25;65;72;39;19;16;15;35;51;35;32;45;30;11;25;14;-91;-75;-45;-23;-15;21;-29;-17;-16;-3;7;11;38;20;9.0;2.0;14;78.0;-25.0;3;12:00:00;1;BUR;CHE
CRY X BOU 2016-08-27;246 (75%);380 (85%);8;23;41%;59%;;;;;3;7;4;10;;;46;65;10;15;3;2;;;2;5;326;447;;;5;16;4;12;3;5;5;8;10;24;1;2;1;2016-08-27;-8;-23;-89;-55;-40;-31;-44;-28;-23;29;-32;-11;-32;-11;-11;26;9;5;-8;-4;13;10;-17.0;2;2;2;1;1;1.0;6;-39;-20;-5;-35;-2;1;3;2;-24;31;0.0;19;12;-19;-3;-25;14;59;100;70;45;29;62;40;32;22;-19;16;9;43;36;33;74;48;76;54;62;-15;58;98;58;43;27;38;24;20;28;39;-5;15;6;-7;-5;-6;-40;-13;50;30.0;23.0;4;16.0;135.0;1;12:00:00;0;BOU;CRY
EVE X STO 2016-08-27;308 (78%);400 (83%);21;17;46%;54%;;;;;3;5;2;9;;;72;68;11;14;8;1;1;1;1;3;395;482;;;1;10;4;7;1;9;7;12;8;21;1;2;0;2016-08-27;-5;-5;-6;-38;-27;-16;-9;-30;-16;-14;-4;6;-2;2;18;16;34;100;100;64;43;28;6.0;26;20;11;4;-2;5.0;86;54;36;25;9;32;16;13;11;10;8;-30.0;44;28;50;47;21;46;47;100;63;42;29;6;27;-44;-24;51;-21;-18;19;4;1;39;22;5;2;-2;28;-24;-3;7;48;28;12;9;8;19;9;19;9;58;17;12;5;1;-10;24;8.0;33.0;11;15.0;40.0;1;12:00:00;1;STO;EVE
LEI X SWA 2016-08-27;260 (72%);302 (74%);17;21;48%;52%;;;;;1;2;6;4;0;2;65;55;10;14;4;2;;;1;3;363;408;;;4;8;5;5;3;6;5;5;9;13;2;2;1;2016-08-27;-10;12;10;4;31;11;3;5;6;5;17;-13;13;36;25;19;15;18;-36;25;8;9;-15.0;5;6;-9;37;14;-31.0;-13;-9;-9;-6;-36;-8;-5;-4;4;5;14;65.0;-20;-11;-6;-3;-31;-3;-1;-1;54;70;16;8;39;18;42;-17;21;7;-36;-14;-6;26;11;47;25;47;-8;24;-37;-52;-32;-43;-47;-27;-20;-13;-8;-2;-1;-78;-43;-23;-11;-4;5;10;12.0;13.0;16;-14.0;10.0;2;12:00:00;1;SWA;LEI
SOU X SUN 2016-08-27;179 (66%);391 (81%);20;11;37%;63%;;;;;1;4;5;5;;;58;45;8;15;6;1;;;2;4;270;480;;;4;1;2;5;2;7;1;15;5;16;2;2;1;2016-08-27;10;41;26;82;80;53;40;19;13;41;24;15;-21;6;6;6;5;-44;-26;-35;-23;-15;9.0;-13;-13;-12;-18;-16;-15.0;-34;-20;45;16;4;6;2;-4;-8;-3;-8;5.0;-19;-12;-7;-4;1;-2;8;7;11;4;10;8;17;12;5;-4;5;30;21;-37;-10;-2;9;6;12;52;7;36;66;44;91;56;38;24;11;9;-8;11;-85;-54;32;7;10;19;93;56;31.0;46.0;11;-2.0;-15.0;1;12:00:00;0;SUN;SOU
WAT X ARS 2016-08-27;411 (84%);311 (78%);14;19;55%;45%;;;;;1;2;2;3;1;0;75;57;15;18;6;4;;;2;1;490;397;;;6;8;2;6;7;6;4;6;10;14;1;6;3;2016-08-27;-10;-90;-56;-36;-24;-16;-7;-7;-2;-7;-9;-8;8;6;8;-33;-19;27;15;11;-34;-12;-7.0;-7;-9;-9;-7;5;80.0;47;28;-35;-10;-7;-11;-91;-58;-41;-28;-16;;-100;-69;-40;-33;-8;-19;-17;-7;9;1;-2;43;27;93;58;-15;47;27;-25;-10;-6;-9;-5;-1;1;-29;-15;82;39;40;50;39;13;4;-9;-10;-10;-15;102;61;21;47;24;3;-4;-4;-49.0;-32.0;-20;-1.0;40.0;1;12:00:00;-1;ARS;WAT
HUL X MUN 2016-08-27;542 (88%);305 (77%);15;9;63%;37%;;;;;8;2;6;1;;;51;39;6;9;2;8;;;1;0;615;394;;;14;2;12;4;9;2;15;6;29;8;3;2;1;2016-08-27;-4;1;-38;-23;-14;-13;-12;-13;-13;-32;-29;-5;-28;-19;-14;-9;-8;-2;27;18;5;-7;-36.0;-8;-16;-15;-53;-32;-60.0;-36;39;14;-44;-20;22;8;1;-6;-46;-28;-70.0;78;47;21;-13;-16;-5;-42;-24;-14;-8;-5;-1;-2;-2;-2;-8;-22;-24;-20;-33;-30;-17;-35;-25;-14;-8;21;-5;-7;-10;-13;-40;-28;31;6;7;-28;17;-14;-73;-50;-32;-49;-51;-93;-57;-61.0;-36.0;7;-92.0;-90.0;0;14:30:00;-1;MUN;HUL
WBA X MID 2016-08-28;428 (83%);259 (74%);31;21;59%;41%;;;;;1;5;4;5;;;66;59;11;12;2;2;;;3;1;515;350;;;5;8;4;6;2;2;2;5;7;13;3;1;0;2016-08-28;10;16;4;9;-4;42;26;18;42;28;57;13;31;21;14;4;-4;-41;-29;-46;-25;-8;19.0;-10;-9;-6;-47;-32;-22.0;-16;-23;-5;34;8;12;1;-7;-9;-9;0;50.0;25;14;8;-23;-9;-7;-6;-3;-6;-2;-9;-13;-11;-9;-4;-6;2;1;2;1;40;18;5;-5;-4;-9;-8;-9;-9;-9;-9;-9;-2;-43;-53;-28;-8;76;-2;4;-17;-44;-28;-13;-30;-10;-1.0;12.0;36;8.0;0.0;0;10:30:00;0;MID;WBA
MCI X WES 2016-08-28;196 (72%);508 (87%);23;16;33%;67%;;;;;2;7;4;5;;;63;64;10;5;3;1;0;1;3;3;274;587;;;7;17;5;10;2;5;2;5;9;22;3;1;1;2016-08-28;-10;40;-25;2;-11;7;-8;12;7;-27;91;35;49;30;24;32;13;27;17;36;22;20;21.0;13;-38;-47;-36;-26;31.0;16;-15;6;2;72;-1;20;12;7;9;5;;6;4;2;6;45;14;14;19;47;54;37;23;-34;-93;-54;60;-30;-5;3;9;-23;-2;33;20;14;12;39;9;10;8;7;6;1;2;-3;3;3;100;9;7;17;-18;8;3;4;49;27.0;83.0;75;61.0;110.0;3;13:00:00;1;WES;MCI
MUN X MCI 2016-09-10;486 (82%);284 (76%);14;22;61%;39%;;;;;4;5;4;4;;;61;71;10;15;1;4;2;0;3;3;593;376;;;11;5;8;6;6;3;7;9;18;14;2;4;2;2016-09-10;-10;-29;-16;-12;-17;-20;-14;-88;-46;-33;-16;-7;28;11;-11;-3;-4;-6;-5;-8;-15;-9;-6.0;-11;-12;-42;-29;-23;-19.0;-76;-79;-43;-21;-5;-7;5;15;76;37;2;35.0;57;34;55;63;-25;29;5;5;3;-1;-2;-2;-3;-3;4;-18;-2;-1;-2;-6;26;3;-5;-15;-13;-14;-15;-7;-11;-33;-100;-62;-32;-89;-71;-42;-62;21;-44;-57;-32;-23;-10;-5;1;3;18.0;13.0;8;4.0;25.0;1;09:30:00;-1;MCI;MUN
ARS X SOU 2016-09-10;358 (78%);498 (85%);19;13;44%;56%;;;;;2;8;1;6;;;51;48;8;10;0;5;1;0;2;0;457;588;;;7;15;4;7;5;2;5;2;11;17;5;2;1;2016-09-10;10;-9;-13;-1;1;1;2;-4;3;-3;-73;1;-41;-25;-16;-11;-2;-8;34;10;11;41;-10.0;100;66;41;30;22;15.0;16;4;-5;-7;-10;-4;5;10;11;37;5;10.0;6;3;8;16;-36;16;16;16;15;62;39;36;-37;-5;-3;-35;4;4;29;16;39;22;12;-32;-16;29;-23;13;2;3;-2;4;-27;-16;-5;9;11;-16;62;40;21;10;3;-57;-39;-14;-3.0;5.0;-13;5.0;125.0;2;12:00:00;1;SOU;ARS
BOU X WBA 2016-09-10;186 (68%);399 (84%);16;17;37%;63%;;;;;4;2;5;10;0;1;45;58;11;9;4;2;1;0;1;1;272;477;;;6;8;6;5;2;5;6;4;12;12;3;1;0;2016-09-10;-10;7;2;2;22;14;-59;-24;-15;-12;-8;-19;-2;75;48;34;30;16;8;14;13;31;-14.0;45;13;13;13;32;20.0;11;4;45;24;-1;-21;-9;25;14;20;82;-5.0;17;-32;-15;-12;7;-31;-19;-12;-22;-3;-1;5;-4;-19;-79;46;-46;-31;-17;-13;-2;-5;-2;36;21;-30;29;-8;39;15;-32;-12;-10;-12;-9;13;12;18;95;64;46;34;11;-4;-5;-5;-5.0;14.0;11;14.0;5.0;1;12:00:00;1;WBA;BOU
BUR X HUL 2016-09-10;528 (86%);314 (80%);10;16;61%;39%;;;;;0;5;9;5;;;40;36;3;13;1;2;2;0;3;0;615;394;;;5;5;8;6;3;2;6;8;11;13;0;2;1;2016-09-10;-10;-15;-14;-73;-46;-25;-20;21;30;15;-24;-9;-33;-44;-31;-21;-14;-3;4;-7;37;16;-8.0;6;-5;-5;-7;-1;4.0;4;6;12;11;-8;11;11;11;11;11;-16;-5.0;-17;-14;-6;-38;-8;-25;46;-42;-19;-15;-20;-20;-14;-38;-27;-7;-20;30;7;4;-23;53;18;48;56;32;-7;-43;-10;-48;-37;69;29;5;-7;-7;-56;-17;-31;28;-8;-5;-6;-8;-17;-15;-35.0;-28.0;-33;-3.0;-170.0;1;12:00:00;0;HUL;BUR
MID X CRY 2016-09-10;306 (78%);450 (86%);27;14;43%;57%;;;;;4;3;6;6;;;69;58;9;5;3;2;;;1;3;390;526;;;6;7;4;5;4;4;6;5;12;12;2;1;2;2016-09-10;-3;6;-3;47;28;14;9;5;-80;-45;-23;-4;-6;-1;9;-16;6;1;-61;-32;-14;-4;-5.0;10;12;31;18;10;5.0;2;-1;-4;96;-6;51;13;-36;-16;-20;-15;0.0;58;31;-83;-34;-57;-17;-11;33;24;12;12;12;70;37;17;-36;9;9;-1;-1;-1;-1;-1;-1;-2;-22;-28;-14;-39;-49;-29;-15;-9;10;35;51;30;-18;13;7;1;-1;0;10;20;16;14.0;13.0;28;48.0;-5.0;1;12:00:00;-1;CRY;MID
STO X TOT 2016-09-10;426 (84%);233 (72%);17;15;61%;39%;;;;;8;7;8;10;2;0;42;64;18;13;2;5;1;0;0;2;510;325;;;14;9;4;7;8;2;6;7;20;16;2;3;4;2016-09-10;-6;-7;36;15;71;49;50;31;18;6;-4;-8;-6;-10;-9;-9;-8;-8;-12;-66;-58;-28;-7.0;-17;-35;-22;-13;-9;-8.0;-11;-9;-9;-8;-3;-8;-47;-75;-51;-37;-28;10.0;11;31;19;11;-6;-59;-29;-22;26;7;34;-75;-31;-23;-7;-7;-49;-22;-18;-15;-39;-44;-26;-10;-10;35;-6;-26;-88;-47;-17;-59;-34;74;29;45;25;3;-31;-39;-22;21;-5;1;-5;3;3.0;3.0;-4;19.0;-10.0;0;12:00:00;-1;TOT;STO
WES X WAT 2016-09-10;233 (72%);384 (86%);16;16;43%;57%;;;;;2;4;4;4;;;57;51;15;10;2;4;1;0;1;2;325;445;;;10;8;3;11;8;4;3;11;13;19;2;2;4;2016-09-10;-10;-3;-30;-2;-80;-43;-22;-9;24;21;18;-3;46;39;29;22;13;53;28;13;-8;-1;3.0;-4;37;36;98;54;28.0;10;1;-8;-8;-28;-6;-5;-80;-49;-31;-16;-65.0;0;0;0;-27;-15;-17;-11;-28;-18;-90;-54;-33;-19;-12;-2;106;-2;4;23;11;4;-48;-29;-16;-6;8;54;8;7;7;-60;-27;-10;-2;4;9;8;31;-67;-33;-14;36;20;2;6;8;7.0;8.0;-26;11.0;55.0;2;12:00:00;-1;WAT;WES
LIV X LEI 2016-09-10;239 (68%);490 (81%);25;17;38%;62%;;;;;5;4;7;1;;;52;57;8;4;7;2;1;0;1;3;351;605;;;7;9;4;2;3;11;5;8;12;17;2;1;1;2016-09-10;-10;5;31;63;41;100;63;37;20;13;-4;-35;2;16;2;40;23;17;13;52;33;30;-22.0;24;21;100;74;42;15.0;8;26;18;-75;-38;-32;-19;-37;-22;-7;-5;0.0;-3;-2;5;-10;-33;5;5;13;9;7;5;4;38;64;79;-22;46;26;-42;-13;-5;7;8;7;3;1;-14;-1;3;-3;-32;-20;-8;-6;-84;-48;-74;-4;-15;-9;4;1;7;-2;-2;34;13.0;10.0;4;68.0;0.0;4;14:30:00;1;LEI;LIV
SWA X CHE 2016-09-11;416 (85%);313 (78%);17;15;56%;44%;;;;;9;2;11;1;;;59;47;9;17;0;5;;;3;0;488;399;;;18;3;12;2;7;2;10;3;28;6;4;3;2;2016-09-11;10;-34;-17;-2;4;2;-21;-10;-5;-7;-77;-9;-49;-34;-96;-82;-96;-59;-33;-16;-5;3;-5.0;-36;-18;-12;-10;-33;-21.0;-76;-23;-17;-12;5;8;12;47;25;-99;2;-5.0;-8;-6;-1;-13;6;-6;-27;-14;-2;7;24;15;-26;-12;-4;1;78;41;24;87;49;16;-53;-57;-33;-13;-72;-13;-10;-10;-12;-4;-5;-1;-4;-5;-7;-92;-37;-91;-92;-33;-17;-6;-94;-43;-28.0;-18.0;-52;-17.0;-30.0;2;13:00:00;0;CHE;SWA
SUN X EVE 2016-09-12;507 (89%);209 (74%);5;12;67%;33%;;;;;3;8;4;5;0;1;51;43;8;11;2;6;1;0;1;0;569;283;;;15;7;8;1;9;2;5;4;20;11;1;1;3;2016-09-12;-10;-1;-4;22;2;-95;-79;-47;-30;-22;-6;-8;-7;-9;-16;-20;-11;-44;-32;-24;-19;-22;-8.0;-15;-11;-13;-9;-7;-5.0;4;-2;-2;1;-12;1;1;25;10;6;3;-25.0;2;2;-7;-13;-12;-54;-32;-18;71;38;-58;-19;-1;-6;-4;-36;-7;-63;-64;-49;-56;-29;-19;-15;34;-92;-22;-57;-41;-100;-72;-42;-30;-88;-57;-41;-31;-14;-25;-17;-5;5;-2;-22;19;2;-42.0;-24.0;-9;-14.0;-15.0;0;17:00:00;-1;EVE;SUN
CHE X LIV 2016-09-16;416 (84%);474 (88%);14;13;48%;52%;;;;;6;5;4;6;;;55;65;13;6;3;3;;;2;6;497;540;;;7;9;2;3;5;4;6;3;13;12;1;1;2;2016-09-16;10;-2;-5;-8;-3;-25;-38;-25;-26;-87;-46;-49;-22;-5;-8;-2;-2;-23;-10;-3;4;9;-29.0;11;11;8;46;29;14.0;5;-38;-17;-7;-61;93;59;40;25;81;2;0.0;-4;2;7;7;-36;7;12;10;33;24;18;14;13;15;11;-19;14;11;84;54;36;25;11;38;19;13;-4;-17;-1;-4;24;18;17;15;4;-5;-7;4;-14;-14;-13;-69;-38;-19;-17;-7;3.0;2.0;1;6.0;25.0;1;17:00:00;-1;LIV;CHE
HUL X ARS 2016-09-17;741 (93%);437 (86%);5;6;61%;39%;;;;;9;2;4;2;0;1;32;48;12;9;1;6;;;2;3;801;508;0;1;16;3;6;2;9;2;8;3;24;6;2;0;4;2016-09-17;10;4;4;1;-6;-26;23;-3;-8;-80;-62;3;-44;-28;33;10;4;-53;-30;-26;-21;-77;-3.0;-48;-39;-29;-22;-14;11.0;4;50;24;8;-3;-7;7;-43;-28;-39;17;20.0;-27;-16;-6;-1;-5;-7;-3;-1;-1;-1;-1;-76;-45;-33;-25;-2;-45;-25;-19;-15;-12;-9;6;-10;-10;-10;2;-10;-11;-10;-10;-10;-15;-49;-33;-24;76;1;32;17;10;-75;-46;-66;-39;-23;-8.0;-88.0;2;-47.0;-45.0;1;12:00:00;-1;ARS;HUL
LEI X BUR 2016-09-17;248 (69%);393 (76%);25;18;41%;59%;;;;;1;5;1;7;;;55;47;9;10;4;2;;;4;2;361;517;;;3;8;4;3;2;6;4;7;7;14;1;0;0;2016-09-17;10;27;75;42;22;11;-19;-12;-7;-9;-30;8;-20;-11;-5;12;13;7;8;68;37;19;7.0;13;8;1;-4;2;2.0;-4;-45;-25;32;6;10;7;11;10;47;26;85.0;-8;-6;-5;68;-8;11;10;9;9;-2;6;8;9;10;11;-7;27;9;4;46;26;12;12;6;4;52;-8;55;42;30;-26;65;56;27;-31;-6;35;-4;13;7;6;-44;-30;-56;-27;-10;7.0;13.0;47;10.0;-25.0;3;12:00:00;1;BUR;LEI
MCI X BOU 2016-09-17;249 (78%);526 (89%);3;6;36%;64%;;;;;1;5;5;5;0;4;45;56;11;8;7;2;1;1;2;1;320;591;0;1;3;11;3;4;2;11;3;9;6;20;1;1;0;2016-09-17;-10;4;1;-21;-6;7;8;80;54;78;53;6;28;8;4;1;6;29;58;36;26;21;6.0;16;12;7;10;11;17.0;-44;-12;-5;-1;9;108;68;42;32;9;7;;9;21;14;85;16;52;32;19;43;21;94;57;-39;92;53;21;27;22;21;11;11;12;16;89;49;20;11;12;7;1;1;2;-45;-37;-24;-16;-8;29;7;4;3;33;-29;-4;-21;-16;-14.0;-9.0;13;3.0;5.0;4;12:00:00;1;BOU;MCI
