game;name;slug;shortName;id;national;team_name;team_id;goals;goalAssist;totalTackle;totalPass;totalDuels;minutesPlayed;position;rating;shotsOnTarget;shotsOffTarget;shotsBlocked;totalContest;totalClearance;outfielderBlock;interceptionWon;challengeLost;accuratePass;keyPass;totalCross;totalLongBalls;dispossessed;wasFouled;fouls;saves;punches;runsOut;goodHighClaim;team
SOU X HUL 2013-11-09;Rickie Lambert;southampton;R. Lambert;19659;False;Southampton;45;1;2;0;24 (72%);12 (6);76';F;8.3;1;1;0;1 (1);0;0;0;;24 (72%);3;1 (0);2 (2);1;3;2;;;;;SOU
SOU X HUL 2013-11-09;Morgan Schneiderlin;southampton;M. Schneiderlin;27009;False;Southampton;45;1;;1;54 (94%);11 (7);90';M;8.1;2;0;0;3 (2);4;0;4;;54 (94%);0;0 (0);6 (6);0;1;3;;;;;SOU
SOU X HUL 2013-11-09;Adam Lallana;southampton;A. Lallana;17054;False;Southampton;45;1;;0;36 (83%);16 (9);84';M;8.1;2;1;1;7 (5);1;0;2;2;36 (83%);1;3 (1);0 (0);2;3;1;;;;;SOU
SOU X HUL 2013-11-09;Dejan Lovren;southampton;D. Lovren;39480;False;Southampton;45;;;1;52 (85%);10 (8);90';D;7.7;0;0;1;1 (1);10;0;4;;52 (85%);0;0 (0);16 (10);0;1;0;;;;;SOU
SOU X HUL 2013-11-09;José Fonte;southampton;J. Fonte;27622;False;Southampton;45;;;2;59 (86%);10 (7);90';D;7.6;0;1;1;0 (0);11;0;3;;59 (86%);0;0 (0);8 (5);1;1;2;;;;;SOU
SOU X HUL 2013-11-09;James Ward-Prowse;southampton;J. Ward-Prowse;161717;False;Southampton;45;;;3;56 (90%);4 (3);90';M;7.5;0;0;0;0 (0);0;0;1;1;56 (90%);3;7 (4);3 (3);0;0;0;;;;;SOU
SOU X HUL 2013-11-09;Steven Davis;southampton;S. Davis;559;False;Southampton;45;1;;0;14 (70%);0 (0);27';M;7.4;1;0;0;0 (0);2;0;0;;14 (70%);1;0 (0);2 (1);0;0;0;;;;;SOU
SOU X HUL 2013-11-09;Yannick Sagbo;hull-city;Y. Sagbo;39050;False;Hull City;96;1;;0;24 (77%);14 (3);90';F;7.3;1;0;1;0 (0);0;0;0;;24 (77%);1;0 (0);0 (0);1;2;1;;;;;HUL
SOU X HUL 2013-11-09;Tom Huddlestone;hull-city;T. Huddlestone;9689;False;Hull City;96;;;1;33 (76%);6 (2);90';M;7.2;1;1;1;2 (0);1;0;3;;33 (76%);1;5 (1);9 (4);0;1;2;;;;;HUL
SOU X HUL 2013-11-09;Jake Livermore;hull-city;J. Livermore;34578;False;Hull City;96;;1;0;37 (88%);7 (2);90';M;7.0;0;1;0;1 (1);2;0;4;3;37 (88%);1;2 (0);4 (4);1;0;1;;;;;HUL
SOU X HUL 2013-11-09;Nathaniel Clyne;southampton;N. Clyne;43215;False;Southampton;45;;1;0;42 (85%);4 (1);90';D;6.9;0;0;0;3 (1);3;0;2;;42 (85%);3;3 (3);1 (0);0;0;0;;;;;SOU
SOU X HUL 2013-11-09;Pablo Daniel Osvaldo;southampton;P. D. Osvaldo;27787;False;Southampton;45;;;0;6 (75%);6 (3);14';F;6.7;1;0;0;2 (1);0;0;0;;6 (75%);0;0 (0);0 (0);1;0;1;;;;;SOU
SOU X HUL 2013-11-09;David Meyler;hull-city;D. Meyler;43442;False;Hull City;96;;;0;24 (70%);6 (3);73';M;6.6;0;0;0;0 (0);0;0;1;2;24 (70%);0;0 (0);2 (1);0;1;0;;;;;HUL
SOU X HUL 2013-11-09;Stephen Quinn;hull-city;S. Quinn;11807;False;Hull City;96;;;0;5 (71%);3 (1);10';M;6.6;0;0;0;0 (0);0;0;0;1;5 (71%);1;1 (1);0 (0);0;0;0;;;;;HUL
SOU X HUL 2013-11-09;Luke Shaw;southampton;L. Shaw;190839;False;Southampton;45;;;1;38 (86%);12 (5);90';D;6.5;0;0;0;2 (1);5;0;3;;38 (86%);0;2 (0);3 (1);2;1;1;;;;;SOU
SOU X HUL 2013-11-09;Robert Koren;hull-city;R. Koren;7287;False;Hull City;96;;;0;12 (80%);3 (0);45';M;6.5;0;1;1;0 (0);0;0;1;;12 (80%);0;0 (0);1 (1);3;0;0;;;;;HUL
SOU X HUL 2013-11-09;Liam Rosenior;hull-city;L. Rosenior;693;False;Hull City;96;;;8;33 (66%);17 (10);90';D;6.5;0;0;0;0 (0);2;0;1;1;33 (66%);1;0 (0);7 (2);2;1;0;;;;;HUL
SOU X HUL 2013-11-09;Victor Wanyama;southampton;V. Wanyama;45956;False;Southampton;45;;;2;33 (84%);7 (5);63';M;6.4;0;0;0;0 (0);1;0;3;;33 (84%);0;0 (0);2 (1);0;3;0;;;;;SOU
SOU X HUL 2013-11-09;Paul McShane;hull-city;P. McShane;10180;False;Hull City;96;;;3;19 (79%);11 (7);90';D;6.4;0;1;0;0 (0);2;0;2;1;19 (79%);0;0 (0);5 (5);0;1;2;;;;;HUL
SOU X HUL 2013-11-09;Danny Graham;hull-city;D. Graham;827;False;Hull City;96;;;0;2 (40%);1 (0);17';F;6.4;0;0;0;0 (0);0;0;0;;2 (40%);0;0 (0);0 (0);0;0;1;;;;;HUL
SOU X HUL 2013-11-09;Jay Rodriguez;southampton;J. Rodriguez;26989;False;Southampton;45;;;1;24 (70%);16 (6);90';M;6.3;0;2;0;5 (1);1;0;1;;24 (70%);1;1 (1);3 (1);4;2;0;;;;;SOU
SOU X HUL 2013-11-09;Artur Boruc;southampton;A. Boruc;8994;False;Southampton;45;;;0;21 (58%);0 (0);90';G;6.3;0;0;0;0 (0);0;0;0;;21 (58%);0;0 (0);23 (9);0;0;0;1;0;0 (0);0;SOU
SOU X HUL 2013-11-09;George Boyd;hull-city;G. Boyd;20653;False;Hull City;96;;;2;13 (86%);9 (4);80';M;6.2;0;0;0;2 (1);0;0;1;2;13 (86%);1;4 (0);0 (0);1;1;1;;;;;HUL
SOU X HUL 2013-11-09;Curtis Davies;hull-city;C. Davies;10281;False;Hull City;96;;;5;18 (56%);16 (10);90';D;6.2;0;0;0;0 (0);3;0;2;1;18 (56%);0;0 (0);6 (0);0;2;2;;;;;HUL
SOU X HUL 2013-11-09;Maynor Figueroa;hull-city;M. Figueroa;32844;False;Hull City;96;;;2;13 (65%);10 (3);90';D;6.0;0;0;1;0 (0);4;0;2;1;13 (65%);0;1 (0);3 (0);1;1;4;;;;;HUL
SOU X HUL 2013-11-09;Ahmed El-Mohamady;hull-city;A. El-Mohamady;32787;False;Hull City;96;;;1;15 (75%);4 (2);45';D;5.8;0;0;0;0 (0);0;0;0;1;15 (75%);0;2 (0);2 (0);0;0;0;;;;;HUL
SOU X HUL 2013-11-09;Steve Harper;hull-city;S. Harper;788;False;Hull City;96;;;0;6 (33%);2 (1);90';G;5.2;0;0;0;1 (1);1;0;0;;6 (33%);0;0 (0);17 (5);0;0;1;2;0;1 (1);0;HUL
SOU X HUL 2013-11-09;Jack Cork;southampton;J. Cork;20993;False;Southampton;45;;;1;7 (100%);1 (1);6';M;–;0;0;0;0 (0);0;0;0;;7 (100%);0;0 (0);0 (0);0;0;0;;;;;SOU
