game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
MUN X TOT 2015-08-08;391 (80%);401 (82%);11;8;50%;50%;3;4;2;1;;;55;43;0;0;1;4;;;2;1;487;487;;;8;6;2;4;4;1;1;4;9;9;3;2;0;2015-08-08;-10.0;-6.0;5.0;2.0;-139.0;-100.0;-92.0;-59.0;-39.0;-13.0;-2.0;-8.0;46.0;21.0;13.0;43.0;30.0;18.0;8.0;2.0;3.0;-3.0;-8.0;58.0;50.0;28.0;14.0;6.0;-2.0;3.0;3.0;80.0;56.0;-7.0;36.0;24.0;17.0;-4.0;31.0;11.0;0.0;-42.0;-25.0;-16.0;-10.0;-7.0;69.0;39.0;22.0;12.0;6.0;-5.0;-7.0;-8.0;6.0;6.0;-76.0;5.0;5.0;5.0;4.0;3.0;38.0;24.0;11.0;2.0;3.0;-48.0;-9.0;5.0;5.0;7.0;8.0;69.0;39.0;26.0;84.0;48.0;-36.0;22.0;-22.0;-6.0;-4.0;-5.0;-45.0;-27.0;-18.0;-13.0;-15.0;-17.0;-3.0;-165.0;1;09:45:00;1;TOT;MUN
BOU X ASV 2015-08-08;310 (79%);464 (85%);17;17;42%;58%;2;2;3;6;;;64;45;0;0;2;2;;;;;391;548;;;4;8;2;7;3;2;3;3;7;11;4;3;1;2015-08-08;-10.0;14.0;8.0;5.0;7.0;-4.0;-4.0;-19.0;-9.0;-4.0;3.0;-1.0;2.0;29.0;14.0;5.0;4.0;18.0;15.0;20.0;36.0;-26.0;5.0;8.0;-2.0;-7.0;-2.0;29.0;25.0;15.0;9.0;5.0;31.0;6.0;18.0;11.0;10.0;64.0;39.0;12.0;30.0;43.0;22.0;10.0;3.0;9.0;-4.0;-7.0;-8.0;-8.0;-29.0;-21.0;-16.0;-13.0;-12.0;-5.0;11.0;5.0;6.0;9.0;22.0;14.0;5.0;6.0;11.0;9.0;9.0;10.0;-32.0;-12.0;8.0;-18.0;-83.0;-39.0;-21.0;33.0;20.0;20.0;40.0;14.0;1.0;-3.0;-4.0;-15.0;-11.0;-8.0;-6.0;-5.0;-4.0;24.0;-4.0;10.0;0;12:00:00;-1;ASV;BOU
EVE X WAT 2015-08-08;200 (70%);451 (81%);29;20;34%;66%;3;2;2;8;1;0;72;53;0;0;3;3;;;1;4;286;558;;;5;6;3;3;5;5;6;4;11;10;2;1;2;2015-08-08;4.0;-39.0;-24.0;-17.0;-16.0;-91.0;-43.0;-22.0;-10.0;-2.0;9.0;5.0;94.0;63.0;44.0;31.0;23.0;-7.0;2.0;1.0;2.0;2.0;7.0;32.0;24.0;84.0;50.0;29.0;20.0;16.0;9.0;6.0;5.0;2.0;4.0;3.0;-34.0;-24.0;-15.0;-10.0;-20.0;5.0;12.0;31.0;28.0;9.0;71.0;46.0;36.0;29.0;16.0;11.0;7.0;9.0;41.0;30.0;7.0;23.0;19.0;17.0;13.0;13.0;18.0;13.0;-73.0;-36.0;38.0;26.0;11.0;9.0;13.0;15.0;9.0;8.0;7.0;82.0;5.0;3.0;13.0;1.0;-21.0;-22.0;-12.0;-84.0;-52.0;-1.0;73.0;11.0;6.0;-22.0;38.0;0.0;2;12:00:00;0;WAT;EVE
LEI X SUN 2015-08-08;347 (79%);250 (73%);25;16;56%;44%;2;4;3;6;0;1;60;57;0;0;4;3;0;1;1;0;442;342;;;7;16;4;8;5;8;4;4;11;20;4;2;2;2015-08-08;8.0;-28.0;-17.0;75.0;45.0;27.0;40.0;23.0;7.0;-6.0;88.0;12.0;45.0;22.0;10.0;-29.0;-19.0;75.0;37.0;22.0;15.0;43.0;15.0;50.0;29.0;22.0;19.0;6.0;-3.0;-3.0;-5.0;-26.0;-23.0;5.0;37.0;16.0;11.0;10.0;14.0;7.0;40.0;-4.0;-6.0;-7.0;-7.0;1.0;-11.0;-9.0;28.0;-28.0;-10.0;-38.0;-2.0;-8.0;-2.0;54.0;-8.0;96.0;53.0;-77.0;29.0;-40.0;-25.0;-16.0;74.0;36.0;22.0;-63.0;51.0;-37.0;-86.0;-18.0;-6.0;9.0;7.0;13.0;8.0;37.0;-41.0;24.0;7.0;-7.0;-8.0;8.0;8.0;3.0;6.0;33.0;17.0;-52.0;8.0;20.0;4;12:00:00;1;SUN;LEI
NOR X CRY 2015-08-08;200 (74%);388 (83%);8;10;38%;62%;2;2;4;1;;;46;50;0;0;4;4;;;2;4;272;470;;;8;6;2;9;7;6;3;11;11;17;0;1;3;2015-08-08;10.0;41.0;27.0;43.0;23.0;16.0;14.0;16.0;15.0;7.0;11.0;42.0;12.0;13.0;11.0;4.0;2.0;-5.0;-2.0;-1.0;-8.0;-11.0;30.0;-17.0;-25.0;-13.0;-75.0;-37.0;22.0;-9.0;-3.0;-5.0;-86.0;28.0;-52.0;-30.0;-18.0;-5.0;-5.0;6.0;90.0;8.0;16.0;16.0;17.0;18.0;11.0;-99.0;-54.0;82.0;34.0;21.0;61.0;37.0;17.0;13.0;17.0;-17.0;-3.0;9.0;7.0;13.0;12.0;11.0;9.0;7.0;-4.0;15.0;77.0;46.0;28.0;18.0;12.0;3.0;8.0;6.0;65.0;45.0;11.0;28.0;17.0;9.0;-1.0;-1.0;-36.0;-27.0;-44.0;33.0;6.0;14.0;-43.0;-65.0;1;12:00:00;-1;CRY;NOR
CHE X SWA 2015-08-08;322 (81%);347 (80%);21;14;48%;52%;5;3;8;4;0;1;70;59;0;0;2;7;1;0;4;2;399;433;0;1;12;7;2;5;10;3;5;5;17;11;3;1;2;2015-08-08;2.0;-18.0;-15.0;-8.0;6.0;33.0;15.0;-9.0;-17.0;-11.0;-7.0;22.0;-6.0;5.0;9.0;43.0;71.0;48.0;59.0;34.0;16.0;-6.0;28.0;-131.0;-25.0;-15.0;-10.0;-6.0;44.0;36.0;-38.0;-47.0;-29.0;20.0;-16.0;-2.0;29.0;24.0;18.0;4.0;0.0;1.0;-1.0;-51.0;-30.0;4.0;-24.0;-29.0;-17.0;-31.0;-19.0;-100.0;-65.0;-38.0;-21.0;-12.0;-8.0;-60.0;-29.0;-20.0;-100.0;-60.0;-26.0;-6.0;-9.0;29.0;21.0;-6.0;16.0;13.0;12.0;-7.0;-8.0;-49.0;31.0;-4.0;5.0;6.0;-62.0;11.0;9.0;-42.0;-22.0;-15.0;-10.0;-8.0;-3.0;-3.0;24.0;-38.0;11.0;-15.0;2;14:30:00;0;SWA;CHE
ARS X WES 2015-08-09;256 (71%);481 (87%);19;32;39%;61%;2;9;4;5;0;1;64;75;0;0;6;2;;;1;3;359;556;;;4;16;2;7;4;6;4;6;8;22;3;1;2;2015-08-09;10.0;34.0;26.0;11.0;31.0;13.0;16.0;12.0;7.0;2.0;6.0;7.0;3.0;1.0;1.0;1.0;4.0;7.0;23.0;18.0;9.0;34.0;-4.0;2.0;-5.0;5.0;24.0;71.0;42.0;23.0;-47.0;-18.0;-7.0;-24.0;-1.0;33.0;27.0;26.0;-83.0;4.0;0.0;5.0;6.0;7.0;7.0;-9.0;7.0;7.0;7.0;12.0;10.0;29.0;15.0;16.0;-33.0;-6.0;10.0;13.0;32.0;24.0;23.0;24.0;18.0;43.0;24.0;13.0;1.0;12.0;5.0;5.0;27.0;15.0;14.0;2.0;-3.0;-5.0;-6.0;-7.0;17.0;-7.0;-7.0;-11.0;-4.0;3.0;2.0;3.0;-18.0;-6.0;-22.0;56.0;33.0;45.0;0;10:30:00;-1;WES;ARS
NEW X SOU 2015-08-09;309 (79%);396 (82%);21;14;44%;56%;3;2;6;6;0;2;54;49;0;0;2;2;;;3;0;389;485;;;10;6;7;3;4;4;4;3;14;9;4;2;2;2015-08-09;-2.0;-1.0;2.0;2.0;8.0;1.0;-4.0;3.0;3.0;4.0;-18.0;-1.0;-5.0;-4.0;4.0;7.0;7.0;-78.0;-44.0;-6.0;-5.0;7.0;-2.0;12.0;46.0;22.0;9.0;1.0;-39.0;-22.0;-9.0;29.0;16.0;3.0;-22.0;6.0;41.0;100.0;65.0;33.0;-30.0;-3.0;-19.0;-14.0;17.0;2.0;7.0;28.0;26.0;19.0;13.0;10.0;3.0;-2.0;4.0;-17.0;-3.0;-4.0;11.0;24.0;49.0;30.0;-95.0;-46.0;-29.0;-19.0;-11.0;-3.0;-9.0;57.0;41.0;1.0;7.0;11.0;6.0;1.0;6.0;7.0;-3.0;-77.0;-39.0;-27.0;-21.0;-42.0;-12.0;-1.0;2.0;-3.0;-28.0;3.0;-15.0;-30.0;2;10:30:00;0;SOU;NEW
STO X LIV 2015-08-09;378 (79%);301 (73%);21;16;53%;47%;4;2;5;3;;;58;62;0;0;1;2;;;2;3;478;412;;;4;4;1;4;3;1;4;3;8;7;4;2;1;2015-08-09;-10.0;-3.0;28.0;9.0;6.0;5.0;4.0;4.0;7.0;8.0;9.0;-37.0;42.0;-45.0;-13.0;-4.0;-4.0;-6.0;-2.0;1.0;-1.0;10.0;-25.0;4.0;1.0;-1.0;2.0;-3.0;2.0;2.0;31.0;13.0;-10.0;-19.0;5.0;11.0;8.0;9.0;2.0;-5.0;20.0;-6.0;21.0;6.0;-4.0;-12.0;-9.0;-7.0;-4.0;-6.0;-7.0;-7.0;-28.0;-18.0;-7.0;4.0;-12.0;-1.0;-2.0;9.0;-7.0;-3.0;-13.0;-9.0;-2.0;-13.0;-40.0;-3.0;-43.0;-31.0;-29.0;-22.0;-6.0;5.0;-6.0;-7.0;-34.0;-22.0;2.0;-20.0;-8.0;9.0;-5.0;56.0;3.0;-45.0;-62.0;-33.0;-20.0;2.0;-2.0;5.0;0;13:00:00;-1;LIV;STO
WBA X MCI 2015-08-10;693 (91%);267 (81%);12;6;70%;30%;11;1;6;6;;;40;39;0;0;2;4;;;0;2;764;328;;;11;4;2;6;7;2;9;5;20;9;1;4;3;2015-08-10;-10.0;-97.0;-89.0;-80.0;-44.0;-33.0;-15.0;-9.0;-5.0;-11.0;-14.0;-8.0;-16.0;-10.0;-12.0;-10.0;-9.0;-79.0;-51.0;-34.0;-22.0;27.0;-7.0;10.0;3.0;4.0;-18.0;-13.0;-10.0;-8.0;-12.0;-12.0;-14.0;-1.0;-20.0;-8.0;-35.0;-11.0;-26.0;-20.0;;-7.0;6.0;-42.0;-24.0;3.0;29.0;5.0;26.0;12.0;-7.0;-8.0;-11.0;-14.0;-9.0;-10.0;-8.0;-100.0;-65.0;-40.0;-30.0;-49.0;-23.0;-15.0;-11.0;44.0;27.0;-11.0;26.0;15.0;8.0;21.0;32.0;25.0;47.0;74.0;38.0;31.0;-13.0;13.0;-5.0;-8.0;-9.0;-11.0;21.0;3.0;22.0;53.0;12.0;-16.0;-45.0;-60.0;0;17:00:00;-1;MCI;WBA
